firm,net_influence,net_strength,total_firsts,total_losses
IBM,144,11.158,175,31
XCEL ENERGY,90,10.5399,94,4
AMERICAN FAMILY INSURANCE GROUP,70,9.311,70,0
DUKE ENERGY,90,8.0125,100,10
DOMINION ENERGY,78,7.8379,102,24
LOCKHEED MARTIN,112,5.8458,115,3
BOEING,58,5.6152,72,14
HERSHEY,33,5.3842,33,0
DARDEN RESTAURANTS,26,4.279,27,1
CMS ENERGY,53,4.2195,75,22
STATE FARM INSURANCE,25,4.0915,45,20
HARTFORD FINANCIAL SERVICES,16,3.649,51,35
CSX,55,3.4194,56,1
DEERE,71,3.273,71,0
U.S. BANCORP,58,2.8843,76,18
EDISON INTERNATIONAL,32,2.8603,57,25
AMERICAN EXPRESS,63,2.8303,74,11
THERMO FISHER SCIENTIFIC,25,2.7669,25,0
NATIONWIDE,68,2.7603,68,0
NORFOLK SOUTHERN,18,2.6476,63,45
SOUTHWEST AIRLINES,33,2.5057,40,7
LAND O'LAKES,3,2.4854,55,52
WELLS FARGO,23,2.4746,70,47
NEXTERA ENERGY,37,2.4146,86,49
LINCOLN NATIONAL,28,2.3107,33,5
FEDEX,-1,2.2993,30,31
CAMPBELL SOUP,28,2.2462,33,5
VERIZON,45,1.9946,67,22
AMERICAN ELECTRIC POWER,27,1.9323,81,54
WEYERHAEUSER,48,1.9026,49,1
PRINCIPAL FINANCIAL,51,1.8827,51,0
PFIZER,45,1.8667,46,1
DELTA AIR LINES,26,1.8592,51,25
PNC FINANCIAL SERVICES,25,1.8574,25,0
CHARLES SCHWAB,41,1.843,58,17
PRUDENTIAL FINANCIAL,41,1.7098,55,14
MASTERCARD,6,1.7045,52,46
CBS,28,1.6474,31,3
EBAY,16,1.5183,56,40
PPG INDUSTRIES,17,1.4862,38,21
NEW YORK LIFE INSURANCE,38,1.4223,51,13
CHESAPEAKE ENERGY,-10,1.4159,36,46
PROCTER & GAMBLE,28,1.4146,44,16
GENERAL MILLS,13,1.3752,51,38
ANADARKO PETROLEUM,-21,1.3489,22,43
MICROSOFT,30,1.3364,78,48
BEST BUY,1,1.2984,32,31
TIAA,34,1.2865,62,28
COCA-COLA,17,1.2605,17,0
MCKESSON,10,1.2396,13,3
HOME DEPOT,11,1.1795,24,13
NORTHROP GRUMMAN,13,1.1639,46,33
L BRANDS,16,1.0999,16,0
BANK OF AMERICA,11,1.0954,67,56
COMCAST,32,1.0794,48,16
AT&T,38,1.0682,38,0
JETBLUE AIRWAYS,6,1.0463,6,0
AMGEN,3,1.0078,18,15
VISA,23,0.9543,66,43
GENERAL ELECTRIC,47,0.8467,51,4
ASSURANT,43,0.8446,63,20
AMERIPRISE FINANCIAL,42,0.7213,55,13
CENTENE,2,0.7008,3,1
CUMMINS,-16,0.6913,25,41
FORD,38,0.6652,49,11
BRISTOL-MYERS SQUIBB,13,0.6571,25,12
MASSACHUSETTS MUTUAL LIFE INSURANCE,26,0.6559,41,15
PG&E,-11,0.6514,29,40
EXXONMOBIL,43,0.6358,65,22
JOHNSON & JOHNSON,9,0.625,23,14
CARMAX,3,0.6051,5,2
PUBLIC SERVICE ENTERPRISE GROUP,5,0.5905,70,65
INTERNATIONAL PAPER,11,0.5866,27,16
TEXTRON,7,0.542,39,32
BOSTON SCIENTIFIC,-37,0.515,47,84
CIGNA,12,0.5091,13,1
UNITED AIRLINES HOLDINGS,-4,0.5002,28,32
ALLSTATE,21,0.4986,66,45
OWENS & MINOR,8,0.4922,9,1
GOLDMAN SACHS GROUP,12,0.4239,14,2
FIRSTENERGY,48,0.4128,79,31
HALLIBURTON,25,0.4098,44,19
AIR PRODUCTS & CHEMICALS,8,0.3701,8,0
ALPHABET,-9,0.3471,43,52
CHEVRON,5,0.3123,31,26
TYSON FOODS,8,0.2787,8,0
SEMPRA ENERGY,7,0.2562,34,27
NORTHWESTERN MUTUAL,27,0.2232,34,7
AMERISOURCEBERGEN,1,0.2137,1,0
CATERPILLAR,27,0.1898,55,28
MASCO,2,0.1741,2,0
HUMANA,-25,0.1649,15,40
OCCIDENTAL PETROLEUM,-10,0.1441,37,47
ROCKWELL COLLINS,-5,0.133,44,49
BECTON DICKINSON,8,0.1293,12,4
KIMBERLY-CLARK,0,0.127,5,5
GENWORTH FINANCIAL,-6,0.1211,18,24
MARATHON OIL,15,0.12,15,0
KROGER,-9,0.1144,27,36
DISCOVER FINANCIAL SERVICES,1,0.1134,12,11
MARRIOTT INTERNATIONAL,1,0.0999,1,0
COMMUNITY HEALTH SYSTEMS,1,0.0999,1,0
NRG ENERGY,3,0.07,3,0
ARCHER DANIELS MIDLAND,1,0.0638,1,0
DAVITA,1,0.0592,3,2
GOODYEAR TIRE & RUBBER,30,0.0372,42,12
PACCAR,1,0.0361,1,0
TESLA,1,0.023,1,0
EXELON,14,0.0208,59,45
TEXAS INSTRUMENTS,13,0.0202,32,19
CELGENE,0,0.0,0,0
WHIRLPOOL,0,0.0,0,0
FREEPORT-MCMORAN,0,0.0,0,0
WYNN RESORTS,0,0.0,0,0
DANAHER,0,0.0,0,0
COLGATE-PALMOLIVE,0,0.0,0,0
HANESBRANDS,0,0.0,0,0
HENRY SCHEIN,0,0.0,0,0
LENNAR,0,0.0,0,0
ADVANCE AUTO PARTS,0,0.0,0,0
AES,0,0.0,0,0
PULTEGROUP,0,0.0,0,0
KINDER MORGAN,0,0.0,0,0
GILEAD SCIENCES,0,0.0,0,0
DOLLAR GENERAL,0,0.0,0,0
FACEBOOK,0,0.0,0,0
STANLEY BLACK & DECKER,0,0.0,0,0
PHILIP MORRIS INTERNATIONAL,0,0.0,0,0
ALCOA,0,0.0,0,0
AVERY DENNISON,0,0.0,0,0
LABORATORY CORP. OF AMERICA,0,0.0,0,0
NATIONAL OILWELL VARCO,0,0.0,0,0
MOSAIC,0,0.0,0,0
ALLIANCE DATA SYSTEMS,0,0.0,0,0
COGNIZANT TECHNOLOGY SOLUTIONS,0,0.0,0,0
AMERICAN FINANCIAL GROUP,0,0.0,0,0
GAP,0,0.0,0,0
HUNTSMAN,0,0.0,0,0
INTUIT,0,0.0,0,0
DISH NETWORK,0,0.0,0,0
MAGELLAN HEALTH,0,0.0,0,0
LKQ,0,0.0,0,0
QUEST DIAGNOSTICS,0,0.0,0,0
ADP,0,0.0,0,0
BANK OF NEW YORK MELLON,0,0.0,0,0
CHENIERE ENERGY,0,0.0,0,0
3M,-37,-0.0046,49,86
LIVE NATION ENTERTAINMENT,-1,-0.0157,1,2
ADOBE,-1,-0.023,0,1
MOLINA HEALTHCARE,0,-0.0255,5,5
ANTHEM,2,-0.0349,3,1
UNITED STATES STEEL,5,-0.0366,21,16
APPLIED MATERIALS,0,-0.0417,3,3
ABBOTT LABORATORIES,17,-0.0564,43,26
FLUOR,-4,-0.0609,4,8
NCR,-7,-0.0636,5,12
ESTEE LAUDER,-1,-0.0638,1,2
MICRON TECHNOLOGY,-4,-0.1006,1,5
OLIN,-3,-0.1052,0,3
JONES FINANCIAL (EDWARD JONES),-3,-0.1084,1,4
HESS,-3,-0.1084,0,3
WINDSTREAM HOLDINGS,-20,-0.1096,34,54
NAVISTAR INTERNATIONAL,-4,-0.1187,1,5
RAYTHEON,16,-0.1201,45,29
TARGET,-6,-0.1331,30,36
LUMEN TECHNOLOGIES,-2,-0.136,0,2
KELLOGG,-1,-0.15,0,1
HARLEY-DAVIDSON,0,-0.15,1,1
STRYKER,-3,-0.1743,2,5
MARSH & MCLENNAN,-4,-0.2072,0,4
NETFLIX,-1,-0.2137,0,1
WESTERN UNION,-1,-0.2137,0,1
FIDELITY NATIONAL FINANCIAL,-6,-0.2167,0,6
CVS HEALTH,-16,-0.2325,15,31
NEWS CORP.,2,-0.2377,17,15
MGM RESORTS INTERNATIONAL,-2,-0.2393,3,5
NIKE,-14,-0.245,19,33
CORNING,-10,-0.2464,4,14
FRANKLIN RESOURCES,-1,-0.2499,0,1
ILLINOIS TOOL WORKS,-8,-0.2635,0,8
DISCOVERY,-4,-0.2673,15,19
WALT DISNEY,4,-0.2954,20,16
UNION PACIFIC,-12,-0.3105,43,55
AFLAC,-17,-0.3167,23,40
OWENS-ILLINOIS,-6,-0.3309,5,11
NUCOR,5,-0.3396,15,10
BLACKSTONE GROUP,-25,-0.3421,23,48
ORACLE,-28,-0.417,23,51
CARDINAL HEALTH,-2,-0.4275,1,3
BIOGEN,2,-0.4495,4,2
EMERSON ELECTRIC,-30,-0.4723,10,40
DEVON ENERGY,3,-0.4953,10,7
CHARTER COMMUNICATIONS,-17,-0.4968,34,51
UNITED HEALTH GROUP,6,-0.5197,14,8
WASTE MANAGEMENT,1,-0.5619,5,4
TENNECO,-2,-0.6085,0,2
WILLIAMS,-12,-0.6222,7,19
ALTRIA GROUP,-17,-0.6302,23,40
PUBLIX SUPER MARKETS,-10,-0.6375,0,10
ENTERGY,-5,-0.6447,54,59
HCA HEALTHCARE,-8,-0.6544,3,11
LOWE'S,1,-0.6596,19,18
LIBERTY MEDIA,-16,-0.6607,7,23
ADVANCED MICRO DEVICES,-36,-0.6971,1,37
SEABOARD,-5,-0.75,0,5
CONOCOPHILLIPS,-54,-0.7523,22,76
ZIMMER BIOMET HOLDINGS,-13,-0.777,3,16
MOTOROLA SOLUTIONS,-65,-0.7973,44,109
THRIVENT FINANCIAL FOR LUTHERANS,-12,-0.8383,2,14
APPLE,1,-0.8391,26,25
WELLCARE HEALTH PLANS,-5,-0.8452,0,5
NAVIENT,-33,-0.8717,14,47
XEROX,-25,-0.8751,4,29
PEPSICO,-2,-0.8763,21,23
CAPITAL ONE FINANCIAL,-5,-0.8905,53,58
AMEREN,-40,-0.8985,47,87
TENET HEALTHCARE,-49,-0.9747,6,55
OSHKOSH,-9,-0.9867,2,11
APACHE,-8,-1.0208,17,25
C.H. ROBINSON WORLDWIDE,-28,-1.0282,0,28
USAA,4,-1.0354,59,55
BALL,-29,-1.0993,20,49
YUM BRANDS,-31,-1.1019,9,40
CENTERPOINT ENERGY,-58,-1.1064,6,64
EMCOR GROUP,-9,-1.1771,3,12
AMAZON,-2,-1.2162,17,19
ELI LILLY,-3,-1.2367,31,34
DTE ENERGY,11,-1.2625,52,41
