company,rank,bill_number,total_amount,budget_fraction
3M,1,S.610,181539.95,0.04643
3M,2,S.272,181539.95,0.04643
3M,3,H.R.2768,146613.48,0.037497
3M,4,H.R.2803,146613.48,0.037497
3M,5,H.R.2125,133762.17,0.03421
3M,6,S.791,133762.17,0.03421
3M,7,H.R.759,133762.17,0.03421
3M,8,H.R.2638,120174.08,0.030735
3M,9,H.R.3795,92223.71,0.023587
3M,10,S.510,92223.71,0.023587
3M,11,H.R.977,92223.71,0.023587
3M,12,H.R.2348,92223.71,0.023587
3M,13,H.R.2749,92223.71,0.023587
3M,14,H.R.3300,92223.71,0.023587
3M,15,H.R.917,89316.24,0.022843
3M,16,H.R.4380,74307.04,0.019004
3M,17,S.2091,74307.04,0.019004
3M,18,S.2094,74307.04,0.019004
3M,19,S.2092,74307.04,0.019004
3M,20,S.2093,74307.04,0.019004
3M,21,S.2090,74307.04,0.019004
3M,22,S.2089,74307.04,0.019004
3M,23,S.2085,74307.04,0.019004
3M,24,H.R.2410,68473.71,0.017512
3M,25,S.295,57297.24,0.014654
3M,26,H.R.5019,47426.47,0.01213
3M,27,S.3434,47426.47,0.01213
3M,28,S.3772,34926.47,0.008933
3M,29,H.R.3326,30857.84,0.007892
3M,30,H.R.2200,20000.0,0.005115
ABBOTT LABORATORIES,1,S.369,502002.77,0.052566
ABBOTT LABORATORIES,2,S.510,502002.77,0.052566
ABBOTT LABORATORIES,3,H.R.2749,502002.77,0.052566
ABBOTT LABORATORIES,4,S.525,451447.21,0.047272
ABBOTT LABORATORIES,5,H.R.1548,420822.21,0.044065
ABBOTT LABORATORIES,6,S.540,289988.88,0.030365
ABBOTT LABORATORIES,7,S.330,257488.88,0.026962
ABBOTT LABORATORIES,8,H.R.1346,257488.88,0.026962
ABBOTT LABORATORIES,9,H.R.684,257488.88,0.026962
ABBOTT LABORATORIES,10,S.2766,238611.11,0.024985
ABBOTT LABORATORIES,11,H.R.3790,217152.78,0.022739
ABBOTT LABORATORIES,12,H.R.759,200266.65,0.02097
ABBOTT LABORATORIES,13,S.3307,192430.56,0.02015
ABBOTT LABORATORIES,14,H.R.5504,192430.56,0.02015
ABBOTT LABORATORIES,15,S.3804,159930.56,0.016747
ABBOTT LABORATORIES,16,S.726,149711.1,0.015677
ABBOTT LABORATORIES,17,S.1695,149711.1,0.015677
ABBOTT LABORATORIES,18,H.R.1427,149711.1,0.015677
ABBOTT LABORATORIES,19,S.1796,148304.09,0.015529
ABBOTT LABORATORIES,20,S.422,141875.0,0.014856
ABBOTT LABORATORIES,21,H.R.5501,109375.0,0.011453
ABBOTT LABORATORIES,22,H.R.5440,109375.0,0.011453
ABBOTT LABORATORIES,23,H.R.3974,109375.0,0.011453
ABBOTT LABORATORIES,24,S.2404,109375.0,0.011453
ABBOTT LABORATORIES,25,H.R.1321,109375.0,0.011453
ABBOTT LABORATORIES,26,S.AMDT.112,109184.78,0.011433
ABBOTT LABORATORIES,27,S.AMDT.200,109184.78,0.011433
ABBOTT LABORATORIES,28,S.152,109184.78,0.011433
ABBOTT LABORATORIES,29,H.R.1616,109184.78,0.011433
ABBOTT LABORATORIES,30,S.3101,83055.56,0.008697
ADOBE,1,S.1490,245000.0,0.260638
ADOBE,2,H.R.1387,123333.33,0.131206
ADOBE,3,H.R.4954,123333.33,0.131206
ADOBE,4,S.3480,123333.33,0.131206
ADP,1,S.3786,15000.0,0.06
ADVANCE AUTO PARTS,1,H.R.2057,106666.67,0.533333
ADVANCED MICRO DEVICES,1,S.729,297628.21,0.192018
ADVANCED MICRO DEVICES,2,H.R.4321,56794.87,0.036642
ADVANCED MICRO DEVICES,3,H.R.5116,56794.87,0.036642
ADVANCED MICRO DEVICES,4,H.R.5325,56794.87,0.036642
ADVANCED MICRO DEVICES,5,H.R.2638,56666.67,0.036559
ADVANCED MICRO DEVICES,6,H.R.4061,21794.87,0.014061
ADVANCED MICRO DEVICES,7,S.3480,21794.87,0.014061
ADVANCED MICRO DEVICES,8,S.3816,21794.87,0.014061
ADVANCED MICRO DEVICES,9,S.773,21794.87,0.014061
AES,1,S.3464,40000.0,0.304762
AES,2,H.R.3619,30000.0,0.228571
AFLAC,1,H.R.109,352215.44,0.040719
AFLAC,2,H.R.3010,352215.44,0.040719
AFLAC,3,S.605,352215.44,0.040719
AFLAC,4,S.434,352215.44,0.040719
AFLAC,5,S.391,352215.44,0.040719
AFLAC,6,H.R.897,352215.44,0.040719
AFLAC,7,H.R.302,352215.44,0.040719
AFLAC,8,S.702,352215.44,0.040719
AFLAC,9,H.R.1406,352215.44,0.040719
AFLAC,10,H.R.2609,254215.44,0.029389
AFLAC,11,H.R.2708,254215.44,0.029389
AFLAC,12,S.697,254215.44,0.029389
AFLAC,13,H.R.1721,254215.44,0.029389
AFLAC,14,H.R.1880,254215.44,0.029389
AFLAC,15,S.1213,254215.44,0.029389
AFLAC,16,S.1177,254215.44,0.029389
