source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
3M,ABBOTT LABORATORIES,0.0,0.034435,0,3,0,3,-3
ABBOTT LABORATORIES,3M,0.034435,0.034435,3,0,0,3,3
3M,ADVANCED MICRO DEVICES,0.005276,0.010552,0,0,1,1,0
ADVANCED MICRO DEVICES,3M,0.005276,0.010552,0,0,1,1,0
3M,ALLSTATE,0.0,0.001024,0,1,0,1,-1
ALLSTATE,3M,0.001024,0.001024,1,0,0,1,1
3M,AMEREN,0.024789,0.033052,2,0,2,4,2
AMEREN,3M,0.008263,0.033052,0,2,2,4,-2
3M,AMERICAN ELECTRIC POWER,0.0,0.002592,0,1,0,1,-1
AMERICAN ELECTRIC POWER,3M,0.002592,0.002592,1,0,0,1,1
3M,AMERIPRISE FINANCIAL,0.000234,0.000468,0,0,1,1,0
AMERIPRISE FINANCIAL,3M,0.000234,0.000468,0,0,1,1,0
3M,AMGEN,0.16599,0.331981,0,0,1,1,0
AMGEN,3M,0.16599,0.331981,0,0,1,1,0
3M,APACHE,0.003209,0.006418,0,0,1,1,0
APACHE,3M,0.003209,0.006418,0,0,1,1,0
3M,AT&T,0.167287,0.334573,0,0,1,1,0
AT&T,3M,0.167287,0.334573,0,0,1,1,0
3M,BANK OF AMERICA,0.081129,0.243388,0,1,2,3,-1
BANK OF AMERICA,3M,0.162259,0.243388,1,0,2,3,1
3M,BAXTER INTERNATIONAL,0.099715,0.119658,2,0,1,3,2
BAXTER INTERNATIONAL,3M,0.019943,0.119658,0,2,1,3,-2
3M,BECTON DICKINSON,0.0,0.018634,0,1,0,1,-1
BECTON DICKINSON,3M,0.018634,0.018634,1,0,0,1,1
3M,BERKSHIRE HATHAWAY,0.015195,0.030389,0,0,3,3,0
BERKSHIRE HATHAWAY,3M,0.015195,0.030389,0,0,3,3,0
3M,BLACKROCK,0.002013,0.002685,1,0,1,2,1
BLACKROCK,3M,0.000671,0.002685,0,1,1,2,-1
3M,BLACKSTONE GROUP,0.006404,0.012807,0,0,1,1,0
BLACKSTONE GROUP,3M,0.006404,0.012807,0,0,1,1,0
3M,BOEING,0.0,0.013424,0,2,0,2,-2
BOEING,3M,0.013424,0.013424,2,0,0,2,2
3M,BOSTON SCIENTIFIC,0.008186,0.016372,0,0,3,3,0
BOSTON SCIENTIFIC,3M,0.008186,0.016372,0,0,3,3,0
3M,BRISTOL-MYERS SQUIBB,0.0,0.003247,0,1,0,1,-1
BRISTOL-MYERS SQUIBB,3M,0.003247,0.003247,1,0,0,1,1
3M,CALPINE,0.009598,0.019197,1,1,0,2,0
CALPINE,3M,0.009598,0.019197,1,1,0,2,0
3M,CAMPBELL SOUP,0.0,0.035393,0,3,0,3,-3
CAMPBELL SOUP,3M,0.035393,0.035393,3,0,0,3,3
3M,CAPITAL ONE FINANCIAL,0.030834,0.061668,0,0,1,1,0
CAPITAL ONE FINANCIAL,3M,0.030834,0.061668,0,0,1,1,0
3M,CATERPILLAR,4.5e-05,4.5e-05,1,0,0,1,1
CATERPILLAR,3M,0.0,4.5e-05,0,1,0,1,-1
3M,CENTERPOINT ENERGY,0.02308,0.02308,2,0,0,2,2
CENTERPOINT ENERGY,3M,0.0,0.02308,0,2,0,2,-2
3M,CHESAPEAKE ENERGY,0.021436,0.032154,2,1,0,3,1
CHESAPEAKE ENERGY,3M,0.010718,0.032154,1,2,0,3,-1
3M,CHEVRON,0.0,0.000617,0,1,0,1,-1
CHEVRON,3M,0.000617,0.000617,1,0,0,1,1
3M,CISCO SYSTEMS,0.033201,0.033201,1,0,0,1,1
CISCO SYSTEMS,3M,0.0,0.033201,0,1,0,1,-1
3M,CITIGROUP,0.008408,0.03363,0,1,1,2,-1
CITIGROUP,3M,0.025223,0.03363,1,0,1,2,1
3M,COCA-COLA,0.0,0.008082,0,2,0,2,-2
COCA-COLA,3M,0.008082,0.008082,2,0,0,2,2
3M,CONOCOPHILLIPS,0.000133,0.000266,0,0,2,2,0
CONOCOPHILLIPS,3M,0.000133,0.000266,0,0,2,2,0
3M,CORNING,0.247109,0.329479,1,0,1,2,1
CORNING,3M,0.08237,0.329479,0,1,1,2,-1
3M,CSX,0.00222,0.01332,0,2,1,3,-2
CSX,3M,0.0111,0.01332,2,0,1,3,2
3M,CUMMINS,5e-05,0.0001,0,0,1,1,0
CUMMINS,3M,5e-05,0.0001,0,0,1,1,0
3M,CVS HEALTH,0.0,0.002534,0,2,0,2,-2
CVS HEALTH,3M,0.002534,0.002534,2,0,0,2,2
3M,DARDEN RESTAURANTS,0.0,0.035135,0,3,0,3,-3
DARDEN RESTAURANTS,3M,0.035135,0.035135,3,0,0,3,3
3M,DEAN FOODS,0.0,0.02018,0,2,0,2,-2
DEAN FOODS,3M,0.02018,0.02018,2,0,0,2,2
3M,DEERE,0.023004,0.046008,0,0,1,1,0
DEERE,3M,0.023004,0.046008,0,0,1,1,0
3M,DELTA AIR LINES,0.006614,0.039686,0,2,1,3,-2
DELTA AIR LINES,3M,0.033072,0.039686,2,0,1,3,2
3M,DOMINION ENERGY,0.000617,0.000617,1,0,0,1,1
DOMINION ENERGY,3M,0.0,0.000617,0,1,0,1,-1
3M,DUKE ENERGY,0.0,0.002066,0,1,0,1,-1
DUKE ENERGY,3M,0.002066,0.002066,1,0,0,1,1
3M,DUPONT DE NEMOURS,0.079976,0.087246,5,0,1,6,5
DUPONT DE NEMOURS,3M,0.007271,0.087246,0,5,1,6,-5
3M,EDISON INTERNATIONAL,0.008791,0.017582,1,1,0,2,0
EDISON INTERNATIONAL,3M,0.008791,0.017582,1,1,0,2,0
3M,ELI LILLY,0.011478,0.034435,1,2,0,3,-1
ELI LILLY,3M,0.022956,0.034435,2,1,0,3,1
3M,ENTERGY,0.0,0.000166,0,1,0,1,-1
ENTERGY,3M,0.000166,0.000166,1,0,0,1,1
3M,EXELON,0.00306,0.00306,2,0,0,2,2
EXELON,3M,0.0,0.00306,0,2,0,2,-2
3M,FEDEX,0.001056,0.002111,1,1,0,2,0
FEDEX,3M,0.001056,0.002111,1,1,0,2,0
3M,FIRSTENERGY,0.0,0.004066,0,1,0,1,-1
FIRSTENERGY,3M,0.004066,0.004066,1,0,0,1,1
3M,GENERAL DYNAMICS,7.2e-05,0.000144,1,1,0,2,0
GENERAL DYNAMICS,3M,7.2e-05,0.000144,1,1,0,2,0
3M,GENERAL ELECTRIC,0.0,0.004111,0,2,0,2,-2
GENERAL ELECTRIC,3M,0.004111,0.004111,2,0,0,2,2
3M,GENERAL MILLS,0.018352,0.044045,2,3,1,6,-1
GENERAL MILLS,3M,0.025693,0.044045,3,2,1,6,1
3M,GOLDMAN SACHS GROUP,0.004008,0.008016,1,1,0,2,0
GOLDMAN SACHS GROUP,3M,0.004008,0.008016,1,1,0,2,0
3M,HARTFORD FINANCIAL SERVICES,0.001643,0.001643,1,0,0,1,1
HARTFORD FINANCIAL SERVICES,3M,0.0,0.001643,0,1,0,1,-1
3M,HERSHEY,0.0,0.016501,0,3,0,3,-3
HERSHEY,3M,0.016501,0.016501,3,0,0,3,3
3M,HOME DEPOT,0.000131,0.000262,1,1,1,3,0
HOME DEPOT,3M,0.000131,0.000262,1,1,1,3,0
3M,HONEYWELL INTERNATIONAL,0.002083,0.004166,0,0,2,2,0
HONEYWELL INTERNATIONAL,3M,0.002083,0.004166,0,0,2,2,0
3M,HORMEL FOODS,0.004698,0.014093,1,2,0,3,-1
HORMEL FOODS,3M,0.009395,0.014093,2,1,0,3,1
3M,IBM,0.0,0.0001,0,1,0,1,-1
IBM,3M,0.0001,0.0001,1,0,0,1,1
3M,INTERPUBLIC GROUP,0.003079,0.006159,0,0,2,2,0
INTERPUBLIC GROUP,3M,0.003079,0.006159,0,0,2,2,0
3M,JOHNSON & JOHNSON,0.0,0.034916,0,1,0,1,-1
JOHNSON & JOHNSON,3M,0.034916,0.034916,1,0,0,1,1
3M,JPMORGAN CHASE & CO.,0.005209,0.020838,0,1,1,2,-1
JPMORGAN CHASE & CO.,3M,0.015628,0.020838,1,0,1,2,1
3M,KROGER,0.010855,0.021711,1,1,0,2,0
KROGER,3M,0.010855,0.021711,1,1,0,2,0
3M,L BRANDS,0.0,0.022108,0,1,0,1,-1
L BRANDS,3M,0.022108,0.022108,1,0,0,1,1
3M,L3HARRIS TECHNOLOGIES,2.7e-05,5.5e-05,0,0,1,1,0
L3HARRIS TECHNOLOGIES,3M,2.7e-05,5.5e-05,0,0,1,1,0
3M,LAND O'LAKES,0.0,0.024222,0,2,0,2,-2
LAND O'LAKES,3M,0.024222,0.024222,2,0,0,2,2
3M,LOCKHEED MARTIN,0.0,0.000617,0,1,0,1,-1
LOCKHEED MARTIN,3M,0.000617,0.000617,1,0,0,1,1
3M,MCKESSON,0.0,0.024793,0,1,0,1,-1
MCKESSON,3M,0.024793,0.024793,1,0,0,1,1
3M,MERCK,0.000823,0.003292,0,1,1,2,-1
