fortune_name,community_cosine
APPLIED MATERIALS,4
ARCONIC,4
BEST BUY,4
BORGWARNER,4
CATERPILLAR,4
CHS,4
CITIGROUP,4
COSTCO,4
DEERE,4
GENERAL ELECTRIC,4
GENWORTH FINANCIAL,4
GOLDMAN SACHS GROUP,4
HONEYWELL INTERNATIONAL,4
INTERNATIONAL PAPER,4
MASSACHUSETTS MUTUAL LIFE INSURANCE,4
METLIFE,4
MOLSON COORS BEVERAGE,4
NATIONWIDE,4
NEXTERA ENERGY,4
OWENS & MINOR,4
OWENS-ILLINOIS,4
PPG INDUSTRIES,4
RITE AID,4
S&P GLOBAL,4
W.R. BERKLEY,4
WESCO INTERNATIONAL,4
WESTERN UNION,4
EBAY,5
LIVE NATION ENTERTAINMENT,5
