company,company_idx
ALPHABET,0
AMAZON,1
AMERISOURCEBERGEN,2
ARCHER DANIELS MIDLAND,3
AT&T,4
BANK OF AMERICA,5
BERKSHIRE HATHAWAY,6
BOEING,7
CARDINAL HEALTH,8
CHEVRON,9
CITIGROUP,10
COMCAST,11
COSTCO,12
CVS HEALTH,13
DELL TECHNOLOGIES,14
DUPONT DE NEMOURS,15
EXXONMOBIL,16
FEDEX,17
FORD,18
GENERAL ELECTRIC,19
GENERAL MOTORS,20
HOME DEPOT,21
IBM,22
INTEL,23
JOHNSON & JOHNSON,24
JPMORGAN CHASE & CO.,25
KROGER,26
LOWE'S,27
MARATHON PETROLEUM,28
MCKESSON,29
METLIFE,30
MICROSOFT,31
PEPSICO,32
PHILLIPS 66,33
PROCTER & GAMBLE,34
PRUDENTIAL FINANCIAL,35
STATE FARM INSURANCE,36
UNITED PARCEL SERVICE,37
UNITED TECHNOLOGIES,38
VALERO ENERGY,39
VERIZON,40
WALGREENS BOOTS ALLIANCE,41
WALMART,42
WELLS FARGO,43
