bill_number,bill_idx
H.J.RES.28,0
H.J.RES.31,1
H.R.1,2
H.R.1006,3
H.R.1007,4
H.R.1027,5
H.R.1034,6
H.R.1044,7
H.R.1096,8
H.R.1101,9
H.R.1158,10
H.R.1166,11
H.R.1185,12
H.R.1374,13
H.R.1375,14
H.R.1423,15
H.R.1499,16
H.R.1595,17
H.R.1614,18
H.R.1618,19
H.R.1644,20
H.R.1668,21
H.R.1693,22
H.R.1725,23
H.R.1865,24
H.R.1869,25
H.R.1922,26
H.R.1954,27
H.R.1994,28
H.R.2,29
H.R.2013,30
H.R.2042,31
H.R.2157,32
H.R.2207,33
H.R.2213,34
H.R.2227,35
H.R.2256,36
H.R.2353,37
H.R.2377,38
H.R.2426,39
H.R.2474,40
H.R.2500,41
H.R.251,42
H.R.2513,43
H.R.2514,44
H.R.2533,45
H.R.2577,46
H.R.2591,47
H.R.2608,48
H.R.2626,49
H.R.2638,50
H.R.264,51
H.R.269,52
H.R.2740,53
H.R.2741,54
H.R.2839,55
H.R.2881,56
H.R.2960,57
H.R.2968,58
H.R.3,59
H.R.302,60
H.R.3055,61
H.R.3163,62
H.R.3164,63
H.R.3256,64
H.R.3301,65
H.R.3351,66
H.R.3375,67
H.R.34,68
H.R.3432,69
H.R.3494,70
H.R.3593,71
H.R.3630,72
H.R.3632,73
H.R.3666,74
H.R.370,75
H.R.3811,76
H.R.3828,77
H.R.3877,78
H.R.3941,79
H.R.4227,80
H.R.4229,81
H.R.4378,82
H.R.4459,83
H.R.4461,84
H.R.4462,85
H.R.4549,86
H.R.4674,87
H.R.4796,88
H.R.4895,89
H.R.4978,90
H.R.5,91
H.R.5035,92
H.R.510,93
H.R.5119,94
H.R.5120,95
H.R.5170,96
H.R.5240,97
H.R.530,98
H.R.535,99
H.R.5430,100
H.R.5515,101
H.R.6,102
H.R.748,103
H.R.803,104
H.R.946,105
H.R.965,106
H.R.978,107
S.1,108
S.1060,109
S.1084,110
S.1089,111
S.1094,112
S.1201,113
S.1215,114
S.1273,115
S.1306,116
S.1372,117
S.1398,118
S.1441,119
S.1473,120
S.1487,121
S.1507,122
S.151,123
S.1602,124
S.1685,125
S.1790,126
S.1822,127
S.1895,128
S.203,129
S.2082,130
S.2137,131
S.2293,132
S.2299,133
S.2300,134
S.2302,135
S.2418,136
S.245,137
S.2470,138
S.2474,139
S.2520,140
S.2543,141
S.2563,142
S.2580,143
S.2584,144
S.2641,145
S.2644,146
S.2662,147
S.2789,148
S.2800,149
S.2968,150
S.2987,151
S.300,152
S.3052,153
S.343,154
S.365,155
S.383,156
S.386,157
S.47,158
S.482,159
S.510,160
S.569,161
S.604,162
S.617,163
S.638,164
S.640,165
S.659,166
S.682,167
S.684,168
S.692,169
S.724,170
S.734,171
S.748,172
S.765,173
S.788,174
S.803,175
S.826,176
S.839,177
S.847,178
S.893,179
S.918,180
S.950,181
S.952,182
S.972,183
S.978,184
S.988,185
S.993,186
