company,company_idx
ALPHABET,0
AMAZON,1
AMERISOURCEBERGEN,2
AT&T,3
BANK OF AMERICA,4
BERKSHIRE HATHAWAY,5
BOEING,6
CARDINAL HEALTH,7
CHEVRON,8
CITIGROUP,9
COSTCO,10
CVS HEALTH,11
EXXONMOBIL,12
FORD,13
GENERAL ELECTRIC,14
GENERAL MOTORS,15
HOME DEPOT,16
JPMORGAN CHASE & CO.,17
KROGER,18
MCKESSON,19
MICROSOFT,20
PHILLIPS 66,21
VALERO ENERGY,22
VERIZON,23
WALGREENS BOOTS ALLIANCE,24
WALMART,25
WELLS FARGO,26
