bill_number,bill_idx
H.J.RES.28,0
H.J.RES.30,1
H.J.RES.31,2
H.R.1,3
H.R.1004,4
H.R.1006,5
H.R.1007,6
H.R.1008,7
H.R.1027,8
H.R.1034,9
H.R.1035,10
H.R.1038,11
H.R.1044,12
H.R.1096,13
H.R.1101,14
H.R.1149,15
H.R.1158,16
H.R.1166,17
H.R.1185,18
H.R.1220,19
H.R.1226,20
H.R.1279,21
H.R.1304,22
H.R.1316,23
H.R.135,24
H.R.1374,25
H.R.1398,26
H.R.1423,27
H.R.1426,28
H.R.1499,29
H.R.15,30
H.R.1502,31
H.R.1575,32
H.R.1595,33
H.R.1602,34
H.R.1607,35
H.R.1614,36
H.R.1618,37
H.R.1625,38
H.R.1628,39
H.R.1644,40
H.R.1668,41
H.R.1685,42
H.R.1693,43
H.R.1725,44
H.R.1742,45
H.R.1743,46
H.R.1744,47
H.R.1748,48
H.R.1768,49
H.R.1818,50
H.R.1860,51
H.R.1865,52
H.R.1869,53
H.R.1879,54
H.R.1922,55
H.R.1941,56
H.R.1954,57
H.R.1957,58
H.R.1959,59
H.R.1994,60
H.R.2013,61
H.R.2042,62
H.R.205,63
H.R.2054,64
H.R.2074,65
H.R.2096,66
H.R.2113,67
H.R.2114,68
H.R.2115,69
H.R.2119,70
H.R.2139,71
H.R.2157,72
H.R.2164,73
H.R.2170,74
H.R.2204,75
H.R.2207,76
H.R.2213,77
H.R.2227,78
H.R.2256,79
H.R.2296,80
H.R.2337,81
H.R.2353,82
H.R.2355,83
H.R.2376,84
H.R.2377,85
H.R.2382,86
H.R.2411,87
H.R.2426,88
H.R.2445,89
H.R.2449,90
H.R.2474,91
H.R.2479,92
H.R.2500,93
H.R.251,94
H.R.2513,95
H.R.2514,96
H.R.2533,97
H.R.2540,98
H.R.2577,99
H.R.2591,100
H.R.2597,101
H.R.2605,102
H.R.2608,103
H.R.2616,104
H.R.2626,105
H.R.2636,106
H.R.2638,107
H.R.264,108
H.R.2644,109
H.R.265,110
H.R.266,111
H.R.2664,112
H.R.269,113
H.R.2711,114
H.R.2723,115
H.R.2739,116
H.R.2740,117
H.R.2741,118
H.R.2820,119
H.R.2839,120
H.R.287,121
H.R.2881,122
H.R.2906,123
H.R.292,124
H.R.2956,125
H.R.2960,126
H.R.2968,127
H.R.2986,128
H.R.2997,129
H.R.3,130
H.R.3006,131
H.R.3011,132
H.R.302,133
H.R.3031,134
H.R.3052,135
H.R.3055,136
H.R.3107,137
H.R.3111,138
H.R.3145,139
H.R.3151,140
H.R.3162,141
H.R.3163,142
H.R.3164,143
H.R.3167,144
H.R.3180,145
H.R.3197,146
H.R.3225,147
H.R.3240,148
H.R.3256,149
H.R.3300,150
H.R.3301,151
H.R.3351,152
H.R.3361,153
H.R.3375,154
H.R.3388,155
H.R.34,156
H.R.3407,157
H.R.3408,158
H.R.3409,159
H.R.3432,160
H.R.3494,161
H.R.3500,162
H.R.3528,163
H.R.3551,164
H.R.358,165
H.R.3593,166
H.R.360,167
H.R.362,168
H.R.3630,169
H.R.3635,170
H.R.3666,171
H.R.3699,172
H.R.370,173
H.R.3708,174
H.R.3710,175
H.R.3719,176
H.R.3763,177
H.R.3772,178
H.R.3773,179
H.R.380,180
H.R.3811,181
H.R.3828,182
H.R.3877,183
H.R.3896,184
H.R.3915,185
H.R.392,186
H.R.3941,187
H.R.3951,188
H.R.3994,189
H.R.4007,190
H.R.4035,191
H.R.4048,192
H.R.4127,193
H.R.4149,194
H.R.4171,195
H.R.4194,196
H.R.4227,197
H.R.4229,198
H.R.4230,199
H.R.427,200
H.R.4299,201
H.R.4306,202
H.R.431,203
H.R.4354,204
H.R.4378,205
H.R.4385,206
H.R.4459,207
H.R.4461,208
H.R.4462,209
H.R.4463,210
H.R.4508,211
H.R.454,212
H.R.4549,213
H.R.4674,214
H.R.4690,215
H.R.4692,216
H.R.4695,217
H.R.4697,218
H.R.4700,219
H.R.4708,220
H.R.4709,221
H.R.4779,222
H.R.4796,223
H.R.4813,224
H.R.4841,225
H.R.4855,226
H.R.4863,227
H.R.4871,228
H.R.4895,229
H.R.4978,230
H.R.5,231
H.R.5035,232
H.R.5057,233
H.R.510,234
H.R.5120,235
H.R.514,236
H.R.5140,237
H.R.5175,238
H.R.518,239
H.R.5256,240
H.R.530,241
H.R.5314,242
H.R.5333,243
H.R.535,244
H.R.5374,245
H.R.5376,246
H.R.5409,247
H.R.5415,248
H.R.5428,249
H.R.543,250
H.R.5430,251
H.R.5470,252
H.R.55,253
H.R.5515,254
H.R.5518,255
H.R.5523,256
H.R.5527,257
H.R.5530,258
H.R.5607,259
H.R.5701,260
H.R.5815,261
H.R.582,262
H.R.5841,263
H.R.592,264
H.R.596,265
H.R.6,266
H.R.6072,267
H.R.6157,268
H.R.618,269
H.R.6226,270
H.R.6378,271
H.R.6385,272
H.R.6600,273
H.R.6688,274
H.R.6776,275
H.R.680,276
H.R.690,277
H.R.6910,278
H.R.721,279
H.R.7328,280
H.R.739,281
H.R.748,282
H.R.803,283
H.R.806,284
H.R.838,285
H.R.851,286
H.R.940,287
H.R.946,288
H.R.948,289
H.R.965,290
H.R.978,291
H.R.985,292
H.RES.153,293
S.1,294
S.1022,295
S.1060,296
S.1084,297
S.1085,298
S.1089,299
S.1094,300
S.1102,301
S.1142,302
S.1151,303
S.1167,304
S.1177,305
S.1201,306
S.1215,307
S.1227,308
S.1242,309
S.1258,310
S.1273,311
S.1291,312
S.13,313
S.1300,314
S.1323,315
S.1359,316
S.1372,317
S.1398,318
S.1405,319
S.1441,320
S.1473,321
S.1487,322
S.1498,323
S.150,324
S.1507,325
S.151,326
S.1522,327
S.1531,328
S.1589,329
S.1593,330
S.1601,331
S.1602,332
S.1625,333
S.1629,334
S.1685,335
S.1691,336
S.1699,337
S.1700,338
S.171,339
S.172,340
S.174,341
S.1750,342
S.1760,343
S.1761,344
S.1763,345
S.1790,346
S.1822,347
S.1830,348
S.1840,349
S.189,350
S.1895,351
S.1914,352
S.1939,353
S.1958,354
S.1979,355
S.1982,356
S.203,357
S.2033,358
S.2038,359
S.2039,360
S.2040,361
S.2041,362
S.2082,363
S.2095,364
S.2098,365
S.2137,366
S.2178,367
S.2220,368
S.2223,369
S.2243,370
S.2263,371
S.2284,372
S.2293,373
S.2297,374
S.2299,375
S.2300,376
S.2302,377
S.2313,378
S.2332,379
S.2333,380
S.2344,381
S.2364,382
S.2372,383
S.2402,384
S.2418,385
S.2447,386
S.245,387
S.2470,388
S.2474,389
S.2506,390
S.2520,391
S.2524,392
S.2543,393
S.2556,394
S.2561,395
S.2563,396
S.2580,397
S.2583,398
S.2584,399
S.2604,400
S.2605,401
S.2606,402
S.2611,403
S.2639,404
S.2641,405
S.2644,406
S.265,407
S.2652,408
S.2657,409
S.2661,410
S.2662,411
S.2700,412
S.2728,413
S.273,414
S.2751,415
S.2789,416
S.2800,417
S.281,418
S.2840,419
S.2852,420
S.2858,421
S.287,422
S.2881,423
S.29,424
S.2921,425
S.2922,426
S.2947,427
S.2956,428
S.2968,429
S.2979,430
S.2987,431
S.300,432
S.3007,433
S.3023,434
S.3040,435
S.3052,436
S.306,437
S.3084,438
S.3108,439
S.3109,440
S.3159,441
S.317,442
S.3277,443
S.3282,444
S.3336,445
S.340,446
S.343,447
S.365,448
S.3676,449
S.370,450
S.3744,451
S.383,452
S.384,453
S.386,454
S.411,455
S.47,456
S.476,457
S.482,458
S.510,459
S.540,460
S.543,461
S.551,462
S.569,463
S.583,464
S.584,465
S.604,466
S.607,467
S.617,468
S.635,469
S.638,470
S.64,471
S.640,472
S.657,473
S.659,474
S.674,475
S.682,476
S.684,477
S.692,478
S.713,479
S.724,480
S.733,481
S.734,482
S.743,483
S.747,484
S.748,485
S.760,486
S.765,487
S.788,488
S.790,489
S.794,490
S.80,491
S.803,492
S.812,493
S.839,494
S.842,495
S.846,496
S.847,497
S.859,498
S.874,499
S.893,500
S.918,501
S.919,502
S.946,503
S.950,504
S.952,505
S.972,506
S.976,507
S.978,508
S.979,509
S.988,510
S.990,511
S.993,512
S.J.RES.2,513
S.RES.27,514
S.RES.34,515
