fortune_name,community_composite,community_affiliation,community_cosine,community_rbo,consensus_count,stability_label
HARTFORD FINANCIAL SERVICES,1.0,1,1.0,7.0,2,partially_stable
HCA HEALTHCARE,2.0,2,2.0,2.0,3,fully_stable
HERSHEY,0.0,2,3.0,4.0,0,composite_divergent
HEWLETT PACKARD ENTERPRISE,0.0,5,0.0,0.0,2,partially_stable
HILTON WORLDWIDE HOLDINGS,3.0,1,3.0,3.0,2,partially_stable
HOLLYFRONTIER,0.0,0,6.0,6.0,1,partially_stable
HOME DEPOT,5.0,5,5.0,5.0,3,fully_stable
HONEYWELL INTERNATIONAL,0.0,5,4.0,0.0,1,partially_stable
HP,0.0,5,0.0,0.0,2,partially_stable
HUMANA,2.0,2,2.0,2.0,3,fully_stable
HUNTSMAN,0.0,0,6.0,7.0,1,partially_stable
IBM,0.0,5,0.0,0.0,2,partially_stable
IHEARTMEDIA,0.0,5,0.0,0.0,2,partially_stable
ILLINOIS TOOL WORKS,6.0,0,6.0,6.0,2,partially_stable
INTEL,0.0,5,0.0,0.0,2,partially_stable
INTERNATIONAL PAPER,6.0,1,6.0,6.0,2,partially_stable
INTUIT,0.0,5,0.0,0.0,2,partially_stable
JACOBS ENGINEERING GROUP,0.0,0,6.0,6.0,1,partially_stable
JETBLUE AIRWAYS,0.0,0,0.0,6.0,2,partially_stable
JOHNSON & JOHNSON,2.0,2,2.0,10.0,2,partially_stable
JPMORGAN CHASE & CO.,1.0,1,1.0,1.0,3,fully_stable
KELLOGG,5.0,1,1.0,5.0,1,partially_stable
KEURIG DR PEPPER,15.0,0,6.0,15.0,1,partially_stable
KEYCORP,1.0,1,1.0,1.0,3,fully_stable
KIMBERLY-CLARK,5.0,2,5.0,5.0,2,partially_stable
KRAFT HEINZ,0.0,5,6.0,0.0,1,partially_stable
KROGER,5.0,5,5.0,5.0,3,fully_stable
L3HARRIS TECHNOLOGIES,0.0,0,6.0,6.0,1,partially_stable
LABORATORY CORP. OF AMERICA,9.0,2,2.0,2.0,0,composite_divergent
LAND O'LAKES,,1,1.0,,0,absent_from_composite
LAS VEGAS SANDS,0.0,1,0.0,0.0,2,partially_stable
LEIDOS HOLDINGS,0.0,0,6.0,6.0,1,partially_stable
LIBERTY MEDIA,11.0,5,0.0,0.0,0,composite_divergent
LIBERTY MUTUAL INSURANCE GROUP,1.0,1,1.0,5.0,2,partially_stable
LINCOLN NATIONAL,1.0,1,1.0,7.0,2,partially_stable
LIVE NATION ENTERTAINMENT,13.0,2,13.0,2.0,1,partially_stable
LOCKHEED MARTIN,0.0,0,6.0,0.0,2,partially_stable
LOEWS,3.0,4,3.0,4.0,1,partially_stable
LOWE'S,5.0,5,5.0,5.0,3,fully_stable
LUMEN TECHNOLOGIES,0.0,5,0.0,0.0,2,partially_stable
MAGELLAN HEALTH,2.0,2,2.0,2.0,3,fully_stable
MARATHON PETROLEUM,3.0,4,3.0,4.0,1,partially_stable
MARRIOTT INTERNATIONAL,3.0,1,3.0,3.0,2,partially_stable
MARSH & MCLENNAN,1.0,1,1.0,5.0,2,partially_stable
MASCO,14.0,0,6.0,6.0,0,composite_divergent
MASSACHUSETTS MUTUAL LIFE INSURANCE,1.0,1,4.0,7.0,1,partially_stable
MCDONALD'S,5.0,5,5.0,5.0,3,fully_stable
MCKESSON,0.0,2,0.0,0.0,2,partially_stable
MERCK,2.0,2,2.0,2.0,3,fully_stable
METLIFE,1.0,1,4.0,7.0,1,partially_stable
MGM RESORTS INTERNATIONAL,0.0,4,3.0,0.0,1,partially_stable
