firm,net_influence,net_strength,total_firsts,total_losses
DTE ENERGY,43,5.8428,53,10
CUMMINS,58,5.3093,75,17
CALPINE,53,4.9431,58,5
ABBVIE,36,4.167,40,4
CMS ENERGY,31,3.8887,31,0
BERKSHIRE HATHAWAY,11,3.7763,24,13
MICROSOFT,23,3.3167,29,6
LABORATORY CORP. OF AMERICA,18,2.8698,29,11
FIRSTENERGY,6,2.7485,43,37
CVS HEALTH,26,2.6826,41,15
TEXAS INSTRUMENTS,5,2.4503,19,14
PNC FINANCIAL SERVICES,2,2.1126,21,19
COGNIZANT TECHNOLOGY SOLUTIONS,13,2.0664,13,0
NORTHROP GRUMMAN,30,2.0546,47,17
EXELON,26,2.0414,29,3
WELLS FARGO,12,1.9323,13,1
APPLIED MATERIALS,12,1.9267,14,2
BALL,44,1.9165,47,3
COCA-COLA,-25,1.889,8,33
GILEAD SCIENCES,-56,1.7921,26,82
AT&T,31,1.7775,31,0
CBS,13,1.7662,17,4
HEWLETT PACKARD ENTERPRISE,14,1.7632,32,18
PG&E,21,1.7569,47,26
NORTHWESTERN MUTUAL,24,1.7405,35,11
UNION PACIFIC,10,1.6288,30,20
CIGNA,24,1.5701,29,5
CITIGROUP,18,1.548,20,2
FORD,27,1.5364,27,0
ARAMARK,6,1.4781,8,2
IBM,48,1.4703,50,2
PRUDENTIAL FINANCIAL,8,1.3288,20,12
RITE AID,4,1.32,13,9
ALLSTATE,24,1.2991,30,6
GENERAL MILLS,7,1.2834,9,2
NEW YORK LIFE INSURANCE,6,1.2439,16,10
AIG,9,1.242,17,8
GENERAL DYNAMICS,27,1.2264,30,3
EXXONMOBIL,44,1.2118,46,2
XCEL ENERGY,17,1.206,56,39
DELL TECHNOLOGIES,-19,1.183,31,50
CARDINAL HEALTH,7,1.1337,9,2
YUM BRANDS,15,1.1294,18,3
BRISTOL-MYERS SQUIBB,22,1.1181,22,0
NORFOLK SOUTHERN,1,1.0938,3,2
MICRON TECHNOLOGY,-4,1.0792,21,25
AK STEEL HOLDING,7,1.0649,8,1
CONSTELLATION BRANDS,7,1.0432,7,0
MAGELLAN HEALTH,16,1.0274,17,1
PHILLIPS 66,23,1.0213,36,13
AMERIPRISE FINANCIAL,25,1.0055,28,3
THERMO FISHER SCIENTIFIC,12,0.9741,12,0
CATERPILLAR,7,0.938,33,26
DUKE ENERGY,27,0.9072,58,31
LOWE'S,5,0.8718,7,2
UNITED AIRLINES HOLDINGS,12,0.8245,20,8
MOLINA HEALTHCARE,6,0.8202,11,5
CENTENE,14,0.7874,26,12
LEIDOS HOLDINGS,34,0.7771,35,1
SOUTHERN,-11,0.7767,24,35
LIBERTY MUTUAL INSURANCE GROUP,-2,0.7232,7,9
DELTA AIR LINES,18,0.7125,27,9
AMERICAN FAMILY INSURANCE GROUP,30,0.7046,32,2
DEAN FOODS,6,0.6754,6,0
AMERICAN AIRLINES GROUP,3,0.6708,16,13
NATIONWIDE,4,0.6598,11,7
GENERAL ELECTRIC,7,0.6576,28,21
GRAPHIC PACKAGING HOLDING,8,0.6567,9,1
HILTON WORLDWIDE HOLDINGS,6,0.6551,7,1
OSHKOSH,4,0.6358,4,0
ELI LILLY,10,0.6237,12,2
GAP,3,0.6188,3,0
DANAHER,4,0.5741,4,0
JPMORGAN CHASE & CO.,10,0.5562,26,16
LOCKHEED MARTIN,27,0.5281,30,3
PUBLIC SERVICE ENTERPRISE GROUP,15,0.497,26,11
FEDEX,-3,0.4543,18,21
SYSCO,2,0.4275,2,0
WESTROCK,7,0.3989,9,2
PPG INDUSTRIES,-16,0.3958,17,33
WESTERN UNION,5,0.3949,5,0
SYNCHRONY FINANCIAL,-8,0.3915,3,11
TESLA,23,0.3873,32,9
EBAY,2,0.3277,2,0
3M,21,0.3112,36,15
PRINCIPAL FINANCIAL,25,0.3072,33,8
ILLINOIS TOOL WORKS,9,0.2967,13,4
MASSACHUSETTS MUTUAL LIFE INSURANCE,2,0.2959,2,0
ADP,4,0.272,4,0
COMCAST,1,0.2499,1,0
MARATHON PETROLEUM,13,0.2463,29,16
AMERISOURCEBERGEN,3,0.2289,8,5
DAVITA,5,0.2182,5,0
S&P GLOBAL,2,0.1653,3,1
BECTON DICKINSON,-5,0.1627,8,13
REGIONS FINANCIAL,1,0.15,1,0
TRAVELERS,1,0.15,1,0
VISA,1,0.15,1,0
BOOZ ALLEN HAMILTON,1,0.15,1,0
DOMINION ENERGY,4,0.1484,8,4
AMGEN,18,0.1441,25,7
PEABODY ENERGY,7,0.134,7,0
ABBOTT LABORATORIES,2,0.1326,3,1
BOEING,13,0.1309,17,4
ONEOK,3,0.1282,6,3
USAA,2,0.1135,2,0
HP,4,0.0984,10,6
UNITED TECHNOLOGIES,-13,0.0953,33,46
NEXTERA ENERGY,2,0.0822,2,0
JONES FINANCIAL (EDWARD JONES),3,0.0813,13,10
HUNTSMAN,1,0.0777,3,2
TEXTRON,7,0.0693,7,0
AECOM,6,0.0664,27,21
