group,n,bill_lob_rate,bill_firm_rate,bill_any_rate,net_firm_connected,net_any_connected
Decisive (influencer leads),3347,0.00179265013444876,0.00089632506722438,0.002091425156856887,0.003884075291305647,0.003884075291305647
Balanced (tied),5249,0.003429224614212231,0.003619737092779577,0.003619737092779577,0.004762811964183654,0.004762811964183654
