sector,congress,rank,firm,wc_net_strength
Defense/Industrial,114,4,UNITED AIRLINES HOLDINGS,1.1798460000000002
Defense/Industrial,114,5,AMERICAN AIRLINES GROUP,0.6812799999999999
Defense/Industrial,115,1,UNITED AIRLINES HOLDINGS,3.6074569999999997
Defense/Industrial,115,2,TEXTRON,3.0643840000000004
Defense/Industrial,115,3,GENERAL DYNAMICS,2.181029
Defense/Industrial,115,4,DELTA AIR LINES,1.70412
Defense/Industrial,115,5,LEIDOS HOLDINGS,1.508688
Defense/Industrial,116,1,NORTHROP GRUMMAN,1.9233639999999996
Defense/Industrial,116,2,BALL,1.664649
Defense/Industrial,116,3,NORFOLK SOUTHERN,1.565744
Defense/Industrial,116,4,UNION PACIFIC,1.504857
Defense/Industrial,116,5,GENERAL DYNAMICS,0.9076199999999999
Defense/Industrial,117,1,UNITED AIRLINES HOLDINGS,4.186877000000001
Defense/Industrial,117,2,LOCKHEED MARTIN,2.901311
Defense/Industrial,117,3,GRAPHIC PACKAGING HOLDING,2.529891
Defense/Industrial,117,4,WESTROCK,1.732449
Defense/Industrial,117,5,SOUTHWEST AIRLINES,1.2592650000000003
Energy/Utilities,111,1,XCEL ENERGY,8.362921
Energy/Utilities,111,2,DOMINION ENERGY,6.76916
Energy/Utilities,111,3,DUKE ENERGY,6.714102999999999
Energy/Utilities,111,4,CMS ENERGY,2.2671959999999998
Energy/Utilities,111,5,EDISON INTERNATIONAL,2.19515
Energy/Utilities,112,1,EXELON,5.862342999999999
Energy/Utilities,112,2,DUKE ENERGY,5.721496999999999
Energy/Utilities,112,3,SOUTHERN,4.644251000000001
Energy/Utilities,112,4,ENTERGY,4.256363
Energy/Utilities,112,5,XCEL ENERGY,3.4675039999999995
Energy/Utilities,113,1,FIRSTENERGY,4.021819
Energy/Utilities,113,2,DUKE ENERGY,3.3295410000000003
Energy/Utilities,113,3,XCEL ENERGY,3.2639099999999996
Energy/Utilities,113,4,DTE ENERGY,2.9226900000000002
Energy/Utilities,113,5,CMS ENERGY,1.913563
Energy/Utilities,114,1,XCEL ENERGY,6.540966999999999
Energy/Utilities,114,2,DTE ENERGY,5.238639000000001
Energy/Utilities,114,3,DUKE ENERGY,4.012433
Energy/Utilities,114,4,ENTERGY,2.241922
Energy/Utilities,114,5,FIRSTENERGY,2.145996
Energy/Utilities,115,1,EXELON,5.919142000000001
Energy/Utilities,115,2,XCEL ENERGY,3.6225319999999996
Energy/Utilities,115,3,DUKE ENERGY,3.606986
Energy/Utilities,115,4,DTE ENERGY,2.0058559999999996
Energy/Utilities,115,5,PPL,1.376576
Energy/Utilities,116,1,DTE ENERGY,6.163288
Energy/Utilities,116,2,CMS ENERGY,3.8885010000000007
Energy/Utilities,116,3,FIRSTENERGY,2.855041
Energy/Utilities,116,4,XCEL ENERGY,2.0433579999999996
Energy/Utilities,116,5,SOUTHERN,1.8299860000000001
Energy/Utilities,117,1,EXELON,5.493728
Energy/Utilities,117,2,ENTERGY,2.8718230000000005
Energy/Utilities,117,3,XCEL ENERGY,2.7571860000000004
Energy/Utilities,117,4,PUBLIC SERVICE ENTERPRISE GROUP,2.194851
Energy/Utilities,117,5,DTE ENERGY,1.9150409999999998
Health/Pharma,111,1,HERSHEY,0.989638
Health/Pharma,111,2,AMGEN,0.761842
Health/Pharma,111,3,BRISTOL-MYERS SQUIBB,0.624836
Health/Pharma,111,4,MCKESSON,0.553829
Health/Pharma,111,5,CENTENE,0.336654
Health/Pharma,112,1,MERCK,0.860379
Health/Pharma,112,2,ELI LILLY,0.5894379999999999
Health/Pharma,112,3,ABBOTT LABORATORIES,0.36207200000000006
Health/Pharma,112,4,AMERISOURCEBERGEN,0.151073
Health/Pharma,112,5,JOHNSON & JOHNSON,0.13598400000000002
Health/Pharma,113,1,JOHNSON & JOHNSON,0.82881
Health/Pharma,113,2,RITE AID,0.6516879999999999
Health/Pharma,113,3,HUMANA,0.551854
Health/Pharma,113,4,AMERISOURCEBERGEN,0.4811860000000001
Health/Pharma,113,5,MUTUAL OF OMAHA INSURANCE,0.33944900000000006
Health/Pharma,114,1,MOLINA HEALTHCARE,0.7951949999999998
Health/Pharma,114,2,ELI LILLY,0.6353070000000001
Health/Pharma,114,3,WALGREENS BOOTS ALLIANCE,0.437573
Health/Pharma,114,4,AMGEN,0.35208000000000006
Health/Pharma,114,5,BRISTOL-MYERS SQUIBB,0.32267
Health/Pharma,115,1,BRISTOL-MYERS SQUIBB,1.700279
Health/Pharma,115,2,ABBVIE,1.353679
Health/Pharma,115,3,CVS HEALTH,1.2171139999999998
Health/Pharma,115,4,CENTENE,1.052723
Health/Pharma,115,5,HUMANA,0.9273620000000001
Health/Pharma,116,1,ABBVIE,4.0999859999999995
Health/Pharma,116,2,LABORATORY CORP. OF AMERICA,2.8987209999999997
Health/Pharma,116,3,CVS HEALTH,2.5397200000000004
Health/Pharma,116,4,GILEAD SCIENCES,2.478211
Health/Pharma,116,5,CIGNA,1.535542
Health/Pharma,117,1,MERCK,3.788506
Health/Pharma,117,2,LABORATORY CORP. OF AMERICA,1.869014
Health/Pharma,117,3,CIGNA,1.2651299999999999
Health/Pharma,117,4,HUMANA,0.876905
Health/Pharma,117,5,CVS HEALTH,0.7431110000000001
