fortune_name,community_rbo,quarter
ALTRIA GROUP,0,6
AMERIPRISE FINANCIAL,0,6
BANK OF AMERICA,0,6
BANK OF NEW YORK MELLON,0,6
CITIGROUP,0,6
COCA-COLA,0,6
CONSTELLATION BRANDS,0,6
FIFTH THIRD BANCORP,0,6
GAP,0,6
HOME DEPOT,0,6
JPMORGAN CHASE & CO.,0,6
KIMBERLY-CLARK,0,6
KROGER,0,6
LINCOLN NATIONAL,0,6
LOWE'S,0,6
MOLSON COORS BEVERAGE,0,6
MUTUAL OF OMAHA INSURANCE,0,6
NIKE,0,6
NUCOR,0,6
PEPSICO,0,6
PNC FINANCIAL SERVICES,0,6
PUBLIX SUPER MARKETS,0,6
S&P GLOBAL,0,6
SYSCO,0,6
TARGET,0,6
U.S. BANCORP,0,6
UNITED AIRLINES HOLDINGS,0,6
WELLS FARGO,0,6
WESTERN UNION,0,6
WEYERHAEUSER,0,6
ALLY FINANCIAL,1,6
AMERICAN EXPRESS,1,6
AMERISOURCEBERGEN,1,6
AMGEN,1,6
BECTON DICKINSON,1,6
BLACKSTONE GROUP,1,6
BRISTOL-MYERS SQUIBB,1,6
CAPITAL ONE FINANCIAL,1,6
CENTENE,1,6
CENTERPOINT ENERGY,1,6
CIGNA,1,6
CISCO SYSTEMS,1,6
CITIZENS FINANCIAL GROUP,1,6
CVS HEALTH,1,6
DANAHER,1,6
GENERAL DYNAMICS,1,6
HCA HEALTHCARE,1,6
HERSHEY,1,6
HILTON WORLDWIDE HOLDINGS,1,6
HOLLYFRONTIER,1,6
HUMANA,1,6
LABORATORY CORP. OF AMERICA,1,6
MAGELLAN HEALTH,1,6
MARRIOTT INTERNATIONAL,1,6
MERCK,1,6
MOLINA HEALTHCARE,1,6
NAVISTAR INTERNATIONAL,1,6
PRINCIPAL FINANCIAL,1,6
TENET HEALTHCARE,1,6
WALGREENS BOOTS ALLIANCE,1,6
ABBOTT LABORATORIES,2,6
ADP,2,6
AECOM,2,6
BERKSHIRE HATHAWAY,2,6
BEST BUY,2,6
BIOGEN,2,6
BOSTON SCIENTIFIC,2,6
CATERPILLAR,2,6
CHEMOURS,2,6
CONOCOPHILLIPS,2,6
CSX,2,6
ECOLAB,2,6
GENERAL ELECTRIC,2,6
GILEAD SCIENCES,2,6
ILLINOIS TOOL WORKS,2,6
INTERNATIONAL PAPER,2,6
JOHNSON & JOHNSON,2,6
LIBERTY MUTUAL INSURANCE GROUP,2,6
LUMEN TECHNOLOGIES,2,6
MCDONALD'S,2,6
NORFOLK SOUTHERN,2,6
OWENS CORNING,2,6
QUEST DIAGNOSTICS,2,6
SHERWIN-WILLIAMS,2,6
STATE FARM INSURANCE,2,6
THERMO FISHER SCIENTIFIC,2,6
UNION PACIFIC,2,6
WHIRLPOOL,2,6
ABM INDUSTRIES,3,6
AES,3,6
AMEREN,3,6
AMERICAN ELECTRIC POWER,3,6
CMS ENERGY,3,6
DELL TECHNOLOGIES,3,6
DISCOVER FINANCIAL SERVICES,3,6
DISH NETWORK,3,6
DTE ENERGY,3,6
DUKE ENERGY,3,6
DUPONT DE NEMOURS,3,6
EMERSON ELECTRIC,3,6
ENTERGY,3,6
EVERSOURCE ENERGY,3,6
EXELON,3,6
FIRSTENERGY,3,6
MOTOROLA SOLUTIONS,3,6
PEABODY ENERGY,3,6
PG&E,3,6
PPL,3,6
PUBLIC SERVICE ENTERPRISE GROUP,3,6
SEMPRA ENERGY,3,6
SOUTHERN,3,6
TESLA,3,6
VF,3,6
XCEL ENERGY,3,6
3M,4,6
ADVANCED MICRO DEVICES,4,6
ALASKA AIR GROUP,4,6
AMERICAN AIRLINES GROUP,4,6
BALL,4,6
BOOZ ALLEN HAMILTON,4,6
CHEVRON,4,6
CUMMINS,4,6
EDISON INTERNATIONAL,4,6
FLUOR,4,6
HP,4,6
INTERPUBLIC GROUP,4,6
JACOBS ENGINEERING GROUP,4,6
L3HARRIS TECHNOLOGIES,4,6
LEIDOS HOLDINGS,4,6
MARATHON OIL,4,6
MICRON TECHNOLOGY,4,6
NORTHROP GRUMMAN,4,6
OLIN,4,6
OSHKOSH,4,6
PPG INDUSTRIES,4,6
QUALCOMM,4,6
RITE AID,4,6
WALMART,4,6
WESTERN DIGITAL,4,6
WORLD FUEL SERVICES,4,6
ALPHABET,5,6
AMAZON,5,6
AT&T,5,6
BOEING,5,6
CBS,5,6
CHARTER COMMUNICATIONS,5,6
COGNIZANT TECHNOLOGY SOLUTIONS,5,6
FEDEX,5,6
FOX CORP,5,6
HEWLETT PACKARD ENTERPRISE,5,6
HONEYWELL INTERNATIONAL,5,6
IBM,5,6
IHEARTMEDIA,5,6
INTEL,5,6
LOCKHEED MARTIN,5,6
MICROSOFT,5,6
ORACLE,5,6
RAYTHEON,5,6
SALESFORCE,5,6
STANLEY BLACK & DECKER,5,6
SYNCHRONY FINANCIAL,5,6
TEXAS INSTRUMENTS,5,6
UNITED PARCEL SERVICE,5,6
VERIZON,5,6
ABBVIE,6,6
AIG,6,6
ALLSTATE,6,6
AMERICAN FAMILY INSURANCE GROUP,6,6
APPLIED MATERIALS,6,6
CHS,6,6
FACEBOOK,6,6
FORD,6,6
GENWORTH FINANCIAL,6,6
GOLDMAN SACHS GROUP,6,6
HARTFORD FINANCIAL SERVICES,6,6
MASSACHUSETTS MUTUAL LIFE INSURANCE,6,6
NATIONWIDE,6,6
NEXTERA ENERGY,6,6
NORTHWESTERN MUTUAL,6,6
PRUDENTIAL FINANCIAL,6,6
TIAA,6,6
W.R. BERKLEY,6,6
CORNING,7,6
DOMINION ENERGY,7,6
ENERGY TRANSFER,7,6
GENERAL MOTORS,7,6
LOEWS,7,6
MARATHON PETROLEUM,7,6
ONEOK,7,6
PHILLIPS 66,7,6
ARAMARK,8,6
EXXONMOBIL,8,6
GRAPHIC PACKAGING HOLDING,8,6
WASTE MANAGEMENT,8,6
WESTROCK,8,6
REGIONS FINANCIAL,9,6
STATE STREET CORP.,9,6
VISA,9,6
LIBERTY MEDIA,10,6
NAVIENT,10,6
MARSH & MCLENNAN,11,6
USAA,11,6
