company_clean,subsidiary_name,company_clean_client
CVS HEALTH,Banner Health and Aetna Health Insurance Holding Company LLC (Delaware),
CVS HEALTH,Banner Health and Aetna Health Insurance Company (Arizona),
CVS HEALTH,Banner Health and Aetna Health Plan Inc. (Arizona),
CVS HEALTH,Sutter Health and Aetna Insurance Holding Company LLC (Delaware),
CVS HEALTH,Sutter Health and Aetna Administrative Services LLC (California),
CVS HEALTH,Sutter Health and Aetna Insurance Company (California),
CVS HEALTH,Allina Health and Aetna Insurance Holding Company LLC (Delaware),
CVS HEALTH,Allina Health and Aetna Insurance Company (Minnesota),
CVS HEALTH,Allina Health and Aetna Health Plan Inc. (Minnesota),
CVS HEALTH,Aetna International LLC. (Connecticut),
CVS HEALTH,Aetna Life & Casualty (Bermuda) Ltd. (Bermuda),
CVS HEALTH,Aetna Global Benefits (Middle East) LLC (UAE),
CVS HEALTH,Aetna Insurance Company Limited (England and Wales),
CVS HEALTH,Aetna Health Company of Europe DAC (Ireland),
CVS HEALTH,Aetna (Shanghai) Enterprise Services Co. Ltd. (China),
CVS HEALTH,"PE Holdings, LLC (Connecticut)",
CVS HEALTH,Aetna Resources LLC (Delaware),
CVS HEALTH,"Canal Place, LLC (Delaware)",
CVS HEALTH,"Aetna Ventures, LLC (Delaware)",
CVS HEALTH,Phoenix Data Solutions LLC (Delaware),
CVS HEALTH,"Aetna Financial Holdings, LLC (Delaware)",
CVS HEALTH,"Aetna Asset Advisors, LLC (Delaware)",
CVS HEALTH,Aetna Equity Fund LLC (Delaware),
CVS HEALTH,"U.S. Healthcare Properties, Inc. (Pennsylvania)",
CVS HEALTH,"Aetna Workers’ Comp Access, LLC (Delaware)",
CVS HEALTH,"Managed Care Coordinators, Inc. (Delaware)",
CVS HEALTH,"Aetna Capital Management, LLC (Delaware)",
CVS HEALTH,"Aetna Partners Diversified Fund, LLC (Delaware)",
CVS HEALTH,"Aetna Behavioral Health, LLC (Delaware)",
CVS HEALTH,"Horizon Behavioral Services, LLC (Delaware)",
CVS HEALTH,"Health and Human Resource Center, Inc. (California)",
CVS HEALTH,Employee Assistance Services LLC (Kentucky),
CVS HEALTH,"Resources for Living, LLC (Texas)",
CVS HEALTH,"Work and Family Benefits, Inc. (New Jersey)",
CVS HEALTH,The Vasquez Group Inc. (Illinois),
CVS HEALTH,Aetna Health and Life Insurance Company (Connecticut),
CVS HEALTH,Aetna Health Insurance Company (Pennsylvania),
CVS HEALTH,Aetna Health Insurance Company of New York (New York),
CVS HEALTH,Aetna Corporate Services LLC (Delaware),
CVS HEALTH,"Echo Merger Sub, Inc. (Delaware)",
CVS HEALTH,"AUSHC Holdings, Inc. (Connecticut)",
CVS HEALTH,PHPSNE Parent Corporation (Delaware),
CVS HEALTH,"Active Health Management, Inc. (Delaware)",
CVS HEALTH,"Health Data & Management Solutions, Inc. (Delaware)",
CVS HEALTH,"Health Re, Inc. (Vermont)",
CVS HEALTH,"ASI Wings, LLC (Delaware)",
CVS HEALTH,"CVS Pharmacy, Inc. (continued)",
CVS HEALTH,ACS ACQCO CORP. (Delaware),
CVS HEALTH,"Advanced Care Scripts, Inc. (Florida)",
CVS HEALTH,Caremark PBM Resources LLC (Delaware),
CVS HEALTH,"Caremark Arizona Mail Pharmacy, LLC (Arizona)",
CVS HEALTH,"Caremark Florida Mail Pharmacy, LLC (Florida)",
CVS HEALTH,"Caremark Florida Specialty Pharmacy, LLC (Florida)",
CVS HEALTH,"Caremark Illinois Mail Pharmacy, LLC (Illinois)",
CVS HEALTH,"Caremark Illinois Specialty Pharmacy, LLC (Illinois)",
CVS HEALTH,"Caremark Kansas Specialty Pharmacy, LLC (Kansas)",
CVS HEALTH,"Caremark Michigan Specialty Pharmacy, LLC (Michigan)",
CVS HEALTH,"Caremark New Jersey Specialty Pharmacy, LLC (New Jersey)",
CVS HEALTH,"Caremark North Carolina Specialty Pharmacy, LLC (North Carolina)",
CVS HEALTH,"Caremark Tennessee Specialty Pharmacy, LLC (Tennessee)",
CVS HEALTH,"Caremark Texas Mail Pharmacy, LLC (Texas)",
CVS HEALTH,"Central Rx Services, LLC (Nevada)",
CVS HEALTH,"I.g.G. of America, LLC (Maryland)",
CVS HEALTH,"NovoLogix, LLC (Delaware)",
CVS HEALTH,Coram LLC (Delaware),
CVS HEALTH,"T2 Medical, Inc. (Delaware)",
CVS HEALTH,Coram Healthcare Corporation of Florida (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Greater D.C. (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Greater New York (New York),
CVS HEALTH,Coram Healthcare Corporation of Mississippi (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Nevada (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Northern California (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Southern California (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Southern Florida (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Utah (Delaware),
CVS HEALTH,Coram Healthcare Corporation of Massachusetts (Delaware),
CVS HEALTH,"Coram Alternate Site Services, Inc. (Delaware)",
CVS HEALTH,"Part D Holding Company, L.L.C. (Delaware)",
CVS HEALTH,Accendo Insurance Company (Utah),
CVS HEALTH,Silverscript Insurance Company (Tennessee),
CVS HEALTH,"Coram Clinical Trials, Inc. (Delaware)*",
CVS HEALTH,CVS Cabot Holdings Inc. (Delaware)*,
CVS HEALTH,CVS Shaw Holdings Inc. (Delaware)*,
CVS HEALTH,"Omnicare, LLC (Delaware)*",
CVS HEALTH,"*Coram Clinical Trials, Inc. – CVS Pharmacy, Inc. 75%/Aetna Life Insurance Company 25%",
CVS HEALTH,"CVS Cabot Holdings, Inc. – Coram Clinical Trials, Inc. 99.72%/Aetna Inc. .28%",
CVS HEALTH,"*CVS Shaw Holdings, Inc. – Coram Clinical Trials, Inc. 99.72%/Aetna Inc. .28%",
CVS HEALTH,"*Omnicare, LLC – Aetna Inc .28%/CVS Cabot Holdings, Inc. 49.86%/CVS Shaw Holdings, Inc. 49.86%",
CVS HEALTH,"Omnicare, LLC (continued)",
CVS HEALTH,"Evergreen Pharmaceutical of California, LLC (California)",
CVS HEALTH,"JHC Acquisition, LLC (Delaware)",
CVS HEALTH,"Geneva Woods Pharmacy, LLC (Alaska)",
CVS HEALTH,"Geneva Woods Pharmacy Wyoming, LLC (Delaware)",
CVS HEALTH,"Geneva Woods Pharmacy Washington, LLC (Delaware)",
CVS HEALTH,"AMC - Tennessee, LLC (Delaware)",
CVS HEALTH,"CHP Acquisition, LLC (Delaware)",
CVS HEALTH,"Home Pharmacy Services, LLC (Missouri)",
CVS HEALTH,"CP Acquisition, LLC (Oklahoma)",
CVS HEALTH,"Managed Healthcare, LLC (Delaware)",
CVS HEALTH,"Medical Arts Health Care, LLC (Georgia)",
CVS HEALTH,"NIV Acquisition, LLC (Delaware)",
CVS HEALTH,"OCR Services, LLC (Delaware)",
CVS HEALTH,"Shore Pharmaceutical Providers, LLC (Delaware)",
CVS HEALTH,"Omnicare of Nevada, LLC (Delaware)",
CVS HEALTH,"Omnicare Pharmacies of the Great Plains Holding, LLC (Delaware)",
CVS HEALTH,Omnicare of Nebraska LLC (Delaware),
CVS HEALTH,"Pharmacy Associates of Glenn Falls, LLC (New York)",
CVS HEALTH,"Sterling Healthcare Services, LLC (Delaware)",
CVS HEALTH,"Superior Care Pharmacy, LLC (Delaware)",
CVS HEALTH,"TCPI Acquisition, LLC (Delaware)",
CVS HEALTH,"UC Acquisition, LLC (Delaware)",
CVS HEALTH,Weber Medical Systems LLC (Delaware),
CVS HEALTH,"Williamson Drug Company, LLC (Virginia)",
CVS HEALTH,"MHHP Acquisition Company, LLC (Delaware)",
CVS HEALTH,"NeighborCare Pharmacy Services, LLC (Delaware)",
CVS HEALTH,APS Acquisition LLC (Delaware),
CVS HEALTH,"ASCO HealthCare, LLC (Maryland)",
CVS HEALTH,Badger Acquisition LLC (Delaware),
CVS HEALTH,Badger Acquisition of Minnesota LLC (Delaware),
CVS HEALTH,"Merwin Long Term Care, LLC (Minnesota)",
CVS HEALTH,Badger Acquisition of Kentucky LLC (Delaware),
CVS HEALTH,"Care Pharmaceutical Services, LP (Delaware)",
CVS HEALTH,"CCRx Holdings, LLC (Delaware)",
CVS HEALTH,"Continuing Care Rx, LLC (Pennsylvania)",
CVS HEALTH,CCRx of North Carolina LLC (Delaware),
CVS HEALTH,"Compscript, LLC (Florida)",
CVS HEALTH,"Campo’s Medical Pharmacy, LLC (Louisiana)",
CVS HEALTH,D & R Pharmaceutical Services LLC (Kentucky),
CVS HEALTH,"Enloe Drugs, LLC (Delaware)",
CVS HEALTH,"Evergreen Pharmaceutical, LLC (Washington)",
CVS HEALTH,"Home Care Pharmacy, LLC (Delaware)",
CVS HEALTH,"Interlock Pharmacy Systems, LLC (Missouri)",
CVS HEALTH,"Langsam Health Services, LLC (Delaware)",
CVS HEALTH,"LCPS Acquisition, LLC (Delaware)",
CVS HEALTH,Omnicare Pharmacy of Tennessee LLC (Delaware),
CVS HEALTH,"Lobos Acquisition, LLC (Delaware)",
CVS HEALTH,"Lo-Med Prescription Services, LLC (Ohio)",
CVS HEALTH,"ZS Acquisition Company, LLC (Delaware)",
CVS HEALTH,"NCS Healthcare of Illinois, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of Iowa, LLC (Ohio)",
CVS HEALTH,"Martin Health Services, LLC (Delaware)",
CVS HEALTH,"NCS Healthcare of Kansas, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of Kentucky, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of Montana, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of New Mexico, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of South Carolina, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of Tennessee, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of Ohio, LLC (Ohio)",
CVS HEALTH,"NCS Healthcare of Wisconsin, LLC (Ohio)",
CVS HEALTH,North Shore Pharmacy Services LLC (Delaware),
CVS HEALTH,Omnicare Indiana Partnership Holding Company LLC (Delaware),
CVS HEALTH,"Omnicare of New York, LLC (Delaware)",
CVS HEALTH,"NeighborCare of Indiana, LLC (Indiana)",
CVS HEALTH,"Grandview Pharmacy, LLC (Indiana)",
