source,target,weight
3M,ABBVIE,0.002323112697798982
3M,AECOM,0.08590750781249999
3M,AMAZON,0.028420503273660552
3M,AMGEN,0.0008434787565746729
3M,APPLIED MATERIALS,0.038689875
3M,BALL,0.17283312105389695
3M,BECTON DICKINSON,0.1045416123032459
3M,BOEING,0.02687791804884686
3M,BOSTON SCIENTIFIC,0.0156601875
3M,BRISTOL-MYERS SQUIBB,0.0008434787565746729
3M,CARDINAL HEALTH,0.008081775334821427
3M,CATERPILLAR,0.1045416123032459
3M,CENTENE,0.0026655883034573126
3M,CHEVRON,0.03740799622029297
3M,CIGNA,0.0032915836385194537
3M,CORNING,0.021042900167952655
3M,CUMMINS,0.008009586700713443
3M,CVS HEALTH,0.0013449616506389249
3M,DELTA AIR LINES,0.1207520454949879
3M,DUKE ENERGY,0.008407955868630142
3M,DUPONT DE NEMOURS,0.059039746774470894
3M,ECOLAB,0.074814875
3M,EXXONMOBIL,0.11649715776878412
3M,FLUOR,0.0110926328125
3M,GENERAL DYNAMICS,0.07295812105389696
3M,GENERAL ELECTRIC,0.05414807345236153
3M,HEWLETT PACKARD ENTERPRISE,0.055535931510427246
3M,HONEYWELL INTERNATIONAL,0.08945951247119857
3M,HUMANA,0.005028457592489225
3M,IBM,0.02687791804884686
3M,JACOBS ENGINEERING GROUP,0.097000140625
3M,LABORATORY CORP. OF AMERICA,0.1045416123032459
3M,LEIDOS HOLDINGS,0.07691468319591262
3M,LOCKHEED MARTIN,0.06700894793448049
3M,LUMEN TECHNOLOGIES,0.0110926328125
3M,MOTOROLA SOLUTIONS,0.008015762944899087
3M,NORTHROP GRUMMAN,0.0751136621064918
3M,ORACLE,0.05154582996577653
3M,PG&E,0.04750327857234326
3M,PHILLIPS 66,0.17944667226956523
3M,PPG INDUSTRIES,0.04117379843323434
3M,RAYTHEON,0.05148248514890421
3M,TEXAS INSTRUMENTS,0.019174408147321426
3M,TEXTRON,0.074814875
3M,THERMO FISHER SCIENTIFIC,0.025185228552594866
3M,UNION PACIFIC,0.004746684627243325
3M,UNITED TECHNOLOGIES,0.0684166123032459
3M,VERIZON,0.014880647753786006
3M,XCEL ENERGY,0.046276955296771734
ABBOTT LABORATORIES,ARCHER DANIELS MIDLAND,0.15000000000000002
ABBOTT LABORATORIES,DEERE,0.099875
ABBOTT LABORATORIES,LAND O'LAKES,0.24987500000000004
ABBOTT LABORATORIES,PEPSICO,0.036125
ABBVIE,AMGEN,0.3378218448883604
ABBVIE,APPLIED MATERIALS,0.288564875
ABBVIE,BALL,0.004541508750651042
ABBVIE,BECTON DICKINSON,0.010552329155924479
ABBVIE,BEST BUY,0.15000000000000002
ABBVIE,BOEING,0.18656282604137267
ABBVIE,BORGWARNER,0.21375000000000005
ABBVIE,BRISTOL-MYERS SQUIBB,0.006056154287798069
ABBVIE,CATERPILLAR,0.31829161230324593
ABBVIE,CBS,0.00396436374167789
ABBVIE,CENTENE,0.006056154287798069
ABBVIE,CIGNA,0.006056154287798069
ABBVIE,CITIGROUP,0.2996575078125
ABBVIE,CORNING,0.012792204459301846
ABBVIE,COSTCO,0.15000000000000002
ABBVIE,CVS HEALTH,0.007083850983106911
ABBVIE,DEERE,0.2729046875
ABBVIE,DELL TECHNOLOGIES,0.32176586649749395
ABBVIE,DELTA AIR LINES,0.008015762944899087
ABBVIE,FACEBOOK,0.3244505174657766
ABBVIE,GENERAL DYNAMICS,0.004541508750651042
ABBVIE,GENERAL ELECTRIC,0.3315343684488835
ABBVIE,GOLDMAN SACHS GROUP,0.24987500000000004
ABBVIE,HARTFORD FINANCIAL SERVICES,0.3305066717535747
ABBVIE,HCA HEALTHCARE,0.00396436374167789
ABBVIE,HONEYWELL INTERNATIONAL,0.32654230801189676
ABBVIE,HUMANA,0.021739691910944332
ABBVIE,IBM,0.006056154287798069
ABBVIE,JOHNSON & JOHNSON,0.1382336560071492
ABBVIE,LEIDOS HOLDINGS,0.01675656820097974
ABBVIE,LOCKHEED MARTIN,0.01675656820097974
ABBVIE,MAGELLAN HEALTH,0.006010820405273437
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.24987500000000004
ABBVIE,METLIFE,0.21375000000000005
ABBVIE,MICROSOFT,0.3305066717535747
ABBVIE,NATIONWIDE,0.3305066717535747
ABBVIE,NEXTERA ENERGY,0.288564875
ABBVIE,NORTHROP GRUMMAN,0.004541508750651042
ABBVIE,ORACLE,0.010700413913181668
ABBVIE,OWENS-ILLINOIS,0.15000000000000002
ABBVIE,PPG INDUSTRIES,0.3452078465639367
ABBVIE,PPL,0.014433455503180755
ABBVIE,PRUDENTIAL FINANCIAL,0.3305066717535747
ABBVIE,RAYTHEON,0.00396436374167789
ABBVIE,RITE AID,0.24987500000000004
ABBVIE,THERMO FISHER SCIENTIFIC,0.006010820405273437
ABBVIE,UNION PACIFIC,0.00396436374167789
ABBVIE,W.R. BERKLEY,0.24987500000000004
ABBVIE,WALMART,0.038689875
ABBVIE,WESCO INTERNATIONAL,0.15000000000000002
ABBVIE,WESTERN UNION,0.24987500000000004
ABBVIE,WESTROCK,0.004541508750651042
ADP,HOME DEPOT,0.036125
AECOM,APPLIED MATERIALS,0.11350475
AECOM,BALL,0.385565015625
AECOM,BERKSHIRE HATHAWAY,0.0497825078125
AECOM,CHEMOURS,0.21375000000000005
AECOM,CISCO SYSTEMS,0.12290468750000001
AECOM,CORNING,0.08590750781249999
AECOM,DELTA AIR LINES,0.13569001562500002
AECOM,EXXONMOBIL,0.1496575078125
AECOM,FEDEX,0.038689875
AECOM,FLUOR,0.2996575078125
AECOM,GENERAL DYNAMICS,0.36053264843750005
AECOM,GENERAL ELECTRIC,0.0497825078125
AECOM,GRAPHIC PACKAGING HOLDING,0.08590750781249999
AECOM,HONEYWELL INTERNATIONAL,0.13569001562500002
AECOM,HUMANA,0.0110926328125
AECOM,JACOBS ENGINEERING GROUP,0.23556501562499998
AECOM,JETBLUE AIRWAYS,0.24987500000000004
AECOM,LABORATORY CORP. OF AMERICA,0.08590750781249999
AECOM,LEIDOS HOLDINGS,0.22619283593750003
AECOM,LOCKHEED MARTIN,0.176410328125
AECOM,LUMEN TECHNOLOGIES,0.0267528203125
AECOM,MICRON TECHNOLOGY,0.099875
AECOM,MOTOROLA SOLUTIONS,0.1496575078125
AECOM,NCR,0.21375000000000005
AECOM,NEXTERA ENERGY,0.074814875
AECOM,NORTHROP GRUMMAN,0.3761928359375
AECOM,ORACLE,0.112660328125
AECOM,OSHKOSH,0.136
AECOM,PPG INDUSTRIES,0.06087514062499999
AECOM,PUBLIC SERVICE ENTERPRISE GROUP,0.0267528203125
AECOM,RAYTHEON,0.06087514062499999
AECOM,TEXTRON,0.36337975000000006
AECOM,THERMO FISHER SCIENTIFIC,0.0497825078125
AECOM,UNITED AIRLINES HOLDINGS,0.038689875
AECOM,UNITED TECHNOLOGIES,0.13569001562500002
AECOM,USAA,0.12290468750000001
AECOM,VERIZON,0.076535328125
AECOM,WESTROCK,0.08590750781249999
AIG,ALLSTATE,0.3244505174657766
AIG,AMERIPRISE FINANCIAL,0.33515093137895824
AIG,BANK OF AMERICA,0.082184375
AIG,BLACKROCK,0.25172856629464285
AIG,CHARLES SCHWAB,0.099875
AIG,FORD,0.4017285662946429
AIG,JPMORGAN CHASE & CO.,0.09398928314732143
AIG,LINCOLN NATIONAL,0.25171068589983564
AIG,MUTUAL OF OMAHA INSURANCE,0.074814875
AIG,NEW YORK LIFE INSURANCE,0.074814875
AIG,NORTHERN TRUST,0.036125
AIG,NORTHWESTERN MUTUAL,0.0168593190757123
AIG,PNC FINANCIAL SERVICES,0.075365120691742
AIG,PRINCIPAL FINANCIAL,0.3244505174657766
AIG,PRUDENTIAL FINANCIAL,0.19116175178423164
AIG,RAYTHEON,0.11070051746577653
AIG,TIAA,0.38215525259408367
AIG,UNITED TECHNOLOGIES,0.1045416123032459
AIG,USAA,0.0591546875
ALASKA AIR GROUP,AMAZON,0.0012954160024901385
ALASKA AIR GROUP,AMERICAN AIRLINES GROUP,0.387092787487122
ALASKA AIR GROUP,BECTON DICKINSON,0.018634104490745904
ALASKA AIR GROUP,BOEING,0.32947897505826584
ALASKA AIR GROUP,CAPITAL ONE FINANCIAL,0.008081775334821427
ALASKA AIR GROUP,CARDINAL HEALTH,0.008081775334821427
ALASKA AIR GROUP,CUMMINS,0.0012954160024901385
ALASKA AIR GROUP,DELL TECHNOLOGIES,0.022108358684993952
ALASKA AIR GROUP,DELTA AIR LINES,0.003474254194248047
ALASKA AIR GROUP,FACEBOOK,0.010700413913181668
ALASKA AIR GROUP,FEDEX,0.288564875
ALASKA AIR GROUP,GENERAL MOTORS,0.0077131085607718055
ALASKA AIR GROUP,HOLLYFRONTIER,0.15000000000000002
ALASKA AIR GROUP,JOHNSON & JOHNSON,0.011187362755019853
ALASKA AIR GROUP,LEIDOS HOLDINGS,0.011187362755019853
ALASKA AIR GROUP,PNC FINANCIAL SERVICES,0.014026583350172525
ALASKA AIR GROUP,UNITED AIRLINES HOLDINGS,0.0156601875
ALASKA AIR GROUP,WEYERHAEUSER,0.21375000000000005
ALLSTATE,AMAZON,0.025809810191668753
ALLSTATE,AMERICAN FAMILY INSURANCE GROUP,0.12667406167187795
ALLSTATE,AMERIPRISE FINANCIAL,0.3753971657352335
ALLSTATE,AT&T,0.013124781958608802
ALLSTATE,BLACKROCK,0.1577392831473214
ALLSTATE,BOEING,0.000346510563259192
ALLSTATE,CBS,0.1766999630663716
ALLSTATE,FORD,0.30773928314732146
ALLSTATE,FOX CORP,0.0325812244401673
ALLSTATE,HARTFORD FINANCIAL SERVICES,0.023088273705892736
ALLSTATE,HEWLETT PACKARD ENTERPRISE,0.0833972395455294
ALLSTATE,IBM,0.006555554008248822
ALLSTATE,LINCOLN NATIONAL,0.17445051746577653
ALLSTATE,LOCKHEED MARTIN,0.002323112697798982
ALLSTATE,MICROSOFT,0.002323112697798982
ALLSTATE,NATIONWIDE,0.022460061384876707
ALLSTATE,NORTHWESTERN MUTUAL,0.0474856921144282
ALLSTATE,PRINCIPAL FINANCIAL,0.34026089296326134
ALLSTATE,PRUDENTIAL FINANCIAL,0.18924747700965525
ALLSTATE,TIAA,0.3365628260413727
ALLSTATE,VERIZON,0.006875100091872303
ALLY FINANCIAL,AMERICAN EXPRESS,0.15000000000000002
ALLY FINANCIAL,VISA,0.15000000000000002
ALPHABET,AMAZON,0.31829161230324593
ALPHABET,APPLIED MATERIALS,0.138564875
ALPHABET,AT&T,0.0751136621064918
ALPHABET,CISCO SYSTEMS,0.2729046875
ALPHABET,COGNIZANT TECHNOLOGY SOLUTIONS,0.2729046875
ALPHABET,COMCAST,0.06375
ALPHABET,CUMMINS,0.3288439414591704
ALPHABET,FACEBOOK,0.26643496190973776
ALPHABET,HEWLETT PACKARD ENTERPRISE,0.3288439414591704
ALPHABET,IHEARTMEDIA,0.05400900379464285
ALPHABET,INTEL,0.288564875
ALPHABET,LUMEN TECHNOLOGIES,0.1496575078125
ALPHABET,MICROSOFT,0.17283312105389695
ALPHABET,ORACLE,0.4865832246064918
ALPHABET,PRINCIPAL FINANCIAL,0.17283312105389695
ALPHABET,SALESFORCE,0.21375000000000005
ALPHABET,TEXAS INSTRUMENTS,0.30773928314732146
ALPHABET,VERIZON,0.16829161230324588
ALTRIA GROUP,COCA-COLA,0.1127923080118967
ALTRIA GROUP,MOLSON COORS BEVERAGE,0.0591546875
