fortune_name,community_rbo,quarter
AIG,0,3
ALLSTATE,0,3
ALLY FINANCIAL,0,3
AMERICAN EXPRESS,0,3
AMERICAN FAMILY INSURANCE GROUP,0,3
AMERIPRISE FINANCIAL,0,3
BANK OF AMERICA,0,3
BANK OF NEW YORK MELLON,0,3
BLACKROCK,0,3
CAPITAL ONE FINANCIAL,0,3
CHARLES SCHWAB,0,3
CONSTELLATION BRANDS,0,3
EVERSOURCE ENERGY,0,3
FIFTH THIRD BANCORP,0,3
FORD,0,3
JPMORGAN CHASE & CO.,0,3
KELLOGG,0,3
KEYCORP,0,3
LIBERTY MUTUAL INSURANCE GROUP,0,3
LINCOLN NATIONAL,0,3
MARSH & MCLENNAN,0,3
MUTUAL OF OMAHA INSURANCE,0,3
NEW YORK LIFE INSURANCE,0,3
NORTHERN TRUST,0,3
NORTHWESTERN MUTUAL,0,3
PNC FINANCIAL SERVICES,0,3
PRINCIPAL FINANCIAL,0,3
PUBLIX SUPER MARKETS,0,3
RAYTHEON,0,3
REGIONS FINANCIAL,0,3
STATE STREET CORP.,0,3
SYNCHRONY FINANCIAL,0,3
TIAA,0,3
U.S. BANCORP,0,3
UNITED TECHNOLOGIES,0,3
USAA,0,3
VISA,0,3
WELLS FARGO,0,3
AECOM,1,3
AIR PRODUCTS & CHEMICALS,1,3
ARAMARK,1,3
BALL,1,3
CENTERPOINT ENERGY,1,3
CHEMOURS,1,3
CHEVRON,1,3
CONSOLIDATED EDISON,1,3
CORNING,1,3
DAVITA,1,3
DELTA AIR LINES,1,3
ENERGY TRANSFER,1,3
ENTERGY,1,3
FLUOR,1,3
GENERAL DYNAMICS,1,3
GILEAD SCIENCES,1,3
GRAPHIC PACKAGING HOLDING,1,3
HOLLYFRONTIER,1,3
HUNTSMAN,1,3
JACOBS ENGINEERING GROUP,1,3
JETBLUE AIRWAYS,1,3
LEIDOS HOLDINGS,1,3
LOCKHEED MARTIN,1,3
MICRON TECHNOLOGY,1,3
NCR,1,3
NORTHROP GRUMMAN,1,3
OSHKOSH,1,3
POLARIS INC,1,3
TEXTRON,1,3
THERMO FISHER SCIENTIFIC,1,3
WESTROCK,1,3
ABBVIE,2,3
APPLIED MATERIALS,2,3
BEST BUY,2,3
BOEING,2,3
BORGWARNER,2,3
CATERPILLAR,2,3
CITIGROUP,2,3
COSTCO,2,3
DELL TECHNOLOGIES,2,3
DISCOVER FINANCIAL SERVICES,2,3
FACEBOOK,2,3
GENERAL ELECTRIC,2,3
GOLDMAN SACHS GROUP,2,3
HARTFORD FINANCIAL SERVICES,2,3
HONEYWELL INTERNATIONAL,2,3
HP,2,3
IBM,2,3
MASSACHUSETTS MUTUAL LIFE INSURANCE,2,3
MCKESSON,2,3
METLIFE,2,3
NATIONWIDE,2,3
NEXTERA ENERGY,2,3
OWENS CORNING,2,3
OWENS-ILLINOIS,2,3
PEABODY ENERGY,2,3
PPG INDUSTRIES,2,3
