fortune_name,community_rbo,quarter
AECOM,0,7
AES,0,7
AFLAC,0,7
AMERICAN ELECTRIC POWER,0,7
AMERICAN FAMILY INSURANCE GROUP,0,7
ARTHUR J. GALLAGHER,0,7
BALL,0,7
BERKSHIRE HATHAWAY,0,7
BOEING,0,7
CELANESE,0,7
CHEVRON,0,7
CISCO SYSTEMS,0,7
CMS ENERGY,0,7
CONOCOPHILLIPS,0,7
CSX,0,7
DELL TECHNOLOGIES,0,7
DELTA AIR LINES,0,7
DISCOVER FINANCIAL SERVICES,0,7
DISH NETWORK,0,7
DTE ENERGY,0,7
DUKE ENERGY,0,7
EBAY,0,7
ELI LILLY,0,7
ENTERGY,0,7
EXELON,0,7
FEDEX,0,7
FIRSTENERGY,0,7
JACOBS ENGINEERING GROUP,0,7
KRAFT HEINZ,0,7
L3HARRIS TECHNOLOGIES,0,7
LEIDOS HOLDINGS,0,7
LIVE NATION ENTERTAINMENT,0,7
LOEWS,0,7
LUMEN TECHNOLOGIES,0,7
MARRIOTT INTERNATIONAL,0,7
MARSH & MCLENNAN,0,7
NIKE,0,7
NORFOLK SOUTHERN,0,7
NORTHERN TRUST,0,7
NORTHROP GRUMMAN,0,7
PEABODY ENERGY,0,7
PG&E,0,7
PNC FINANCIAL SERVICES,0,7
PPL,0,7
QUANTA SERVICES,0,7
RAYTHEON,0,7
SOUTHERN,0,7
SOUTHWEST AIRLINES,0,7
STATE FARM INSURANCE,0,7
STATE STREET CORP.,0,7
TEXTRON,0,7
UNION PACIFIC,0,7
USAA,0,7
VISA,0,7
XCEL ENERGY,0,7
3M,1,7
ADVANCED MICRO DEVICES,1,7
AMEREN,1,7
BOOZ ALLEN HAMILTON,1,7
CENTERPOINT ENERGY,1,7
CHEMOURS,1,7
CORNING,1,7
CUMMINS,1,7
DUPONT DE NEMOURS,1,7
ECOLAB,1,7
EDISON INTERNATIONAL,1,7
EXXONMOBIL,1,7
FORD,1,7
GENERAL MOTORS,1,7
GRAPHIC PACKAGING HOLDING,1,7
ILLINOIS TOOL WORKS,1,7
LOCKHEED MARTIN,1,7
MASCO,1,7
MICRON TECHNOLOGY,1,7
MOTOROLA SOLUTIONS,1,7
ONEOK,1,7
OWENS CORNING,1,7
PHILLIPS 66,1,7
PPG INDUSTRIES,1,7
PROCTER & GAMBLE,1,7
PUBLIC SERVICE ENTERPRISE GROUP,1,7
SEMPRA ENERGY,1,7
SHERWIN-WILLIAMS,1,7
TESLA,1,7
WESTROCK,1,7
WHIRLPOOL,1,7
ADP,2,7
ARAMARK,2,7
BECTON DICKINSON,2,7
BEST BUY,2,7
BOSTON SCIENTIFIC,2,7
DANAHER,2,7
FLUOR,2,7
GILEAD SCIENCES,2,7
HONEYWELL INTERNATIONAL,2,7
HP,2,7
INTERNATIONAL PAPER,2,7
KIMBERLY-CLARK,2,7
KROGER,2,7
LABORATORY CORP. OF AMERICA,2,7
LIBERTY MUTUAL INSURANCE GROUP,2,7
LOWE'S,2,7
MARATHON OIL,2,7
MCDONALD'S,2,7
MCKESSON,2,7
MUTUAL OF OMAHA INSURANCE,2,7
POLARIS INC,2,7
QUEST DIAGNOSTICS,2,7
SYSCO,2,7
TARGET,2,7
THERMO FISHER SCIENTIFIC,2,7
UNITED AIRLINES HOLDINGS,2,7
WALMART,2,7
WEYERHAEUSER,2,7
ALASKA AIR GROUP,3,7
ALLY FINANCIAL,3,7
AMERICAN AIRLINES GROUP,3,7
AMERICAN EXPRESS,3,7
AMERIPRISE FINANCIAL,3,7
BANK OF AMERICA,3,7
CAPITAL ONE FINANCIAL,3,7
CITIGROUP,3,7
FIFTH THIRD BANCORP,3,7
GENERAL DYNAMICS,3,7
HERSHEY,3,7
HILTON WORLDWIDE HOLDINGS,3,7
HOLLYFRONTIER,3,7
HUMANA,3,7
JPMORGAN CHASE & CO.,3,7
KEYCORP,3,7
MAGELLAN HEALTH,3,7
NAVISTAR INTERNATIONAL,3,7
PRINCIPAL FINANCIAL,3,7
SYNCHRONY FINANCIAL,3,7
TENET HEALTHCARE,3,7
WALGREENS BOOTS ALLIANCE,3,7
WESTERN UNION,3,7
ABBVIE,4,7
AIG,4,7
ALLSTATE,4,7
APPLIED MATERIALS,4,7
CHS,4,7
FACEBOOK,4,7
GENWORTH FINANCIAL,4,7
GOLDMAN SACHS GROUP,4,7
HARTFORD FINANCIAL SERVICES,4,7
IBM,4,7
MASSACHUSETTS MUTUAL LIFE INSURANCE,4,7
METLIFE,4,7
NATIONWIDE,4,7
NEXTERA ENERGY,4,7
NORTHWESTERN MUTUAL,4,7
PRUDENTIAL FINANCIAL,4,7
TIAA,4,7
W.R. BERKLEY,4,7
ALPHABET,5,7
AMAZON,5,7
AT&T,5,7
CBS,5,7
CHARTER COMMUNICATIONS,5,7
COGNIZANT TECHNOLOGY SOLUTIONS,5,7
FOX CORP,5,7
HEWLETT PACKARD ENTERPRISE,5,7
IHEARTMEDIA,5,7
INTUIT,5,7
MICROSOFT,5,7
ORACLE,5,7
SALESFORCE,5,7
STANLEY BLACK & DECKER,5,7
TEXAS INSTRUMENTS,5,7
VERIZON,5,7
ABBOTT LABORATORIES,6,7
AMERISOURCEBERGEN,6,7
AMGEN,6,7
BIOGEN,6,7
BLACKSTONE GROUP,6,7
BRISTOL-MYERS SQUIBB,6,7
CARDINAL HEALTH,6,7
CENTENE,6,7
CIGNA,6,7
CVS HEALTH,6,7
GENERAL ELECTRIC,6,7
HCA HEALTHCARE,6,7
JOHNSON & JOHNSON,6,7
MERCK,6,7
MOLINA HEALTHCARE,6,7
BANK OF NEW YORK MELLON,7,7
COCA-COLA,7,7
CONSTELLATION BRANDS,7,7
HOME DEPOT,7,7
LIBERTY MEDIA,7,7
LINCOLN NATIONAL,7,7
NAVIENT,7,7
PEPSICO,7,7
PUBLIX SUPER MARKETS,7,7
U.S. BANCORP,7,7
WELLS FARGO,7,7
GOODYEAR TIRE & RUBBER,8,7
HUNTSMAN,8,7
OSHKOSH,8,7
ALTRIA GROUP,9,7
MOLSON COORS BEVERAGE,9,7
S&P GLOBAL,9,7
CHARLES SCHWAB,10,7
YUM CHINA HOLDINGS,10,7
CAMPBELL SOUP,11,7
GAP,11,7
