firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
SANMINA,0,0.008446,-1.8362,0.3074,0.000781,peripheral
CONSOLIDATED EDISON,0,0.008446,-1.8362,0.3074,0.000781,peripheral
JABIL,0,0.008446,-1.8362,0.3074,0.000781,peripheral
XPO LOGISTICS,2,0.008303,-2.7578,0.7092,0.000603,non_hub_connector
WINDSTREAM HOLDINGS,0,0.005306,-2.0239,0.5568,0.000602,peripheral
CLOROX,2,0.003049,-2.8685,0.1978,0.000615,peripheral
COLGATE-PALMOLIVE,2,0.003049,-2.8685,0.1978,0.000615,peripheral
NVR,1,0.002478,-2.7698,0.3704,0.000481,peripheral
NETAPP,0,0.001985,-2.1187,0.6584,0.000549,non_hub_connector
WYNN RESORTS,0,0.000844,-2.1673,0.0,0.000456,ultra_peripheral
