client_name,community_aff,community_bc,stability,degree_aff,degree_bc,intra_edges_aff,cross_edges_aff,participation_aff,intra_edges_bc,cross_edges_bc,participation_bc
NAVIENT,0,4.0,cross-community,17,1.1934177108505937,9.0,8.0,0.5882,0.1879,1.0055,0.7036
NAVISTAR INTERNATIONAL,3,3.0,stable,57,6.297669861831335,38.0,19.0,0.5109,4.0809,2.2168,0.5133
NCR,4,1.0,cross-community,8,0.3312562208304806,2.0,6.0,0.7188,0.2013,0.13,0.5349
NETFLIX,0,1.0,cross-community,1,0.011217138279259471,1.0,0.0,0.0,0.0112,0.0,0.0
NEW YORK LIFE INSURANCE,1,1.0,stable,133,11.147976236255897,119.0,14.0,0.1962,9.7505,1.3975,0.2305
NEXTERA ENERGY,2,2.0,stable,197,12.115945632188641,119.0,78.0,0.5799,6.488,5.6279,0.6341
NIKE,4,0.0,cross-community,54,5.6110499308812845,15.0,39.0,0.7112,3.7403,1.8707,0.5257
NORFOLK SOUTHERN,0,0.0,stable,266,25.936454061282152,161.0,105.0,0.5768,14.1814,11.7551,0.6206
NORTHERN TRUST,1,1.0,stable,117,11.45601329833801,90.0,27.0,0.3885,8.6801,2.7759,0.4046
NORTHROP GRUMMAN,0,0.0,stable,428,23.755291085181398,297.0,131.0,0.4754,16.6434,7.1119,0.4746
NORTHWESTERN MUTUAL,1,1.0,stable,409,34.05230448590737,291.0,118.0,0.4591,18.6152,15.4371,0.6237
NRG ENERGY,2,2.0,stable,129,8.338629664392746,121.0,8.0,0.1172,7.5713,0.7673,0.1718
NUCOR,4,4.0,stable,32,3.5081994305879447,12.0,20.0,0.6426,1.5695,1.9387,0.6288
OCCIDENTAL PETROLEUM,2,2.0,stable,12,2.203959560184751,12.0,0.0,0.0,2.1338,0.0701,0.0616
OLIN,2,2.0,stable,3,0.47961868057190804,2.0,1.0,0.4444,0.2445,0.2351,0.4998
ONEOK,2,2.0,stable,57,3.7241260935101725,33.0,24.0,0.5916,2.508,1.2162,0.4916
ORACLE,0,0.0,stable,474,35.93021328309854,316.0,158.0,0.5218,19.8674,16.0628,0.6317
OSHKOSH,0,0.0,stable,70,2.857611116520106,45.0,25.0,0.4869,2.3704,0.4872,0.2941
OWENS & MINOR,0,3.0,cross-community,2,0.1427844592688992,2.0,0.0,0.0,0.1078,0.035,0.3699
OWENS CORNING,2,2.0,stable,75,10.549254198601808,42.0,33.0,0.6176,5.602,4.9473,0.6369
PACIFIC LIFE,1,1.0,stable,233,21.6499287258251,182.0,51.0,0.373,13.9925,7.6575,0.5372
PAYPAL HOLDINGS,1,1.0,stable,77,7.222933474722351,60.0,17.0,0.3724,5.9333,1.2897,0.3152
PEABODY ENERGY,2,2.0,stable,194,20.4565646414814,87.0,107.0,0.6689,10.6741,9.7824,0.6352
PEPSICO,4,4.0,stable,69,7.707733211777095,32.0,37.0,0.6965,2.7747,4.933,0.7564
PFIZER,3,3.0,stable,509,40.9161779460323,230.0,279.0,0.6886,10.5537,30.3625,0.7457
PG&E,2,2.0,stable,619,37.68614543926261,439.0,180.0,0.4496,18.1193,19.5669,0.637
PHILLIPS 66,2,2.0,stable,247,25.05998345497448,125.0,122.0,0.6682,13.4472,11.6128,0.6356
PNC FINANCIAL SERVICES,1,1.0,stable,27,3.602633836970292,21.0,6.0,0.3704,3.0831,0.5195,0.2592
POLARIS INDUSTRIES,0,0.0,stable,54,1.968097153817398,51.0,3.0,0.1063,1.4631,0.505,0.4137
PPG INDUSTRIES,0,0.0,stable,357,34.13366316502723,196.0,161.0,0.6148,15.8716,18.2621,0.6673
PPL,2,2.0,stable,596,28.69709497121106,462.0,134.0,0.3718,14.7455,13.9516,0.6063
PRINCIPAL FINANCIAL,1,1.0,stable,323,29.761496131045735,189.0,134.0,0.5976,13.3593,16.4022,0.7006
PRUDENTIAL FINANCIAL,1,1.0,stable,203,14.335253951163178,178.0,25.0,0.2259,11.7554,2.5798,0.314
PUBLIC SERVICE ENTERPRISE GROUP,2,2.0,stable,318,26.22090115181058,192.0,126.0,0.5224,12.7536,13.4673,0.5741
