firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
CHARLES SCHWAB,0,0.16562,0.8523,0.3009,0.003759,peripheral
PHILLIPS 66,2,0.165264,0.9369,0.6356,0.006266,non_hub_connector
GENERAL MOTORS,2,0.163672,0.7853,0.6906,0.00668,non_hub_connector
DELL TECHNOLOGIES,1,0.162467,1.089,0.6843,0.008494,non_hub_connector
MOTOROLA SOLUTIONS,1,0.161727,0.9037,0.6026,0.006446,peripheral
ELI LILLY,3,0.160053,0.332,0.6204,0.003536,peripheral
MOLINA HEALTHCARE,3,0.158493,0.2416,0.377,0.00262,peripheral
ANIXTER INTERNATIONAL,2,0.157997,0.6127,0.6202,0.005816,peripheral
AMAZON,1,0.157708,0.9682,0.7025,0.008915,non_hub_connector
STATE STREET CORP.,0,0.157597,0.5638,0.4917,0.003516,peripheral
MARATHON PETROLEUM,2,0.154901,0.688,0.615,0.005201,peripheral
NORFOLK SOUTHERN,1,0.152793,0.6594,0.6206,0.005937,peripheral
KELLOGG,4,0.152135,-0.6149,0.7361,0.0017,non_hub_connector
NEW YORK LIFE INSURANCE,0,0.151419,0.7254,0.2305,0.003304,peripheral
LABORATORY CORP. OF AMERICA,3,0.149573,0.3234,0.7001,0.004838,non_hub_connector
PEABODY ENERGY,2,0.146478,0.4867,0.6352,0.004899,non_hub_connector
MICROSOFT,1,0.146196,0.7928,0.7141,0.009005,non_hub_connector
TENET HEALTHCARE,3,0.145928,0.1648,0.6708,0.003836,non_hub_connector
ALASKA AIR GROUP,1,0.143697,0.507,0.5253,0.004749,peripheral
GENWORTH FINANCIAL,0,0.142854,0.2688,0.5935,0.003608,peripheral
AT&T,2,0.140195,0.4573,0.752,0.009005,non_hub_connector
ECOLAB,2,0.138538,0.7335,0.7245,0.008343,non_hub_connector
SEMPRA ENERGY,2,0.138286,0.4714,0.6371,0.005711,non_hub_connector
TENNECO,5,0.13809,-1.6574,0.061,0.000739,peripheral
TEXTRON,1,0.13754,0.3229,0.4697,0.004185,peripheral
VALERO ENERGY,2,0.137469,0.5032,0.5759,0.00437,peripheral
APPLIED MATERIALS,1,0.13699,0.6347,0.6084,0.006388,peripheral
SYSCO,4,0.136941,-1.0233,0.0084,0.000913,ultra_peripheral
CATERPILLAR,2,0.136226,0.5084,0.746,0.008182,non_hub_connector
BERKSHIRE HATHAWAY,1,0.135688,0.4799,0.6643,0.006654,non_hub_connector
WALGREENS BOOTS ALLIANCE,3,0.135243,0.081,0.4803,0.002961,peripheral
HONEYWELL INTERNATIONAL,1,0.13433,0.4148,0.6211,0.006077,peripheral
MICRON TECHNOLOGY,1,0.132722,0.6954,0.4656,0.005405,peripheral
FEDEX,1,0.131063,0.4962,0.7019,0.006875,non_hub_connector
AMERICAN AIRLINES GROUP,1,0.12844,0.2885,0.6662,0.005629,non_hub_connector
WALMART,3,0.12777,-0.0191,0.7215,0.004851,non_hub_connector
RITE AID,3,0.127712,-0.0687,0.4737,0.002489,peripheral
BOOZ ALLEN HAMILTON,1,0.126708,0.2273,0.3864,0.003886,peripheral
GENERAL ELECTRIC,1,0.124826,0.4047,0.689,0.006891,non_hub_connector
UNITED CONTINENTAL HOLDINGS,1,0.119519,0.1287,0.6162,0.005081,peripheral
AMERICAN EXPRESS,0,0.117552,0.6157,0.7029,0.005432,non_hub_connector
VERIZON,1,0.117524,0.2352,0.6875,0.006247,non_hub_connector
SALESFORCE.COM,1,0.117039,0.2755,0.6534,0.005438,non_hub_connector
MARSH & MCLENNAN,0,0.114636,0.4827,0.7476,0.006575,non_hub_connector
YUM BRANDS,0,0.111082,0.2578,0.7415,0.00533,non_hub_connector
CAPITAL ONE FINANCIAL,0,0.109631,0.3439,0.706,0.004776,non_hub_connector
AES,2,0.108601,0.0183,0.3736,0.002679,peripheral
DUPONT DE NEMOURS,2,0.107152,0.0829,0.4393,0.003207,peripheral
INTEL,2,0.106302,0.0459,0.5612,0.004196,peripheral
