source,target,weight
3M,AECOM,0.019174408147321426
3M,ALASKA AIR GROUP,0.05786428314732143
3M,AMEREN,0.0156601875
3M,APPLIED MATERIALS,0.0591546875
3M,BALL,0.09398928314732143
3M,BERKSHIRE HATHAWAY,0.03483459564732143
3M,BOOZ ALLEN HAMILTON,0.0591546875
3M,CHEVRON,0.09398928314732143
3M,CSX,0.008081775334821427
3M,CUMMINS,0.0591546875
3M,EDISON INTERNATIONAL,0.06594605848214286
3M,ENTERGY,0.008081775334821427
3M,EXELON,0.008081775334821427
3M,FLUOR,0.09398928314732143
3M,FORD,0.019174408147321426
3M,GENERAL DYNAMICS,0.036125
3M,HONEYWELL INTERNATIONAL,0.019174408147321426
3M,HP,0.09398928314732143
3M,HUMANA,0.008081775334821427
3M,L3HARRIS TECHNOLOGIES,0.0591546875
3M,LEIDOS HOLDINGS,0.074814875
3M,LOCKHEED MARTIN,0.008081775334821427
3M,MICRON TECHNOLOGY,0.036125
3M,MOTOROLA SOLUTIONS,0.03483459564732143
3M,NORTHROP GRUMMAN,0.09398928314732143
3M,OLIN,0.0497825078125
3M,PPG INDUSTRIES,0.15185356629464286
3M,QUALCOMM,0.08590750781249999
3M,RITE AID,0.036125
3M,TESLA,0.03483459564732143
3M,TEXAS INSTRUMENTS,0.019174408147321426
3M,THERMO FISHER SCIENTIFIC,0.008081775334821427
3M,UNION PACIFIC,0.09269887879464285
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.0591546875
ABBVIE,APPLIED MATERIALS,0.2729046875
ABBVIE,BIOGEN,0.138564875
ABBVIE,CHS,0.2729046875
ABBVIE,FACEBOOK,0.288564875
ABBVIE,GENWORTH FINANCIAL,0.21375000000000005
ABBVIE,GILEAD SCIENCES,0.138564875
ABBVIE,GOLDMAN SACHS GROUP,0.24987500000000004
ABBVIE,HARTFORD FINANCIAL SERVICES,0.288564875
ABBVIE,JOHNSON & JOHNSON,0.138564875
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.24987500000000004
ABBVIE,MERCK,0.0156601875
ABBVIE,NATIONWIDE,0.288564875
ABBVIE,NEXTERA ENERGY,0.21375000000000005
ABBVIE,PRUDENTIAL FINANCIAL,0.288564875
ABBVIE,W.R. BERKLEY,0.2729046875
ABBVIE,WALGREENS BOOTS ALLIANCE,0.038689875
ABM INDUSTRIES,AECOM,0.12290468750000001
ABM INDUSTRIES,AMERICAN ELECTRIC POWER,0.0230296875
ABM INDUSTRIES,DELL TECHNOLOGIES,0.0230296875
ABM INDUSTRIES,ENTERGY,0.0591546875
ABM INDUSTRIES,MOTOROLA SOLUTIONS,0.2729046875
ABM INDUSTRIES,PPL,0.0591546875
ABM INDUSTRIES,PUBLIC SERVICE ENTERPRISE GROUP,0.12290468750000001
ADP,BEST BUY,0.21375000000000005
ADVANCED MICRO DEVICES,MICRON TECHNOLOGY,0.06375
ADVANCED MICRO DEVICES,WESTERN DIGITAL,0.2775000000000001
AECOM,AMERICAN FAMILY INSURANCE GROUP,0.006010820405273437
AECOM,BERKSHIRE HATHAWAY,0.025185228552594866
AECOM,CHS,0.0230296875
AECOM,CONOCOPHILLIPS,0.06375
AECOM,CSX,0.014092595740094863
AECOM,DUKE ENERGY,0.006010820405273437
AECOM,ECOLAB,0.1496575078125
AECOM,EDISON INTERNATIONAL,0.014092595740094863
AECOM,EXELON,0.014092595740094863
AECOM,FIRSTENERGY,0.006010820405273437
AECOM,FORD,0.025185228552594866
AECOM,HONEYWELL INTERNATIONAL,0.006010820405273437
AECOM,PG&E,0.06387510355259486
AECOM,PPG INDUSTRIES,0.04084541605259486
AECOM,SHERWIN-WILLIAMS,0.036125
AECOM,SOUTHERN,0.025185228552594866
AECOM,TESLA,0.019174408147321426
AECOM,UNION PACIFIC,0.06603064460518973
AES,AMERICAN ELECTRIC POWER,0.21375000000000005
AES,DTE ENERGY,0.06375
AES,EVERSOURCE ENERGY,0.21375000000000005
AES,EXELON,0.21375000000000005
AES,FIRSTENERGY,0.06375
AES,PPL,0.21375000000000005
AES,SOUTHERN,0.21375000000000005
AIG,ALLSTATE,0.07738988643750817
AIG,AMERICAN FAMILY INSURANCE GROUP,0.10414270675000817
AIG,AMERIPRISE FINANCIAL,0.0168593190757123
AIG,BANK OF AMERICA,0.02479300965327653
AIG,CAPITAL ONE FINANCIAL,0.02479300965327653
AIG,CBS,0.006158905162530628
AIG,CITIGROUP,0.02479300965327653
AIG,COCA-COLA,0.014092595740094863
AIG,HARTFORD FINANCIAL SERVICES,0.15707326224736026
AIG,JPMORGAN CHASE & CO.,0.018634104490745904
AIG,LIBERTY MUTUAL INSURANCE GROUP,0.0335705533941674
AIG,MUTUAL OF OMAHA INSURANCE,0.0668375572815837
AIG,NORTHWESTERN MUTUAL,0.019543970043994878
AIG,STATE FARM INSURANCE,0.0168593190757123
AIG,TIAA,0.0026846509682825815
ALASKA AIR GROUP,APPLIED MATERIALS,0.0230296875
ALASKA AIR GROUP,BALL,0.07666730801189671
ALASKA AIR GROUP,BIOGEN,0.01880302486457528
ALASKA AIR GROUP,BOOZ ALLEN HAMILTON,0.0230296875
ALASKA AIR GROUP,CHEVRON,0.07666730801189671
ALASKA AIR GROUP,CIGNA,0.01880302486457528
ALASKA AIR GROUP,CUMMINS,0.0230296875
ALASKA AIR GROUP,DUPONT DE NEMOURS,0.008250695708650805
ALASKA AIR GROUP,EDISON INTERNATIONAL,0.06387510355259486
ALASKA AIR GROUP,ENTERGY,0.026884800199396708
ALASKA AIR GROUP,FEDEX,0.004776441514402758
ALASKA AIR GROUP,FLUOR,0.05786428314732143
ALASKA AIR GROUP,GENERAL ELECTRIC,0.004776441514402758
ALASKA AIR GROUP,HOME DEPOT,0.004776441514402758
ALASKA AIR GROUP,HP,0.06387510355259486
ALASKA AIR GROUP,HUMANA,0.022108358684993952
ALASKA AIR GROUP,L3HARRIS TECHNOLOGIES,0.0230296875
ALASKA AIR GROUP,LEIDOS HOLDINGS,0.038689875
ALASKA AIR GROUP,LOCKHEED MARTIN,0.026884800199396708
ALASKA AIR GROUP,MOTOROLA SOLUTIONS,0.0453869248032459
ALASKA AIR GROUP,NORTHROP GRUMMAN,0.05786428314732143
ALASKA AIR GROUP,OLIN,0.0497825078125
ALASKA AIR GROUP,PPG INDUSTRIES,0.06387510355259486
ALASKA AIR GROUP,QUALCOMM,0.0497825078125
ALASKA AIR GROUP,RAYTHEON,0.012792204459301846
ALASKA AIR GROUP,TEXAS INSTRUMENTS,0.03588564246577653
ALASKA AIR GROUP,THERMO FISHER SCIENTIFIC,0.026884800199396708
ALASKA AIR GROUP,UNION PACIFIC,0.07666730801189671
ALASKA AIR GROUP,UNITED AIRLINES HOLDINGS,0.03483459564732143
ALLSTATE,AMAZON,0.004271354132132253
ALLSTATE,AMERICAN FAMILY INSURANCE GROUP,0.35940213824920086
ALLSTATE,AMERIPRISE FINANCIAL,0.036005892934338764
ALLSTATE,CBS,0.022264266362837747
ALLSTATE,FORD,0.3137501035525949
ALLSTATE,FOX CORP,0.008297420163029612
ALLSTATE,HARTFORD FINANCIAL SERVICES,0.10875174081560969
ALLSTATE,IBM,0.0013704497386546454
ALLSTATE,KROGER,0.028526051243275615
ALLSTATE,LIBERTY MUTUAL INSURANCE GROUP,0.04462236654693069
ALLSTATE,NATIONWIDE,0.03285525106207611
ALLSTATE,NORTHWESTERN MUTUAL,0.08429294299496146
ALLSTATE,PRUDENTIAL FINANCIAL,0.18132561755764884
ALLSTATE,STATE FARM INSURANCE,0.062428107339974344
ALLSTATE,TIAA,0.3349494877489189
ALLSTATE,VERIZON,0.000346510563259192
ALLY FINANCIAL,AMERICAN EXPRESS,0.082184375
ALLY FINANCIAL,BANK OF AMERICA,0.0230296875
ALLY FINANCIAL,BANK OF NEW YORK MELLON,0.0230296875
ALLY FINANCIAL,CAPITAL ONE FINANCIAL,0.0591546875
ALLY FINANCIAL,CENTERPOINT ENERGY,0.0591546875
ALLY FINANCIAL,CISCO SYSTEMS,0.12290468750000001
ALLY FINANCIAL,CITIGROUP,0.0230296875
ALLY FINANCIAL,CITIZENS FINANCIAL GROUP,0.28600000000000003
ALLY FINANCIAL,COCA-COLA,0.0230296875
ALLY FINANCIAL,DANAHER,0.2729046875
ALLY FINANCIAL,FLUOR,0.12290468750000001
ALLY FINANCIAL,GENERAL DYNAMICS,0.099875
ALLY FINANCIAL,HERSHEY,0.0230296875
ALLY FINANCIAL,HILTON WORLDWIDE HOLDINGS,0.33205937500000005
ALLY FINANCIAL,HOLLYFRONTIER,0.099875
ALLY FINANCIAL,HUMANA,0.12290468750000001
ALLY FINANCIAL,LABORATORY CORP. OF AMERICA,0.2729046875
ALLY FINANCIAL,MARRIOTT INTERNATIONAL,0.0230296875
ALLY FINANCIAL,PRINCIPAL FINANCIAL,0.06375
ALLY FINANCIAL,QUEST DIAGNOSTICS,0.0591546875
ALLY FINANCIAL,TENET HEALTHCARE,0.06375
ALLY FINANCIAL,WALGREENS BOOTS ALLIANCE,0.12290468750000001
ALPHABET,AMAZON,0.32654230801189676
ALPHABET,CHARTER COMMUNICATIONS,0.012792204459301846
ALPHABET,COGNIZANT TECHNOLOGY SOLUTIONS,0.2729046875
ALPHABET,FACEBOOK,0.02581934168235541
ALPHABET,FOX CORP,0.012792204459301846
ALPHABET,HEWLETT PACKARD ENTERPRISE,0.33479300372054754
ALPHABET,HOME DEPOT,0.008250695708650805
ALPHABET,IBM,0.0020917905461201778
ALPHABET,IHEARTMEDIA,0.095470332876472
ALPHABET,MICROSOFT,0.34758520817984945
ALPHABET,ORACLE,0.1398460285851228
ALPHABET,RAYTHEON,0.004776441514402758
ALPHABET,SALESFORCE,0.288564875
ALPHABET,TEXAS INSTRUMENTS,0.3306094226283072
ALPHABET,VERIZON,0.012792204459301846
ALTRIA GROUP,MOLSON COORS BEVERAGE,0.3042250625
AMAZON,AMERICAN FAMILY INSURANCE GROUP,0.003473538160710978
AMAZON,AMERIPRISE FINANCIAL,0.005094057456119878
AMAZON,AT&T,0.008764227732624377
AMAZON,CBS,0.0002768537934608167
AMAZON,CHARTER COMMUNICATIONS,0.011278139459225725
AMAZON,COGNIZANT TECHNOLOGY SOLUTIONS,0.2729046875
AMAZON,FACEBOOK,0.01895641786051614
AMAZON,FOX CORP,0.029625872789670746
AMAZON,HARTFORD FINANCIAL SERVICES,0.002592258313477411
AMAZON,HEWLETT PACKARD ENTERPRISE,0.332930243683019
AMAZON,HOME DEPOT,0.02435605690895792
AMAZON,HONEYWELL INTERNATIONAL,0.18387971316512966
AMAZON,IBM,0.01814343351110807
AMAZON,IHEARTMEDIA,0.0066299520451352035
AMAZON,JPMORGAN CHASE & CO.,0.010552329155924479
AMAZON,KROGER,0.001641251043878909
AMAZON,MICROSOFT,0.33559697168978114
AMAZON,MUTUAL OF OMAHA INSURANCE,0.006158905162530628
AMAZON,NATIONWIDE,4.488682114582049e-05
AMAZON,ORACLE,0.11918024368301897
AMAZON,PNC FINANCIAL SERVICES,0.01918014013042408
AMAZON,SALESFORCE,0.288564875
AMAZON,STATE FARM INSURANCE,0.00042352428793860145
AMAZON,TEXAS INSTRUMENTS,0.4989010349315531
AMAZON,TIAA,0.026487238803805012
AMAZON,UNION PACIFIC,4.488682114582049e-05
AMEREN,BERKSHIRE HATHAWAY,0.038689875
AMEREN,CATERPILLAR,0.0230296875
AMEREN,CENTERPOINT ENERGY,0.038689875
AMEREN,CHEMOURS,0.0230296875
AMEREN,CMS ENERGY,0.288564875
AMEREN,CUMMINS,0.0230296875
AMEREN,DTE ENERGY,0.288564875
AMEREN,DUKE ENERGY,0.288564875
AMEREN,ENTERGY,0.288564875
AMEREN,FIRSTENERGY,0.0156601875
