transition,q_from,q_to,nmi,ari,shared_firms
Q1→Q2,1,2,0.5576814645714068,0.41743849920358683,166
Q2→Q3,2,3,0.6060844008598943,0.46741810250126525,190
Q3→Q4,3,4,0.5191749025788359,0.33351375615203316,198
Q4→Q5,4,5,0.44659365039529764,0.260220357317985,187
Q5→Q6,5,6,0.4634957733710212,0.28961779700841933,185
Q6→Q7,6,7,0.4710124841014002,0.23849297370296338,182
Q7→Q8,7,8,0.4563769434502221,0.22001459459918885,190
