fortune_name,community_rbo,quarter
ALLSTATE,0,5
ALTRIA GROUP,0,5
AMERICAN EXPRESS,0,5
AMERICAN FAMILY INSURANCE GROUP,0,5
AMERIPRISE FINANCIAL,0,5
BANK OF NEW YORK MELLON,0,5
BLACKROCK,0,5
CAPITAL ONE FINANCIAL,0,5
CITIGROUP,0,5
CITIZENS FINANCIAL GROUP,0,5
COCA-COLA,0,5
CONSTELLATION BRANDS,0,5
DAVITA,0,5
FIFTH THIRD BANCORP,0,5
FORD,0,5
FOX CORP,0,5
HOME DEPOT,0,5
IHEARTMEDIA,0,5
ILLINOIS TOOL WORKS,0,5
JPMORGAN CHASE & CO.,0,5
KEYCORP,0,5
KIMBERLY-CLARK,0,5
KROGER,0,5
LIBERTY MEDIA,0,5
LINCOLN NATIONAL,0,5
LOWE'S,0,5
MOLSON COORS BEVERAGE,0,5
NAVIENT,0,5
NEW YORK LIFE INSURANCE,0,5
NORTHERN TRUST,0,5
NORTHWESTERN MUTUAL,0,5
NUCOR,0,5
PEPSICO,0,5
PNC FINANCIAL SERVICES,0,5
PUBLIX SUPER MARKETS,0,5
REGIONS FINANCIAL,0,5
S&P GLOBAL,0,5
STATE FARM INSURANCE,0,5
SYNCHRONY FINANCIAL,0,5
SYSCO,0,5
TARGET,0,5
TIAA,0,5
U.S. BANCORP,0,5
UNITED AIRLINES HOLDINGS,0,5
USAA,0,5
WESTERN UNION,0,5
WEYERHAEUSER,0,5
YUM BRANDS,0,5
ABM INDUSTRIES,1,5
AES,1,5
AMEREN,1,5
AMERICAN AIRLINES GROUP,1,5
AMERICAN ELECTRIC POWER,1,5
AT&T,1,5
BALL,1,5
BOEING,1,5
CBS,1,5
CENTERPOINT ENERGY,1,5
CHARTER COMMUNICATIONS,1,5
CHEVRON,1,5
CISCO SYSTEMS,1,5
CMS ENERGY,1,5
CONSOLIDATED EDISON,1,5
DOMINION ENERGY,1,5
DTE ENERGY,1,5
DUKE ENERGY,1,5
ECOLAB,1,5
EDISON INTERNATIONAL,1,5
ENERGY TRANSFER,1,5
ENTERGY,1,5
EXELON,1,5
EXXONMOBIL,1,5
FEDEX,1,5
FIRSTENERGY,1,5
GENERAL MOTORS,1,5
HOLLYFRONTIER,1,5
LOCKHEED MARTIN,1,5
LOEWS,1,5
LUMEN TECHNOLOGIES,1,5
MARATHON PETROLEUM,1,5
MOTOROLA SOLUTIONS,1,5
ONEOK,1,5
PEABODY ENERGY,1,5
PG&E,1,5
PHILLIPS 66,1,5
PPL,1,5
PUBLIC SERVICE ENTERPRISE GROUP,1,5
RAYTHEON,1,5
SEMPRA ENERGY,1,5
SOUTHERN,1,5
SOUTHWEST AIRLINES,1,5
TESLA,1,5
UNITED PARCEL SERVICE,1,5
VERIZON,1,5
XCEL ENERGY,1,5
3M,2,5
ABBOTT LABORATORIES,2,5
AMERISOURCEBERGEN,2,5
AMGEN,2,5
BECTON DICKINSON,2,5
BIOGEN,2,5
BLACKSTONE GROUP,2,5
BRISTOL-MYERS SQUIBB,2,5
CENTENE,2,5
CIGNA,2,5
CLOROX,2,5
CVS HEALTH,2,5
DANAHER,2,5
DELL TECHNOLOGIES,2,5
DISCOVER FINANCIAL SERVICES,2,5
DISH NETWORK,2,5
ELI LILLY,2,5
EVERSOURCE ENERGY,2,5
GENERAL DYNAMICS,2,5
GENERAL ELECTRIC,2,5
HCA HEALTHCARE,2,5
HERSHEY,2,5
HILTON WORLDWIDE HOLDINGS,2,5
HUMANA,2,5
JOHNSON & JOHNSON,2,5
LABORATORY CORP. OF AMERICA,2,5
LEIDOS HOLDINGS,2,5
MAGELLAN HEALTH,2,5
MARRIOTT INTERNATIONAL,2,5
MERCK,2,5
MOLINA HEALTHCARE,2,5
MUTUAL OF OMAHA INSURANCE,2,5
OLIN,2,5
OWENS CORNING,2,5
PPG INDUSTRIES,2,5
PROCTER & GAMBLE,2,5
REGENERON PHARMACEUTICALS,2,5
RITE AID,2,5
TENET HEALTHCARE,2,5
THERMO FISHER SCIENTIFIC,2,5
WALGREENS BOOTS ALLIANCE,2,5
WALMART,2,5
WHIRLPOOL,2,5
ABBVIE,3,5
ALASKA AIR GROUP,3,5
APPLIED MATERIALS,3,5
BEST BUY,3,5
CATERPILLAR,3,5
CHS,3,5
COSTCO,3,5
FACEBOOK,3,5
GENWORTH FINANCIAL,3,5
GOLDMAN SACHS GROUP,3,5
HARTFORD FINANCIAL SERVICES,3,5
HONEYWELL INTERNATIONAL,3,5
IBM,3,5
MASSACHUSETTS MUTUAL LIFE INSURANCE,3,5
METLIFE,3,5
NATIONWIDE,3,5
NEXTERA ENERGY,3,5
PRUDENTIAL FINANCIAL,3,5
W.R. BERKLEY,3,5
BANK OF AMERICA,4,5
BOSTON SCIENTIFIC,4,5
CARDINAL HEALTH,4,5
CONOCOPHILLIPS,4,5
CORNING,4,5
DUPONT DE NEMOURS,4,5
EBAY,4,5
GILEAD SCIENCES,4,5
GRAPHIC PACKAGING HOLDING,4,5
HP,4,5
INTERNATIONAL PAPER,4,5
