fortune_name,community_rbo,quarter
ADP,0,4
ALASKA AIR GROUP,0,4
ALPHABET,0,4
ALTRIA GROUP,0,4
AMAZON,0,4
AT&T,0,4
BECTON DICKINSON,0,4
BERKSHIRE HATHAWAY,0,4
BOSTON SCIENTIFIC,0,4
CARDINAL HEALTH,0,4
CBS,0,4
CHARTER COMMUNICATIONS,0,4
COCA-COLA,0,4
COMCAST,0,4
CSX,0,4
DELL TECHNOLOGIES,0,4
DISCOVER FINANCIAL SERVICES,0,4
DISH NETWORK,0,4
ECOLAB,0,4
EDISON INTERNATIONAL,0,4
FEDEX,0,4
FOX CORP,0,4
GENERAL ELECTRIC,0,4
GENERAL MILLS,0,4
GENERAL MOTORS,0,4
HEWLETT PACKARD ENTERPRISE,0,4
ILLINOIS TOOL WORKS,0,4
INTEL,0,4
KIMBERLY-CLARK,0,4
KROGER,0,4
LIBERTY MEDIA,0,4
LOWE'S,0,4
LUMEN TECHNOLOGIES,0,4
MARATHON PETROLEUM,0,4
MCDONALD'S,0,4
MCKESSON,0,4
MOLSON COORS BEVERAGE,0,4
NAVIENT,0,4
NORFOLK SOUTHERN,0,4
NUCOR,0,4
OWENS CORNING,0,4
PEABODY ENERGY,0,4
PEPSICO,0,4
PHILLIPS 66,0,4
QURATE RETAIL,0,4
S&P GLOBAL,0,4
SALESFORCE,0,4
STANLEY BLACK & DECKER,0,4
SYSCO,0,4
TEXAS INSTRUMENTS,0,4
UNION PACIFIC,0,4
VERIZON,0,4
WEYERHAEUSER,0,4
WINDSTREAM HOLDINGS,0,4
YUM BRANDS,0,4
3M,1,4
AECOM,1,4
AES,1,4
AIR PRODUCTS & CHEMICALS,1,4
AMEREN,1,4
AMERICAN AIRLINES GROUP,1,4
AMERICAN ELECTRIC POWER,1,4
ARAMARK,1,4
BALL,1,4
CENTENE,1,4
CHEVRON,1,4
CMS ENERGY,1,4
COGNIZANT TECHNOLOGY SOLUTIONS,1,4
CORNING,1,4
CUMMINS,1,4
DELTA AIR LINES,1,4
DOMINION ENERGY,1,4
DTE ENERGY,1,4
DUKE ENERGY,1,4
ENTERGY,1,4
EXELON,1,4
EXXONMOBIL,1,4
FIRSTENERGY,1,4
GENERAL DYNAMICS,1,4
HUNTSMAN,1,4
JACOBS ENGINEERING GROUP,1,4
JETBLUE AIRWAYS,1,4
LEIDOS HOLDINGS,1,4
LOCKHEED MARTIN,1,4
MAGELLAN HEALTH,1,4
MICROSOFT,1,4
ORACLE,1,4
PG&E,1,4
POLARIS INC,1,4
PPL,1,4
RAYTHEON,1,4
SEMPRA ENERGY,1,4
SOUTHERN,1,4
SOUTHWEST AIRLINES,1,4
TESLA,1,4
TEXTRON,1,4
UNITED AIRLINES HOLDINGS,1,4
UNITED PARCEL SERVICE,1,4
UNITED TECHNOLOGIES,1,4
USAA,1,4
XCEL ENERGY,1,4
AIG,2,4
ALLSTATE,2,4
AMERICAN EXPRESS,2,4
AMERICAN FAMILY INSURANCE GROUP,2,4
AMERIPRISE FINANCIAL,2,4
BANK OF AMERICA,2,4
BLACKROCK,2,4
CAPITAL ONE FINANCIAL,2,4
CHARLES SCHWAB,2,4
CITIZENS FINANCIAL GROUP,2,4
CONSTELLATION BRANDS,2,4
EBAY,2,4
FIFTH THIRD BANCORP,2,4
FORD,2,4
HOME DEPOT,2,4
JPMORGAN CHASE & CO.,2,4
KEYCORP,2,4
LIBERTY MUTUAL INSURANCE GROUP,2,4
LINCOLN NATIONAL,2,4
NEW YORK LIFE INSURANCE,2,4
NORTHERN TRUST,2,4
PNC FINANCIAL SERVICES,2,4
PRINCIPAL FINANCIAL,2,4
PUBLIX SUPER MARKETS,2,4
REGIONS FINANCIAL,2,4
STATE FARM INSURANCE,2,4
SYNCHRONY FINANCIAL,2,4
TIAA,2,4
U.S. BANCORP,2,4
WELLS FARGO,2,4
WESTERN UNION,2,4
BANK OF NEW YORK MELLON,3,4
CENTERPOINT ENERGY,3,4
CHEMOURS,3,4
CISCO SYSTEMS,3,4
CONSOLIDATED EDISON,3,4
DAVITA,3,4
DEAN FOODS,3,4
ENERGY TRANSFER,3,4
EVERSOURCE ENERGY,3,4
FLUOR,3,4
GRAPHIC PACKAGING HOLDING,3,4
HOLLYFRONTIER,3,4
INTERNATIONAL PAPER,3,4
KELLOGG,3,4
LOEWS,3,4
MARATHON OIL,3,4
MICRON TECHNOLOGY,3,4
MOTOROLA SOLUTIONS,3,4
NCR,3,4
NORTHROP GRUMMAN,3,4
NORTHWESTERN MUTUAL,3,4
ONEOK,3,4
OSHKOSH,3,4
PUBLIC SERVICE ENTERPRISE GROUP,3,4
QUALCOMM,3,4
THERMO FISHER SCIENTIFIC,3,4
WESTROCK,3,4
WHIRLPOOL,3,4
AMERISOURCEBERGEN,4,4
AMGEN,4,4
BIOGEN,4,4
BLACKSTONE GROUP,4,4
BOEING,4,4
BRISTOL-MYERS SQUIBB,4,4
CIGNA,4,4
CVS HEALTH,4,4
ELI LILLY,4,4
GILEAD SCIENCES,4,4
HCA HEALTHCARE,4,4
HUMANA,4,4
IHEARTMEDIA,4,4
JOHNSON & JOHNSON,4,4
LABORATORY CORP. OF AMERICA,4,4
MARSH & MCLENNAN,4,4
MERCK,4,4
MOLINA HEALTHCARE,4,4
MUTUAL OF OMAHA INSURANCE,4,4
RITE AID,4,4
WALGREENS BOOTS ALLIANCE,4,4
WALMART,4,4
ABBVIE,5,4
APPLIED MATERIALS,5,4
BEST BUY,5,4
BORGWARNER,5,4
CATERPILLAR,5,4
CHS,5,4
CITIGROUP,5,4
COSTCO,5,4
FACEBOOK,5,4
GENWORTH FINANCIAL,5,4
GOLDMAN SACHS GROUP,5,4
HARTFORD FINANCIAL SERVICES,5,4
HONEYWELL INTERNATIONAL,5,4
IBM,5,4
MASSACHUSETTS MUTUAL LIFE INSURANCE,5,4
METLIFE,5,4
NATIONWIDE,5,4
NEXTERA ENERGY,5,4
PPG INDUSTRIES,5,4
PRUDENTIAL FINANCIAL,5,4
W.R. BERKLEY,5,4
ABBOTT LABORATORIES,6,4
DEERE,6,4
LAND O'LAKES,6,4
ALLY FINANCIAL,7,4
STATE STREET CORP.,7,4
VISA,7,4
HILTON WORLDWIDE HOLDINGS,8,4
MARRIOTT INTERNATIONAL,8,4
