source,target,weight
3M,ABBVIE,0.04446778958925247
3M,AECOM,0.2090364969905207
3M,ALASKA AIR GROUP,0.012339259148793373
3M,AMAZON,0.012670662355487083
3M,AMEREN,0.12290468750000001
3M,AMERICAN AIRLINES GROUP,0.19324757229266676
3M,AMGEN,0.03444761783378732
3M,BALL,0.10208656561035002
3M,BERKSHIRE HATHAWAY,0.020911054400989608
3M,BLACKSTONE GROUP,0.17818355905577563
3M,BOEING,0.07823453188877318
3M,BRISTOL-MYERS SQUIBB,0.02035502209369246
3M,CATERPILLAR,0.021244277939998304
3M,CENTENE,0.18931817935414122
3M,CHEVRON,0.1229352272940466
3M,CIGNA,0.02195342834489945
3M,CMS ENERGY,0.184436528852981
3M,COGNIZANT TECHNOLOGY SOLUTIONS,0.1496575078125
3M,CORNING,0.19434588674935302
3M,CUMMINS,0.2185093096599115
3M,CVS HEALTH,0.007562817634390618
3M,DELL TECHNOLOGIES,0.010768344067633362
3M,DELTA AIR LINES,0.2700774238450963
3M,DTE ENERGY,0.18466115795358443
3M,DUKE ENERGY,0.08513278780803747
3M,ECOLAB,0.022108358684993952
3M,ELI LILLY,0.24987500000000004
3M,ENTERGY,0.18741924038991978
3M,EXELON,0.18873127623430894
3M,EXXONMOBIL,0.20075152509008676
3M,FACEBOOK,0.11942226005703191
3M,FEDEX,0.005028457592489225
3M,FIRSTENERGY,0.18410512564628734
3M,GENERAL DYNAMICS,0.22702074743537318
3M,GENERAL ELECTRIC,0.016158858307057437
3M,GENERAL MOTORS,0.011253014431717782
3M,HCA HEALTHCARE,0.0230296875
3M,HEWLETT PACKARD ENTERPRISE,0.01782292072039742
3M,HONEYWELL INTERNATIONAL,0.01606515768574804
3M,HUMANA,0.004783309545752125
3M,HUNTSMAN,0.06375
3M,IBM,0.040492031640628166
3M,ILLINOIS TOOL WORKS,0.005028457592489225
3M,JACOBS ENGINEERING GROUP,0.1496575078125
3M,JETBLUE AIRWAYS,0.138564875
3M,JOHNSON & JOHNSON,0.0010261119818479008
3M,LABORATORY CORP. OF AMERICA,0.029726737303245907
3M,LEIDOS HOLDINGS,0.24860832869907398
3M,LOCKHEED MARTIN,0.23421073049482385
3M,MAGELLAN HEALTH,0.18060942262830712
3M,MICROSOFT,0.1837737224395936
3M,MOLINA HEALTHCARE,0.004776441514402758
3M,MOTOROLA SOLUTIONS,0.004776441514402758
3M,NORTHROP GRUMMAN,0.14132213324884282
3M,ORACLE,0.08963603093603992
3M,OWENS CORNING,0.008015762944899087
3M,PG&E,0.1958840852721773
3M,PHILLIPS 66,0.04835970982827007
