fortune_name,community_rbo,quarter
3M,0,8
ADVANCED MICRO DEVICES,0,8
AFLAC,0,8
AMEREN,0,8
AMERISOURCEBERGEN,0,8
BALL,0,8
BOEING,0,8
BOOZ ALLEN HAMILTON,0,8
CARDINAL HEALTH,0,8
CIGNA,0,8
COCA-COLA,0,8
DISH NETWORK,0,8
DUPONT DE NEMOURS,0,8
ENTERPRISE PRODUCTS PARTNERS,0,8
EXELON,0,8
EXXONMOBIL,0,8
FEDEX,0,8
FLUOR,0,8
FORD,0,8
GENERAL ELECTRIC,0,8
GRAPHIC PACKAGING HOLDING,0,8
HP,0,8
HUNTSMAN,0,8
JACOBS ENGINEERING GROUP,0,8
JPMORGAN CHASE & CO.,0,8
L3HARRIS TECHNOLOGIES,0,8
LAM RESEARCH,0,8
LEIDOS HOLDINGS,0,8
LOCKHEED MARTIN,0,8
MARATHON OIL,0,8
MASCO,0,8
MICRON TECHNOLOGY,0,8
MOTOROLA SOLUTIONS,0,8
NORTHROP GRUMMAN,0,8
OSHKOSH,0,8
PEPSICO,0,8
RAYTHEON,0,8
SYSCO,0,8
TESLA,0,8
TEXTRON,0,8
WESTERN DIGITAL,0,8
WESTROCK,0,8
WEYERHAEUSER,0,8
ABBOTT LABORATORIES,1,8
AMERIPRISE FINANCIAL,1,8
AMGEN,1,8
BIOGEN,1,8
BLACKSTONE GROUP,1,8
BOSTON SCIENTIFIC,1,8
BRISTOL-MYERS SQUIBB,1,8
CENTENE,1,8
CVS HEALTH,1,8
DANAHER,1,8
DELTA AIR LINES,1,8
GENERAL DYNAMICS,1,8
GILEAD SCIENCES,1,8
HCA HEALTHCARE,1,8
HUMANA,1,8
IBM,1,8
KRAFT HEINZ,1,8
KROGER,1,8
LABORATORY CORP. OF AMERICA,1,8
MERCK,1,8
MOLINA HEALTHCARE,1,8
MUTUAL OF OMAHA INSURANCE,1,8
OWENS CORNING,1,8
PPG INDUSTRIES,1,8
QUEST DIAGNOSTICS,1,8
SOUTHWEST AIRLINES,1,8
THERMO FISHER SCIENTIFIC,1,8
UNION PACIFIC,1,8
ADP,2,8
ALLY FINANCIAL,2,8
AMERICAN EXPRESS,2,8
BANK OF AMERICA,2,8
BEST BUY,2,8
CAPITAL ONE FINANCIAL,2,8
CATERPILLAR,2,8
CITIGROUP,2,8
FIFTH THIRD BANCORP,2,8
HERSHEY,2,8
HILTON WORLDWIDE HOLDINGS,2,8
HOLLYFRONTIER,2,8
LAS VEGAS SANDS,2,8
MCDONALD'S,2,8
PNC FINANCIAL SERVICES,2,8
PRINCIPAL FINANCIAL,2,8
QURATE RETAIL,2,8
SYNCHRONY FINANCIAL,2,8
TARGET,2,8
TENET HEALTHCARE,2,8
WALGREENS BOOTS ALLIANCE,2,8
WALMART,2,8
WALT DISNEY,2,8
WESTERN UNION,2,8
AECOM,3,8
AES,3,8
AVIS BUDGET GROUP,3,8
BAXTER INTERNATIONAL,3,8
BERKSHIRE HATHAWAY,3,8
CHEMOURS,3,8
CORNING,3,8
CSX,3,8
CUMMINS,3,8
DEERE,3,8
DELL TECHNOLOGIES,3,8
DTE ENERGY,3,8
EDISON INTERNATIONAL,3,8
EVERSOURCE ENERGY,3,8
GENERAL MOTORS,3,8
HONEYWELL INTERNATIONAL,3,8
INTERNATIONAL PAPER,3,8
LAND O'LAKES,3,8
LIBERTY MUTUAL INSURANCE GROUP,3,8
NAVISTAR INTERNATIONAL,3,8
NORFOLK SOUTHERN,3,8
PHILLIPS 66,3,8
PUBLIC SERVICE ENTERPRISE GROUP,3,8
STANLEY BLACK & DECKER,3,8
ALPHABET,4,8
AMAZON,4,8
APPLE,4,8
AT&T,4,8
BORGWARNER,4,8
CHARTER COMMUNICATIONS,4,8
CISCO SYSTEMS,4,8
COGNIZANT TECHNOLOGY SOLUTIONS,4,8
FOX CORP,4,8
GAP,4,8
HEWLETT PACKARD ENTERPRISE,4,8
HOME DEPOT,4,8
IHEARTMEDIA,4,8
INTUIT,4,8
LUMEN TECHNOLOGIES,4,8
MICROSOFT,4,8
NIKE,4,8
ORACLE,4,8
SALESFORCE,4,8
TEXAS INSTRUMENTS,4,8
VERIZON,4,8
ALASKA AIR GROUP,5,8
AMERICAN ELECTRIC POWER,5,8
ARTHUR J. GALLAGHER,5,8
CENTERPOINT ENERGY,5,8
CHEVRON,5,8
