fortune_name,community_rbo,quarter
CMS ENERGY,5,8
DISCOVER FINANCIAL SERVICES,5,8
DUKE ENERGY,5,8
ENTERGY,5,8
FIRSTENERGY,5,8
LIVE NATION ENTERTAINMENT,5,8
LOEWS,5,8
PEABODY ENERGY,5,8
PG&E,5,8
PPL,5,8
SEMPRA ENERGY,5,8
SOUTHERN,5,8
VISA,5,8
XCEL ENERGY,5,8
ABBVIE,6,8
AIG,6,8
ALLSTATE,6,8
AMERICAN FAMILY INSURANCE GROUP,6,8
APPLIED MATERIALS,6,8
CBS,6,8
CHS,6,8
FACEBOOK,6,8
GENWORTH FINANCIAL,6,8
GOLDMAN SACHS GROUP,6,8
HARTFORD FINANCIAL SERVICES,6,8
JOHNSON & JOHNSON,6,8
MASSACHUSETTS MUTUAL LIFE INSURANCE,6,8
NATIONWIDE,6,8
NEXTERA ENERGY,6,8
NORTHWESTERN MUTUAL,6,8
PRUDENTIAL FINANCIAL,6,8
TIAA,6,8
W.R. BERKLEY,6,8
AMERICAN AIRLINES GROUP,7,8
ARAMARK,7,8
BANK OF NEW YORK MELLON,7,8
BECTON DICKINSON,7,8
CONSTELLATION BRANDS,7,8
ELI LILLY,7,8
KELLOGG,7,8
LINCOLN NATIONAL,7,8
PUBLIX SUPER MARKETS,7,8
STATE FARM INSURANCE,7,8
UNITED AIRLINES HOLDINGS,7,8
WELLS FARGO,7,8
CONOCOPHILLIPS,8,8
ECOLAB,8,8
MCKESSON,8,8
ONEOK,8,8
SHERWIN-WILLIAMS,8,8
UNITED PARCEL SERVICE,8,8
ILLINOIS TOOL WORKS,9,8
PROCTER & GAMBLE,9,8
WHIRLPOOL,9,8
ALTRIA GROUP,10,8
MOLSON COORS BEVERAGE,10,8
S&P GLOBAL,10,8
CELANESE,11,8
MARRIOTT INTERNATIONAL,11,8
MARSH & MCLENNAN,12,8
USAA,12,8
