firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
YUM CHINA HOLDINGS,10,1.0,0.0,0.0,0.004831,0.023324,ultra_peripheral
GAP,11,1.0,0.0,0.3038,0.003172,0.025598,peripheral
CHARLES SCHWAB,10,1.0,0.0,0.0,0.004831,0.023324,ultra_peripheral
CAMPBELL SOUP,11,1.0,0.0,0.3038,0.003172,0.025598,peripheral
MOLSON COORS BEVERAGE,9,0.707107,1.1868,0.0,0.006652,0.02595,ultra_peripheral
ALTRIA GROUP,9,0.6435,0.0726,0.0776,0.004719,0.025197,peripheral
GOODYEAR TIRE & RUBBER,8,0.57735,0.0,0.0,0.00273,0.025392,ultra_peripheral
HUNTSMAN,8,0.57735,0.0,0.58,0.003791,0.034357,peripheral
OSHKOSH,8,0.57735,0.0,0.0,0.00273,0.025392,ultra_peripheral
CENTERPOINT ENERGY,1,0.512383,3.3596,0.4362,0.007826,0.061178,connector_hub
EXXONMOBIL,1,0.500963,2.1744,0.3492,0.005857,0.042766,peripheral
INTERNATIONAL PAPER,2,0.490808,2.3895,0.1798,0.006617,0.047597,peripheral
ALLY FINANCIAL,3,0.485025,2.579,0.3003,0.008823,0.071521,connector_hub
AMERICAN AIRLINES GROUP,3,0.466003,2.1797,0.3009,0.007989,0.065857,peripheral
CENTENE,6,0.461071,1.8797,0.5224,0.006454,0.059773,peripheral
BLACKSTONE GROUP,6,0.451329,1.333,0.2045,0.004569,0.037202,peripheral
CONSTELLATION BRANDS,7,0.437641,0.8657,0.4803,0.005258,0.043836,peripheral
LINCOLN NATIONAL,7,0.434731,1.4729,0.2667,0.005601,0.043163,peripheral
BANK OF NEW YORK MELLON,7,0.430453,0.8145,0.5344,0.005491,0.048176,peripheral
HCA HEALTHCARE,6,0.4299,1.052,0.3194,0.004548,0.036513,peripheral
WELLS FARGO,7,0.418512,0.7307,0.6765,0.007473,0.058853,non_hub_connector
AMERICAN ELECTRIC POWER,0,0.41538,2.9054,0.1538,0.014322,0.176768,provincial_hub
GILEAD SCIENCES,2,0.394477,1.4988,0.6022,0.007403,0.061182,peripheral
QUEST DIAGNOSTICS,2,0.38953,1.9108,0.5206,0.008289,0.056864,peripheral
BOSTON SCIENTIFIC,2,0.381349,1.0359,0.1748,0.00444,0.039659,peripheral
HEWLETT PACKARD ENTERPRISE,5,0.378081,1.1431,0.2235,0.008169,0.078185,peripheral
PPL,0,0.370487,2.8099,0.3617,0.017045,0.178052,connector_hub
AMEREN,1,0.369606,0.6959,0.4168,0.004155,0.037483,peripheral
EXELON,0,0.366603,2.5616,0.2556,0.014595,0.166608,provincial_hub
MICROSOFT,5,0.366192,1.3804,0.2144,0.009171,0.082265,peripheral
INTUIT,5,0.363841,1.0102,0.3906,0.009253,0.078356,peripheral
ALPHABET,5,0.360096,1.0473,0.0274,0.006948,0.071395,ultra_peripheral
AMAZON,5,0.356081,0.996,0.2122,0.007758,0.073824,peripheral
TEXAS INSTRUMENTS,5,0.355478,0.9451,0.1929,0.007448,0.072089,peripheral
U.S. BANCORP,7,0.347479,0.2564,0.2594,0.003562,0.034633,peripheral
MOLINA HEALTHCARE,6,0.341422,0.4654,0.603,0.00489,0.043275,peripheral
SALESFORCE,5,0.339648,0.9342,0.1337,0.007366,0.068919,peripheral
BIOGEN,6,0.336609,1.0204,0.5174,0.005235,0.056478,peripheral
FIRSTENERGY,0,0.330057,1.9972,0.1672,0.011555,0.146159,peripheral
HILTON WORLDWIDE HOLDINGS,3,0.318085,0.4204,0.2694,0.004544,0.041537,peripheral
JOHNSON & JOHNSON,6,0.312479,0.6849,0.408,0.004324,0.046465,peripheral
HARTFORD FINANCIAL SERVICES,4,0.305621,1.1022,0.3652,0.012319,0.218973,peripheral
LOCKHEED MARTIN,1,0.305319,0.22,0.7203,0.005384,0.047051,non_hub_connector
NATIONWIDE,4,0.301995,0.8703,0.2006,0.009473,0.204218,peripheral
PRUDENTIAL FINANCIAL,4,0.301628,0.9466,0.4405,0.013153,0.220448,peripheral
