firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
HILTON WORLDWIDE HOLDINGS,8,1.0,0.0,0.0285,0.004617,0.021775,ultra_peripheral
MARRIOTT INTERNATIONAL,8,1.0,0.0,0.0,0.004578,0.021692,ultra_peripheral
LAND O'LAKES,6,0.613898,0.7071,0.0,0.005121,0.021202,ultra_peripheral
DEERE,6,0.613898,0.7071,0.0,0.005121,0.021202,ultra_peripheral
VISA,7,0.57735,0.0,0.0,0.004739,0.020995,ultra_peripheral
ALLY FINANCIAL,7,0.57735,0.0,0.0,0.004739,0.020995,ultra_peripheral
STATE STREET CORP.,7,0.57735,0.0,0.0,0.004739,0.020995,ultra_peripheral
ABBOTT LABORATORIES,6,0.496246,-1.4142,0.0,0.003976,0.021001,ultra_peripheral
CIGNA,4,0.494125,2.0033,0.2335,0.004754,0.026891,peripheral
CVS HEALTH,4,0.492407,1.8844,0.2356,0.004642,0.025202,peripheral
TEXAS INSTRUMENTS,0,0.471754,2.2255,0.7186,0.007129,0.061212,non_hub_connector
AMAZON,0,0.468509,2.0513,0.6674,0.00602,0.055267,non_hub_connector
WALMART,4,0.440284,1.7983,0.518,0.005486,0.02749,peripheral
AMERISOURCEBERGEN,4,0.438786,1.3854,0.0909,0.003747,0.024145,peripheral
HEWLETT PACKARD ENTERPRISE,0,0.426548,1.7648,0.6302,0.006147,0.054268,non_hub_connector
JPMORGAN CHASE & CO.,2,0.420188,2.2901,0.2576,0.008559,0.035654,peripheral
ALPHABET,0,0.39826,1.3327,0.6096,0.004795,0.043648,peripheral
KEYCORP,2,0.390134,1.8115,0.1018,0.007579,0.029497,peripheral
SALESFORCE,0,0.364565,1.3697,0.5555,0.004394,0.040107,peripheral
PNC FINANCIAL SERVICES,2,0.364019,1.3906,0.116,0.006338,0.0286,peripheral
NEW YORK LIFE INSURANCE,2,0.358399,1.7562,0.3663,0.008023,0.035044,peripheral
NORTHROP GRUMMAN,3,0.353796,1.7063,0.5961,0.011379,0.117674,peripheral
WELLS FARGO,2,0.347738,1.3969,0.0592,0.006613,0.027992,peripheral
MICRON TECHNOLOGY,3,0.33481,1.9089,0.4145,0.007248,0.054299,peripheral
WALGREENS BOOTS ALLIANCE,4,0.32695,0.8613,0.0,0.003279,0.02294,ultra_peripheral
FLUOR,3,0.31691,1.4386,0.3086,0.005762,0.045668,peripheral
INTERNATIONAL PAPER,3,0.315691,1.1721,0.5282,0.006397,0.049095,peripheral
KELLOGG,3,0.308647,1.2457,0.4837,0.007192,0.049743,peripheral
MOTOROLA SOLUTIONS,3,0.302683,1.161,0.5146,0.006183,0.051058,peripheral
CISCO SYSTEMS,3,0.299576,1.1545,0.5504,0.006802,0.049237,peripheral
CONSTELLATION BRANDS,2,0.294869,0.7479,0.0,0.004736,0.026061,ultra_peripheral
CHEMOURS,3,0.287904,0.9734,0.265,0.004765,0.040889,peripheral
FACEBOOK,5,0.25798,0.8884,0.5791,0.011856,0.114907,peripheral
PPG INDUSTRIES,5,0.253019,0.8008,0.5872,0.012353,0.111291,peripheral
CATERPILLAR,5,0.248413,0.7528,0.3134,0.008712,0.05663,peripheral
NCR,3,0.248226,0.6238,0.1436,0.003663,0.034967,peripheral
HONEYWELL INTERNATIONAL,5,0.247321,0.7102,0.3443,0.008127,0.062011,peripheral
ABBVIE,5,0.247172,0.6944,0.1935,0.007694,0.053988,peripheral
HARTFORD FINANCIAL SERVICES,5,0.246609,0.677,0.069,0.006741,0.051395,peripheral
NATIONWIDE,5,0.246586,0.675,0.1519,0.00726,0.052658,peripheral
PRUDENTIAL FINANCIAL,5,0.246047,0.6631,0.112,0.006997,0.051729,peripheral
OSHKOSH,3,0.243514,0.6752,0.0984,0.003816,0.03397,peripheral
CITIGROUP,5,0.241631,0.5719,0.2559,0.008214,0.052601,peripheral
BEST BUY,5,0.239837,0.5356,0.2141,0.008046,0.051496,peripheral
APPLIED MATERIALS,5,0.238971,0.5014,0.4971,0.0088,0.069858,peripheral
MARATHON OIL,3,0.234406,0.5209,0.1062,0.003458,0.033364,peripheral
NEXTERA ENERGY,5,0.232126,0.3782,0.3435,0.007435,0.059633,peripheral
CITIZENS FINANCIAL GROUP,2,0.22299,0.1365,0.0,0.003486,0.024468,ultra_peripheral
LINCOLN NATIONAL,2,0.217477,1.0816,0.1467,0.006001,0.027921,peripheral
GENERAL DYNAMICS,1,0.217336,1.2156,0.1498,0.011688,0.1861,peripheral
DELTA AIR LINES,1,0.215707,1.2034,0.1112,0.011299,0.183596,peripheral
LOCKHEED MARTIN,1,0.212368,1.134,0.3531,0.01367,0.191515,peripheral
GOLDMAN SACHS GROUP,5,0.207691,-0.1011,0.0159,0.005651,0.045502,ultra_peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,5,0.207691,-0.1011,0.0,0.005427,0.04543,ultra_peripheral
W.R. BERKLEY,5,0.207691,-0.1011,0.0,0.005427,0.04543,ultra_peripheral
CHS,5,0.207691,-0.1011,0.0,0.005427,0.04543,ultra_peripheral
XCEL ENERGY,1,0.205666,1.0429,0.1687,0.01152,0.175993,peripheral
DTE ENERGY,1,0.203325,0.9932,0.1198,0.01064,0.173129,peripheral
RAYTHEON,1,0.202459,0.973,0.2948,0.012821,0.177058,peripheral
AECOM,1,0.202141,0.977,0.3299,0.012477,0.182776,peripheral
PG&E,1,0.202032,0.9791,0.1159,0.010603,0.172264,peripheral
EXELON,1,0.201355,0.9556,0.1084,0.010302,0.171468,peripheral
UNITED AIRLINES HOLDINGS,1,0.200833,0.9322,0.2052,0.011416,0.173414,peripheral
FIRSTENERGY,1,0.197331,1.0015,0.09,0.010833,0.168972,peripheral
AMERICAN AIRLINES GROUP,1,0.197107,0.8831,0.1595,0.01041,0.16996,peripheral
PPL,1,0.196579,1.1187,0.0869,0.011471,0.169448,peripheral
CORNING,1,0.196416,0.8952,0.3517,0.012727,0.177249,peripheral
CMS ENERGY,1,0.195481,0.871,0.1012,0.009948,0.166927,peripheral
EXXONMOBIL,1,0.188542,0.7903,0.1097,0.009749,0.162242,peripheral
CENTENE,1,0.186361,0.739,0.2365,0.010893,0.162742,peripheral
METLIFE,5,0.182278,-0.5829,0.0,0.004855,0.042279,ultra_peripheral
GENWORTH FINANCIAL,5,0.182278,-0.5829,0.0608,0.005061,0.04268,peripheral
MAGELLAN HEALTH,1,0.181894,0.6774,0.2009,0.010199,0.158486,peripheral
JACOBS ENGINEERING GROUP,1,0.17745,0.6299,0.2613,0.010624,0.159128,peripheral
SOUTHWEST AIRLINES,1,0.17343,0.5705,0.082,0.009166,0.149783,peripheral
JETBLUE AIRWAYS,1,0.172444,0.5376,0.3071,0.010145,0.156361,peripheral
USAA,1,0.157869,0.3402,0.2052,0.008938,0.139262,peripheral
AMEREN,1,0.154705,0.3233,0.0922,0.007919,0.135066,peripheral
CHARLES SCHWAB,2,0.15181,-0.187,0.0,0.002934,0.023485,ultra_peripheral
LEIDOS HOLDINGS,1,0.143385,0.2752,0.346,0.009916,0.136154,peripheral
CAPITAL ONE FINANCIAL,2,0.136394,-0.2864,0.347,0.003754,0.024932,peripheral
BORGWARNER,5,0.131899,-1.5464,0.0,0.003709,0.03615,ultra_peripheral
COSTCO,5,0.131899,-1.5464,0.0,0.003709,0.03615,ultra_peripheral
MICROSOFT,1,0.126249,0.0808,0.4626,0.010405,0.130899,peripheral
CUMMINS,1,0.124734,0.1017,0.4695,0.010603,0.130637,peripheral
UNITED TECHNOLOGIES,1,0.12313,-0.0205,0.2322,0.007446,0.117101,peripheral
3M,1,0.120553,-0.0203,0.3348,0.009049,0.116661,peripheral
TEXTRON,1,0.119564,-0.1614,0.0641,0.005874,0.107824,peripheral
INTEL,0,0.118775,-0.7786,0.6624,0.001771,0.024488,non_hub_connector
ENTERGY,1,0.116233,-0.0529,0.2215,0.007638,0.111555,peripheral
AIG,2,0.109614,0.8653,0.2189,0.004939,0.029267,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,1,0.109252,-0.168,0.4691,0.008923,0.115731,peripheral
THERMO FISHER SCIENTIFIC,3,0.098991,-0.4198,0.6843,0.003409,0.040071,non_hub_connector
DELL TECHNOLOGIES,0,0.098624,0.7394,0.5889,0.004577,0.029123,peripheral
BLACKROCK,2,0.096042,0.023,0.5822,0.004738,0.030709,peripheral
ECOLAB,0,0.094891,1.8976,0.5486,0.005591,0.033439,peripheral
FORD,2,0.094618,0.6146,0.4439,0.005155,0.032308,peripheral
JOHNSON & JOHNSON,4,0.092277,-0.6989,0.431,0.001662,0.02234,peripheral
BANK OF AMERICA,2,0.087687,-0.5003,0.3196,0.003551,0.023296,peripheral
U.S. BANCORP,2,0.083339,-0.7311,0.0981,0.002153,0.022118,peripheral
AIR PRODUCTS & CHEMICALS,1,0.080252,-0.6876,0.0,0.003864,0.077749,ultra_peripheral
PHILLIPS 66,0,0.079889,0.8941,0.6251,0.004366,0.033181,non_hub_connector
BRISTOL-MYERS SQUIBB,4,0.072613,-0.6868,0.5522,0.001778,0.02352,peripheral
GENERAL ELECTRIC,0,0.072288,0.4167,0.7116,0.004334,0.033181,non_hub_connector
CARDINAL HEALTH,0,0.07225,0.641,0.1502,0.003228,0.025174,peripheral
WESTROCK,3,0.070721,-0.0422,0.3305,0.003334,0.029424,peripheral
GRAPHIC PACKAGING HOLDING,3,0.070721,-0.0422,0.3305,0.003334,0.029424,peripheral
HOLLYFRONTIER,3,0.069855,-0.2503,0.5104,0.003389,0.031027,peripheral
STATE FARM INSURANCE,2,0.068916,-0.2105,0.4796,0.003736,0.026786,peripheral
UNION PACIFIC,0,0.068774,1.387,0.5362,0.005028,0.031455,peripheral
LUMEN TECHNOLOGIES,0,0.066056,0.1208,0.3574,0.004337,0.024693,peripheral
BECTON DICKINSON,0,0.058148,0.6101,0.397,0.003347,0.027051,peripheral
TIAA,2,0.055363,0.2334,0.2006,0.003599,0.025498,peripheral
ORACLE,1,0.055014,-0.8966,0.5442,0.005867,0.071154,peripheral
GENERAL MILLS,0,0.054811,-0.6969,0.0997,0.001682,0.02193,peripheral
BOSTON SCIENTIFIC,0,0.053986,0.2757,0.2391,0.002665,0.025532,peripheral
ALLSTATE,2,0.052696,0.5817,0.2714,0.004769,0.026544,peripheral
PRINCIPAL FINANCIAL,2,0.052581,0.2111,0.3085,0.003753,0.026546,peripheral
IBM,5,0.051109,-3.186,0.6977,0.003576,0.035498,non_hub_connector
BALL,1,0.048902,-0.9801,0.5222,0.005166,0.065149,peripheral
ALASKA AIR GROUP,0,0.047836,0.6431,0.5385,0.003915,0.036006,peripheral
ILLINOIS TOOL WORKS,0,0.04473,0.6014,0.537,0.004197,0.02779,peripheral
HUNTSMAN,1,0.044165,-1.063,0.2904,0.003414,0.05433,peripheral
FEDEX,0,0.043951,1.1133,0.4619,0.00473,0.030008,peripheral
AMGEN,4,0.042712,-0.7061,0.5968,0.001878,0.02349,peripheral
HOME DEPOT,2,0.037906,-0.6785,0.6495,0.003158,0.025599,non_hub_connector
PUBLIX SUPER MARKETS,2,0.037479,-0.6966,0.0921,0.00206,0.022136,peripheral
ENERGY TRANSFER,3,0.036149,-0.4838,0.2245,0.003503,0.024056,peripheral
STANLEY BLACK & DECKER,0,0.034845,-0.9149,0.0,0.001401,0.021227,ultra_peripheral
WEYERHAEUSER,0,0.034536,1.3114,0.1533,0.004189,0.025654,peripheral
NORTHERN TRUST,2,0.032981,-0.784,0.3117,0.002623,0.023785,peripheral
GENERAL MOTORS,0,0.031094,0.0746,0.5515,0.003027,0.031798,peripheral
DUKE ENERGY,1,0.030364,-1.1351,0.3399,0.004225,0.045374,peripheral
BLACKSTONE GROUP,4,0.029345,0.3003,0.4311,0.003343,0.025496,peripheral
FIFTH THIRD BANCORP,2,0.02906,-0.8744,0.0,0.002417,0.02144,ultra_peripheral
EDISON INTERNATIONAL,0,0.028999,0.4008,0.3831,0.003217,0.025727,peripheral
DAVITA,3,0.028519,-0.5493,0.4027,0.002633,0.025271,peripheral
COMCAST,0,0.028037,-0.9568,0.0,0.001535,0.021165,ultra_peripheral
MARATHON PETROLEUM,0,0.027078,-0.0821,0.3625,0.002297,0.025873,peripheral
CSX,0,0.025273,0.0147,0.1711,0.002581,0.023584,peripheral
BOEING,4,0.024501,-0.5074,0.7823,0.003882,0.03487,non_hub_connector
ELI LILLY,4,0.023822,-0.5179,0.5132,0.002376,0.024357,peripheral
NORFOLK SOUTHERN,0,0.02321,-0.0536,0.0,0.002372,0.022353,ultra_peripheral
BIOGEN,4,0.022875,-0.563,0.3345,0.002023,0.022057,peripheral
VERIZON,0,0.022302,-0.5404,0.5477,0.002692,0.025434,peripheral
DISCOVER FINANCIAL SERVICES,0,0.021859,-0.7241,0.0388,0.002155,0.021458,ultra_peripheral
RITE AID,4,0.021681,-0.7435,0.1754,0.001714,0.021344,peripheral
BERKSHIRE HATHAWAY,0,0.019777,-0.9015,0.7028,0.002506,0.029782,non_hub_connector
COCA-COLA,0,0.019682,0.9564,0.2618,0.004655,0.025548,peripheral
AMERICAN ELECTRIC POWER,1,0.01956,-1.2318,0.2518,0.003246,0.036496,peripheral
HUMANA,4,0.019213,0.7222,0.6278,0.003713,0.0358,non_hub_connector
CBS,0,0.017436,-0.8877,0.4462,0.00179,0.022473,peripheral
LABORATORY CORP. OF AMERICA,4,0.016344,-0.8093,0.7104,0.001929,0.023656,non_hub_connector
CHEVRON,1,0.015998,-1.431,0.4859,0.001997,0.033827,peripheral
MARSH & MCLENNAN,4,0.015195,-1.3387,0.4444,0.000906,0.020776,peripheral
NUCOR,0,0.014614,-0.2684,0.3294,0.002402,0.023838,peripheral
WESTERN UNION,2,0.014416,-1.2289,0.0,0.00095,0.020675,ultra_peripheral
LIBERTY MUTUAL INSURANCE GROUP,2,0.014134,-0.8712,0.5365,0.00205,0.022674,peripheral
AMERICAN FAMILY INSURANCE GROUP,2,0.013923,-0.5169,0.4894,0.002897,0.024364,peripheral
MOLINA HEALTHCARE,4,0.013828,0.3735,0.4417,0.002513,0.02867,peripheral
QUALCOMM,3,0.013407,-1.104,0.4998,0.001035,0.021376,peripheral
FOX CORP,0,0.013308,-0.8497,0.5364,0.002028,0.022663,peripheral
AMERIPRISE FINANCIAL,2,0.012093,-0.7675,0.6521,0.002482,0.025178,non_hub_connector
TESLA,1,0.011757,-1.4403,0.5687,0.002585,0.030928,peripheral
OWENS CORNING,0,0.011468,-1.2364,0.5892,0.001471,0.021722,peripheral
LOWE'S,0,0.011399,1.0497,0.3352,0.005044,0.024828,peripheral
DEAN FOODS,3,0.010901,-1.1249,0.3888,0.000912,0.020956,peripheral
KROGER,0,0.01087,0.6797,0.5296,0.005181,0.027148,peripheral
GILEAD SCIENCES,4,0.010542,-0.6932,0.7235,0.002051,0.024912,non_hub_connector
MERCK,4,0.010116,-0.6047,0.684,0.002187,0.024845,non_hub_connector
MUTUAL OF OMAHA INSURANCE,4,0.009601,0.2446,0.6782,0.004027,0.030098,non_hub_connector
PEPSICO,0,0.009438,0.5321,0.1033,0.004323,0.022979,peripheral
HCA HEALTHCARE,4,0.009305,-0.5958,0.1027,0.001756,0.021628,peripheral
MCDONALD'S,0,0.008639,0.1648,0.3538,0.00385,0.023714,peripheral
PUBLIC SERVICE ENTERPRISE GROUP,3,0.008604,-0.8478,0.562,0.002575,0.023482,peripheral
AES,1,0.008344,-1.4962,0.4513,0.001989,0.027593,peripheral
DOMINION ENERGY,1,0.00814,-1.4467,0.3252,0.002362,0.027404,peripheral
SOUTHERN,1,0.007778,-1.5327,0.0,0.001187,0.026071,ultra_peripheral
YUM BRANDS,0,0.007415,0.4035,0.5872,0.004416,0.027451,peripheral
BANK OF NEW YORK MELLON,3,0.007164,-1.1517,0.0,0.0008,0.020694,ultra_peripheral
MCKESSON,0,0.006872,-1.3985,0.0,0.000857,0.02055,ultra_peripheral
LIBERTY MEDIA,0,0.006324,-0.7516,0.0,0.003345,0.021231,ultra_peripheral
NAVIENT,0,0.006257,-1.0356,0.0,0.001865,0.020935,ultra_peripheral
CHARTER COMMUNICATIONS,0,0.005644,-0.3052,0.3753,0.002825,0.024056,peripheral
AT&T,0,0.005386,-0.4246,0.5085,0.002903,0.024574,peripheral
EBAY,2,0.004919,-1.2136,0.0,0.001088,0.020664,ultra_peripheral
SYSCO,0,0.004724,-0.5522,0.0,0.002103,0.02153,ultra_peripheral
MOLSON COORS BEVERAGE,0,0.004525,-0.4852,0.0561,0.002646,0.021835,peripheral
WHIRLPOOL,3,0.003787,-1.174,0.5,0.000834,0.020627,peripheral
IHEARTMEDIA,4,0.003467,-1.1079,0.6218,0.001194,0.021705,peripheral
LOEWS,3,0.002888,-0.6106,0.3559,0.003883,0.023333,peripheral
ALTRIA GROUP,0,0.002885,-0.9132,0.0054,0.001607,0.021123,ultra_peripheral
NORTHWESTERN MUTUAL,3,0.002834,-0.983,0.6443,0.00224,0.022304,non_hub_connector
DISH NETWORK,0,0.00227,-1.0939,0.0,0.001295,0.020881,ultra_peripheral
CENTERPOINT ENERGY,3,0.001991,-0.7599,0.1158,0.003637,0.021661,peripheral
REGIONS FINANCIAL,2,0.001859,-1.1419,0.2673,0.00172,0.020952,peripheral
AMERICAN EXPRESS,2,0.001859,-1.1419,0.0,0.00163,0.020795,ultra_peripheral
SYNCHRONY FINANCIAL,2,0.001571,-1.3097,0.4444,0.000845,0.020493,peripheral
ARAMARK,1,0.001328,-1.629,0.0,0.000768,0.021365,ultra_peripheral
CONSOLIDATED EDISON,3,0.001063,-0.8765,0.0,0.002857,0.021252,ultra_peripheral
S&P GLOBAL,0,0.00099,-1.104,0.0,0.001452,0.02082,ultra_peripheral
PEABODY ENERGY,0,0.000898,-1.3726,0.3971,0.00099,0.020856,peripheral
EVERSOURCE ENERGY,3,0.000891,-1.06,0.2033,0.001382,0.021145,peripheral
POLARIS INC,1,0.000861,-1.6061,0.0,0.000885,0.02133,ultra_peripheral
WINDSTREAM HOLDINGS,0,0.000794,-1.4229,0.4945,0.000854,0.020728,peripheral
UNITED PARCEL SERVICE,1,0.000735,-1.6364,0.0,0.000743,0.02091,ultra_peripheral
QURATE RETAIL,0,0.000673,-1.1982,0.0,0.001816,0.020695,ultra_peripheral
SEMPRA ENERGY,1,0.000535,-1.6061,0.0,0.000935,0.021044,ultra_peripheral
KIMBERLY-CLARK,0,0.000492,-1.3615,0.0,0.000874,0.020555,ultra_peripheral
ADP,0,0.000391,-1.3615,0.0,0.000898,0.020534,ultra_peripheral
ONEOK,3,7.1e-05,-1.1003,0.0,0.00143,0.020652,ultra_peripheral
