firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
CAPITAL ONE FINANCIAL,5,0.038297,-1.0607,0.6454,0.002405,0.024611,non_hub_connector
BERKSHIRE HATHAWAY,0,0.03751,-0.8287,0.6049,0.003723,0.030453,peripheral
PNC FINANCIAL SERVICES,1,0.033121,-0.7262,0.5244,0.002609,0.02721,peripheral
UNION PACIFIC,0,0.032593,-0.7492,0.4385,0.003563,0.03029,peripheral
COCA-COLA,3,0.028739,0.881,0.1821,0.006449,0.031049,peripheral
HUNTSMAN,0,0.028459,-0.9497,0.0,0.001659,0.025695,ultra_peripheral
CBS,1,0.028337,-0.9345,0.4513,0.001572,0.023163,peripheral
ILLINOIS TOOL WORKS,3,0.027323,-0.0459,0.2442,0.003575,0.028695,peripheral
NUCOR,3,0.027323,-0.0459,0.2442,0.003575,0.028695,peripheral
CENTENE,1,0.026936,0.3949,0.1723,0.004852,0.027702,peripheral
COMCAST,4,0.026674,-0.7238,0.0,0.001778,0.024752,ultra_peripheral
MOLINA HEALTHCARE,1,0.025408,0.1721,0.0132,0.003947,0.025789,ultra_peripheral
HUMANA,1,0.02461,0.3165,0.5473,0.005642,0.034686,peripheral
AMERICAN FAMILY INSURANCE GROUP,1,0.024582,-0.7897,0.439,0.001983,0.024903,peripheral
PHILLIPS 66,0,0.023606,-0.1314,0.2828,0.006146,0.032946,peripheral
AMERICAN ELECTRIC POWER,3,0.020783,-1.1846,0.7204,0.001942,0.02632,non_hub_connector
WELLS FARGO,1,0.018649,-0.4574,0.3271,0.003858,0.026814,peripheral
CHARLES SCHWAB,1,0.018217,-1.1102,0.0,0.000938,0.021528,ultra_peripheral
KELLOGG,1,0.01581,-0.7889,0.4023,0.002596,0.022812,peripheral
IBM,4,0.015574,-1.022,0.7748,0.002516,0.026623,non_hub_connector
AT&T,4,0.013916,-0.8786,0.4318,0.002413,0.024645,peripheral
PUBLIX SUPER MARKETS,1,0.011727,-1.1029,0.6194,0.001236,0.023391,peripheral
VF,0,0.011372,-1.0275,0.0,0.001923,0.023644,ultra_peripheral
CIGNA,1,0.010897,0.4475,0.201,0.005875,0.028282,peripheral
GENERAL MOTORS,0,0.010772,-0.539,0.3309,0.004248,0.028068,peripheral
FIFTH THIRD BANCORP,1,0.010251,-0.8567,0.0,0.002447,0.022117,ultra_peripheral
ARAMARK,0,0.009891,-1.0481,0.0,0.001839,0.02336,ultra_peripheral
TESLA,0,0.008545,-0.9487,0.3303,0.002442,0.024124,peripheral
MARATHON PETROLEUM,0,0.007946,-0.6697,0.2235,0.003444,0.026088,peripheral
CHEVRON,0,0.007923,-1.1349,0.6411,0.001688,0.02491,non_hub_connector
IHEARTMEDIA,4,0.007204,-1.0616,0.0,0.001155,0.021674,ultra_peripheral
CVS HEALTH,1,0.007144,0.5752,0.1685,0.006203,0.02815,peripheral
INTERNATIONAL PAPER,0,0.007083,-1.23,0.6993,0.001105,0.02324,non_hub_connector
MARSH & MCLENNAN,1,0.006116,-0.9108,0.0,0.001667,0.021876,ultra_peripheral
FOX CORP,1,0.006027,-1.1161,0.6228,0.001244,0.023485,peripheral
SYNCHRONY FINANCIAL,5,0.005744,-1.2332,0.1674,0.001523,0.021532,peripheral
LOEWS,0,0.005517,-0.9675,0.4359,0.002825,0.024281,peripheral
DISCOVER FINANCIAL SERVICES,2,0.005077,-2.1991,0.1139,0.002919,0.024759,peripheral
