firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
HILTON WORLDWIDE HOLDINGS,9,1.0,0.0,0.0,0.005814,0.024268,ultra_peripheral
VF,11,1.0,0.0,0.0,0.005814,0.02408,ultra_peripheral
LIBERTY MEDIA,10,1.0,0.0,0.0,0.005814,0.02408,ultra_peripheral
QURATE RETAIL,10,1.0,0.0,0.0,0.005814,0.02408,ultra_peripheral
STANLEY BLACK & DECKER,11,1.0,0.0,0.0,0.005814,0.02408,ultra_peripheral
MARRIOTT INTERNATIONAL,9,1.0,0.0,0.0,0.005814,0.024268,ultra_peripheral
CHARTER COMMUNICATIONS,8,0.637912,0.7918,0.0501,0.005105,0.027223,peripheral
VERIZON,8,0.632329,0.7301,0.2721,0.005524,0.028816,peripheral
KEYCORP,6,0.509607,1.4353,0.2963,0.006029,0.027663,peripheral
TRAVELERS,6,0.492066,0.8041,0.0,0.004531,0.02504,ultra_peripheral
CONSTELLATION BRANDS,6,0.492066,0.8041,0.0,0.004531,0.02504,ultra_peripheral
WELLS FARGO,6,0.492066,0.8041,0.0,0.004531,0.02504,ultra_peripheral
COCA-COLA,5,0.490126,1.7329,0.0853,0.006491,0.029488,peripheral
PEPSICO,5,0.47504,1.8663,0.1466,0.007047,0.030213,peripheral
PNC FINANCIAL SERVICES,7,0.447214,0.0,0.0,0.005814,0.025473,ultra_peripheral
ALLY FINANCIAL,7,0.447214,0.0,0.0,0.005814,0.025473,ultra_peripheral
VISA,7,0.447214,0.0,0.0,0.005814,0.025473,ultra_peripheral
SYNCHRONY FINANCIAL,7,0.447214,0.0,0.0,0.005814,0.025473,ultra_peripheral
NORTHERN TRUST,7,0.447214,0.0,0.0,0.005814,0.025473,ultra_peripheral
DEAN FOODS,5,0.443522,1.4603,0.0,0.006126,0.027987,ultra_peripheral
LOWE'S,5,0.438357,1.7898,0.1252,0.006738,0.030329,peripheral
CUMMINS,4,0.433081,1.9164,0.6504,0.010373,0.051191,non_hub_connector
HEWLETT PACKARD ENTERPRISE,4,0.429158,1.5528,0.49,0.006777,0.044844,peripheral
AT&T,8,0.406087,0.1562,0.1331,0.004876,0.026878,peripheral
TEXAS INSTRUMENTS,4,0.396276,1.3729,0.4208,0.0057,0.040534,peripheral
CMS ENERGY,2,0.387943,2.46,0.0624,0.010383,0.031618,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,4,0.387069,1.1771,0.416,0.005092,0.039639,peripheral
EVERSOURCE ENERGY,2,0.386478,1.2936,0.0536,0.0077,0.029899,peripheral
ALASKA AIR GROUP,3,0.383424,1.5692,0.1167,0.009736,0.040332,peripheral
AMERICAN AIRLINES GROUP,3,0.381345,1.5054,0.0085,0.008941,0.037772,ultra_peripheral
AMERIPRISE FINANCIAL,1,0.376784,1.9439,0.2619,0.010824,0.04905,peripheral
DUKE ENERGY,2,0.373026,1.1564,0.0437,0.007275,0.029309,ultra_peripheral
FIRSTENERGY,2,0.371515,1.3027,0.0133,0.00811,0.029303,ultra_peripheral
UNITED AIRLINES HOLDINGS,3,0.369481,1.4201,0.0,0.008682,0.037041,ultra_peripheral
MICRON TECHNOLOGY,4,0.354499,0.9723,0.287,0.004417,0.034462,peripheral
SALESFORCE,4,0.354499,0.9723,0.287,0.004417,0.034462,peripheral
PRINCIPAL FINANCIAL,1,0.348434,1.5519,0.4966,0.010401,0.057177,peripheral
AIG,1,0.348126,1.6627,0.1745,0.009319,0.043832,peripheral
SYSCO,5,0.345285,0.5324,0.0,0.004243,0.026659,ultra_peripheral
NORTHWESTERN MUTUAL,1,0.344633,1.5636,0.165,0.008161,0.045617,peripheral
XCEL ENERGY,2,0.333169,0.8457,0.0,0.006852,0.028539,ultra_peripheral
DOMINION ENERGY,2,0.333169,0.8457,0.0,0.006852,0.028539,ultra_peripheral
FORD,1,0.329731,1.3939,0.1843,0.007936,0.042557,peripheral
ALLSTATE,1,0.327727,1.4686,0.2418,0.008689,0.044858,peripheral
TIAA,1,0.326883,1.3559,0.1928,0.007418,0.045498,peripheral
BOEING,3,0.308596,1.015,0.0812,0.007865,0.037035,peripheral
LOCKHEED MARTIN,3,0.308391,1.0169,0.1225,0.008201,0.036617,peripheral
PPL,2,0.300133,0.6719,0.0,0.006491,0.028241,ultra_peripheral
MUTUAL OF OMAHA INSURANCE,1,0.280893,1.3226,0.0995,0.008331,0.040382,peripheral
FEDEX,3,0.27401,0.7129,0.0,0.006501,0.033512,ultra_peripheral
INTEL,4,0.256274,0.2833,0.0,0.003053,0.028037,ultra_peripheral
DELTA AIR LINES,3,0.248981,0.5284,0.0,0.005963,0.032587,ultra_peripheral
AECOM,3,0.248981,0.5284,0.0,0.005963,0.032587,ultra_peripheral
WEYERHAEUSER,3,0.248981,0.5284,0.0,0.005963,0.032587,ultra_peripheral
JACOBS ENGINEERING GROUP,3,0.248981,0.5284,0.0,0.005963,0.032587,ultra_peripheral
PG&E,2,0.246202,-0.0341,0.0,0.004809,0.027218,ultra_peripheral
BLACKROCK,1,0.22396,0.5637,0.067,0.004984,0.034852,peripheral
FACEBOOK,0,0.205604,0.8812,0.2177,0.014038,0.192768,peripheral
MICROSOFT,0,0.205102,0.873,0.2056,0.013976,0.192067,peripheral
LINCOLN NATIONAL,1,0.204414,0.5715,0.2939,0.005962,0.041718,peripheral
HONEYWELL INTERNATIONAL,0,0.200526,0.8773,0.0098,0.012679,0.183665,ultra_peripheral
HARTFORD FINANCIAL SERVICES,0,0.20049,0.8007,0.022,0.011431,0.183414,ultra_peripheral
AMGEN,0,0.200489,0.798,0.0163,0.011143,0.18323,ultra_peripheral
PRUDENTIAL FINANCIAL,0,0.200422,0.8015,0.3257,0.016325,0.193587,peripheral
ABBVIE,0,0.200422,0.7969,0.0612,0.012495,0.183808,peripheral
EXXONMOBIL,0,0.199879,0.7883,0.0367,0.011566,0.183041,ultra_peripheral
DELL TECHNOLOGIES,0,0.198964,0.7735,0.1137,0.012679,0.183886,peripheral
GENERAL ELECTRIC,0,0.198433,0.7653,0.092,0.012807,0.182719,peripheral
NATIONWIDE,0,0.197296,0.7472,0.0338,0.011091,0.181193,ultra_peripheral
INTERNATIONAL PAPER,0,0.195102,0.7124,0.0,0.010599,0.178735,ultra_peripheral
CATERPILLAR,0,0.191662,0.6551,0.1278,0.012808,0.178268,peripheral
GENWORTH FINANCIAL,0,0.186381,0.5676,0.0,0.010173,0.171813,ultra_peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,0,0.186381,0.5676,0.0371,0.010514,0.172513,ultra_peripheral
APPLIED MATERIALS,0,0.18275,0.495,0.1528,0.011506,0.172312,peripheral
HOLLYFRONTIER,3,0.179434,-0.0141,0.0,0.004403,0.029962,ultra_peripheral
GOLDMAN SACHS GROUP,0,0.177171,0.409,0.0197,0.01078,0.164692,ultra_peripheral
RITE AID,0,0.177171,0.409,0.0915,0.011256,0.165666,peripheral
ORACLE,0,0.177171,0.409,0.0435,0.010654,0.165005,ultra_peripheral
HUNTSMAN,0,0.177171,0.409,0.0,0.009706,0.16448,ultra_peripheral
CBS,8,0.168289,-1.678,0.4993,0.003374,0.025513,peripheral
S&P GLOBAL,0,0.158206,0.0827,0.0561,0.009535,0.150038,peripheral
METLIFE,0,0.158206,0.0827,0.0,0.008752,0.1494,ultra_peripheral
WESTERN UNION,0,0.158206,0.0827,0.0,0.008752,0.1494,ultra_peripheral
W.R. BERKLEY,0,0.158206,0.0827,0.0,0.008752,0.1494,ultra_peripheral
