quarter,label,nodes,edges,density,mean_weight,clustering,modularity,n_communities
1,2019 Q1,172,1135,0.07717938256493947,0.16723285161440316,0.14111758947090125,0.46701119757806286,12
2,2019 Q2,199,2091,0.1061367443276991,0.11826073791935077,0.11580754618843407,0.3221156188268777,12
3,2019 Q3,204,2187,0.10562155896841495,0.10043146038284287,0.09914723291186672,0.3249321707918241,9
4,2019 Q4,211,2801,0.12642744301512074,0.11576741270313866,0.08160620848869261,0.2675880407377332,9
5,2020 Q1,208,1508,0.07004830917874397,0.08924924766561411,0.07362648526045348,0.382245398546391,13
6,2020 Q2,202,1635,0.08053790453672233,0.07594089035792416,0.08747718793769202,0.348893377848853,12
7,2020 Q3,207,2147,0.10069884151775245,0.06127219910158831,0.05704501586628443,0.22666542867301756,12
8,2020 Q4,206,2160,0.10229694529955008,0.07514018026977078,0.06733594285490652,0.2678161436899862,13
