firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
CELANESE,11,1.0,0.0,0.0,0.004854,0.023378,ultra_peripheral
MARRIOTT INTERNATIONAL,11,1.0,0.0,0.0,0.004854,0.023378,ultra_peripheral
MARSH & MCLENNAN,12,1.0,0.0,0.0,0.004854,0.023378,ultra_peripheral
USAA,12,1.0,0.0,0.0,0.004854,0.023378,ultra_peripheral
MOLSON COORS BEVERAGE,10,0.707107,1.2083,0.0,0.006548,0.024604,ultra_peripheral
ECOLAB,8,0.70094,1.7825,0.2567,0.003971,0.028083,peripheral
SHERWIN-WILLIAMS,8,0.667402,0.7367,0.6342,0.003657,0.033832,non_hub_connector
ALTRIA GROUP,10,0.637424,0.0323,0.1082,0.004619,0.024119,peripheral
ILLINOIS TOOL WORKS,9,0.624292,0.7071,0.1413,0.00427,0.024959,peripheral
WHIRLPOOL,9,0.624292,0.7071,0.3033,0.004355,0.026773,peripheral
CONSTELLATION BRANDS,7,0.505432,1.4586,0.1295,0.004901,0.028019,peripheral
BANK OF NEW YORK MELLON,7,0.495742,1.4025,0.3332,0.005532,0.029492,peripheral
CITIGROUP,2,0.478545,2.2563,0.0956,0.006283,0.031175,peripheral
BANK OF AMERICA,2,0.478479,1.9026,0.2138,0.006476,0.031206,peripheral
GILEAD SCIENCES,1,0.475603,2.651,0.5383,0.008543,0.054633,connector_hub
PROCTER & GAMBLE,9,0.469595,-1.4142,0.0,0.002918,0.024158,ultra_peripheral
PNC FINANCIAL SERVICES,2,0.460796,1.3029,0.0721,0.004927,0.028966,peripheral
WELLS FARGO,7,0.440347,0.7501,0.2347,0.003974,0.026696,peripheral
LINCOLN NATIONAL,7,0.439229,1.5238,0.0835,0.00495,0.027786,peripheral
FIFTH THIRD BANCORP,2,0.436943,1.1168,0.1637,0.005001,0.028791,peripheral
NORTHROP GRUMMAN,0,0.421164,3.0195,0.4328,0.00872,0.042814,connector_hub
PPL,5,0.409813,1.593,0.5409,0.013847,0.192807,peripheral
AMERICAN ELECTRIC POWER,5,0.392456,1.425,0.2192,0.00804,0.102182,peripheral
MOLINA HEALTHCARE,1,0.380172,1.6633,0.565,0.006909,0.050076,peripheral
BALL,0,0.372966,2.557,0.505,0.007646,0.043882,connector_hub
XCEL ENERGY,5,0.362394,1.1705,0.0786,0.006746,0.083481,peripheral
