firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
NAVIENT,10,1.0,0.0,0.0,0.00495,0.025029,ultra_peripheral
MARSH & MCLENNAN,11,1.0,0.0,0.0,0.00495,0.025699,ultra_peripheral
USAA,11,1.0,0.0,0.0,0.00495,0.025699,ultra_peripheral
LIBERTY MEDIA,10,1.0,0.0,0.0,0.00495,0.025029,ultra_peripheral
GRAPHIC PACKAGING HOLDING,8,0.658155,1.2387,0.1955,0.00632,0.032103,peripheral
WESTROCK,8,0.650444,0.9648,0.035,0.005044,0.03057,ultra_peripheral
REGIONS FINANCIAL,9,0.57735,0.0,0.0,0.00495,0.026954,ultra_peripheral
VISA,9,0.57735,0.0,0.0,0.00495,0.026954,ultra_peripheral
STATE STREET CORP.,9,0.57735,0.0,0.0,0.00495,0.026954,ultra_peripheral
ONEOK,7,0.519382,1.2624,0.2108,0.003856,0.029684,peripheral
MARATHON PETROLEUM,7,0.519382,1.2624,0.2108,0.003856,0.029684,peripheral
ALLY FINANCIAL,1,0.439541,2.4081,0.2123,0.008877,0.060628,peripheral
DTE ENERGY,3,0.428656,2.0266,0.0416,0.010334,0.11055,ultra_peripheral
LINCOLN NATIONAL,0,0.426823,2.029,0.1374,0.00689,0.062914,peripheral
TEXAS INSTRUMENTS,5,0.400109,1.9978,0.2768,0.010309,0.089445,peripheral
AMAZON,5,0.39455,1.7265,0.093,0.008218,0.080254,peripheral
HILTON WORLDWIDE HOLDINGS,1,0.393036,1.0794,0.1546,0.006218,0.047771,peripheral
MCDONALD'S,2,0.392729,1.4569,0.4962,0.00884,0.058353,peripheral
QUEST DIAGNOSTICS,2,0.390131,1.5193,0.4851,0.008738,0.062088,peripheral
INTERNATIONAL PAPER,2,0.387884,1.3762,0.4099,0.007857,0.056699,peripheral
MICROSOFT,5,0.384836,1.6671,0.1398,0.00837,0.082584,peripheral
DANAHER,1,0.384131,0.9017,0.2021,0.006233,0.049759,peripheral
HEWLETT PACKARD ENTERPRISE,5,0.383401,1.4803,0.1432,0.007462,0.079987,peripheral
LABORATORY CORP. OF AMERICA,1,0.383369,0.7769,0.2103,0.005507,0.049322,peripheral
CORNING,7,0.37726,-0.0563,0.6604,0.003776,0.037948,non_hub_connector
LOEWS,7,0.375814,-0.0999,0.468,0.003175,0.031308,peripheral
EXXONMOBIL,8,0.369018,0.0471,0.5495,0.004648,0.032177,peripheral
BOSTON SCIENTIFIC,2,0.367593,1.0879,0.0875,0.005245,0.04812,peripheral
BALL,4,0.366787,2.0236,0.3573,0.012284,0.117983,peripheral
GILEAD SCIENCES,2,0.366226,2.0223,0.3932,0.008527,0.068954,peripheral
CITIZENS FINANCIAL GROUP,1,0.36497,0.7726,0.0537,0.005169,0.04462,peripheral
ALPHABET,5,0.364791,1.4491,0.0304,0.007291,0.074157,ultra_peripheral
DUKE ENERGY,3,0.353303,1.1087,0.0697,0.007849,0.092053,peripheral
XCEL ENERGY,3,0.351996,1.3664,0.1098,0.009062,0.095223,peripheral
BOOZ ALLEN HAMILTON,4,0.351197,1.562,0.1213,0.008667,0.103081,peripheral
CSX,2,0.350206,2.054,0.1771,0.007525,0.058772,peripheral
CUMMINS,4,0.345292,1.5082,0.2018,0.009084,0.103619,peripheral
SALESFORCE,5,0.340525,1.2479,0.0661,0.006721,0.070575,peripheral
CMS ENERGY,3,0.339444,0.9287,0.1371,0.007618,0.090117,peripheral
LEIDOS HOLDINGS,4,0.337642,1.5658,0.1399,0.008847,0.102275,peripheral
WELLS FARGO,0,0.335128,1.7625,0.0,0.006741,0.04578,ultra_peripheral
ENTERGY,3,0.324695,1.3663,0.2308,0.009822,0.097028,peripheral
PNC FINANCIAL SERVICES,0,0.323642,0.973,0.2158,0.005724,0.047917,peripheral
PRUDENTIAL FINANCIAL,6,0.316217,1.3973,0.2756,0.011773,0.232366,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,5,0.316156,0.9398,0.0,0.005479,0.0646,ultra_peripheral
HARTFORD FINANCIAL SERVICES,6,0.314301,1.1836,0.207,0.010607,0.222661,peripheral
CONSTELLATION BRANDS,0,0.311886,0.7953,0.0257,0.0048,0.041922,ultra_peripheral
NATIONWIDE,6,0.310079,0.8392,0.0646,0.007902,0.213582,peripheral
FACEBOOK,6,0.30885,0.7873,0.2443,0.009034,0.219109,peripheral
MUTUAL OF OMAHA INSURANCE,0,0.307644,1.6311,0.4428,0.008495,0.064783,peripheral
BANK OF NEW YORK MELLON,0,0.305976,0.8053,0.1228,0.005058,0.043306,peripheral
MICRON TECHNOLOGY,4,0.298886,1.1373,0.1551,0.008284,0.093156,peripheral
HOME DEPOT,0,0.297362,0.9362,0.5984,0.007665,0.068437,peripheral
ABBVIE,6,0.295387,0.6635,0.244,0.008577,0.209984,peripheral
PUBLIX SUPER MARKETS,0,0.290636,0.5733,0.0668,0.004201,0.04807,peripheral
W.R. BERKLEY,6,0.289088,0.6056,0.0,0.006912,0.198649,ultra_peripheral
CHS,6,0.289088,0.6056,0.1633,0.007996,0.202031,peripheral
APPLIED MATERIALS,6,0.289088,0.6056,0.4919,0.011969,0.238857,peripheral
GOLDMAN SACHS GROUP,6,0.273231,0.4568,0.0512,0.006824,0.189635,peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,6,0.273231,0.4568,0.0,0.006554,0.188866,ultra_peripheral
NORTHROP GRUMMAN,4,0.253718,1.0842,0.2478,0.0085,0.092243,peripheral
AMERICAN ELECTRIC POWER,3,0.253707,1.327,0.0037,0.008448,0.083352,ultra_peripheral
PHILLIPS 66,7,0.252373,0.5615,0.2991,0.003244,0.0297,peripheral
AMERICAN AIRLINES GROUP,4,0.250774,0.4825,0.0678,0.005679,0.075773,peripheral
U.S. BANCORP,0,0.249928,0.3741,0.0,0.004117,0.037725,ultra_peripheral
HUMANA,1,0.244419,0.9592,0.5544,0.00824,0.058005,peripheral
NEXTERA ENERGY,6,0.241397,0.1566,0.0,0.005839,0.169454,ultra_peripheral
GENWORTH FINANCIAL,6,0.241397,0.1566,0.0514,0.006128,0.170129,peripheral
