firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
CHEMOURS,9,1.0,0.0,0.0,0.004808,0.027235,ultra_peripheral
KEURIG DR PEPPER,12,1.0,0.0,0.0,0.004808,0.027235,ultra_peripheral
EMERSON ELECTRIC,9,1.0,0.0,0.0,0.004808,0.027235,ultra_peripheral
ARAMARK,8,1.0,0.0,0.0,0.004808,0.02853,ultra_peripheral
GAP,11,1.0,0.0,0.0,0.004808,0.027235,ultra_peripheral
DEERE,10,1.0,0.0,0.0,0.004808,0.028311,ultra_peripheral
LAND O'LAKES,10,1.0,0.0,0.0,0.004808,0.028311,ultra_peripheral
NIKE,11,1.0,0.0,0.0,0.004808,0.027235,ultra_peripheral
JACOBS ENGINEERING GROUP,8,1.0,0.0,0.0,0.004808,0.02853,ultra_peripheral
WASTE MANAGEMENT,12,1.0,0.0,0.0,0.004808,0.027235,ultra_peripheral
CSX,6,0.61555,1.2501,0.324,0.0065,0.037553,peripheral
UNION PACIFIC,6,0.612329,1.2087,0.1648,0.005901,0.035861,peripheral
STATE STREET CORP.,7,0.57735,0.0,0.0,0.004808,0.028616,ultra_peripheral
VISA,7,0.57735,0.0,0.0,0.004808,0.028616,ultra_peripheral
ALLY FINANCIAL,7,0.57735,0.0,0.0,0.004808,0.028616,ultra_peripheral
CMS ENERGY,1,0.431291,2.6394,0.2603,0.012308,0.070693,provincial_hub
INTERNATIONAL PAPER,4,0.416771,1.953,0.4089,0.012391,0.063972,peripheral
DTE ENERGY,1,0.415374,2.3008,0.3738,0.012657,0.070167,peripheral
CENTENE,2,0.414356,2.3144,0.3374,0.007756,0.048881,peripheral
NORFOLK SOUTHERN,6,0.405276,-0.0076,0.0,0.003154,0.031321,ultra_peripheral
XCEL ENERGY,1,0.398052,2.4585,0.0691,0.010292,0.064248,peripheral
MAGELLAN HEALTH,2,0.390681,1.7634,0.1047,0.005788,0.04126,peripheral
NEW YORK LIFE INSURANCE,0,0.383011,2.2976,0.0,0.008224,0.043632,ultra_peripheral
ENTERGY,1,0.380069,2.2174,0.179,0.010425,0.063848,peripheral
GILEAD SCIENCES,4,0.371097,1.0671,0.4009,0.008632,0.054922,peripheral
MICROSOFT,5,0.36979,0.926,0.253,0.007901,0.078219,peripheral
HEWLETT PACKARD ENTERPRISE,5,0.368601,0.9173,0.2645,0.007897,0.079021,peripheral
