firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
TRAVELERS,0,0.206319,1.0922,0.0951,0.005884,peripheral
M&T BANK CORP.,0,0.204674,1.048,0.0,0.005457,ultra_peripheral
J.M. SMUCKER,6,0.194256,0.376,0.1589,0.003826,peripheral
PUBLIC SERVICE ENTERPRISE GROUP,1,0.192264,0.5985,0.0453,0.004927,ultra_peripheral
WELLCARE HEALTH PLANS,5,0.191781,0.3641,0.0766,0.005331,peripheral
WEYERHAEUSER,4,0.190573,-0.1955,0.5267,0.004279,peripheral
CIGNA,5,0.189311,0.6507,0.1783,0.006534,peripheral
OSHKOSH,4,0.187531,0.2899,0.3703,0.004139,peripheral
KELLOGG,6,0.185762,0.4161,0.3512,0.004659,peripheral
NORTHWESTERN MUTUAL,0,0.185233,0.6633,0.549,0.007155,peripheral
SOUTHWEST AIRLINES,4,0.183405,-0.1174,0.0,0.002939,ultra_peripheral
BANK OF AMERICA,0,0.17747,0.4058,0.2346,0.004558,peripheral
CALPINE,1,0.176578,0.0951,0.1223,0.00418,peripheral
FEDEX,4,0.176162,-0.1945,0.2925,0.003396,peripheral
CONSTELLATION BRANDS,0,0.175782,0.6619,0.0,0.004678,ultra_peripheral
CHENIERE ENERGY,1,0.172931,0.5765,0.0546,0.004978,peripheral
CITIZENS FINANCIAL GROUP,0,0.172271,0.7401,0.0,0.004909,ultra_peripheral
LOCKHEED MARTIN,4,0.17192,0.651,0.1848,0.004161,peripheral
SYNCHRONY FINANCIAL,8,0.169798,-2.3058,0.2561,0.002933,peripheral
GOODYEAR TIRE & RUBBER,4,0.16977,-0.1331,0.3498,0.00344,peripheral
EXELON,1,0.168359,0.0432,0.0588,0.003978,peripheral
MASTERCARD,3,0.167252,-0.4942,0.6264,0.003259,non_hub_connector
GENERAL MILLS,3,0.164928,0.3648,0.5573,0.004179,peripheral
DELL TECHNOLOGIES,3,0.164225,0.3654,0.5197,0.004405,peripheral
COCA-COLA,6,0.164049,-0.8001,0.2025,0.001991,peripheral
ONEOK,1,0.16281,0.4557,0.0575,0.004775,peripheral
MCDONALD'S,6,0.162745,-0.2864,0.496,0.002978,peripheral
FLUOR,4,0.159243,-0.1622,0.5471,0.004013,peripheral
UNITED HEALTH GROUP,5,0.157752,0.2782,0.044,0.005118,ultra_peripheral
INTUIT,2,0.155638,0.0588,0.1107,0.003673,peripheral
BLACKSTONE GROUP,5,0.155026,0.4623,0.1935,0.006353,peripheral
AMERIPRISE FINANCIAL,0,0.15452,0.5974,0.2619,0.005572,peripheral
BRISTOL-MYERS SQUIBB,5,0.152894,-0.1467,0.0,0.004195,ultra_peripheral
AES,4,0.152279,-0.538,0.4623,0.003335,peripheral
UNITED PARCEL SERVICE,6,0.15152,-0.1841,0.4582,0.003617,peripheral
FORD,0,0.150943,0.0183,0.5274,0.005323,peripheral
ELI LILLY,5,0.149349,0.2913,0.1977,0.005846,peripheral
BOSTON SCIENTIFIC,3,0.148846,0.6049,0.2742,0.003779,peripheral
IBM,2,0.148787,0.1559,0.3861,0.00436,peripheral
BALL,4,0.148631,-0.2367,0.7623,0.006318,non_hub_connector
APPLE,2,0.144882,0.375,0.1447,0.004279,peripheral
YUM BRANDS,6,0.139923,0.3169,0.2522,0.003126,peripheral
MARATHON PETROLEUM,1,0.139441,0.3915,0.2405,0.005379,peripheral
AK STEEL HOLDING,7,0.135903,-0.4543,0.5173,0.003549,peripheral
BERKSHIRE HATHAWAY,1,0.135131,0.4027,0.0505,0.005164,peripheral
CITIGROUP,0,0.133476,0.2316,0.3712,0.005146,peripheral
WESTERN DIGITAL,2,0.132441,0.2359,0.1454,0.003767,peripheral
HUNTSMAN,4,0.132233,-0.7139,0.6838,0.003918,non_hub_connector
