firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
HILTON WORLDWIDE HOLDINGS,7,0.654033,0.8568,0.0,0.004582,0.025081,ultra_peripheral
MARRIOTT INTERNATIONAL,7,0.649558,1.1011,0.0,0.005099,0.025247,ultra_peripheral
ABBOTT LABORATORIES,8,0.537623,0.6564,0.064,0.005148,0.025345,peripheral
LAND O'LAKES,8,0.537623,0.6564,0.064,0.005148,0.025345,peripheral
DEERE,8,0.523447,0.4104,0.0,0.004895,0.025168,ultra_peripheral
CIGNA,6,0.465737,1.6251,0.2324,0.00703,0.033621,peripheral
CVS HEALTH,6,0.461331,1.8827,0.0714,0.007485,0.0327,peripheral
DTE ENERGY,4,0.448538,2.2018,0.091,0.007222,0.039991,peripheral
HOME DEPOT,3,0.430705,1.2024,0.3809,0.006029,0.030374,peripheral
PEPSICO,3,0.427542,1.5058,0.2058,0.006527,0.029608,peripheral
DEAN FOODS,3,0.426614,1.129,0.2433,0.005457,0.029168,peripheral
LOWE'S,3,0.416763,1.6,0.0746,0.006031,0.029204,peripheral
PPL,4,0.413811,1.5658,0.0503,0.005921,0.037294,peripheral
WALMART,6,0.41134,1.6618,0.0526,0.006645,0.032096,peripheral
AMERISOURCEBERGEN,6,0.409329,1.0392,0.0402,0.00529,0.030197,ultra_peripheral
RITE AID,6,0.397633,1.448,0.0363,0.006176,0.030731,ultra_peripheral
ARCHER DANIELS MIDLAND,8,0.384613,-1.7233,0.0,0.003584,0.024454,ultra_peripheral
XCEL ENERGY,4,0.381927,1.3257,0.532,0.007722,0.048579,peripheral
JPMORGAN CHASE & CO.,0,0.365098,2.2735,0.1641,0.008351,0.050619,peripheral
MICROSOFT,5,0.361732,1.6397,0.3178,0.008681,0.069402,peripheral
FIRSTENERGY,4,0.349826,0.8795,0.2562,0.005506,0.036491,peripheral
HEWLETT PACKARD ENTERPRISE,5,0.343659,1.3352,0.4683,0.008845,0.076481,peripheral
LOEWS,7,0.336654,-0.7175,0.4943,0.002827,0.024636,peripheral
SYSCO,3,0.330804,0.3931,0.0,0.003716,0.026765,ultra_peripheral
INTEL,5,0.322183,1.1943,0.2593,0.006842,0.060967,peripheral
CUMMINS,5,0.321762,1.1161,0.4393,0.007841,0.066456,peripheral
AMAZON,5,0.31858,1.1923,0.2834,0.007235,0.063747,peripheral
WEYERHAEUSER,3,0.317222,1.6143,0.3006,0.005684,0.033078,peripheral
GENERAL DYNAMICS,1,0.312938,1.7398,0.3686,0.011676,0.081275,peripheral
ALPHABET,5,0.312741,1.2035,0.2034,0.00722,0.061057,peripheral
FLUOR,1,0.305186,1.4878,0.1783,0.009488,0.068012,peripheral
LOCKHEED MARTIN,1,0.302689,1.4214,0.4515,0.011419,0.079669,peripheral
LEIDOS HOLDINGS,1,0.298916,1.4524,0.3589,0.010572,0.073912,peripheral
COGNIZANT TECHNOLOGY SOLUTIONS,5,0.298735,0.9272,0.3291,0.006311,0.059451,peripheral
KEYCORP,0,0.296425,1.3556,0.2188,0.006628,0.048209,peripheral
TEXAS INSTRUMENTS,5,0.293963,0.8992,0.4014,0.006618,0.064103,peripheral
HOLLYFRONTIER,1,0.290301,1.3039,0.1167,0.008562,0.064083,peripheral
CISCO SYSTEMS,5,0.28912,0.9557,0.1693,0.006112,0.056363,peripheral
NEW YORK LIFE INSURANCE,0,0.28573,1.3184,0.1643,0.006368,0.043005,peripheral
WELLS FARGO,0,0.278996,1.1603,0.2032,0.006165,0.045208,peripheral
ENTERGY,1,0.273478,1.0945,0.5773,0.012715,0.07826,peripheral
AIG,0,0.27316,1.6297,0.1891,0.007008,0.047667,peripheral
MICRON TECHNOLOGY,1,0.269799,1.1111,0.0343,0.007937,0.05864,ultra_peripheral
CMS ENERGY,4,0.264747,0.7162,0.061,0.004643,0.033739,peripheral
BANK OF AMERICA,0,0.263488,1.4446,0.2262,0.006658,0.047708,peripheral
NORTHROP GRUMMAN,1,0.260806,1.3482,0.4186,0.01164,0.078136,peripheral
FORD,0,0.256267,1.2416,0.3971,0.006937,0.047441,peripheral
DOMINION ENERGY,4,0.250494,0.0365,0.2901,0.004165,0.032071,peripheral
PG&E,4,0.24211,0.8217,0.2955,0.005406,0.037765,peripheral
AIR PRODUCTS & CHEMICALS,1,0.238566,0.7341,0.0,0.006504,0.052588,ultra_peripheral
EXELON,4,0.236276,1.4924,0.1514,0.006453,0.041396,peripheral
PPG INDUSTRIES,2,0.234953,0.8567,0.3758,0.013209,0.205438,peripheral
IBM,2,0.234295,0.8501,0.235,0.011212,0.199988,peripheral
BOEING,2,0.234133,0.8064,0.2668,0.011212,0.199824,peripheral
GENERAL ELECTRIC,2,0.233692,0.7929,0.3323,0.011995,0.201319,peripheral
HONEYWELL INTERNATIONAL,2,0.230799,0.7993,0.1686,0.010064,0.195035,peripheral
CATERPILLAR,2,0.230777,0.7613,0.1728,0.009996,0.193756,peripheral
FACEBOOK,2,0.228975,0.745,0.3513,0.011678,0.20418,peripheral
DELL TECHNOLOGIES,2,0.228542,0.8011,0.1532,0.010579,0.19236,peripheral
HARTFORD FINANCIAL SERVICES,2,0.227173,0.7184,0.0863,0.009112,0.188531,peripheral
NATIONWIDE,2,0.227128,0.7179,0.1355,0.009567,0.189603,peripheral
ABBVIE,2,0.226767,0.7135,0.2419,0.011013,0.192144,peripheral
PRUDENTIAL FINANCIAL,2,0.226047,0.7053,0.3432,0.01201,0.19696,peripheral
DUKE ENERGY,4,0.225914,0.6959,0.6001,0.00687,0.043826,peripheral
WALGREENS BOOTS ALLIANCE,6,0.225405,-0.198,0.0,0.003038,0.02626,ultra_peripheral
BLACKROCK,0,0.221682,1.0563,0.4022,0.006852,0.044056,peripheral
SALESFORCE,5,0.215702,0.3133,0.1636,0.004178,0.045301,peripheral
CITIGROUP,2,0.215683,0.5887,0.2893,0.010818,0.186023,peripheral
WESTROCK,1,0.213714,0.6121,0.1285,0.006464,0.053882,peripheral
GRAPHIC PACKAGING HOLDING,1,0.213714,0.6121,0.1285,0.006464,0.053882,peripheral
APPLIED MATERIALS,2,0.206197,0.4767,0.3686,0.010626,0.186257,peripheral
AMERIPRISE FINANCIAL,0,0.204004,0.9595,0.3152,0.006112,0.048643,peripheral
WESTERN UNION,2,0.203674,0.449,0.0831,0.008222,0.171402,peripheral
NEXTERA ENERGY,2,0.201581,0.4233,0.1169,0.008494,0.17048,peripheral
TIAA,0,0.20064,0.787,0.278,0.005161,0.047071,peripheral
PRINCIPAL FINANCIAL,0,0.198112,0.6782,0.4544,0.00557,0.048843,peripheral
CHEVRON,1,0.19766,0.4878,0.2969,0.006838,0.055155,peripheral
ALLSTATE,0,0.195717,0.8105,0.2078,0.005721,0.042932,peripheral
IHEARTMEDIA,7,0.1923,-1.2404,0.38,0.00183,0.023863,peripheral
W.R. BERKLEY,2,0.188732,0.273,0.0,0.007216,0.158904,ultra_peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,2,0.188732,0.273,0.0,0.007216,0.158904,ultra_peripheral
GOLDMAN SACHS GROUP,2,0.188732,0.273,0.0265,0.007504,0.159224,ultra_peripheral
ORACLE,5,0.187349,0.2265,0.6245,0.007539,0.068497,peripheral
CONSTELLATION BRANDS,0,0.183912,0.1529,0.0319,0.00367,0.032459,ultra_peripheral
LINCOLN NATIONAL,0,0.183735,0.7175,0.2296,0.005778,0.041148,peripheral
RAYTHEON,0,0.182734,0.6476,0.6306,0.007638,0.050175,non_hub_connector
PNC FINANCIAL SERVICES,0,0.170738,0.9594,0.1623,0.0077,0.039013,peripheral
METLIFE,2,0.16499,-0.0099,0.0,0.006417,0.141763,ultra_peripheral
GENERAL MOTORS,4,0.155931,0.7621,0.2676,0.005421,0.034982,peripheral
BALL,1,0.148608,0.2796,0.3586,0.007176,0.054492,peripheral
CONSOLIDATED EDISON,1,0.146009,-0.05,0.4514,0.006392,0.046116,peripheral
DAVITA,1,0.135209,-0.1461,0.2706,0.004885,0.041832,peripheral
CAPITAL ONE FINANCIAL,0,0.132077,-0.2213,0.5006,0.003886,0.041064,peripheral
ALASKA AIR GROUP,3,0.131346,0.4784,0.6794,0.005162,0.037463,non_hub_connector
CORNING,1,0.128434,-0.1772,0.6457,0.007587,0.055728,non_hub_connector
USAA,0,0.127454,0.0224,0.2595,0.00366,0.032775,peripheral
FEDEX,3,0.125487,0.261,0.5007,0.004589,0.030874,peripheral
BEST BUY,2,0.120632,-0.5368,0.0,0.004933,0.109812,ultra_peripheral
OWENS-ILLINOIS,2,0.120632,-0.5368,0.0,0.004933,0.109812,ultra_peripheral
BORGWARNER,2,0.120632,-0.5368,0.0,0.004933,0.109812,ultra_peripheral
COSTCO,2,0.120632,-0.5368,0.0,0.004933,0.109812,ultra_peripheral
GILEAD SCIENCES,1,0.118644,-0.279,0.4107,0.004853,0.044995,peripheral
MUTUAL OF OMAHA INSURANCE,0,0.113642,-0.224,0.5497,0.005186,0.035325,peripheral
THERMO FISHER SCIENTIFIC,1,0.111745,-0.3471,0.3322,0.004252,0.042104,peripheral
HUNTSMAN,1,0.103435,-0.6197,0.0,0.002707,0.03485,ultra_peripheral
AECOM,1,0.101407,-0.2312,0.4033,0.005346,0.046266,peripheral
NORTHERN TRUST,0,0.096523,-0.2791,0.0,0.002661,0.028989,ultra_peripheral
PHILLIPS 66,4,0.090358,0.2397,0.5519,0.005509,0.037896,peripheral
MARATHON PETROLEUM,4,0.0844,0.0469,0.2491,0.004128,0.030546,peripheral
KROGER,3,0.081485,0.2058,0.292,0.005052,0.027026,peripheral
YUM BRANDS,3,0.081243,-0.2132,0.1275,0.003649,0.025484,peripheral
DELTA AIR LINES,1,0.078443,-0.7885,0.7116,0.004539,0.040768,non_hub_connector
UNITED TECHNOLOGIES,0,0.065746,-0.7179,0.7235,0.003538,0.039586,non_hub_connector
U.S. BANCORP,0,0.065361,-0.7174,0.3654,0.002652,0.027379,peripheral
ENERGY TRANSFER,1,0.064701,-0.6654,0.1898,0.003728,0.033109,peripheral
ECOLAB,3,0.062809,1.2126,0.6514,0.006687,0.038551,non_hub_connector
ILLINOIS TOOL WORKS,4,0.062707,-0.3117,0.3225,0.003633,0.033777,peripheral
AMEREN,4,0.061918,0.1256,0.2276,0.00412,0.030749,peripheral
COCA-COLA,4,0.060947,-0.2977,0.5812,0.006416,0.036654,peripheral
BRISTOL-MYERS SQUIBB,6,0.060208,-1.0166,0.2705,0.001673,0.025558,peripheral
NUCOR,4,0.059621,-0.3613,0.2529,0.00339,0.03319,peripheral
JOHNSON & JOHNSON,6,0.059407,-1.1102,0.5115,0.001686,0.026778,peripheral
AMGEN,6,0.058813,-1.117,0.541,0.001838,0.029919,peripheral
BIOGEN,6,0.058518,-0.887,0.0,0.001908,0.024364,ultra_peripheral
MCDONALD'S,3,0.05286,-0.5516,0.0,0.002828,0.0247,ultra_peripheral
TESLA,4,0.049579,-0.7832,0.6825,0.003808,0.030496,non_hub_connector
INTERNATIONAL PAPER,3,0.048976,-0.8145,0.766,0.003073,0.030688,non_hub_connector
AMERICAN ELECTRIC POWER,4,0.046961,-0.7543,0.6858,0.003997,0.033253,non_hub_connector
TEXTRON,1,0.046759,-0.8269,0.4339,0.002931,0.033765,peripheral
MOLSON COORS BEVERAGE,3,0.046705,-1.2247,0.4999,0.002192,0.024462,peripheral
MOTOROLA SOLUTIONS,5,0.044963,-0.8549,0.747,0.003066,0.03579,non_hub_connector
BECTON DICKINSON,3,0.04482,0.6488,0.5438,0.004751,0.036559,peripheral
CARDINAL HEALTH,3,0.043657,1.09,0.2534,0.005537,0.030715,peripheral
BOSTON SCIENTIFIC,3,0.042462,0.5838,0.2544,0.003922,0.029454,peripheral
ELI LILLY,6,0.042262,-0.427,0.0,0.002692,0.025778,ultra_peripheral
MAGELLAN HEALTH,6,0.041514,-0.2609,0.3281,0.003043,0.028862,peripheral
JACOBS ENGINEERING GROUP,1,0.038955,-0.787,0.4338,0.003698,0.034333,peripheral
NORTHWESTERN MUTUAL,0,0.037832,-0.8975,0.5751,0.002126,0.028904,peripheral
MERCK,6,0.037293,-0.4139,0.4983,0.003123,0.030472,peripheral
3M,6,0.037248,-0.4147,0.7906,0.005231,0.040175,non_hub_connector
BLACKSTONE GROUP,6,0.036203,0.5505,0.1596,0.005233,0.029996,peripheral
FIFTH THIRD BANCORP,0,0.035319,-0.905,0.2449,0.00184,0.026782,peripheral
AMERICAN AIRLINES GROUP,3,0.032946,-0.201,0.5471,0.003247,0.029229,peripheral
HUMANA,6,0.032774,0.8688,0.4509,0.00549,0.033644,peripheral
PUBLIX SUPER MARKETS,0,0.028942,-0.9627,0.4122,0.001726,0.027022,peripheral
CHARLES SCHWAB,0,0.028459,-1.0468,0.0,0.001231,0.024422,ultra_peripheral
AMERICAN FAMILY INSURANCE GROUP,0,0.028356,-0.9991,0.6104,0.001737,0.029051,peripheral
CENTENE,6,0.026538,0.0943,0.4755,0.004041,0.030343,peripheral
S&P GLOBAL,3,0.026049,-1.3554,0.0,0.001278,0.02331,ultra_peripheral
UNION PACIFIC,4,0.024364,-0.4911,0.426,0.003809,0.029612,peripheral
OSHKOSH,1,0.024359,-1.1431,0.0,0.00144,0.02578,ultra_peripheral
LUMEN TECHNOLOGIES,5,0.024086,-0.7196,0.4158,0.003621,0.028305,peripheral
UNITED AIRLINES HOLDINGS,3,0.0207,-0.642,0.6514,0.002707,0.029336,non_hub_connector
PUBLIC SERVICE ENTERPRISE GROUP,4,0.019896,-1.065,0.7692,0.004141,0.033799,non_hub_connector
SOUTHERN,4,0.019642,-1.476,0.1728,0.001044,0.02362,peripheral
HCA HEALTHCARE,6,0.019225,-0.2691,0.0,0.00339,0.025724,ultra_peripheral
MOLINA HEALTHCARE,6,0.019016,-0.0238,0.423,0.003695,0.02919,peripheral
BERKSHIRE HATHAWAY,4,0.01694,-0.9443,0.6443,0.003537,0.031434,non_hub_connector
CBS,5,0.016589,-0.8595,0.3312,0.002169,0.026035,peripheral
ALLY FINANCIAL,0,0.015736,-0.6781,0.0,0.003168,0.025299,ultra_peripheral
STATE STREET CORP.,0,0.015736,-0.6781,0.0,0.003168,0.025299,ultra_peripheral
AMERICAN EXPRESS,0,0.015736,-0.6781,0.0,0.003168,0.025299,ultra_peripheral
VISA,0,0.015736,-0.6781,0.0,0.003168,0.025299,ultra_peripheral
VERIZON,5,0.01495,-0.9823,0.7317,0.00183,0.028403,non_hub_connector
NAVISTAR INTERNATIONAL,6,0.014033,-0.3223,0.0,0.003238,0.025611,ultra_peripheral
SOUTHWEST AIRLINES,3,0.012885,-0.4107,0.0,0.003575,0.024883,ultra_peripheral
NCR,1,0.012327,-1.1959,0.0,0.001733,0.025045,ultra_peripheral
CHEMOURS,1,0.012327,-1.1959,0.0,0.001733,0.025045,ultra_peripheral
ADP,6,0.011673,-1.4726,0.0,0.000851,0.022983,ultra_peripheral
AES,3,0.011357,-0.5516,0.0,0.00334,0.024623,ultra_peripheral
L3HARRIS TECHNOLOGIES,3,0.011357,-0.5516,0.0,0.00334,0.024623,ultra_peripheral
LABORATORY CORP. OF AMERICA,6,0.010711,-1.2373,0.2371,0.001339,0.02371,peripheral
EVERSOURCE ENERGY,0,0.010232,-0.9773,0.612,0.002546,0.026672,peripheral
EXXONMOBIL,5,0.00964,-1.016,0.7977,0.002408,0.029557,non_hub_connector
FOX CORP,5,0.00935,-0.9306,0.3807,0.001852,0.026154,peripheral
REGIONS FINANCIAL,0,0.009292,-1.1334,0.2963,0.001276,0.02445,peripheral
AT&T,5,0.009229,-0.7769,0.2523,0.002857,0.026275,peripheral
KELLOGG,0,0.008747,-0.7629,0.345,0.003814,0.026225,peripheral
COMCAST,5,0.008675,-0.9428,0.0,0.001695,0.024247,ultra_peripheral
HP,2,0.006994,-1.9614,0.6013,0.001186,0.028858,peripheral
POLARIS INC,1,0.006707,-1.292,0.0,0.001014,0.023992,ultra_peripheral
QUALCOMM,5,0.006586,-1.053,0.0,0.001036,0.023603,ultra_peripheral
CHARTER COMMUNICATIONS,5,0.006242,-0.7511,0.2113,0.003147,0.025879,peripheral
DISCOVER FINANCIAL SERVICES,2,0.006228,-1.9287,0.1139,0.001821,0.027603,peripheral
OWENS CORNING,2,0.006196,-1.9465,0.4477,0.001549,0.028129,peripheral
JETBLUE AIRWAYS,1,0.005905,-1.3417,0.0,0.000858,0.023526,ultra_peripheral
BAXTER INTERNATIONAL,3,0.005213,-1.331,0.0,0.001188,0.023427,ultra_peripheral
CSX,4,0.005053,-0.5959,0.1471,0.003383,0.026477,peripheral
MARSH & MCLENNAN,0,0.00446,-1.058,0.2303,0.001814,0.024003,peripheral
KIMBERLY-CLARK,3,0.004153,-1.5064,0.0,0.00099,0.023043,ultra_peripheral
