fortune_name,community_rbo,quarter
3M,0,2
AECOM,0,2
AMEREN,0,2
ARAMARK,0,2
BALL,0,2
BERKSHIRE HATHAWAY,0,2
CHEMOURS,0,2
CHEVRON,0,2
CONSOLIDATED EDISON,0,2
CORNING,0,2
DAVITA,0,2
DELTA AIR LINES,0,2
DUPONT DE NEMOURS,0,2
EDISON INTERNATIONAL,0,2
ENTERGY,0,2
EVERSOURCE ENERGY,0,2
EXXONMOBIL,0,2
FLUOR,0,2
GENERAL DYNAMICS,0,2
GENERAL MOTORS,0,2
GRAPHIC PACKAGING HOLDING,0,2
HUNTSMAN,0,2
INTERNATIONAL PAPER,0,2
JACOBS ENGINEERING GROUP,0,2
JETBLUE AIRWAYS,0,2
LABORATORY CORP. OF AMERICA,0,2
LEIDOS HOLDINGS,0,2
LOCKHEED MARTIN,0,2
LOEWS,0,2
MARATHON PETROLEUM,0,2
MICRON TECHNOLOGY,0,2
MOTOROLA SOLUTIONS,0,2
NCR,0,2
NORTHROP GRUMMAN,0,2
ONEOK,0,2
OSHKOSH,0,2
PHILLIPS 66,0,2
PUBLIC SERVICE ENTERPRISE GROUP,0,2
RAYTHEON,0,2
TESLA,0,2
TEXTRON,0,2
THERMO FISHER SCIENTIFIC,0,2
UNION PACIFIC,0,2
UNITED TECHNOLOGIES,0,2
VF,0,2
WESTROCK,0,2
AIG,1,2
ALLSTATE,1,2
AMERICAN FAMILY INSURANCE GROUP,1,2
AMERIPRISE FINANCIAL,1,2
AMERISOURCEBERGEN,1,2
BANK OF AMERICA,1,2
BLACKROCK,1,2
BLACKSTONE GROUP,1,2
BRISTOL-MYERS SQUIBB,1,2
CBS,1,2
CENTENE,1,2
CHARLES SCHWAB,1,2
CIGNA,1,2
CONSTELLATION BRANDS,1,2
CVS HEALTH,1,2
ELI LILLY,1,2
FIFTH THIRD BANCORP,1,2
FORD,1,2
FOX CORP,1,2
HUMANA,1,2
JOHNSON & JOHNSON,1,2
JPMORGAN CHASE & CO.,1,2
KELLOGG,1,2
KEYCORP,1,2
LINCOLN NATIONAL,1,2
MAGELLAN HEALTH,1,2
MARSH & MCLENNAN,1,2
MOLINA HEALTHCARE,1,2
MUTUAL OF OMAHA INSURANCE,1,2
NEW YORK LIFE INSURANCE,1,2
NORTHERN TRUST,1,2
NORTHWESTERN MUTUAL,1,2
PNC FINANCIAL SERVICES,1,2
PRINCIPAL FINANCIAL,1,2
PUBLIX SUPER MARKETS,1,2
REGIONS FINANCIAL,1,2
TIAA,1,2
TRAVELERS,1,2
U.S. BANCORP,1,2
USAA,1,2
WALGREENS BOOTS ALLIANCE,1,2
WALMART,1,2
WELLS FARGO,1,2
XEROX,1,2
ABBVIE,2,2
AMGEN,2,2
APPLIED MATERIALS,2,2
BEST BUY,2,2
BOEING,2,2
BORGWARNER,2,2
CATERPILLAR,2,2
CITIGROUP,2,2
COSTCO,2,2
DEERE,2,2
DELL TECHNOLOGIES,2,2
DISCOVER FINANCIAL SERVICES,2,2
FACEBOOK,2,2
GENERAL ELECTRIC,2,2
GOLDMAN SACHS GROUP,2,2
HARTFORD FINANCIAL SERVICES,2,2
HONEYWELL INTERNATIONAL,2,2
MASSACHUSETTS MUTUAL LIFE INSURANCE,2,2
MCKESSON,2,2
METLIFE,2,2
MICROSOFT,2,2
NATIONWIDE,2,2
NEXTERA ENERGY,2,2
OWENS CORNING,2,2
OWENS-ILLINOIS,2,2
PEABODY ENERGY,2,2
PPG INDUSTRIES,2,2
PRUDENTIAL FINANCIAL,2,2
RITE AID,2,2
W.R. BERKLEY,2,2
WESCO INTERNATIONAL,2,2
WESTERN UNION,2,2
ABBOTT LABORATORIES,3,2
ADP,3,2
ALTRIA GROUP,3,2
AMERICAN ELECTRIC POWER,3,2
ARCHER DANIELS MIDLAND,3,2
CMS ENERGY,3,2
COCA-COLA,3,2
DEAN FOODS,3,2
DOMINION ENERGY,3,2
DTE ENERGY,3,2
DUKE ENERGY,3,2
EXELON,3,2
FIRSTENERGY,3,2
HOME DEPOT,3,2
ILLINOIS TOOL WORKS,3,2
KIMBERLY-CLARK,3,2
KROGER,3,2
LAND O'LAKES,3,2
LOWE'S,3,2
MCDONALD'S,3,2
MOLSON COORS BEVERAGE,3,2
NUCOR,3,2
PEPSICO,3,2
PG&E,3,2
PPL,3,2
S&P GLOBAL,3,2
SOUTHERN,3,2
SYSCO,3,2
XCEL ENERGY,3,2
YUM BRANDS,3,2
ALPHABET,4,2
AMAZON,4,2
AT&T,4,2
CHARTER COMMUNICATIONS,4,2
CISCO SYSTEMS,4,2
COGNIZANT TECHNOLOGY SOLUTIONS,4,2
COMCAST,4,2
CUMMINS,4,2
HCA HEALTHCARE,4,2
HEWLETT PACKARD ENTERPRISE,4,2
HP,4,2
IBM,4,2
IHEARTMEDIA,4,2
INTEL,4,2
LIBERTY MEDIA,4,2
LUMEN TECHNOLOGIES,4,2
NAVIENT,4,2
ORACLE,4,2
QURATE RETAIL,4,2
SALESFORCE,4,2
TEXAS INSTRUMENTS,4,2
VERIZON,4,2
BAXTER INTERNATIONAL,5,2
BECTON DICKINSON,5,2
BOSTON SCIENTIFIC,5,2
