fortune_name,community_rbo,quarter
CAPITAL ONE FINANCIAL,5,2
CARDINAL HEALTH,5,2
ECOLAB,5,2
SYNCHRONY FINANCIAL,5,2
ALASKA AIR GROUP,6,2
AMERICAN AIRLINES GROUP,6,2
FEDEX,6,2
HOLLYFRONTIER,6,2
SOUTHWEST AIRLINES,6,2
UNITED AIRLINES HOLDINGS,6,2
WEYERHAEUSER,6,2
ALLY FINANCIAL,7,2
AMERICAN EXPRESS,7,2
VISA,7,2
CSX,8,2
NORFOLK SOUTHERN,8,2
GENERAL MILLS,9,2
STANLEY BLACK & DECKER,9,2
HILTON WORLDWIDE HOLDINGS,10,2
MARRIOTT INTERNATIONAL,10,2
LIBERTY MUTUAL INSURANCE GROUP,11,2
UNITED PARCEL SERVICE,11,2
