source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
LEIDOS HOLDINGS,3M,0.009316,0.018631,0,0,6,6,0
3M,LIBERTY MUTUAL INSURANCE GROUP,0.005028,0.005028,1,0,0,1,1
LIBERTY MUTUAL INSURANCE GROUP,3M,0.0,0.005028,0,1,0,1,-1
3M,LOCKHEED MARTIN,0.003093,0.006186,0,0,3,3,0
LOCKHEED MARTIN,3M,0.003093,0.006186,0,0,3,3,0
3M,MAGELLAN HEALTH,0.028801,0.057602,0,0,1,1,0
MAGELLAN HEALTH,3M,0.028801,0.057602,0,0,1,1,0
3M,MERCK,0.009776,0.009776,1,0,0,1,1
MERCK,3M,0.0,0.009776,0,1,0,1,-1
3M,MICRON TECHNOLOGY,0.005325,0.01065,0,0,5,5,0
MICRON TECHNOLOGY,3M,0.005325,0.01065,0,0,5,5,0
3M,MOLINA HEALTHCARE,0.027639,0.055279,0,0,1,1,0
MOLINA HEALTHCARE,3M,0.027639,0.055279,0,0,1,1,0
3M,MOTOROLA SOLUTIONS,0.003765,0.00753,0,0,2,2,0
MOTOROLA SOLUTIONS,3M,0.003765,0.00753,0,0,2,2,0
3M,MUTUAL OF OMAHA INSURANCE,0.000617,0.000617,1,0,0,1,1
MUTUAL OF OMAHA INSURANCE,3M,0.0,0.000617,0,1,0,1,-1
3M,NAVISTAR INTERNATIONAL,0.028526,0.028526,1,0,0,1,1
NAVISTAR INTERNATIONAL,3M,0.0,0.028526,0,1,0,1,-1
3M,NORTHROP GRUMMAN,0.012415,0.024829,1,1,4,6,0
NORTHROP GRUMMAN,3M,0.012415,0.024829,1,1,4,6,0
3M,ORACLE,0.00718,0.01436,0,0,2,2,0
ORACLE,3M,0.00718,0.01436,0,0,2,2,0
3M,OWENS CORNING,0.0,0.002685,0,1,0,1,-1
OWENS CORNING,3M,0.002685,0.002685,1,0,0,1,1
3M,PG&E,0.0,4.5e-05,0,1,0,1,-1
PG&E,3M,4.5e-05,4.5e-05,1,0,0,1,1
3M,PHILLIPS 66,0.004066,0.004066,1,0,0,1,1
PHILLIPS 66,3M,0.0,0.004066,0,1,0,1,-1
3M,PPG INDUSTRIES,0.014503,0.02538,1,0,6,7,1
PPG INDUSTRIES,3M,0.010877,0.02538,0,1,6,7,-1
3M,PUBLIC SERVICE ENTERPRISE GROUP,0.001874,0.003747,0,0,4,4,0
PUBLIC SERVICE ENTERPRISE GROUP,3M,0.001874,0.003747,0,0,4,4,0
3M,RAYTHEON,0.008471,0.016943,0,0,3,3,0
RAYTHEON,3M,0.008471,0.016943,0,0,3,3,0
3M,SOUTHERN,0.007414,0.007414,3,0,0,3,3
SOUTHERN,3M,0.0,0.007414,0,3,0,3,-3
3M,TESLA,0.0,0.044984,0,1,0,1,-1
TESLA,3M,0.044984,0.044984,1,0,0,1,1
3M,THERMO FISHER SCIENTIFIC,0.005107,0.010215,0,0,1,1,0
