bill_number,bill_idx
H.CON.RES.20,0
H.CON.RES.23,1
H.CON.RES.55,2
H.J.RES.1,3
H.J.RES.111,4
H.J.RES.21,5
H.J.RES.28,6
H.J.RES.30,7
H.J.RES.31,8
H.J.RES.36,9
H.R.0000,10
H.R.1,11
H.R.10,12
H.R.1004,13
H.R.1006,14
H.R.1007,15
H.R.1008,16
H.R.1010,17
H.R.1017,18
H.R.1018,19
H.R.1025,20
H.R.1027,21
H.R.1029,22
H.R.1034,23
H.R.1035,24
H.R.1038,25
H.R.1043,26
H.R.1044,27
H.R.1046,28
H.R.1062,29
H.R.107,30
H.R.1079,31
H.R.1084,32
H.R.1093,33
H.R.1096,34
H.R.1101,35
H.R.1108,36
H.R.1149,37
H.R.1158,38
H.R.1159,39
H.R.1161,40
H.R.1166,41
H.R.1171,42
H.R.1175,43
H.R.1185,44
H.R.1188,45
H.R.1194,46
H.R.1220,47
H.R.1224,48
H.R.1225,49
H.R.1226,50
H.R.1245,51
H.R.1249,52
H.R.1251,53
H.R.1279,54
H.R.1282,55
H.R.1283,56
H.R.1301,57
H.R.1304,58
H.R.1315,59
H.R.1316,60
H.R.1323,61
H.R.1326,62
H.R.1327,63
H.R.1332,64
H.R.1344,65
H.R.1346,66
H.R.135,67
H.R.1361,68
H.R.1364,69
H.R.1374,70
H.R.1375,71
H.R.1384,72
H.R.1385,73
H.R.1386,74
H.R.1398,75
H.R.1406,76
H.R.1409,77
H.R.1417,78
H.R.1418,79
H.R.1420,80
H.R.1422,81
H.R.1423,82
H.R.1425,83
H.R.1426,84
H.R.1427,85
H.R.1439,86
H.R.144,87
H.R.1443,88
H.R.1452,89
H.R.1471,90
H.R.1475,91
H.R.1478,92
H.R.1485,93
H.R.1498,94
H.R.1499,95
H.R.15,96
H.R.1500,97
H.R.1502,98
H.R.1503,99
H.R.1506,100
H.R.1511,101
H.R.1516,102
H.R.1520,103
H.R.1543,104
H.R.1544,105
H.R.1549,106
H.R.1551,107
H.R.1555,108
H.R.1558,109
H.R.1559,110
H.R.1565,111
H.R.1567,112
H.R.1575,113
H.R.1585,114
H.R.1592,115
H.R.1595,116
H.R.1602,117
H.R.1603,118
H.R.1607,119
H.R.1614,120
H.R.1618,121
H.R.1625,122
H.R.1628,123
H.R.1642,124
H.R.1643,125
H.R.1644,126
H.R.1666,127
H.R.1668,128
H.R.1675,129
H.R.1679,130
H.R.1680,131
H.R.1685,132
H.R.1686,133
H.R.1690,134
H.R.1693,135
H.R.1706,136
H.R.1707,137
H.R.1711,138
H.R.1712,139
H.R.172,140
H.R.1725,141
H.R.1730,142
H.R.1731,143
H.R.1740,144
H.R.1742,145
H.R.1743,146
H.R.1744,147
H.R.1748,148
H.R.1756,149
H.R.1760,150
H.R.1766,151
H.R.1768,152
H.R.1769,153
H.R.1781,154
H.R.1788,155
H.R.1789,156
H.R.179,157
H.R.1796,158
H.R.1815,159
H.R.1818,160
H.R.1832,161
H.R.1834,162
H.R.1836,163
H.R.1839,164
H.R.1846,165
H.R.1850,166
H.R.1854,167
H.R.1860,168
H.R.1862,169
H.R.1863,170
H.R.1865,171
H.R.1869,172
H.R.1874,173
H.R.1876,174
H.R.1879,175
H.R.1882,176
H.R.1890,177
H.R.1897,178
H.R.19,179
H.R.1907,180
H.R.1910,181
H.R.1922,182
H.R.1938,183
H.R.1940,184
H.R.1941,185
H.R.1948,186
H.R.195,187
H.R.1954,188
H.R.1956,189
H.R.1957,190
H.R.1959,191
H.R.1960,192
H.R.1961,193
H.R.1962,194
H.R.1966,195
H.R.1975,196
H.R.1976,197
H.R.1993,198
H.R.1994,199
H.R.1996,200
H.R.2,201
H.R.2000,202
H.R.2005,203
H.R.2007,204
H.R.2009,205
H.R.2011,206
H.R.2013,207
H.R.2014,208
H.R.2015,209
H.R.2028,210
H.R.2030,211
H.R.2038,212
