company,rank,bill_number,total_amount,budget_fraction
3M,1,S.720,230409.97,0.038666
3M,2,S.402,230409.97,0.038666
3M,3,S.697,230409.97,0.038666
3M,4,H.R.1470,230409.97,0.038666
3M,5,H.R.160,230409.97,0.038666
3M,6,H.R.526,230409.97,0.038666
3M,7,H.R.2,230409.97,0.038666
3M,8,S.632,230409.97,0.038666
3M,9,S.149,230409.97,0.038666
3M,10,S.357,230409.97,0.038666
3M,11,S.1137,151256.12,0.025383
3M,12,H.R.2045,151256.12,0.025383
3M,13,H.R.2146,151256.12,0.025383
3M,14,H.R.2576,151256.12,0.025383
3M,15,S.1695,151256.12,0.025383
3M,16,S.1890,126256.12,0.021187
3M,17,H.R.3422,126256.12,0.021187
3M,18,H.R.3651,126256.12,0.021187
3M,19,H.R.3326,126256.12,0.021187
3M,20,H.R.644,125700.57,0.021094
3M,21,H.R.1916,125700.57,0.021094
3M,22,S.1269,125700.57,0.021094
3M,23,H.R.1907,125700.57,0.021094
3M,24,H.R.4336,79153.85,0.013283
3M,25,H.R.83,79153.85,0.013283
3M,26,S.2499,73050.51,0.012259
3M,27,H.R.1185,73050.51,0.012259
3M,28,H.R.4829,73050.51,0.012259
3M,29,H.R.4469,73050.51,0.012259
3M,30,H.R.3128,65663.53,0.011019
ABBOTT LABORATORIES,1,H.R.6,492654.76,0.103282
ABBOTT LABORATORIES,2,H.R.4432,392000.0,0.08218
ABBOTT LABORATORIES,3,H.R.771,392000.0,0.08218
ABBOTT LABORATORIES,4,S.1622,362511.9,0.075998
ABBOTT LABORATORIES,5,H.R.5278,271845.24,0.056991
ABBOTT LABORATORIES,6,H.R.5009,271845.24,0.056991
ABBOTT LABORATORIES,7,H.R.2393,228238.1,0.047849
ABBOTT LABORATORIES,8,S.586,220416.67,0.046209
ABBOTT LABORATORIES,9,H.R.1192,220416.67,0.046209
ABBOTT LABORATORIES,10,H.R.3422,192571.43,0.040371
ABBOTT LABORATORIES,11,H.R.1427,148000.0,0.031027
ABBOTT LABORATORIES,12,H.R.1295,101333.33,0.021244
ABBOTT LABORATORIES,13,S.662,101333.33,0.021244
ABBOTT LABORATORIES,14,S.2689,101333.33,0.021244
ABBOTT LABORATORIES,15,S.2045,95428.57,0.020006
ABBOTT LABORATORIES,16,H.R.2050,95428.57,0.020006
ABBOTT LABORATORIES,17,S.764,83750.0,0.017558
ABBOTT LABORATORIES,18,H.R.1599,83750.0,0.017558
ABBOTT LABORATORIES,19,H.R.1314,79666.67,0.016702
ABBOTT LABORATORIES,20,S.1269,46666.67,0.009783
ABBOTT LABORATORIES,21,S.804,46666.67,0.009783
ABBOTT LABORATORIES,22,S.1946,46666.67,0.009783
ABBOTT LABORATORIES,23,H.R.880,46666.67,0.009783
ABBOTT LABORATORIES,24,H.R.1430,46666.67,0.009783
ABBOTT LABORATORIES,25,H.R.644,46666.67,0.009783
ABBOTT LABORATORIES,26,S.697,44000.0,0.009224
ABBOTT LABORATORIES,27,H.R.2498,44000.0,0.009224
ABBOTT LABORATORIES,28,H.R.2576,44000.0,0.009224
ABBVIE,1,H.R.971,350180.85,0.028037
ABBVIE,2,S.31,347264.18,0.027803
ABBVIE,3,H.R.1101,314764.18,0.025201
ABBVIE,4,H.R.2925,293441.72,0.023494
ABBVIE,5,H.R.6,265805.85,0.021281
ABBVIE,6,S.632,265805.85,0.021281
ABBVIE,7,S.1421,233305.85,0.018679
ABBVIE,8,H.R.2570,223047.23,0.017858
ABBVIE,9,S.1396,223047.23,0.017858
ABBVIE,10,H.R.3116,216285.92,0.017317
ABBVIE,11,H.R.160,208943.97,0.016729
ABBVIE,12,S.1767,201236.88,0.016112
ABBVIE,13,H.R.406,201236.88,0.016112
ABBVIE,14,H.R.3061,198320.21,0.015878
ABBVIE,15,S.1287,197889.18,0.015844
ABBVIE,16,H.R.2031,191702.59,0.015348
ABBVIE,17,H.R.1430,191566.72,0.015338
ABBVIE,18,H.R.2228,190978.26,0.01529
ABBVIE,19,S.122,190978.26,0.01529
ABBVIE,20,H.R.1102,190547.23,0.015256
ABBVIE,21,S.117,190547.23,0.015256
ABBVIE,22,S.1413,173650.05,0.013903
ABBVIE,23,S.2700,166394.93,0.013322
ABBVIE,24,S.2733,166394.93,0.013322
ABBVIE,25,S.1878,165820.21,0.013276
ABBVIE,26,H.R.3547,159633.62,0.012781
ABBVIE,27,H.R.3677,158478.26,0.012688
ABBVIE,28,H.R.880,156150.05,0.012502
ABBVIE,29,S.1083,145891.43,0.011681
ABBVIE,30,H.R.2005,145891.43,0.011681
AECOM,1,H.CON.RES.27,500000.0,0.176056
AECOM,2,H.R.2577,335833.33,0.118251
AECOM,3,H.R.2685,335833.33,0.118251
AECOM,4,H.R.5055,142222.22,0.050078
AECOM,5,H.R.5293,142222.22,0.050078
AECOM,6,H.R.5394,142222.22,0.050078
AECOM,7,H.R.5395,142222.22,0.050078
AECOM,8,H.R.5923,142222.22,0.050078
AECOM,9,S.2804,142222.22,0.050078
AECOM,10,S.2844,142222.22,0.050078
AECOM,11,S.3000,142222.22,0.050078
AECOM,12,H.R.5325,92222.22,0.032473
AES,1,S.734,50000.0,0.067568
AES,2,H.R.234,50000.0,0.067568
AES,3,H.R.26,50000.0,0.067568
AES,4,S.2446,43227.27,0.058415
AES,5,H.R.4377,43227.27,0.058415
AES,6,H.R.636,38000.0,0.051351
AES,7,H.R.1734,29130.05,0.039365
AES,8,H.R.4441,17171.72,0.023205
AES,9,S.2684,17171.72,0.023205
AES,10,S.1803,17171.72,0.023205
AES,11,H.R.597,16958.33,0.022917
AES,12,H.R.1703,14444.44,0.01952
AES,13,S.1846,14444.44,0.01952
AES,14,H.R.0022,11958.33,0.01616
AES,15,S.1324,11958.33,0.01616
AES,16,H.J.RES.61,10625.0,0.014358
AES,17,H.J.RES.75,10625.0,0.014358
AES,18,H.R.3819,10625.0,0.014358
AES,19,H.R.3763,10625.0,0.014358
AES,20,H.R.2250,10625.0,0.014358
AES,21,H.J.RES.78,10625.0,0.014358
AES,22,H.R.2510,6333.33,0.008559
AES,23,H.R.2146,6333.33,0.008559
AES,24,H.R.2042,6333.33,0.008559
AES,25,S.995,6333.33,0.008559
AES,26,H.R.5278,2727.27,0.003686
AES,27,S.2328,2727.27,0.003686
AES,28,S.1314,1333.33,0.001802
AES,29,S.1608,1333.33,0.001802
AES,30,S.808,1333.33,0.001802
AFLAC,1,S.177,2702500.0,0.337391
AFLAC,2,H.R.2205,1870000.0,0.233458
AIG,1,H.R.1090,360000.0,0.140625
AIG,2,S.1484,268076.92,0.104718
AIG,3,H.R.26,150000.0,0.058594
AIG,4,H.R.2901,79326.92,0.030987
AIG,5,S.2607,79326.92,0.030987
AIG,6,H.R.5143,79326.92,0.030987
AIG,7,H.R.4293,70000.0,0.027344
AIG,8,H.R.4441,70000.0,0.027344
AIG,9,S.2505,70000.0,0.027344
AIG,10,S.2502,70000.0,0.027344
AIG,11,H.R.4294,70000.0,0.027344
AIG,12,S.386,59326.92,0.023175
AIG,13,H.R.5117,59326.92,0.023175
AIG,14,S.524,56250.0,0.021973
AIG,15,S.1679,56250.0,0.021973
AIG,16,S.1086,56250.0,0.021973
AIG,17,S.961,50000.0,0.019531
AIG,18,S.995,50000.0,0.019531
AIG,19,H.R.1890,50000.0,0.019531
AIG,20,S.2216,23076.92,0.009014
AIG,21,H.R.6396,23076.92,0.009014
AIG,22,H.R.4538,23076.92,0.009014
AIG,23,S.3471,23076.92,0.009014
AIG,24,H.R.4067,23076.92,0.009014
AIG,25,H.R.2317,23076.92,0.009014
AIG,26,H.R.5983,23076.92,0.009014
AIG,27,H.R.3794,20000.0,0.007812
AIR PRODUCTS & CHEMICALS,1,H.R.5055,60000.0,0.222222
AIR PRODUCTS & CHEMICALS,2,S.2804,60000.0,0.222222
AK STEEL HOLDING,1,H.R.2244,370901.41,0.291038
AK STEEL HOLDING,2,H.R.4955,212690.41,0.166894
AK STEEL HOLDING,3,S.2823,99516.91,0.078089
AK STEEL HOLDING,4,H.R.644,97223.0,0.076289
AK STEEL HOLDING,5,H.R.1295,78988.0,0.06198
AK STEEL HOLDING,6,H.R.1890,78988.0,0.06198
AK STEEL HOLDING,7,H.R.2523,78988.0,0.06198
AK STEEL HOLDING,8,H.R.4909,29888.91,0.023453
AK STEEL HOLDING,9,H.R.5303,29888.91,0.023453
AK STEEL HOLDING,10,H.R.5587,29888.91,0.023453
AK STEEL HOLDING,11,H.R.980,29888.91,0.023453
AK STEEL HOLDING,12,H.RES.848,29888.91,0.023453
AK STEEL HOLDING,13,S.2848,29888.91,0.023453
AK STEEL HOLDING,14,S.3240,29888.91,0.023453
AK STEEL HOLDING,15,S.373,29888.91,0.023453
AK STEEL HOLDING,16,S.612,18000.0,0.014124
ALASKA AIR GROUP,1,H.R.911,230000.0,0.403509
ALLSTATE,1,H.R.526,249620.5,0.039497
ALLSTATE,2,H.R.1261,249620.5,0.039497
ALLSTATE,3,H.R.1263,249620.5,0.039497
ALLSTATE,4,H.R.1266,249620.5,0.039497
ALLSTATE,5,H.R.1057,249620.5,0.039497
ALLSTATE,6,S.560,249620.5,0.039497
ALLSTATE,7,S.386,249620.5,0.039497
ALLSTATE,8,S.357,249620.5,0.039497
ALLSTATE,9,H.R.2205,208567.87,0.033001
ALLSTATE,10,S.1679,208567.87,0.033001
ALLSTATE,11,H.R.2901,208567.87,0.033001
ALLSTATE,12,S.1086,169067.87,0.026751
ALLSTATE,13,H.R.2141,169067.87,0.026751
ALLSTATE,14,H.R.1090,169067.87,0.026751
ALLSTATE,15,H.R.141,144159.67,0.02281
ALLSTATE,16,S.961,144159.67,0.02281
ALLSTATE,17,H.R.1927,129976.96,0.020566
ALLSTATE,18,H.R.1737,129976.96,0.020566
ALLSTATE,19,H.R.4294,129976.96,0.020566
ALLSTATE,20,H.R.3456,110944.7,0.017555
ALLSTATE,21,H.R.636,105460.83,0.016687
ALLSTATE,22,S.2505,105460.83,0.016687
ALLSTATE,23,S.2502,105460.83,0.016687
ALLSTATE,24,S.2497,105460.83,0.016687
ALLSTATE,25,H.R.4441,105460.83,0.016687
ALLSTATE,26,H.R.4293,105460.83,0.016687
ALLSTATE,27,H.R.1770,103107.04,0.016314
