firm,net_influence,net_strength,total_firsts,total_losses
NATIONAL OILWELL VARCO,0,0.0,0,0
BORGWARNER,0,0.0,0,0
QUEST DIAGNOSTICS,0,0.0,0,0
MOTOROLA SOLUTIONS,0,0.0,0,0
REPUBLIC SERVICES,0,0.0,0,0
PHILIP MORRIS INTERNATIONAL,0,0.0,0,0
PAYPAL HOLDINGS,0,0.0,0,0
MCDONALD'S,0,0.0,0,0
VOYA FINANCIAL,0,0.0,0,0
BLACKSTONE GROUP,0,0.0,0,0
STRYKER,0,0.0,0,0
AMGEN,2,-0.0077,17,15
SOUTHWEST AIRLINES,17,-0.0278,31,14
YUM BRANDS,15,-0.0327,21,6
BRISTOL-MYERS SQUIBB,-20,-0.0393,17,37
ENTERPRISE PRODUCTS PARTNERS,-3,-0.0551,1,4
ANADARKO PETROLEUM,2,-0.0628,20,18
HILTON WORLDWIDE HOLDINGS,-10,-0.0646,10,20
MASCO,-7,-0.0695,5,12
JETBLUE AIRWAYS,-2,-0.07,1,3
FLUOR,18,-0.0954,60,42
ESTEE LAUDER,-1,-0.1041,4,5
LOWE'S,-1,-0.1154,6,7
BERKSHIRE HATHAWAY,13,-0.1224,30,17
QUALCOMM,11,-0.1281,44,33
WINDSTREAM HOLDINGS,-20,-0.1313,32,52
BALL,18,-0.1344,30,12
CARDINAL HEALTH,-9,-0.1477,9,18
ALASKA AIR GROUP,-1,-0.15,0,1
LENNAR,-1,-0.15,0,1
UNITED PARCEL SERVICE,1,-0.1531,22,21
DELL TECHNOLOGIES,19,-0.1654,71,52
PROCTER & GAMBLE,13,-0.1743,39,26
MERCK,8,-0.1754,12,4
COGNIZANT TECHNOLOGY SOLUTIONS,-8,-0.1867,8,16
UNITED HEALTH GROUP,-4,-0.1898,2,6
OWENS-ILLINOIS,-1,-0.1907,8,9
MAGELLAN HEALTH,-4,-0.1909,2,6
DARDEN RESTAURANTS,-3,-0.1913,0,3
MARSH & MCLENNAN,-2,-0.1998,0,2
GRAPHIC PACKAGING HOLDING,-6,-0.2065,0,6
TARGET,-57,-0.2081,20,77
INTEL,-2,-0.21,68,70
MOLINA HEALTHCARE,-14,-0.231,8,22
DUPONT DE NEMOURS,39,-0.2511,77,38
ABBVIE,-9,-0.2639,23,32
CATERPILLAR,-6,-0.2649,50,56
WHIRLPOOL,-11,-0.2966,6,17
LUMEN TECHNOLOGIES,-10,-0.3025,4,14
AFLAC,-5,-0.3187,0,5
DEVON ENERGY,-3,-0.3375,3,6
CVS HEALTH,-52,-0.3386,10,62
SALESFORCE,-7,-0.3391,16,23
S&P GLOBAL,-6,-0.3443,0,6
OWENS & MINOR,-4,-0.3505,3,7
LOEWS,0,-0.3744,6,6
HOLLYFRONTIER,-71,-0.3789,16,87
IHEARTMEDIA,9,-0.4184,26,17
HERSHEY,-2,-0.4275,6,8
KOHL'S,-1,-0.4275,1,2
DXC TECHNOLOGY,-2,-0.4596,1,3
PNC FINANCIAL SERVICES,6,-0.4795,15,9
CITIGROUP,7,-0.512,42,35
INTUIT,-2,-0.5332,16,18
M&T BANK CORP.,-9,-0.5513,1,10
GAP,-2,-0.555,0,2
NCR,-7,-0.5692,2,9
HUMANA,-22,-0.5707,37,59
RITE AID,-66,-0.5979,44,110
ABBOTT LABORATORIES,-84,-0.5981,41,125
INTERPUBLIC GROUP,-3,-0.5985,7,10
FREEPORT-MCMORAN,-4,-0.6,0,4
MUTUAL OF OMAHA INSURANCE,-8,-0.6224,30,38
TESLA,-2,-0.6402,3,5
FOX CORP,-12,-0.6526,2,14
CALPINE,-9,-0.6727,18,27
DEAN FOODS,-23,-0.6801,11,34
MARATHON OIL,-12,-0.7099,3,15
DOMINION ENERGY,-6,-0.7861,3,9
AMERISOURCEBERGEN,-7,-0.7888,0,7
NEWS CORP.,-15,-0.8021,0,15
TENET HEALTHCARE,-16,-0.8361,3,19
ONEOK,-5,-0.891,1,6
XEROX,-42,-0.9336,28,70
EDISON INTERNATIONAL,-22,-0.9518,19,41
LIBERTY MEDIA,-8,-0.9579,0,8
THERMO FISHER SCIENTIFIC,-3,-1.0426,18,21
REGENERON PHARMACEUTICALS,-7,-1.05,0,7
PUBLIX SUPER MARKETS,-54,-1.0884,9,63
SEMPRA ENERGY,5,-1.1743,52,47
NIKE,-56,-1.2206,8,64
PUBLIC SERVICE ENTERPRISE GROUP,7,-1.2614,32,25
ZOETIS,-8,-1.274,0,8
STATE FARM INSURANCE,16,-1.3017,79,63
WEC ENERGY GROUP,-18,-1.349,2,20
NEXTERA ENERGY,-21,-1.3674,13,34
ILLINOIS TOOL WORKS,-24,-1.4076,4,28
WAYFAIR,-11,-1.4657,0,11
AES,-50,-1.4809,18,68
GENWORTH FINANCIAL,-10,-1.4815,11,21
AK STEEL HOLDING,-37,-1.4857,7,44
KRAFT HEINZ,-5,-1.4943,18,23
UNITED TECHNOLOGIES,-3,-1.5015,45,48
KROGER,-9,-1.5323,6,15
LAND O'LAKES,10,-1.5619,31,21
