source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
ELI LILLY,3M,0.002721,0.021767,0,3,1,4,-3
3M,ENTERGY,0.034153,0.068305,0,0,3,3,0
ENTERGY,3M,0.034153,0.068305,0,0,3,3,0
3M,EVERSOURCE ENERGY,0.000617,0.000617,1,0,0,1,1
EVERSOURCE ENERGY,3M,0.0,0.000617,0,1,0,1,-1
3M,EXELON,0.067473,0.10121,1,0,2,3,1
EXELON,3M,0.033737,0.10121,0,1,2,3,-1
3M,EXXONMOBIL,0.060412,0.120823,0,0,1,1,0
EXXONMOBIL,3M,0.060412,0.120823,0,0,1,1,0
3M,FACEBOOK,0.026739,0.040109,1,0,2,3,1
FACEBOOK,3M,0.01337,0.040109,0,1,2,3,-1
3M,FEDEX,0.003194,0.006388,0,0,3,3,0
FEDEX,3M,0.003194,0.006388,0,0,3,3,0
3M,FIRSTENERGY,0.079493,0.158986,0,0,3,3,0
FIRSTENERGY,3M,0.079493,0.158986,0,0,3,3,0
3M,FLUOR,8.3e-05,0.000166,0,0,1,1,0
FLUOR,3M,8.3e-05,0.000166,0,0,1,1,0
3M,FORD,0.000814,0.000814,2,0,0,2,2
FORD,3M,0.0,0.000814,0,2,0,2,-2
3M,GENERAL DYNAMICS,0.00186,0.00372,0,0,1,1,0
GENERAL DYNAMICS,3M,0.00186,0.00372,0,0,1,1,0
3M,GENERAL ELECTRIC,0.078682,0.157363,0,0,5,5,0
GENERAL ELECTRIC,3M,0.078682,0.157363,0,0,5,5,0
3M,GENERAL MOTORS,0.013651,0.027302,0,0,2,2,0
GENERAL MOTORS,3M,0.013651,0.027302,0,0,2,2,0
3M,GUARDIAN LIFE INS. CO. OF AMERICA,0.003042,0.003042,1,0,0,1,1
GUARDIAN LIFE INS. CO. OF AMERICA,3M,0.0,0.003042,0,1,0,1,-1
3M,HARTFORD FINANCIAL SERVICES,0.042331,0.06773,1,0,3,4,1
HARTFORD FINANCIAL SERVICES,3M,0.025399,0.06773,0,1,3,4,-1
3M,HCA HEALTHCARE,0.00438,0.00584,1,0,1,2,1
HCA HEALTHCARE,3M,0.00146,0.00584,0,1,1,2,-1
3M,HEWLETT PACKARD ENTERPRISE,0.009366,0.01124,2,0,1,3,2
HEWLETT PACKARD ENTERPRISE,3M,0.001873,0.01124,0,2,1,3,-2
3M,HOME DEPOT,0.013406,0.019152,2,0,3,5,2
HOME DEPOT,3M,0.005746,0.019152,0,2,3,5,-2
3M,HONEYWELL INTERNATIONAL,0.100347,0.160555,1,0,3,4,1
HONEYWELL INTERNATIONAL,3M,0.060208,0.160555,0,1,3,4,-1
3M,HP,0.000173,0.000347,0,0,1,1,0
HP,3M,0.000173,0.000347,0,0,1,1,0
3M,IBM,0.005977,0.011953,0,0,5,5,0
IBM,3M,0.005977,0.011953,0,0,5,5,0
3M,IHEARTMEDIA,0.000234,0.000468,0,0,1,1,0
IHEARTMEDIA,3M,0.000234,0.000468,0,0,1,1,0
3M,INTEL,0.024433,0.029319,2,0,1,3,2
INTEL,3M,0.004887,0.029319,0,2,1,3,-2
3M,INTUIT,0.00845,0.011267,1,0,1,2,1
INTUIT,3M,0.002817,0.011267,0,1,1,2,-1
3M,JOHNSON & JOHNSON,0.088515,0.177029,0,0,4,4,0
JOHNSON & JOHNSON,3M,0.088515,0.177029,0,0,4,4,0
3M,LEIDOS HOLDINGS,0.0,4.5e-05,0,1,0,1,-1
LEIDOS HOLDINGS,3M,4.5e-05,4.5e-05,1,0,0,1,1
3M,LENNAR,0.15,0.15,1,0,0,1,1
LENNAR,3M,0.0,0.15,0,1,0,1,-1
3M,LIBERTY MUTUAL INSURANCE GROUP,0.014616,0.014616,2,0,0,2,2
LIBERTY MUTUAL INSURANCE GROUP,3M,0.0,0.014616,0,2,0,2,-2
3M,LOCKHEED MARTIN,0.063606,0.127213,0,0,2,2,0
LOCKHEED MARTIN,3M,0.063606,0.127213,0,0,2,2,0
3M,MARATHON OIL,0.059155,0.059155,1,0,0,1,1
MARATHON OIL,3M,0.0,0.059155,0,1,0,1,-1
3M,MARATHON PETROLEUM,0.006095,0.01219,0,0,1,1,0
MARATHON PETROLEUM,3M,0.006095,0.01219,0,0,1,1,0
3M,MARRIOTT INTERNATIONAL,8.3e-05,0.000166,0,0,1,1,0
MARRIOTT INTERNATIONAL,3M,8.3e-05,0.000166,0,0,1,1,0
3M,MASCO,0.02303,0.02303,1,0,0,1,1
MASCO,3M,0.0,0.02303,0,1,0,1,-1
3M,MCKESSON,0.007864,0.015729,0,0,1,1,0
MCKESSON,3M,0.007864,0.015729,0,0,1,1,0
3M,MERCK,0.026808,0.053617,0,0,2,2,0
MERCK,3M,0.026808,0.053617,0,0,2,2,0
3M,METLIFE,0.002,0.002667,1,0,1,2,1
METLIFE,3M,0.000667,0.002667,0,1,1,2,-1
3M,MICRON TECHNOLOGY,0.062485,0.104142,1,0,4,5,1
MICRON TECHNOLOGY,3M,0.041657,0.104142,0,1,4,5,-1
3M,MICROSOFT,0.029931,0.049885,1,0,4,5,1
MICROSOFT,3M,0.019954,0.049885,0,1,4,5,-1
3M,MOLINA HEALTHCARE,0.012397,0.024793,0,0,1,1,0
MOLINA HEALTHCARE,3M,0.012397,0.024793,0,0,1,1,0
3M,NATIONWIDE,0.007608,0.015217,0,0,2,2,0
NATIONWIDE,3M,0.007608,0.015217,0,0,2,2,0
3M,NAVIENT,0.002423,0.004847,0,0,1,1,0
NAVIENT,3M,0.002423,0.004847,0,0,1,1,0
3M,NEXTERA ENERGY,0.004783,0.004783,1,0,0,1,1
NEXTERA ENERGY,3M,0.0,0.004783,0,1,0,1,-1
3M,NIKE,0.003474,0.003474,5,0,0,5,5
NIKE,3M,0.0,0.003474,0,5,0,5,-5
3M,NORTHWESTERN MUTUAL,0.001033,0.002066,0,0,1,1,0
NORTHWESTERN MUTUAL,3M,0.001033,0.002066,0,0,1,1,0
3M,NUCOR,0.000956,0.001912,0,0,3,3,0
NUCOR,3M,0.000956,0.001912,0,0,3,3,0
3M,OCCIDENTAL PETROLEUM,0.034183,0.054692,1,0,3,4,1
OCCIDENTAL PETROLEUM,3M,0.02051,0.054692,0,1,3,4,-1
3M,OLIN,0.107001,0.128401,2,0,1,3,2
OLIN,3M,0.0214,0.128401,0,2,1,3,-2
3M,ORACLE,0.006404,0.012807,0,0,1,1,0
ORACLE,3M,0.006404,0.012807,0,0,1,1,0
3M,PEABODY ENERGY,0.000166,0.000166,1,0,0,1,1
PEABODY ENERGY,3M,0.0,0.000166,0,1,0,1,-1
3M,PHILLIPS 66,0.06299,0.125979,0,0,2,2,0
PHILLIPS 66,3M,0.06299,0.125979,0,0,2,2,0
3M,PPL,0.009584,0.012779,1,0,1,2,1
PPL,3M,0.003195,0.012779,0,1,1,2,-1
3M,PRINCIPAL FINANCIAL,0.005061,0.010123,0,0,1,1,0
PRINCIPAL FINANCIAL,3M,0.005061,0.010123,0,0,1,1,0
3M,PROCTER & GAMBLE,0.037235,0.062059,1,0,4,5,1
PROCTER & GAMBLE,3M,0.024824,0.062059,0,1,4,5,-1
3M,PRUDENTIAL FINANCIAL,0.005702,0.011404,0,0,2,2,0
PRUDENTIAL FINANCIAL,3M,0.005702,0.011404,0,0,2,2,0
3M,QUALCOMM,0.079212,0.135792,1,0,5,6,1
QUALCOMM,3M,0.05658,0.135792,0,1,5,6,-1
3M,REGIONS FINANCIAL,0.000737,0.001474,0,0,1,1,0
REGIONS FINANCIAL,3M,0.000737,0.001474,0,0,1,1,0
3M,SALESFORCE,0.005373,0.008059,1,0,2,3,1
SALESFORCE,3M,0.002686,0.008059,0,1,2,3,-1
3M,SEMPRA ENERGY,0.008415,0.010099,2,0,1,3,2
SEMPRA ENERGY,3M,0.001683,0.010099,0,2,1,3,-2
3M,SOUTHWEST AIRLINES,0.001234,0.002468,0,0,3,3,0
SOUTHWEST AIRLINES,3M,0.001234,0.002468,0,0,3,3,0
3M,TARGET,0.009236,0.009236,2,0,0,2,2
TARGET,3M,0.0,0.009236,0,2,0,2,-2
3M,TENET HEALTHCARE,0.008082,0.008082,1,0,0,1,1
TENET HEALTHCARE,3M,0.0,0.008082,0,1,0,1,-1
3M,TEXAS INSTRUMENTS,0.007349,0.014697,0,0,3,3,0
TEXAS INSTRUMENTS,3M,0.007349,0.014697,0,0,3,3,0
3M,THERMO FISHER SCIENTIFIC,0.001726,0.003451,0,0,1,1,0
THERMO FISHER SCIENTIFIC,3M,0.001726,0.003451,0,0,1,1,0
3M,TRAVELERS,0.009587,0.019174,0,0,1,1,0
TRAVELERS,3M,0.009587,0.019174,0,0,1,1,0
3M,U.S. BANCORP,0.000409,0.000819,0,0,1,1,0
U.S. BANCORP,3M,0.000409,0.000819,0,0,1,1,0
3M,UNITED PARCEL SERVICE,0.003587,0.007174,0,0,4,4,0
UNITED PARCEL SERVICE,3M,0.003587,0.007174,0,0,4,4,0
3M,UNITED TECHNOLOGIES,0.00778,0.011671,1,0,2,3,1
UNITED TECHNOLOGIES,3M,0.00389,0.011671,0,1,2,3,-1
3M,VERIZON,0.00667,0.010006,1,0,2,3,1
VERIZON,3M,0.003335,0.010006,0,1,2,3,-1
3M,WALT DISNEY,0.03869,0.03869,2,0,0,2,2
WALT DISNEY,3M,0.0,0.03869,0,2,0,2,-2
3M,WELLCARE HEALTH PLANS,0.016425,0.032849,0,0,1,1,0
WELLCARE HEALTH PLANS,3M,0.016425,0.032849,0,0,1,1,0
3M,WESTROCK,0.05954,0.11908,0,0,2,2,0
WESTROCK,3M,0.05954,0.11908,0,0,2,2,0
3M,WEYERHAEUSER,0.001808,0.005425,0,1,2,3,-1
WEYERHAEUSER,3M,0.003617,0.005425,1,0,2,3,1
3M,WHIRLPOOL,0.011745,0.01566,1,0,1,2,1
WHIRLPOOL,3M,0.003915,0.01566,0,1,1,2,-1
3M,WINDSTREAM HOLDINGS,0.009058,0.01087,2,0,1,3,2
WINDSTREAM HOLDINGS,3M,0.001812,0.01087,0,2,1,3,-2
3M,XCEL ENERGY,0.06378,0.127559,0,0,3,3,0
XCEL ENERGY,3M,0.06378,0.127559,0,0,3,3,0
3M,XEROX,0.000448,0.000896,0,0,3,3,0
XEROX,3M,0.000448,0.000896,0,0,3,3,0
3M,YUM BRANDS,0.000799,0.001598,0,0,1,1,0
YUM BRANDS,3M,0.000799,0.001598,0,0,1,1,0
ABBOTT LABORATORIES,ABBVIE,0.010359,0.062153,0,2,1,3,-2
ABBVIE,ABBOTT LABORATORIES,0.051794,0.062153,2,0,1,3,2
