firm,net_influence,net_strength,total_firsts,total_losses
MICROSOFT,98,10.3742,112,14
DUKE ENERGY,82,7.9361,84,2
EXELON,75,7.7737,79,4
BERKSHIRE HATHAWAY,45,7.2353,47,2
BOSTON SCIENTIFIC,44,6.1589,44,0
ENTERGY,79,5.8767,94,15
LOCKHEED MARTIN,74,5.4497,84,10
SOUTHERN,67,5.0087,82,15
CBS,72,4.7054,82,10
INTEL,70,4.5169,84,14
L3HARRIS TECHNOLOGIES,36,4.3833,49,13
XCEL ENERGY,66,4.3303,66,0
CHEVRON,60,4.2546,65,5
CMS ENERGY,83,4.0412,83,0
MASTERCARD,26,3.9523,58,32
GENERAL DYNAMICS,25,3.773,53,28
AMERICAN EXPRESS,83,3.565,98,15
EXXONMOBIL,38,3.5153,66,28
NEXTERA ENERGY,39,3.5094,66,27
UNITED AIRLINES HOLDINGS,17,3.4997,22,5
DTE ENERGY,60,3.4962,84,24
PRINCIPAL FINANCIAL,52,3.4537,69,17
PUBLIC SERVICE ENTERPRISE GROUP,39,3.2955,73,34
TARGET,44,3.1593,71,27
JOHNSON & JOHNSON,25,3.074,41,16
ZIMMER BIOMET HOLDINGS,3,2.914,12,9
AMERICAN FAMILY INSURANCE GROUP,21,2.8958,30,9
AMAZON,15,2.7518,16,1
DELTA AIR LINES,44,2.6829,59,15
METLIFE,44,2.6789,57,13
MARATHON OIL,43,2.5284,52,9
OMNICOM GROUP,43,2.4944,75,32
HONEYWELL INTERNATIONAL,31,2.349,74,43
OSHKOSH,18,2.2756,21,3
VISA,40,2.0891,78,38
HERSHEY,4,2.0447,7,3
UNUM GROUP,50,2.0118,52,2
PPL,33,1.9997,67,34
APPLE,43,1.9896,69,26
ADVANCED MICRO DEVICES,17,1.9775,29,12
INTERNATIONAL PAPER,29,1.9685,37,8
NORTHWESTERN MUTUAL,25,1.9636,54,29
GENERAL ELECTRIC,24,1.8671,44,20
COMCAST,72,1.7353,81,9
NORFOLK SOUTHERN,11,1.7151,33,22
ORACLE,35,1.5993,64,29
WEYERHAEUSER,23,1.5566,35,12
NEWS CORP.,15,1.528,43,28
AMGEN,15,1.5046,23,8
BEST BUY,1,1.5028,35,34
HARTFORD FINANCIAL SERVICES,13,1.4786,37,24
NATIONWIDE,28,1.4334,37,9
CITIGROUP,-12,1.4248,66,78
RYDER SYSTEM,9,1.3292,22,13
FORD,43,1.2241,43,0
BANK OF AMERICA,-14,1.2189,84,98
AT&T,58,1.199,58,0
EMERSON ELECTRIC,13,1.0397,13,0
BOEING,41,1.0293,55,14
HALLIBURTON,13,0.9826,34,21
ANADARKO PETROLEUM,23,0.9753,24,1
ALTRIA GROUP,2,0.9268,37,35
ELI LILLY,3,0.8508,16,13
MERCK,9,0.8445,30,21
LUMEN TECHNOLOGIES,-2,0.7766,38,40
PRUDENTIAL FINANCIAL,16,0.7427,33,17
PPG INDUSTRIES,-2,0.7346,63,65
TEXTRON,-1,0.7061,11,12
LOWE'S,-1,0.6899,17,18
PUBLIX SUPER MARKETS,3,0.6865,7,4
GENERAL MOTORS,-24,0.667,18,42
MUTUAL OF OMAHA INSURANCE,22,0.6558,40,18
KIMBERLY-CLARK,4,0.6541,10,6
OWENS & MINOR,3,0.624,9,6
NAVIENT,12,0.6153,13,1
YUM BRANDS,-12,0.5999,20,32
COGNIZANT TECHNOLOGY SOLUTIONS,3,0.5505,6,3
CARDINAL HEALTH,4,0.5488,6,2
USAA,38,0.4953,44,6
BALL,-8,0.4932,30,38
VERIZON,32,0.4795,75,43
ALPHABET,17,0.4776,52,35
SEMPRA ENERGY,7,0.4596,56,49
FIRSTENERGY,21,0.4087,83,62
DEAN FOODS,1,0.4046,5,4
BAXTER INTERNATIONAL,-9,0.3751,15,24
PFIZER,3,0.3563,19,16
CAPITAL ONE FINANCIAL,24,0.353,71,47
ABBOTT LABORATORIES,-4,0.3062,22,26
GENERAL MILLS,1,0.2958,8,7
AECOM,2,0.2775,2,0
NAVISTAR INTERNATIONAL,2,0.2771,2,0
U.S. BANCORP,-6,0.2768,7,13
ALLY FINANCIAL,3,0.2688,3,0
FRANKLIN RESOURCES,1,0.2499,1,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,-31,0.2345,45,76
STANLEY BLACK & DECKER,2,0.2228,2,0
AFLAC,0,0.204,6,6
VALERO ENERGY,2,0.1994,2,0
BIOGEN,1,0.1929,3,2
HORMEL FOODS,3,0.1867,3,0
ECOLAB,6,0.1861,6,0
EBAY,18,0.1624,59,41
DUPONT DE NEMOURS,-12,0.1547,60,72
DISCOVER FINANCIAL SERVICES,2,0.1524,9,7
COMMUNITY HEALTH SYSTEMS,1,0.15,1,0
THRIVENT FINANCIAL FOR LUTHERANS,1,0.15,1,0
DANAHER,1,0.15,1,0
MICRON TECHNOLOGY,1,0.15,1,0
GENWORTH FINANCIAL,-5,0.149,4,9
CUMMINS,13,0.1474,60,47
CVS HEALTH,22,0.1474,45,23
M&T BANK CORP.,1,0.1275,1,0
BLACKSTONE GROUP,-1,0.1142,11,12
PEABODY ENERGY,2,0.1014,31,29
HESS,1,0.0999,1,0
DAVITA,-1,0.0862,1,2
EDISON INTERNATIONAL,8,0.0861,48,40
WELLCARE HEALTH PLANS,1,0.0859,1,0
AGCO,-1,0.0854,5,6
MOLINA HEALTHCARE,1,0.0822,1,0
OWENS-ILLINOIS,6,0.0389,25,19
BLACKROCK,6,0.0364,8,2
UNITED HEALTH GROUP,2,0.0232,2,0
DEVON ENERGY,2,0.0222,2,0
R.R. DONNELLEY & SONS,3,0.0179,9,6
ADP,1,0.0157,1,0
QUEST DIAGNOSTICS,0,0.0111,1,1
LENNAR,0,0.0,0,0
LIVE NATION ENTERTAINMENT,0,0.0,0,0
CAESARS ENTERTAINMENT,0,0.0,0,0
SUNTRUST BANKS,0,0.0,0,0
CENTENE,0,0.0,0,0
AVIS BUDGET GROUP,0,0.0,0,0
ARCHER DANIELS MIDLAND,0,0.0,0,0
HENRY SCHEIN,0,0.0,0,0
REINSURANCE GROUP OF AMERICA,0,0.0,0,0
ANTHEM,0,0.0,0,0
COLGATE-PALMOLIVE,0,0.0,0,0
NORTHERN TRUST,0,0.0,0,0
KEYCORP,0,0.0,0,0
C.H. ROBINSON WORLDWIDE,0,0.0,0,0
LAM RESEARCH,0,0.0,0,0
HERTZ GLOBAL HOLDINGS,0,0.0,0,0
GILEAD SCIENCES,0,0.0,0,0
JONES FINANCIAL (EDWARD JONES),0,0.0,0,0
TENET HEALTHCARE,0,0.0,0,0
NETFLIX,0,0.0,0,0
TYSON FOODS,0,0.0,0,0
TENNECO,0,0.0,0,0
ALCOA,0,0.0,0,0
ONEOK,0,0.0,0,0
MGM RESORTS INTERNATIONAL,0,0.0,0,0
ABM INDUSTRIES,0,0.0,0,0
LABORATORY CORP. OF AMERICA,0,0.0,0,0
CELGENE,0,0.0,0,0
FREEPORT-MCMORAN,0,0.0,0,0
AK STEEL HOLDING,0,0.0,0,0
DISCOVERY,0,0.0,0,0
PHILIP MORRIS INTERNATIONAL,0,0.0,0,0
APACHE,0,0.0,0,0
HANESBRANDS,0,0.0,0,0
HUNTSMAN,-1,-0.0008,0,1
APPLIED MATERIALS,-1,-0.0157,0,1
STARBUCKS,-2,-0.0222,0,2
NEWMONT,-1,-0.023,0,1
SALESFORCE,-1,-0.0361,0,1
ILLINOIS TOOL WORKS,-2,-0.0461,0,2
AIR PRODUCTS & CHEMICALS,3,-0.0589,6,3
AVERY DENNISON,-1,-0.0592,0,1
NEW YORK LIFE INSURANCE,0,-0.0751,8,8
LIBERTY MEDIA,-2,-0.0757,0,2
MARSH & MCLENNAN,-2,-0.0789,4,6
BANK OF NEW YORK MELLON,1,-0.0862,4,3
CISCO SYSTEMS,2,-0.0888,31,29
NIKE,-8,-0.1058,10,18
ASSURANT,-3,-0.11,15,18
GOLDMAN SACHS GROUP,-1,-0.1141,2,3
MARRIOTT INTERNATIONAL,-5,-0.1216,9,14
WHIRLPOOL,-4,-0.1218,0,4
CINTAS,-2,-0.1275,0,2
CIGNA,-2,-0.1275,0,2
CHESAPEAKE ENERGY,-2,-0.1394,6,8
GOODYEAR TIRE & RUBBER,-2,-0.144,4,6
KINDER MORGAN,-4,-0.1445,0,4
NETAPP,0,-0.15,1,1
NATIONAL OILWELL VARCO,3,-0.1509,12,9
WALT DISNEY,-11,-0.1693,39,50
TIAA,3,-0.1832,16,13
DISH NETWORK,-3,-0.1913,0,3
WILLIAMS,-5,-0.2128,15,20
CATERPILLAR,-15,-0.2138,22,37
HOLLYFRONTIER,-2,-0.2182,1,3
CORNING,3,-0.2522,10,7
JONES LANG LASALLE,-4,-0.255,0,4
JETBLUE AIRWAYS,-1,-0.286,2,3
EASTMAN CHEMICAL,-10,-0.2872,17,27
MCDONALD'S,-12,-0.2884,3,15
BRISTOL-MYERS SQUIBB,8,-0.3218,16,8
PHILLIPS 66,-9,-0.3259,0,9
DARDEN RESTAURANTS,-3,-0.3321,3,6
TEXAS INSTRUMENTS,12,-0.3666,33,21
LINCOLN NATIONAL,-18,-0.4327,87,105
SUPERVALU,-9,-0.4344,1,10
LIBERTY MUTUAL INSURANCE GROUP,-20,-0.4478,13,33
PG&E,0,-0.4498,27,27
GAP,-3,-0.45,0,3
NORTHROP GRUMMAN,21,-0.4951,70,49
CELANESE,-5,-0.5035,0,5
AMERISOURCEBERGEN,-28,-0.5475,4,32
FLUOR,-25,-0.5646,39,64
AMEREN,-8,-0.5658,67,75
CHARTER COMMUNICATIONS,10,-0.5703,55,45
BROADCOM,-4,-0.5996,1,5
NUCOR,-10,-0.5997,7,17
NCR,-2,-0.6131,12,14
COCA-COLA,-11,-0.6231,3,14
MCKESSON,-1,-0.6507,2,3
REGIONS FINANCIAL,-11,-0.6583,3,14
3M,-16,-0.6673,10,26
PNC FINANCIAL SERVICES,-8,-0.682,10,18
FEDEX,-9,-0.6885,24,33
ADVANCE AUTO PARTS,-10,-0.7076,1,11
BECTON DICKINSON,-8,-0.7452,4,12
CSX,-11,-0.7564,38,49
PROCTER & GAMBLE,-21,-0.7815,5,26
ALASKA AIR GROUP,-8,-0.906,5,13
CONOCOPHILLIPS,-4,-0.9144,35,39
MASCO,-9,-0.9792,5,14
WELLS FARGO,-16,-1.0229,36,52
MOTOROLA SOLUTIONS,-17,-1.0388,23,40
NRG ENERGY,-19,-1.0546,25,44
HCA HEALTHCARE,-8,-1.0776,26,34
SIMON PROPERTY GROUP,-2,-1.1454,6,8
UNITED PARCEL SERVICE,-17,-1.2146,24,41
AES,-24,-1.3007,3,27
HUMANA,-51,-1.3022,8,59
AMERIPRISE FINANCIAL,-3,-1.3177,56,59
LAND O'LAKES,-36,-1.4211,8,44
KROGER,-24,-1.4308,3,27
EMCOR GROUP,-4,-1.4643,10,14
CAMPBELL SOUP,-25,-1.5251,5,30
CALPINE,-7,-1.5435,32,39
DEERE,-28,-1.6456,12,40
UNITED STATES STEEL,-35,-1.6818,17,52
ADOBE,-22,-1.6881,2,24
UNITED TECHNOLOGIES,-32,-1.8567,43,75
KELLOGG,-3,-1.9791,8,11
STATE FARM INSURANCE,-67,-2.0222,40,107
GUARDIAN LIFE INS. CO. OF AMERICA,-22,-2.1321,0,22
XEROX,-41,-2.1874,31,72
QUALCOMM,-48,-2.2548,42,90
WINDSTREAM HOLDINGS,-38,-2.2942,43,81
IBM,18,-2.3414,92,74
DXC TECHNOLOGY,-27,-2.3892,41,68
OLIN,-20,-2.4228,4,24
ALLSTATE,-48,-2.4827,35,83
DOLLAR GENERAL,-24,-2.5012,5,29
TRAVELERS,-39,-2.8979,21,60
FIFTH THIRD BANCORP,-41,-3.1216,45,86
CITIZENS FINANCIAL GROUP,-20,-3.1448,1,21
SOUTHWEST AIRLINES,-28,-3.1482,15,43
MARATHON PETROLEUM,-146,-3.158,11,157
CHARLES SCHWAB,-34,-3.2582,48,82
INTERPUBLIC GROUP,-18,-3.2931,4,22
LOEWS,-37,-3.3794,17,54
FISERV,-58,-3.6088,44,102
WASTE MANAGEMENT,-47,-3.6777,4,51
JPMORGAN CHASE & CO.,-80,-3.8665,29,109
UNION PACIFIC,-14,-3.9702,40,54
RAYTHEON,-39,-4.0607,44,83
KOHL'S,-28,-4.2273,2,30
FACEBOOK,-49,-4.2812,38,87
HOME DEPOT,-65,-4.3989,19,84
PEPSICO,-77,-4.5238,28,105
DOMINION ENERGY,-50,-4.6252,51,101
ROCKWELL COLLINS,-41,-5.1578,40,81
WEC ENERGY GROUP,-65,-5.2839,52,117
INTUIT,-93,-6.4679,13,106
AMERICAN ELECTRIC POWER,-43,-7.8306,65,108
OCCIDENTAL PETROLEUM,-97,-8.2588,58,155
CONSOLIDATED EDISON,-187,-11.3222,10,197
CENTERPOINT ENERGY,-103,-12.2131,34,137
STRYKER,-30,-12.3245,7,37
