company,rank,bill_number,total_amount,budget_fraction
3M,1,H.R.825,1544666.67,0.147111
3M,2,S.1000,1338957.97,0.12752
3M,3,H.R.4137,418957.97,0.039901
3M,4,H.R.7,321333.33,0.030603
3M,5,H.R.3205,214957.97,0.020472
3M,6,S.1865,214957.97,0.020472
3M,7,S.1700,214957.97,0.020472
3M,8,S.17,214957.97,0.020472
3M,9,S.2465,214957.97,0.020472
3M,10,H.R.5856,214957.97,0.020472
3M,11,H.R.5651,214957.97,0.020472
3M,12,H.R.5325,214957.97,0.020472
3M,13,H.R.436,214957.97,0.020472
3M,14,S.3187,214957.97,0.020472
3M,15,S.2645,97624.63,0.009298
3M,16,S.2644,97624.63,0.009298
3M,17,S.2639,97624.63,0.009298
3M,18,S.2646,97624.63,0.009298
3M,19,S.2643,97624.63,0.009298
3M,20,S.2642,97624.63,0.009298
3M,21,S.2641,97624.63,0.009298
3M,22,S.2640,97624.63,0.009298
3M,23,H.R.2598,97624.63,0.009298
3M,24,S.2638,97624.63,0.009298
3M,25,S.2637,97624.63,0.009298
3M,26,S.2636,97624.63,0.009298
3M,27,S.2635,97624.63,0.009298
3M,28,S.2634,97624.63,0.009298
3M,29,H.R.6544,97624.63,0.009298
3M,30,H.R.6535,97624.63,0.009298
ABBOTT LABORATORIES,1,H.R.3497,1263416.67,0.122543
ABBOTT LABORATORIES,2,S.27,775416.67,0.07521
ABBOTT LABORATORIES,3,H.R.6446,764666.67,0.074167
ABBOTT LABORATORIES,4,H.R.675,649711.54,0.063018
ABBOTT LABORATORIES,5,S.3285,596666.67,0.057873
ABBOTT LABORATORIES,6,S.3187,596666.67,0.057873
ABBOTT LABORATORIES,7,H.R.5973,596666.67,0.057873
ABBOTT LABORATORIES,8,H.R.2245,537211.54,0.052106
ABBOTT LABORATORIES,9,S.296,537211.54,0.052106
ABBOTT LABORATORIES,10,H.R.3207,498750.0,0.048375
ABBOTT LABORATORIES,11,S.17,470961.54,0.04568
ABBOTT LABORATORIES,12,S.319,470961.54,0.04568
ABBOTT LABORATORIES,13,H.R.5,320000.0,0.031038
ABBOTT LABORATORIES,14,H.R.243,248461.54,0.024099
ABBOTT LABORATORIES,15,H.R.2112,217211.54,0.021068
ABBOTT LABORATORIES,16,H.R.1483,210000.0,0.020369
ABBOTT LABORATORIES,17,H.R.5440,210000.0,0.020369
ABBOTT LABORATORIES,18,H.R.3026,178750.0,0.017338
ABBOTT LABORATORIES,19,S.3240,168000.0,0.016295
ABBOTT LABORATORIES,20,H.R.6083,168000.0,0.016295
ABBOTT LABORATORIES,21,S.1206,38461.54,0.003731
ABBOTT LABORATORIES,22,S.1002,38461.54,0.003731
ABBOTT LABORATORIES,23,H.R.2017,38461.54,0.003731
ABBOTT LABORATORIES,24,H.R.2190,38461.54,0.003731
ABM INDUSTRIES,1,H.R.4017,5000.0,0.5
ABM INDUSTRIES,2,S.1914,5000.0,0.5
ADP,1,H.R.2466,325000.0,0.373563
ADP,2,S.1908,325000.0,0.373563
ADP,3,H.R.2164,100000.0,0.114943
ADP,4,S.1660,90000.0,0.103448
ADP,5,S.3521,30000.0,0.034483
ADVANCE AUTO PARTS,1,H.R.2057,40000.0,0.666667
ADVANCE AUTO PARTS,2,H.R.4173,10000.0,0.166667
ADVANCE AUTO PARTS,3,S.3217,10000.0,0.166667
ADVANCED MICRO DEVICES,1,S.21,73222.94,0.112651
ADVANCED MICRO DEVICES,2,H.R.4173,53277.78,0.081966
ADVANCED MICRO DEVICES,3,H.R.76,53277.78,0.081966
ADVANCED MICRO DEVICES,4,S.413,53277.78,0.081966
ADVANCED MICRO DEVICES,5,H.R.2096,50722.94,0.078035
ADVANCED MICRO DEVICES,6,S.1258,39722.94,0.061112
ADVANCED MICRO DEVICES,7,H.R.910,33500.0,0.051538
ADVANCED MICRO DEVICES,8,S.482,33500.0,0.051538
ADVANCED MICRO DEVICES,9,H.R.4257,19945.17,0.030685
ADVANCED MICRO DEVICES,10,H.R.4263,19945.17,0.030685
ADVANCED MICRO DEVICES,11,S.2151,19945.17,0.030685
ADVANCED MICRO DEVICES,12,H.R.2219,19777.78,0.030427
ADVANCED MICRO DEVICES,13,S.3185,11373.74,0.017498
ADVANCED MICRO DEVICES,14,S.3192,11373.74,0.017498
ADVANCED MICRO DEVICES,15,H.R.6429,5818.18,0.008951
AES,1,S.1833,145000.0,0.241667
AES,2,H.R.2401,130000.0,0.216667
AES,3,H.R.2273,85000.0,0.141667
AES,4,S.1845,65000.0,0.108333
AES,5,S.3342,65000.0,0.108333
AES,6,H.R.4273,7500.0,0.0125
AES,7,S.2091,7500.0,0.0125
AES,8,S.3521,7500.0,0.0125
AFLAC,1,H.CON.RES.34,952603.17,0.108621
AFLAC,2,H.R.1206,952603.17,0.108621
AFLAC,3,H.R.2021,952603.17,0.108621
AFLAC,4,H.R.3400,952603.17,0.108621
AFLAC,5,H.R.371,952603.17,0.108621
AFLAC,6,H.R.4,952603.17,0.108621
AFLAC,7,S.2013,952603.17,0.108621
AFLAC,8,H.R.10,806888.89,0.092006
AFLAC,9,S.299,806888.89,0.092006
AFLAC,10,H.R.5,488000.0,0.055644
AGCO,1,H.R.2700,213333.33,0.2397
AGCO,2,S.5,213333.33,0.2397
AGCO,3,H.R.6083,128333.33,0.144195
AGCO,4,S.3240,128333.33,0.144195
AGCO,5,S.3285,128333.33,0.144195
AGCO,6,H.R.843,46666.67,0.052434
AGCO,7,H.R.2072,31666.67,0.035581
AIR PRODUCTS & CHEMICALS,1,S.2374,200000.0,0.377358
AIR PRODUCTS & CHEMICALS,2,H.R.1337,36000.0,0.067925
AIR PRODUCTS & CHEMICALS,3,H.R.1835,36000.0,0.067925
AIR PRODUCTS & CHEMICALS,4,S.1462,36000.0,0.067925
AIR PRODUCTS & CHEMICALS,5,S.598,36000.0,0.067925
AIR PRODUCTS & CHEMICALS,6,S.774,36000.0,0.067925
AIR PRODUCTS & CHEMICALS,7,H.R.2354,30000.0,0.056604
AIR PRODUCTS & CHEMICALS,8,H.R.5325,30000.0,0.056604
AIR PRODUCTS & CHEMICALS,9,S.2465,30000.0,0.056604
AIR PRODUCTS & CHEMICALS,10,H.J.RES.117,13333.33,0.025157
AIR PRODUCTS & CHEMICALS,11,S.112,6666.67,0.012579
AIR PRODUCTS & CHEMICALS,12,H.R.1473,5000.0,0.009434
AK STEEL HOLDING,1,H.R.1861,91688.0,0.134451
AK STEEL HOLDING,2,H.R.1229,35593.0,0.052193
AK STEEL HOLDING,3,H.R.1230,35593.0,0.052193
AK STEEL HOLDING,4,H.R.1231,35593.0,0.052193
ALASKA AIR GROUP,1,H.R.658,311666.67,0.375502
ALASKA AIR GROUP,2,S.223,265000.0,0.319277
ALASKA AIR GROUP,3,S.1956,160000.0,0.192771
ALASKA AIR GROUP,4,H.R.2309,46666.67,0.056225
ALASKA AIR GROUP,5,S.1789,46666.67,0.056225
ALCOA,1,H.R.2454,1850000.0,1.0
ALLSTATE,1,H.R.1026,471571.01,0.07606
ALLSTATE,2,H.R.1309,471571.01,0.07606
ALLSTATE,3,S.528,471571.01,0.07606
ALLSTATE,4,H.R.1515,471571.01,0.07606
ALLSTATE,5,H.R.902,471571.01,0.07606
ALLSTATE,6,H.R.1063,432126.57,0.069698
ALLSTATE,7,S.799,342999.58,0.055323
ALLSTATE,8,S.1091,342999.58,0.055323
ALLSTATE,9,H.R.654,342999.58,0.055323
ALLSTATE,10,H.R.611,342999.58,0.055323
ALLSTATE,11,H.R.653,303555.14,0.048961
ALLSTATE,12,S.1718,199666.25,0.032204
ALLSTATE,13,H.R.1473,143333.33,0.023118
ALLSTATE,14,S.1449,133166.25,0.021478
ALLSTATE,15,S.3217,128571.43,0.020737
ALLSTATE,16,H.R.3525,118078.95,0.019045
ALLSTATE,17,S.1940,118078.95,0.019045
ALLSTATE,18,H.R.7,93721.8,0.015116
ALLSTATE,19,H.R.3889,66500.0,0.010726
ALLSTATE,20,H.R.1064,39444.44,0.006362
ALLSTATE,21,S.637,39444.44,0.006362
ALLSTATE,22,H.R.2101,39444.44,0.006362
ALLSTATE,23,H.R.2069,39444.44,0.006362
ALLSTATE,24,H.R.3125,39444.44,0.006362
ALLSTATE,25,H.R.2099,39444.44,0.006362
ALLSTATE,26,H.R.2100,39444.44,0.006362
ALLSTATE,27,H.R.1845,36500.0,0.005887
ALLSTATE,28,H.R.677,36500.0,0.005887
ALLSTATE,29,S.960,36500.0,0.005887
ALLSTATE,30,H.R.6477,30000.0,0.004839
ALLY FINANCIAL,1,H.R.4014,740000.0,0.493333
ALLY FINANCIAL,2,H.R.3871,130000.0,0.086667
ALLY FINANCIAL,3,S.2055,130000.0,0.086667
ALLY FINANCIAL,4,S.2099,130000.0,0.086667
ALPHABET,1,S.911,1127103.98,0.038026
ALPHABET,2,H.R.654,909073.68,0.030671
ALPHABET,3,S.1011,880564.9,0.029709
ALPHABET,4,S.978,827770.65,0.027927
ALPHABET,5,S.968,751398.24,0.025351
ALPHABET,6,S.2151,743643.85,0.025089
ALPHABET,7,S.1535,718810.52,0.024251
ALPHABET,8,H.R.2471,637969.7,0.021524
ALPHABET,9,S.913,601390.75,0.02029
ALPHABET,10,H.R.1895,587048.64,0.019806
ALPHABET,11,S.522,566390.75,0.019109
ALPHABET,12,S.455,533603.98,0.018003
ALPHABET,13,H.R.4263,523643.85,0.017667
ALPHABET,14,H.CON.RES.114,521977.19,0.017611
ALPHABET,15,H.R.12,498810.52,0.016829
ALPHABET,16,S.799,498810.52,0.016829
ALPHABET,17,S.1549,498810.52,0.016829
ALPHABET,18,S.21,487057.42,0.016432
ALPHABET,19,H.R.3261,460485.96,0.015536
ALPHABET,20,H.R.3674,447507.49,0.015098
ALPHABET,21,S.1970,445840.82,0.015042
ALPHABET,22,S.1965,445840.82,0.015042
ALPHABET,23,H.R.3309,445840.82,0.015042
ALPHABET,24,H.R.3606,445840.82,0.015042
ALPHABET,25,H.R.2520,422674.15,0.01426
ALPHABET,26,H.R.5893,399294.26,0.013471
ALPHABET,27,S.1223,381390.75,0.012867
ALPHABET,28,S.1207,381390.75,0.012867
ALPHABET,29,H.R.3012,381310.52,0.012865
ALPHABET,30,H.R.1389,343340.82,0.011584
ALTRIA GROUP,1,H.R.942,1830416.67,0.084859
ALTRIA GROUP,2,S.174,1830416.67,0.084859
ALTRIA GROUP,3,H.R.1639,1353750.0,0.062761
ALTRIA GROUP,4,S.794,1353750.0,0.062761
ALTRIA GROUP,5,S.1461,1091750.0,0.050614
ALTRIA GROUP,6,S.18,969435.9,0.044944
ALTRIA GROUP,7,H.R.2,969435.9,0.044944
ALTRIA GROUP,8,S.1647,860980.77,0.039916
ALTRIA GROUP,9,H.R.3091,860980.77,0.039916
ALTRIA GROUP,10,H.R.3186,860980.77,0.039916
ALTRIA GROUP,11,S.1706,860980.77,0.039916
ALTRIA GROUP,12,S.968,820125.0,0.038022
ALTRIA GROUP,13,H.R.4,738666.67,0.034245
ALTRIA GROUP,14,H.R.2112,650894.23,0.030176
ALTRIA GROUP,15,S.3081,533625.0,0.024739
ALTRIA GROUP,16,S.3295,533625.0,0.024739
ALTRIA GROUP,17,H.R.4134,524855.77,0.024333
ALTRIA GROUP,18,H.R.658,492769.23,0.022845
ALTRIA GROUP,19,S.72,476666.67,0.022099
ALTRIA GROUP,20,S.1403,388894.23,0.018029
ALTRIA GROUP,21,H.R.65,388894.23,0.018029
ALTRIA GROUP,22,H.R.5973,355625.0,0.016487
ALTRIA GROUP,23,S.223,230769.23,0.010699
