source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
3M,ABBOTT LABORATORIES,0.004565,0.018261,0,1,1,2,-1
ABBOTT LABORATORIES,3M,0.013696,0.018261,1,0,1,2,1
3M,AIR PRODUCTS & CHEMICALS,0.0,0.014884,0,2,0,2,-2
AIR PRODUCTS & CHEMICALS,3M,0.014884,0.014884,2,0,0,2,2
3M,ALLSTATE,0.001296,0.002592,0,0,1,1,0
ALLSTATE,3M,0.001296,0.002592,0,0,1,1,0
3M,AMEREN,5e-05,0.0001,0,0,1,1,0
AMEREN,3M,5e-05,0.0001,0,0,1,1,0
3M,AMGEN,0.00437,0.008741,0,0,1,1,0
AMGEN,3M,0.00437,0.008741,0,0,1,1,0
3M,AVERY DENNISON,0.059155,0.059155,1,0,0,1,1
AVERY DENNISON,3M,0.0,0.059155,0,1,0,1,-1
3M,BALL,0.008091,0.016182,0,0,1,1,0
BALL,3M,0.008091,0.016182,0,0,1,1,0
3M,BAXTER INTERNATIONAL,0.001624,0.003247,0,0,1,1,0
BAXTER INTERNATIONAL,3M,0.001624,0.003247,0,0,1,1,0
3M,BECTON DICKINSON,0.007514,0.015028,0,0,3,3,0
BECTON DICKINSON,3M,0.007514,0.015028,0,0,3,3,0
3M,BEST BUY,0.002373,0.004747,0,0,1,1,0
BEST BUY,3M,0.002373,0.004747,0,0,1,1,0
3M,BOSTON SCIENTIFIC,0.0,0.037592,0,5,0,5,-5
BOSTON SCIENTIFIC,3M,0.037592,0.037592,5,0,0,5,5
3M,BRISTOL-MYERS SQUIBB,0.000725,0.00145,0,0,1,1,0
BRISTOL-MYERS SQUIBB,3M,0.000725,0.00145,0,0,1,1,0
3M,CARDINAL HEALTH,0.001759,0.010552,0,2,1,3,-2
CARDINAL HEALTH,3M,0.008794,0.010552,2,0,1,3,2
3M,CENTERPOINT ENERGY,0.013417,0.026834,0,0,1,1,0
CENTERPOINT ENERGY,3M,0.013417,0.026834,0,0,1,1,0
3M,CONSOLIDATED EDISON,0.00916,0.00916,2,0,0,2,2
CONSOLIDATED EDISON,3M,0.0,0.00916,0,2,0,2,-2
3M,CUMMINS,0.000656,0.001312,0,0,4,4,0
CUMMINS,3M,0.000656,0.001312,0,0,4,4,0
3M,DOMINION ENERGY,0.010123,0.010123,1,0,0,1,1
DOMINION ENERGY,3M,0.0,0.010123,0,1,0,1,-1
3M,EASTMAN CHEMICAL,0.057864,0.057864,1,0,0,1,1
EASTMAN CHEMICAL,3M,0.0,0.057864,0,1,0,1,-1
3M,ECOLAB,0.037407,0.074815,0,0,1,1,0
ECOLAB,3M,0.037407,0.074815,0,0,1,1,0
3M,EDISON INTERNATIONAL,0.000308,0.000617,0,0,1,1,0
EDISON INTERNATIONAL,3M,0.000308,0.000617,0,0,1,1,0
3M,EMCOR GROUP,0.001737,0.003474,0,0,1,1,0
EMCOR GROUP,3M,0.001737,0.003474,0,0,1,1,0
3M,FEDEX,0.000821,0.001643,0,0,1,1,0
FEDEX,3M,0.000821,0.001643,0,0,1,1,0
3M,FIRSTENERGY,0.005061,0.010123,0,0,1,1,0
FIRSTENERGY,3M,0.005061,0.010123,0,0,1,1,0
3M,FLUOR,0.0,0.020823,0,1,0,1,-1
FLUOR,3M,0.020823,0.020823,1,0,0,1,1
3M,GENERAL DYNAMICS,0.002575,0.005151,0,0,3,3,0
GENERAL DYNAMICS,3M,0.002575,0.005151,0,0,3,3,0
3M,GENERAL ELECTRIC,0.0,0.034864,0,2,0,2,-2
GENERAL ELECTRIC,3M,0.034864,0.034864,2,0,0,2,2
3M,GENERAL MILLS,0.031938,0.063875,0,0,1,1,0
GENERAL MILLS,3M,0.031938,0.063875,0,0,1,1,0
3M,HCA HEALTHCARE,0.003616,0.007231,0,0,1,1,0
HCA HEALTHCARE,3M,0.003616,0.007231,0,0,1,1,0
3M,HOME DEPOT,0.0004,0.000799,0,0,1,1,0
HOME DEPOT,3M,0.0004,0.000799,0,0,1,1,0
3M,HONEYWELL INTERNATIONAL,0.012336,0.016448,1,0,1,2,1
HONEYWELL INTERNATIONAL,3M,0.004112,0.016448,0,1,1,2,-1
3M,JOHNSON & JOHNSON,0.0,0.034909,0,3,0,3,-3
JOHNSON & JOHNSON,3M,0.034909,0.034909,3,0,0,3,3
3M,LUMEN TECHNOLOGIES,0.00437,0.008741,0,0,1,1,0
LUMEN TECHNOLOGIES,3M,0.00437,0.008741,0,0,1,1,0
3M,MARATHON PETROLEUM,0.0004,0.000799,0,0,1,1,0
MARATHON PETROLEUM,3M,0.0004,0.000799,0,0,1,1,0
3M,MASCO,0.063875,0.063875,1,0,0,1,1
MASCO,3M,0.0,0.063875,0,1,0,1,-1
3M,MERCK,0.007532,0.015064,0,0,2,2,0
MERCK,3M,0.007532,0.015064,0,0,2,2,0
3M,MOTOROLA SOLUTIONS,0.00478,0.00956,0,0,1,1,0
MOTOROLA SOLUTIONS,3M,0.00478,0.00956,0,0,1,1,0
3M,NATIONAL OILWELL VARCO,0.000429,0.000858,0,0,1,1,0
NATIONAL OILWELL VARCO,3M,0.000429,0.000858,0,0,1,1,0
3M,NEWS CORP.,0.000133,0.000266,0,0,2,2,0
NEWS CORP.,3M,0.000133,0.000266,0,0,2,2,0
3M,NEXTERA ENERGY,0.000105,0.000211,0,0,2,2,0
