source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
3M,ABBOTT LABORATORIES,0.001799,0.003598,0,0,1,1,0
ABBOTT LABORATORIES,3M,0.001799,0.003598,0,0,1,1,0
3M,ALPHABET,0.005861,0.009378,1,0,3,4,1
ALPHABET,3M,0.003517,0.009378,0,1,3,4,-1
3M,AMAZON,0.00862,0.051719,0,2,1,3,-2
AMAZON,3M,0.043099,0.051719,2,0,1,3,2
3M,AMEREN,0.000449,0.000899,1,1,0,2,0
AMEREN,3M,0.000449,0.000899,1,1,0,2,0
3M,AMERICAN AIRLINES GROUP,0.001216,0.001216,2,0,0,2,2
AMERICAN AIRLINES GROUP,3M,0.0,0.001216,0,2,0,2,-2
3M,AMERICAN ELECTRIC POWER,0.002,0.002667,1,0,1,2,1
AMERICAN ELECTRIC POWER,3M,0.000667,0.002667,0,1,1,2,-1
3M,AMGEN,0.003195,0.006389,0,0,1,1,0
AMGEN,3M,0.003195,0.006389,0,0,1,1,0
3M,BALL,0.001477,0.00591,0,2,2,4,-2
BALL,3M,0.004432,0.00591,2,0,2,4,2
3M,BERKSHIRE HATHAWAY,0.001033,0.002066,0,0,1,1,0
BERKSHIRE HATHAWAY,3M,0.001033,0.002066,0,0,1,1,0
3M,BEST BUY,0.0394,0.045028,3,0,1,4,3
BEST BUY,3M,0.005629,0.045028,0,3,1,4,-3
3M,CARDINAL HEALTH,0.005964,0.005964,1,0,0,1,1
CARDINAL HEALTH,3M,0.0,0.005964,0,1,0,1,-1
3M,CBS,0.0,0.020328,0,2,0,2,-2
CBS,3M,0.020328,0.020328,2,0,0,2,2
3M,CENTERPOINT ENERGY,0.000256,0.000513,0,0,2,2,0
CENTERPOINT ENERGY,3M,0.000256,0.000513,0,0,2,2,0
3M,CSX,0.000383,0.000766,0,0,1,1,0
CSX,3M,0.000383,0.000766,0,0,1,1,0
3M,CUMMINS,0.001221,0.002442,0,0,2,2,0
CUMMINS,3M,0.001221,0.002442,0,0,2,2,0
3M,CVS HEALTH,0.019144,0.038289,1,1,0,2,0
CVS HEALTH,3M,0.019144,0.038289,1,1,0,2,0
3M,DELL TECHNOLOGIES,0.005555,0.044437,0,3,1,4,-3
DELL TECHNOLOGIES,3M,0.038882,0.044437,3,0,1,4,3
3M,DELTA AIR LINES,0.000562,0.001123,0,0,2,2,0
DELTA AIR LINES,3M,0.000562,0.001123,0,0,2,2,0
3M,DTE ENERGY,0.003162,0.006323,0,0,2,2,0
DTE ENERGY,3M,0.003162,0.006323,0,0,2,2,0
3M,DUKE ENERGY,0.000605,0.00121,0,0,3,3,0
DUKE ENERGY,3M,0.000605,0.00121,0,0,3,3,0
3M,DUPONT DE NEMOURS,0.0,0.001024,0,1,0,1,-1
DUPONT DE NEMOURS,3M,0.001024,0.001024,1,0,0,1,1
3M,EBAY,0.024939,0.099758,0,2,2,4,-2
EBAY,3M,0.074818,0.099758,2,0,2,4,2
3M,ELI LILLY,0.000819,0.000819,1,0,0,1,1
ELI LILLY,3M,0.0,0.000819,0,1,0,1,-1
3M,ENTERGY,0.002271,0.003407,1,0,2,3,1
ENTERGY,3M,0.001136,0.003407,0,1,2,3,-1
