company,rank,bill_number,total_amount,budget_fraction
3M,1,H.R.1400,731363.33,0.114276
3M,2,H.R.3463,291363.33,0.045526
3M,3,S.308,291363.33,0.045526
3M,4,S.1693,291363.33,0.045526
3M,5,H.R.1436,291363.33,0.045526
3M,6,S.936,291363.33,0.045526
3M,7,H.R.3429,224090.6,0.035014
3M,8,H.R.5374,224090.6,0.035014
3M,9,S.2363,224090.6,0.035014
3M,10,H.R.2356,224090.6,0.035014
3M,11,S.1843,224090.6,0.035014
3M,12,H.R.5502,192272.42,0.030043
3M,13,S.3799,173013.16,0.027033
3M,14,H.R.8255,141763.16,0.02215
3M,15,H.R.8236,141763.16,0.02215
3M,16,H.R.8295,141763.16,0.02215
3M,17,S.914,118350.17,0.018492
3M,18,H.R.2,118350.17,0.018492
3M,19,S.1931,118350.17,0.018492
3M,20,S.2605,82327.44,0.012864
3M,21,H.R.4550,82327.44,0.012864
3M,22,H.R.4549,82327.44,0.012864
3M,23,H.R.4502,82327.44,0.012864
3M,24,H.R.4432,82327.44,0.012864
3M,25,S.317,70000.0,0.010937
3M,26,S.3023,50509.26,0.007892
3M,27,S.3045,50509.26,0.007892
3M,28,S.3062,50509.26,0.007892
3M,29,H.R.4346,46500.0,0.007266
3M,30,H.R.2731,19259.26,0.003009
ABBOTT LABORATORIES,1,S.3829,796722.22,0.097757
ABBOTT LABORATORIES,2,S.3942,774246.03,0.095
ABBOTT LABORATORIES,3,S.3780,774246.03,0.095
ABBOTT LABORATORIES,4,H.R.4128,602555.56,0.073933
ABBOTT LABORATORIES,5,H.R.6102,482500.0,0.059202
ABBOTT LABORATORIES,6,H.R.3757,442888.89,0.054342
ABBOTT LABORATORIES,7,S.2016,442888.89,0.054342
ABBOTT LABORATORIES,8,H.R.4511,232476.19,0.028525
ABBOTT LABORATORIES,9,S.1508,232476.19,0.028525
ABBOTT LABORATORIES,10,H.R.4043,220222.22,0.027021
ABBOTT LABORATORIES,11,H.R.8299,216809.52,0.026602
ABBOTT LABORATORIES,12,S.3983,216809.52,0.026602
ABBOTT LABORATORIES,13,S.4386,216809.52,0.026602
ABBOTT LABORATORIES,14,H.R.7213,216809.52,0.026602
ABBOTT LABORATORIES,15,H.R.7084,216809.52,0.026602
ABBOTT LABORATORIES,16,S.3799,172333.33,0.021145
ABBOTT LABORATORIES,17,H.R.8188,159666.67,0.019591
ABBOTT LABORATORIES,18,S.4348,135476.19,0.016623
ABBOTT LABORATORIES,19,H.R.7667,135476.19,0.016623
ABBOTT LABORATORIES,20,H.R.3108,94000.0,0.011534
ABBOTT LABORATORIES,21,S.4851,81333.33,0.00998
ABBOTT LABORATORIES,22,H.R.8585,81333.33,0.00998
ABBOTT LABORATORIES,23,S.4449,78333.33,0.009611
ABBOTT LABORATORIES,24,H.R.8800,78333.33,0.009611
ABBVIE,1,H.R.1,2667004.66,0.175461
ABBVIE,2,H.R.2007,1545000.0,0.101645
ABBVIE,3,S.2164,1122004.66,0.073816
ABBVIE,4,H.R.19,1041171.33,0.068498
ABBVIE,5,H.R.3,1041171.33,0.068498
ABBVIE,6,H.R.2873,952004.66,0.062632
ABBVIE,7,H.R.2883,952004.66,0.062632
ABBVIE,8,H.R.2884,952004.66,0.062632
ABBVIE,9,H.R.2891,952004.66,0.062632
ABBVIE,10,H.R.5260,952004.66,0.062632
ABBVIE,11,H.R.5801,775641.03,0.051029
ABBVIE,12,S.2891,668141.03,0.043957
ABBVIE,13,S.2774,263141.03,0.017312
ACTIVISION BLIZZARD,1,S.4543,35000.0,0.102941
ADOBE,1,S.2559,734285.71,0.327806
ADOBE,2,S.2599,734285.71,0.327806
ADOBE,3,H.R.3294,154285.71,0.068878
ADOBE,4,S.1934,154285.71,0.068878
ADOBE,5,S.1945,154285.71,0.068878
ADP,1,H.R.3449,300000.0,0.508475
ADP,2,H.R.748,100000.0,0.169492
ADP,3,S.1560,30000.0,0.050847
ADVANCED MICRO DEVICES,1,H.R.2225,1263595.24,0.169383
ADVANCED MICRO DEVICES,2,H.R.3593,1263595.24,0.169383
ADVANCED MICRO DEVICES,3,S.2107,1263595.24,0.169383
ADVANCED MICRO DEVICES,4,H.R.7178,1148595.24,0.153967
ADVANCED MICRO DEVICES,5,H.R.6291,520595.24,0.069785
ADVANCED MICRO DEVICES,6,H.R.7104,520595.24,0.069785
ADVANCED MICRO DEVICES,7,H.R.4346,169166.67,0.022676
AECOM,1,S.914,290000.0,0.161111
AECOM,2,H.R.7776,197666.67,0.109815
AECOM,3,S.4670,111000.0,0.061667
AECOM,4,S.4543,30000.0,0.016667
AECOM,5,S.1931,26071.43,0.014484
AECOM,6,S.2016,26071.43,0.014484
AECOM,7,H.R.8255,16000.0,0.008889
AECOM,8,H.R.8294,16000.0,0.008889
AECOM,9,H.R.4549,8571.43,0.004762
AECOM,10,H.R.4550,8571.43,0.004762
AECOM,11,S.2605,8571.43,0.004762
AECOM,12,S.3045,8571.43,0.004762
