firm,net_influence,net_strength,total_firsts,total_losses
HEWLETT PACKARD ENTERPRISE,44,6.9005,47,3
AMAZON,40,5.8442,53,13
LOCKHEED MARTIN,57,5.8116,66,9
EXELON,49,5.5102,56,7
MERCK,24,4.6861,33,9
GRAPHIC PACKAGING HOLDING,24,4.6217,31,7
UNITED AIRLINES HOLDINGS,19,4.3094,28,9
WESTROCK,18,3.7119,25,7
SHERWIN-WILLIAMS,16,3.6435,27,11
DELL TECHNOLOGIES,12,3.2544,44,32
STATE FARM INSURANCE,33,3.1726,55,22
MICROSOFT,55,3.0876,62,7
ENTERGY,-2,2.8324,56,58
XCEL ENERGY,44,2.7881,44,0
LABORATORY CORP. OF AMERICA,25,2.3161,26,1
DTE ENERGY,17,2.279,32,15
PUBLIC SERVICE ENTERPRISE GROUP,5,2.2496,37,32
NEW YORK LIFE INSURANCE,10,2.1269,15,5
TEXAS INSTRUMENTS,21,2.0851,40,19
MOTOROLA SOLUTIONS,10,2.0475,10,0
RAYTHEON,39,1.976,52,13
GUARDIAN LIFE INS. CO. OF AMERICA,23,1.8226,28,5
WALGREENS BOOTS ALLIANCE,13,1.7738,17,4
CIGNA,10,1.7723,36,26
IBM,19,1.6623,33,14
CAPITAL ONE FINANCIAL,15,1.6471,19,4
PPL,-8,1.6065,38,46
JOHNSON & JOHNSON,27,1.5189,40,13
PRINCIPAL FINANCIAL,7,1.4987,12,5
SOUTHWEST AIRLINES,27,1.4781,33,6
CONSTELLATION BRANDS,11,1.4742,12,1
DUKE ENERGY,41,1.4595,42,1
BLACKROCK,6,1.449,7,1
AIG,3,1.3693,13,10
HUMANA,18,1.3232,24,6
NEWS CORP.,9,1.3134,9,0
EBAY,26,1.3097,33,7
FIRSTENERGY,3,1.3063,32,29
WALT DISNEY,-9,1.2722,17,26
WALMART,7,1.2593,46,39
NORTHWESTERN MUTUAL,7,1.1899,27,20
GENERAL MOTORS,-4,1.1477,45,49
MICRON TECHNOLOGY,1,1.0067,48,47
CMS ENERGY,34,1.0008,34,0
BOEING,33,0.9911,44,11
GENERAL DYNAMICS,53,0.9378,68,15
FIDELITY NATIONAL FINANCIAL,6,0.9187,7,1
BOSTON SCIENTIFIC,9,0.8929,12,3
PG&E,18,0.8761,18,0
CBS,17,0.8716,18,1
EDISON INTERNATIONAL,2,0.8413,5,3
HARTFORD FINANCIAL SERVICES,14,0.8163,24,10
ILLINOIS TOOL WORKS,8,0.7523,8,0
TIAA,16,0.7261,18,2
CVS HEALTH,12,0.6955,35,23
NORTHERN TRUST,1,0.6936,18,17
JPMORGAN CHASE & CO.,28,0.6925,33,5
CARDINAL HEALTH,-28,0.6617,19,47
PAYPAL HOLDINGS,3,0.6412,3,0
SYSCO,3,0.5911,3,0
ALASKA AIR GROUP,6,0.5848,18,12
AES,6,0.5842,16,10
CHARTER COMMUNICATIONS,12,0.4907,12,0
OWENS CORNING,7,0.4879,7,0
ARCHER DANIELS MIDLAND,3,0.45,3,0
PEABODY ENERGY,2,0.4312,2,0
NATIONWIDE,18,0.4284,18,0
CISCO SYSTEMS,9,0.4261,26,17
HOME DEPOT,28,0.4241,46,18
KEURIG DR PEPPER,4,0.4156,4,0
APPLE,0,0.4067,30,30
ADVANCED MICRO DEVICES,6,0.4016,7,1
CHEVRON,-13,0.351,21,34
TESLA,5,0.3144,5,0
ALLY FINANCIAL,2,0.286,2,0
AFLAC,6,0.285,6,0
AT&T,19,0.2839,25,6
HARLEY-DAVIDSON,2,0.2775,2,0
NORTHROP GRUMMAN,43,0.2768,66,23
FLUOR,11,0.267,14,3
HILTON WORLDWIDE HOLDINGS,4,0.2653,4,0
TENET HEALTHCARE,2,0.2499,2,0
JABIL,2,0.2465,11,9
CITIGROUP,7,0.2397,9,2
PNC FINANCIAL SERVICES,6,0.2244,7,1
PROCTER & GAMBLE,1,0.2215,3,2
AMERICAN EXPRESS,-2,0.2139,5,7
HERSHEY,-7,0.2138,6,13
CHS,3,0.1987,3,0
BERKSHIRE HATHAWAY,14,0.1913,15,1
ELI LILLY,2,0.1885,15,13
