uniq_id,fortune_name,issue_code,amount,amount_allocated,year,congress
8cb70dcc-97f5-4f70-a1fb-3ce03a251802,ENERGY TRANSFER,ENV,60000.0,12000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,HOM,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,CAW,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,ENG,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,UTI,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,CDT,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,TAX,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,TEC,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,TRA,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,BUD,1390000.0,139000.0,2021,117
8cb8bc20-e234-453c-a5cd-cb0364f68758,SOUTHERN,ENV,1390000.0,139000.0,2021,117
8d19c638-8fd6-4664-bb89-d0e626aea17c,ENERGY TRANSFER,GOV,0.0,0.0,2021,117
8dd88737-bbaf-4c7d-8c19-e030d1c1d8f1,BLACKSTONE GROUP,TAX,0.0,0.0,2021,117
8fe30429-417a-4602-9a5c-e58920217ac6,WESTERN DIGITAL,MAN,20000.0,20000.0,2021,117
90b73f4c-bdb1-451f-8231-ba5991f58ba2,CHESAPEAKE ENERGY,ENG,15000.0,15000.0,2021,117
917d338d-ed03-4866-aa75-26a93c408652,YUM BRANDS,AGR,260000.0,37142.857142857145,2021,117
917d338d-ed03-4866-aa75-26a93c408652,YUM BRANDS,TAX,260000.0,37142.857142857145,2021,117
917d338d-ed03-4866-aa75-26a93c408652,YUM BRANDS,SCI,260000.0,37142.857142857145,2021,117
917d338d-ed03-4866-aa75-26a93c408652,YUM BRANDS,LBR,260000.0,37142.857142857145,2021,117
917d338d-ed03-4866-aa75-26a93c408652,YUM BRANDS,ENV,260000.0,37142.857142857145,2021,117
