firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
S&P GLOBAL,0,0.01346,-0.6196,0.7152,0.001794,0.023267,non_hub_connector
DISCOVER FINANCIAL SERVICES,0,0.013414,-0.6496,0.2292,0.001225,0.021015,peripheral
HERSHEY,4,0.013389,-0.8325,0.7191,0.001197,0.025868,non_hub_connector
CHEMOURS,2,0.013292,-0.653,0.6503,0.00229,0.032519,non_hub_connector
VF,2,0.013267,-0.6964,0.4832,0.001452,0.029441,peripheral
ADVANCED MICRO DEVICES,1,0.012102,-0.587,0.3025,0.001055,0.021536,peripheral
ARAMARK,4,0.011685,-0.8135,0.7877,0.001973,0.027059,non_hub_connector
ENERGY TRANSFER,2,0.011385,-0.6878,0.5409,0.001711,0.03071,peripheral
MORGAN STANLEY,0,0.010832,-0.8296,0.0,0.000747,0.02045,ultra_peripheral
WESTERN DIGITAL,1,0.010662,-0.6351,0.34,0.000982,0.021357,peripheral
VISA,0,0.010616,-0.6946,0.0,0.001061,0.020674,ultra_peripheral
REGIONS FINANCIAL,0,0.010616,-0.6946,0.5281,0.001243,0.023269,peripheral
STATE STREET CORP.,0,0.010616,-0.6946,0.0,0.001061,0.020674,ultra_peripheral
STANLEY BLACK & DECKER,1,0.010564,-0.6992,0.7505,0.001523,0.026032,non_hub_connector
METLIFE,0,0.009913,-0.6646,0.6551,0.001424,0.022443,non_hub_connector
ABBOTT LABORATORIES,4,0.009686,-0.8705,0.5511,0.000872,0.020892,peripheral
MASCO,3,0.009474,-1.2004,0.2975,0.00073,0.021467,peripheral
ONEOK,2,0.009396,-0.6964,0.3773,0.001373,0.027256,peripheral
KRAFT HEINZ,1,0.009008,-0.7954,0.784,0.001066,0.022559,non_hub_connector
BORGWARNER,0,0.008898,-0.6796,0.7101,0.001551,0.023281,non_hub_connector
COSTCO,0,0.008898,-0.6796,0.6647,0.001402,0.022376,non_hub_connector
OWENS-ILLINOIS,0,0.008898,-0.6796,0.6647,0.001402,0.022376,non_hub_connector
WESCO INTERNATIONAL,0,0.008898,-0.6796,0.6647,0.001402,0.022376,non_hub_connector
DEERE,0,0.008898,-0.6796,0.6794,0.00148,0.022751,non_hub_connector
BRIGHTHOUSE FINANCIAL,0,0.008804,-0.9046,0.0,0.000617,0.02018,ultra_peripheral
CELANESE,0,0.007874,-0.8296,0.7709,0.001104,0.022614,non_hub_connector
AMERICAN TOWER,1,0.006791,-0.8596,0.0,0.000573,0.020078,ultra_peripheral
CARDINAL HEALTH,1,0.006737,-0.6832,0.7604,0.001409,0.022839,non_hub_connector
LIVE NATION ENTERTAINMENT,4,0.006705,-0.8895,0.7264,0.001201,0.024158,non_hub_connector
EMERSON ELECTRIC,3,0.006567,-1.2363,0.6627,0.000818,0.020816,non_hub_connector
BOSTON SCIENTIFIC,1,0.006531,-0.6992,0.7632,0.00144,0.023064,non_hub_connector
TENET HEALTHCARE,2,0.006322,-0.7876,0.3045,0.000815,0.024128,peripheral
NRG ENERGY,2,0.005955,-0.8006,0.0,0.0007,0.023575,ultra_peripheral
WHIRLPOOL,2,0.005368,-0.7702,0.6318,0.001249,0.024815,non_hub_connector
YUM CHINA HOLDINGS,0,0.004766,-0.8896,0.0,0.000662,0.020129,ultra_peripheral
VALERO ENERGY,2,0.004445,-0.7963,0.6528,0.000991,0.02401,non_hub_connector
NCR,0,0.003995,-0.9196,0.375,0.000624,0.020147,peripheral
LAS VEGAS SANDS,0,0.003731,-0.9046,0.7778,0.000837,0.020723,non_hub_connector
CLOROX,4,0.003384,-0.9655,0.32,0.000793,0.020132,peripheral
MGM RESORTS INTERNATIONAL,2,0.003028,-0.805,0.4082,0.000841,0.022128,peripheral
NEWS CORP.,1,0.002949,-0.8275,0.0,0.00063,0.020085,ultra_peripheral
