firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
EMERSON ELECTRIC,0,0.008598,-0.6103,0.0371,0.002141,0.022377,ultra_peripheral
ESTEE LAUDER,3,0.007578,-0.9744,0.0919,0.001975,0.019493,peripheral
OWENS CORNING,0,0.007454,-0.926,0.5842,0.00214,0.025661,peripheral
NUCOR,0,0.007322,-1.2805,0.5514,0.001112,0.019256,peripheral
CLOROX,3,0.006949,-1.0757,0.0741,0.001815,0.019008,peripheral
MASCO,0,0.006932,-1.0948,0.3336,0.001439,0.020639,peripheral
ALTRIA GROUP,2,0.006811,-1.1936,0.4868,0.002036,0.020956,peripheral
BROADCOM,1,0.006795,-1.1538,0.0,0.000734,0.017252,ultra_peripheral
ADP,1,0.006375,-0.916,0.3987,0.001212,0.021291,peripheral
STARBUCKS,3,0.006369,-1.8484,0.0,0.000643,0.01646,ultra_peripheral
LIBERTY MUTUAL INSURANCE GROUP,2,0.006366,-1.1791,0.509,0.001513,0.022742,peripheral
NIKE,1,0.006346,-0.9523,0.0,0.001282,0.017521,ultra_peripheral
ASSURANT,2,0.006305,-1.1338,0.0742,0.001278,0.021331,peripheral
RYDER SYSTEM,3,0.006273,-1.8114,0.4996,0.000782,0.017838,peripheral
MARSH & MCLENNAN,2,0.006105,-1.1287,0.649,0.001942,0.02527,non_hub_connector
NAVIENT,1,0.005859,-0.9721,0.398,0.001162,0.019288,peripheral
HILTON WORLDWIDE HOLDINGS,0,0.005756,-1.0757,0.4194,0.001812,0.019874,peripheral
PROCTER & GAMBLE,0,0.005409,-1.2201,0.4367,0.001251,0.018661,peripheral
SHERWIN-WILLIAMS,0,0.004823,-1.272,0.5214,0.001091,0.019161,peripheral
MOLSON COORS BEVERAGE,4,0.004592,-1.51,0.7122,0.00162,0.021885,non_hub_connector
BAXTER INTERNATIONAL,1,0.004359,-1.2136,0.5749,0.000717,0.017334,peripheral
ARAMARK,0,0.004318,-1.1529,0.6058,0.001861,0.021711,peripheral
CELANESE,0,0.003792,-1.2678,0.532,0.001181,0.019112,peripheral
HARLEY-DAVIDSON,1,0.003644,-1.2165,0.2341,0.000655,0.016663,peripheral
MORGAN STANLEY,2,0.003564,-1.3693,0.4215,0.000937,0.020415,peripheral
HALLIBURTON,0,0.003464,-1.3816,0.1186,0.000704,0.017482,peripheral
YUM CHINA HOLDINGS,2,0.003204,-1.4064,0.0,0.000819,0.017332,ultra_peripheral
UNITED PARCEL SERVICE,0,0.003195,-1.1479,0.3512,0.001281,0.019019,peripheral
BRIGHTHOUSE FINANCIAL,2,0.003096,-1.4592,0.2313,0.000699,0.017444,peripheral
MARRIOTT INTERNATIONAL,0,0.003011,-1.0903,0.289,0.001708,0.018989,peripheral
ARCONIC,4,0.003009,-1.495,0.2574,0.000979,0.019273,peripheral
ARTHUR J. GALLAGHER,1,0.002598,-0.9166,0.293,0.002016,0.01819,peripheral
BOOKING HOLDINGS,0,0.002385,-1.4001,0.0,0.000698,0.016515,ultra_peripheral
AMERICAN TOWER,1,0.001614,-1.2216,0.0,0.00064,0.016445,ultra_peripheral
KIMBERLY-CLARK,1,0.001358,-1.093,0.4569,0.000994,0.017756,peripheral
KRAFT HEINZ,0,0.001149,-1.4158,0.6807,0.000784,0.017401,non_hub_connector
AFLAC,1,0.000898,-1.2611,-0.0,0.000578,0.016216,ultra_peripheral
NCR,2,0.000884,-1.5105,0.416,0.000623,0.016592,peripheral
OLIN,0,0.000672,-1.4577,0.4948,0.000596,0.016565,peripheral
ENTERPRISE PRODUCTS PARTNERS,1,0.00054,-1.2229,0.0,0.000703,0.01627,ultra_peripheral
OWENS & MINOR,4,0.000461,-1.6334,0.4973,0.000595,0.016403,peripheral
ADOBE,1,0.00038,-1.2779,0.0,0.00055,0.016126,ultra_peripheral
TENNECO,1,0.000268,-1.0389,0.1429,0.001508,0.017058,peripheral
PHILIP MORRIS INTERNATIONAL,2,0.000261,-1.4462,0.0,0.000877,0.016528,ultra_peripheral
LAND O'LAKES,2,0.000174,-1.4926,0.4636,0.000732,0.016502,peripheral
