firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
TESLA,3,0.099353,0.0494,0.4941,0.004664,0.045521,peripheral
DOMINION ENERGY,3,0.097643,-0.2267,0.1275,0.002883,0.033811,peripheral
3M,2,0.095158,-0.4273,0.7414,0.004981,0.050321,non_hub_connector
AIG,4,0.093667,-0.0089,0.3874,0.003742,0.042358,peripheral
BRISTOL-MYERS SQUIBB,2,0.092262,-0.4411,0.2714,0.002393,0.031744,peripheral
AES,3,0.089385,-0.5719,0.5056,0.003251,0.033031,peripheral
GENERAL MOTORS,0,0.085944,0.4107,0.6038,0.005885,0.064239,peripheral
WEYERHAEUSER,1,0.085845,0.1917,0.5814,0.004334,0.032636,peripheral
CENTERPOINT ENERGY,3,0.080358,0.5702,0.4541,0.006626,0.046179,peripheral
UNITED AIRLINES HOLDINGS,1,0.07978,0.0699,0.5798,0.003688,0.029598,peripheral
AMERICAN AIRLINES GROUP,1,0.079775,0.2033,0.1023,0.002698,0.025444,peripheral
PPG INDUSTRIES,5,0.077486,-0.6028,0.6388,0.005614,0.079983,non_hub_connector
GENERAL MILLS,0,0.07688,0.5335,0.106,0.004133,0.046674,peripheral
SOUTHWEST AIRLINES,1,0.076065,0.1547,0.3157,0.003014,0.026559,peripheral
RAYTHEON,1,0.075267,0.0917,0.6498,0.003953,0.038575,non_hub_connector
AMGEN,2,0.075109,-0.6092,0.3436,0.002245,0.031732,peripheral
WALGREENS BOOTS ALLIANCE,2,0.074568,-0.2429,0.3175,0.003472,0.030352,peripheral
DEERE,5,0.073496,-0.8122,0.186,0.002573,0.060385,peripheral
CAPITAL ONE FINANCIAL,0,0.066662,0.0689,0.5432,0.003838,0.053027,peripheral
EDISON INTERNATIONAL,3,0.065915,-0.3279,0.5329,0.003747,0.039235,peripheral
VERIZON,0,0.064088,-0.0836,0.6102,0.003905,0.049197,peripheral
NEW YORK LIFE INSURANCE,4,0.063443,-0.056,0.4016,0.004037,0.037197,peripheral
LOCKHEED MARTIN,1,0.06311,-0.4194,0.7722,0.004673,0.050078,non_hub_connector
AMERISOURCEBERGEN,2,0.061851,-0.5635,0.0628,0.002132,0.025234,peripheral
JACOBS ENGINEERING GROUP,1,0.060407,0.3597,0.0367,0.002994,0.025341,ultra_peripheral
REGENERON PHARMACEUTICALS,2,0.060198,-0.6777,0.1271,0.001762,0.029883,peripheral
DAVITA,1,0.059085,-0.4618,0.6551,0.002425,0.032078,non_hub_connector
AMEREN,3,0.056819,-0.1962,0.5525,0.004221,0.042526,peripheral
S&P GLOBAL,5,0.054069,-0.9204,0.344,0.002905,0.052124,peripheral
CHS,5,0.053988,-1.0086,0.5668,0.002964,0.055625,peripheral
LINCOLN NATIONAL,5,0.053255,-0.9243,0.4805,0.003401,0.051003,peripheral
ILLINOIS TOOL WORKS,1,0.051736,0.251,0.3834,0.00414,0.025939,peripheral
CARDINAL HEALTH,0,0.050231,0.0892,0.5985,0.004676,0.047163,peripheral
POLARIS INC,1,0.049979,-0.7144,0.067,0.00136,0.021853,peripheral
CITIZENS FINANCIAL GROUP,4,0.048481,-0.3794,0.2165,0.002907,0.028115,peripheral
AT&T,0,0.048279,0.193,0.291,0.00378,0.039151,peripheral
BANK OF NEW YORK MELLON,4,0.047842,-0.5277,0.3863,0.002877,0.027674,peripheral
HONEYWELL INTERNATIONAL,0,0.044907,-0.4009,0.74,0.004084,0.051313,non_hub_connector
STANLEY BLACK & DECKER,0,0.043479,-0.1317,0.3106,0.002769,0.033769,peripheral
CONSTELLATION BRANDS,4,0.041823,-0.3822,0.2338,0.003041,0.028547,peripheral
MARATHON PETROLEUM,3,0.041786,-0.0926,0.3689,0.004053,0.034739,peripheral
INTERNATIONAL PAPER,1,0.041347,-0.6329,0.7293,0.003072,0.032195,non_hub_connector
AIR PRODUCTS & CHEMICALS,1,0.039947,-0.3936,0.5777,0.002643,0.030318,peripheral
WESTERN UNION,5,0.039529,-1.1703,0.5347,0.002493,0.046766,peripheral
MOTOROLA SOLUTIONS,3,0.037681,-0.8643,0.6557,0.002949,0.039477,non_hub_connector
LOEWS,3,0.037475,-0.2547,0.1104,0.003344,0.028413,peripheral
AMERIPRISE FINANCIAL,5,0.036902,-1.1327,0.581,0.002779,0.041846,peripheral
EXXONMOBIL,3,0.036733,-0.6644,0.6842,0.003784,0.035365,non_hub_connector
BLACKROCK,4,0.035571,-0.5948,0.3569,0.00236,0.02788,peripheral
PRINCIPAL FINANCIAL,0,0.034649,-0.6388,0.6683,0.002091,0.035824,non_hub_connector
QUEST DIAGNOSTICS,2,0.034102,-0.1921,0.1745,0.003432,0.02495,peripheral
LUMEN TECHNOLOGIES,0,0.033972,-0.3599,0.3222,0.003618,0.028857,peripheral
UNITED PARCEL SERVICE,1,0.03348,-0.8335,0.5892,0.00196,0.021645,peripheral
CHARLES SCHWAB,4,0.032748,-0.8666,0.3686,0.00175,0.026365,peripheral
L3HARRIS TECHNOLOGIES,1,0.032549,-0.6502,0.4533,0.002288,0.022001,peripheral
DANAHER,2,0.031622,-0.5966,0.4136,0.002774,0.024484,peripheral
WHIRLPOOL,1,0.031097,-0.3976,0.063,0.002296,0.020452,peripheral
TIAA,4,0.030323,-0.3953,0.58,0.003729,0.049979,peripheral
PHILLIPS 66,3,0.029925,-0.4001,0.6375,0.004058,0.038394,non_hub_connector
DUPONT DE NEMOURS,3,0.029925,-0.9542,0.5313,0.001643,0.025646,peripheral
BECTON DICKINSON,2,0.029361,-0.6405,0.668,0.00351,0.033575,non_hub_connector
USAA,4,0.028556,-0.6005,0.1605,0.002535,0.024236,peripheral
CBS,0,0.026354,-0.1595,0.4008,0.003061,0.032461,peripheral
ADP,6,0.026285,-1.2977,0.4875,0.00093,0.020483,peripheral
TEXTRON,1,0.025346,-0.9295,0.4082,0.001309,0.020779,peripheral
PUBLIX SUPER MARKETS,5,0.025143,-1.2485,0.0484,0.001581,0.030345,ultra_peripheral
OSHKOSH,1,0.02453,-0.7037,0.3501,0.001602,0.022389,peripheral
ALLSTATE,4,0.024413,-0.5091,0.7249,0.004577,0.053971,non_hub_connector
IHEARTMEDIA,0,0.024184,-0.7566,0.3025,0.001209,0.022665,peripheral
BOSTON SCIENTIFIC,0,0.022927,-0.4881,0.5783,0.002791,0.030489,peripheral
THERMO FISHER SCIENTIFIC,2,0.022799,-0.7964,0.5838,0.002613,0.027964,peripheral
CHEVRON,1,0.021919,-1.0367,0.6659,0.001533,0.022076,non_hub_connector
SEMPRA ENERGY,3,0.021801,-0.9071,0.7301,0.002488,0.034497,non_hub_connector
VF,1,0.021403,-0.4337,0.5372,0.002856,0.025004,peripheral
STATE FARM INSURANCE,4,0.021297,-0.8712,0.6853,0.002733,0.02718,non_hub_connector
CONSOLIDATED EDISON,3,0.019721,-0.356,0.3773,0.003423,0.03038,peripheral
COMCAST,0,0.019534,-0.6454,0.0,0.001626,0.021444,ultra_peripheral
AMERICAN FAMILY INSURANCE GROUP,4,0.0183,-0.8941,0.7298,0.003032,0.029965,non_hub_connector
PEABODY ENERGY,3,0.017842,-1.0445,0.2744,0.001394,0.020582,peripheral
JOHNSON & JOHNSON,2,0.015834,-1.0006,0.5285,0.002034,0.024567,peripheral
FORD,3,0.015692,-0.8821,0.6851,0.002484,0.028437,non_hub_connector
ARAMARK,1,0.0156,-0.5744,0.5004,0.002221,0.023286,peripheral
ALTRIA GROUP,6,0.013982,-1.397,0.6425,0.000749,0.017231,non_hub_connector
ABM INDUSTRIES,3,0.013737,-1.1115,0.4915,0.001188,0.020425,peripheral
VALERO ENERGY,0,0.012683,-0.8816,0.0,0.000774,0.019715,ultra_peripheral
PROCTER & GAMBLE,1,0.012486,-0.9645,0.5377,0.001626,0.019532,peripheral
ENERGY TRANSFER,3,0.012396,-0.6077,0.3942,0.002771,0.025923,peripheral
MCKESSON,0,0.012324,-0.844,0.6671,0.00117,0.021856,non_hub_connector
TARGET,2,0.010913,-1.1522,0.7107,0.002172,0.02203,non_hub_connector
ECOLAB,2,0.010759,-0.6864,0.7925,0.00564,0.042939,non_hub_connector
CHEMOURS,1,0.010738,-0.9064,0.76,0.003926,0.025922,non_hub_connector
ABBOTT LABORATORIES,2,0.010592,-1.0703,0.201,0.001406,0.019499,peripheral
TRAVELERS,4,0.010258,-1.0131,0.0,0.001311,0.01903,ultra_peripheral
XEROX,4,0.010104,-1.0131,0.0,0.001328,0.019181,ultra_peripheral
FOX CORP,0,0.009453,-0.4816,0.51,0.002312,0.02897,peripheral
ZIMMER BIOMET HOLDINGS,2,0.009231,-1.2145,0.3096,0.001091,0.019999,peripheral
HP,0,0.009047,-0.7576,0.577,0.00206,0.021936,peripheral
KIMBERLY-CLARK,6,0.008341,-1.2906,0.0,0.000851,0.017248,ultra_peripheral
ONEOK,3,0.008191,-0.8556,0.3147,0.001842,0.02163,peripheral
QUALCOMM,0,0.00783,-0.9099,0.4675,0.000917,0.01869,peripheral
WINDSTREAM HOLDINGS,0,0.007829,-0.8724,0.3774,0.000983,0.018983,peripheral
CHARTER COMMUNICATIONS,0,0.007419,-0.8141,0.5243,0.001171,0.020359,peripheral
DISCOVER FINANCIAL SERVICES,4,0.007119,-1.2896,0.6842,0.000945,0.018414,non_hub_connector
OWENS CORNING,5,0.006132,-1.4608,0.6396,0.001855,0.023895,non_hub_connector
DISH NETWORK,1,0.005327,-1.2113,0.4965,0.001478,0.018307,peripheral
LIVE NATION ENTERTAINMENT,2,0.005087,-1.1929,0.1864,0.002119,0.017759,peripheral
KELLOGG,4,0.00461,-1.0444,0.6422,0.002228,0.021114,non_hub_connector
BAXTER INTERNATIONAL,0,0.004069,-0.9121,0.3797,0.000783,0.017835,peripheral
HARLEY-DAVIDSON,0,0.004017,-0.8911,0.0,0.000807,0.017535,ultra_peripheral
TENET HEALTHCARE,3,0.004013,-1.2568,0.4095,0.000723,0.017229,peripheral
HERSHEY,3,0.003806,-1.2403,0.6636,0.000979,0.018212,non_hub_connector
LAS VEGAS SANDS,0,0.003741,-0.8826,0.0,0.001556,0.017846,ultra_peripheral
JETBLUE AIRWAYS,0,0.003631,-0.9347,0.4942,0.000756,0.017944,peripheral
NUCOR,1,0.003573,-1.2161,0.5517,0.00104,0.017788,peripheral
CAMPBELL SOUP,0,0.003229,-0.7509,0.0,0.002284,0.017879,ultra_peripheral
GAP,0,0.003229,-0.7509,0.0,0.002284,0.017879,ultra_peripheral
MOLSON COORS BEVERAGE,5,0.002106,-1.5508,0.606,0.001059,0.018906,peripheral
LIBERTY MUTUAL INSURANCE GROUP,4,0.001913,-1.1659,0.6163,0.001375,0.019067,peripheral
NIKE,0,0.001774,-0.9523,0.0,0.000663,0.016765,ultra_peripheral
ARCONIC,1,0.001504,-1.2887,0.0,0.000716,0.016762,ultra_peripheral
HILTON WORLDWIDE HOLDINGS,3,0.001411,-0.8516,0.3159,0.002882,0.020812,peripheral
ASSURANT,4,0.001182,-1.1727,0.0988,0.001084,0.017964,peripheral
MARSH & MCLENNAN,4,0.00117,-1.1576,0.417,0.001326,0.018268,peripheral
KRAFT HEINZ,0,0.001118,-0.9467,0.4844,0.00071,0.017064,peripheral
MARRIOTT INTERNATIONAL,3,0.00111,-0.8451,0.2758,0.003204,0.020271,peripheral
LIBERTY MEDIA,0,0.000687,-0.8127,0.1739,0.002829,0.017444,peripheral
CLOROX,2,0.00066,-1.3408,0.0,0.000841,0.017167,ultra_peripheral
BOOZ ALLEN HAMILTON,1,0.000483,-1.1102,0.0,0.002812,0.017041,ultra_peripheral
ARTHUR J. GALLAGHER,0,0.00046,-0.9347,0.0,0.000718,0.016744,ultra_peripheral
NAVIENT,0,0.000415,-0.9262,0.0,0.001039,0.016711,ultra_peripheral
EMERSON ELECTRIC,1,0.000391,-1.2887,0.0,0.000805,0.01669,ultra_peripheral
EBAY,2,0.000383,-1.2821,0.1645,0.001684,0.017194,peripheral
WALT DISNEY,2,0.000268,-1.3983,0.4701,0.000827,0.017015,peripheral
AFLAC,0,0.000234,-0.922,0.0,0.000856,0.016719,ultra_peripheral
ADVANCED MICRO DEVICES,1,0.000158,-1.256,0.0,0.002444,0.016703,ultra_peripheral
SHERWIN-WILLIAMS,1,0.000158,-1.3368,0.0,0.000677,0.016513,ultra_peripheral
MGM RESORTS INTERNATIONAL,0,4.5e-05,-0.9523,0.0,0.000951,0.016515,ultra_peripheral
MASCO,1,3.9e-05,-1.19,0.0,0.002241,0.016827,ultra_peripheral
QURATE RETAIL,0,3e-05,-0.8826,0.0,0.001845,0.016833,ultra_peripheral
CELANESE,3,1.2e-05,-1.2741,0.0,0.00072,0.016532,ultra_peripheral
WESTERN DIGITAL,1,6e-06,-1.2887,0.0,0.00207,0.016584,ultra_peripheral
