source,target,weight
ABBVIE,DUKE ENERGY,0.019013
ABBVIE,ELI LILLY,0.240925
ABBVIE,ENTERGY,0.094817
ABBVIE,EVERSOURCE ENERGY,0.012062
ABBVIE,EXELON,0.011892
ABBVIE,EXXONMOBIL,0.0415
ABBVIE,FACEBOOK,0.122912
ABBVIE,FIFTH THIRD BANCORP,0.102263
ABBVIE,FLUOR,0.05413
ABBVIE,GENERAL DYNAMICS,0.038694
ABBVIE,GENERAL ELECTRIC,0.212549
ABBVIE,GENERAL MOTORS,0.015538
ABBVIE,GENWORTH FINANCIAL,0.179332
ABBVIE,GILEAD SCIENCES,0.313993
ABBVIE,GOLDMAN SACHS GROUP,0.224933
ABBVIE,GRAPHIC PACKAGING HOLDING,0.049393
ABBVIE,HARTFORD FINANCIAL SERVICES,0.068026
ABBVIE,HCA HEALTHCARE,0.125418
ABBVIE,HOLLYFRONTIER,0.006695
ABBVIE,HONEYWELL INTERNATIONAL,0.090617
ABBVIE,HUMANA,0.208844
ABBVIE,HUNTSMAN,0.231648
ABBVIE,IBM,0.12787
ABBVIE,INTERNATIONAL PAPER,0.046613
ABBVIE,JOHNSON & JOHNSON,0.188254
ABBVIE,LABORATORY CORP. OF AMERICA,0.043689
ABBVIE,LEIDOS HOLDINGS,0.128252
ABBVIE,LOCKHEED MARTIN,0.022645
ABBVIE,MAGELLAN HEALTH,0.273439
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.224458
ABBVIE,MCKESSON,0.005984
ABBVIE,MERCK,0.374796
ABBVIE,METLIFE,0.264012
ABBVIE,MICRON TECHNOLOGY,0.077108
ABBVIE,MICROSOFT,0.069697
ABBVIE,MOLINA HEALTHCARE,0.068831
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.134298
ABBVIE,NATIONWIDE,0.11342
ABBVIE,NAVISTAR INTERNATIONAL,0.060993
ABBVIE,NEXTERA ENERGY,0.369166
ABBVIE,NORTHROP GRUMMAN,0.06024
ABBVIE,ORACLE,0.123997
ABBVIE,OWENS-ILLINOIS,0.389596
ABBVIE,PEPSICO,0.003727
ABBVIE,PG&E,0.011516
ABBVIE,PPG INDUSTRIES,0.127699
ABBVIE,PPL,0.007118
ABBVIE,PRUDENTIAL FINANCIAL,0.105431
ABBVIE,RAYTHEON,0.051087
ABBVIE,REGENERON PHARMACEUTICALS,0.352761
ABBVIE,RITE AID,0.388993
ABBVIE,S&P GLOBAL,0.085853
ABBVIE,THERMO FISHER SCIENTIFIC,0.040292
ABBVIE,UNION PACIFIC,0.031373
ABBVIE,W.R. BERKLEY,0.246167
ABBVIE,WALGREENS BOOTS ALLIANCE,0.035257
ABBVIE,WALMART,0.244608
ABBVIE,WESCO INTERNATIONAL,0.389596
ABBVIE,WESTERN UNION,0.122626
ABBVIE,WESTROCK,0.04502
ABBVIE,XCEL ENERGY,0.008265
ABM INDUSTRIES,AECOM,0.405864
ABM INDUSTRIES,AMERICAN ELECTRIC POWER,0.112864
ABM INDUSTRIES,AT&T,0.029532
ABM INDUSTRIES,BERKSHIRE HATHAWAY,0.00599
ABM INDUSTRIES,CENTERPOINT ENERGY,0.031357
ABM INDUSTRIES,CHARTER COMMUNICATIONS,0.02493
ABM INDUSTRIES,CMS ENERGY,0.039929
ABM INDUSTRIES,CORNING,0.02389
ABM INDUSTRIES,CUMMINS,0.030195
ABM INDUSTRIES,DELL TECHNOLOGIES,0.034091
ABM INDUSTRIES,DTE ENERGY,0.044774
ABM INDUSTRIES,DUKE ENERGY,0.065024
ABM INDUSTRIES,DUPONT DE NEMOURS,0.024351
ABM INDUSTRIES,ENTERGY,0.104641
ABM INDUSTRIES,EXELON,0.048942
ABM INDUSTRIES,FIRSTENERGY,0.074361
ABM INDUSTRIES,GENERAL MOTORS,0.042521
ABM INDUSTRIES,HONEYWELL INTERNATIONAL,0.374157
ABM INDUSTRIES,INTEL,0.068811
ABM INDUSTRIES,MICROSOFT,0.071405
ABM INDUSTRIES,MOTOROLA SOLUTIONS,0.100526
ABM INDUSTRIES,PG&E,0.054035
ABM INDUSTRIES,PPL,0.057085
ABM INDUSTRIES,PUBLIC SERVICE ENTERPRISE GROUP,0.156929
ABM INDUSTRIES,RAYTHEON,0.072698
ABM INDUSTRIES,UNITED TECHNOLOGIES,0.030801
ABM INDUSTRIES,VERIZON,0.008479
ABM INDUSTRIES,XCEL ENERGY,0.03057
ADOBE,FACEBOOK,0.003303
ADOBE,IBM,0.005357
ADP,BEST BUY,0.139808
ADP,CVS HEALTH,0.103845
ADP,HOME DEPOT,0.388933
ADP,MCDONALD'S,0.363851
ADVANCED MICRO DEVICES,AMAZON,0.010469
ADVANCED MICRO DEVICES,APPLIED MATERIALS,0.016293
ADVANCED MICRO DEVICES,CHEMOURS,0.034203
ADVANCED MICRO DEVICES,CISCO SYSTEMS,0.006028
ADVANCED MICRO DEVICES,CORNING,0.016167
ADVANCED MICRO DEVICES,DUPONT DE NEMOURS,0.001538
ADVANCED MICRO DEVICES,HEWLETT PACKARD ENTERPRISE,0.193558
ADVANCED MICRO DEVICES,HONEYWELL INTERNATIONAL,0.193263
ADVANCED MICRO DEVICES,HP,0.137169
ADVANCED MICRO DEVICES,IBM,0.011031
ADVANCED MICRO DEVICES,INTEL,0.03657
ADVANCED MICRO DEVICES,MICRON TECHNOLOGY,0.080183
ADVANCED MICRO DEVICES,QUALCOMM,0.006078
ADVANCED MICRO DEVICES,TEXAS INSTRUMENTS,0.036948
ADVANCED MICRO DEVICES,WESTERN DIGITAL,0.20778
AECOM,AES,0.200176
AECOM,AIR PRODUCTS & CHEMICALS,0.246947
AECOM,ALASKA AIR GROUP,0.111336
AECOM,AMAZON,0.037735
AECOM,AMEREN,0.050551
AECOM,AMERICAN AIRLINES GROUP,0.115575
AECOM,AMERICAN FAMILY INSURANCE GROUP,0.003823
AECOM,AMERIPRISE FINANCIAL,0.000794
AECOM,AMGEN,0.000532
AECOM,APPLIED MATERIALS,0.048639
AECOM,ARAMARK,0.00111
AECOM,AT&T,0.000107
AECOM,BALL,0.085138
AECOM,BERKSHIRE HATHAWAY,0.088508
AECOM,BOEING,0.028542
AECOM,BRISTOL-MYERS SQUIBB,0.001197
AECOM,CATERPILLAR,0.074088
AECOM,CENTENE,0.010067
AECOM,CHEMOURS,0.081155
AECOM,CHEVRON,0.001793
AECOM,CHS,0.016779
AECOM,CISCO SYSTEMS,0.003079
AECOM,CMS ENERGY,0.025699
AECOM,COGNIZANT TECHNOLOGY SOLUTIONS,0.020925
AECOM,CONOCOPHILLIPS,0.02319
AECOM,CORNING,0.061274
AECOM,CSX,0.034056
AECOM,CUMMINS,0.191678
AECOM,DELL TECHNOLOGIES,0.000567
AECOM,DELTA AIR LINES,0.223877
AECOM,DTE ENERGY,0.028335
AECOM,DUKE ENERGY,0.076244
AECOM,ECOLAB,0.018169
