firm,net_influence,net_strength,total_firsts,total_losses
ORACLE,171,4.2959,177,6
IBM,81,2.1794,112,31
TEXAS INSTRUMENTS,68,2.8159,84,16
FIRSTENERGY,67,3.0578,68,1
QUALCOMM,67,1.3607,86,19
AMERICAN EXPRESS,63,1.774,68,5
NORFOLK SOUTHERN,61,2.7029,75,14
CAPITAL ONE FINANCIAL,60,1.6599,74,14
AMERICAN FAMILY INSURANCE GROUP,58,1.7574,68,10
USAA,55,1.4096,69,14
APPLE,50,3.057,58,8
LOCKHEED MARTIN,49,2.0673,88,39
ALPHABET,48,1.1202,67,19
DTE ENERGY,48,1.1954,70,22
CMS ENERGY,46,2.0218,46,0
GENERAL ELECTRIC,46,1.3787,56,10
SEMPRA ENERGY,45,1.1079,51,6
XCEL ENERGY,45,1.8247,45,0
NORTHWESTERN MUTUAL,44,1.4958,63,19
DUKE ENERGY,42,2.4801,42,0
EDISON INTERNATIONAL,39,1.4881,64,25
WEYERHAEUSER,39,1.2249,45,6
3M,39,0.3035,46,7
RAYTHEON,37,1.6373,43,6
FORD,35,0.315,42,7
INTEL,35,1.2596,63,28
CENTERPOINT ENERGY,35,1.0216,35,0
EBAY,34,1.5904,61,27
PHILLIPS 66,33,1.0871,40,7
BOSTON SCIENTIFIC,33,0.3328,61,28
FIFTH THIRD BANCORP,31,1.6019,48,17
METLIFE,31,1.119,52,21
CBS,31,0.471,35,4
PEPSICO,29,0.7252,55,26
UNITED STATES STEEL,26,1.3237,26,0
VERIZON,26,0.3044,75,49
MUTUAL OF OMAHA INSURANCE,25,0.4509,42,17
ELI LILLY,25,0.058,36,11
NATIONWIDE,25,0.609,57,32
CHARLES SCHWAB,24,0.3348,36,12
TRAVELERS,23,0.591,29,6
WINDSTREAM HOLDINGS,22,0.5201,31,9
YUM BRANDS,21,0.6518,21,0
PPG INDUSTRIES,21,0.1981,46,25
CATERPILLAR,21,0.3932,33,12
NORTHROP GRUMMAN,20,0.3235,56,36
EXXONMOBIL,20,-0.119,42,22
SOUTHERN,19,0.8812,53,34
TENET HEALTHCARE,19,0.5519,24,5
JOHNSON & JOHNSON,19,0.3532,31,12
CSX,17,0.2549,33,16
CARDINAL HEALTH,16,0.9923,19,3
AMERIPRISE FINANCIAL,16,0.4562,63,47
UNION PACIFIC,16,0.7184,27,11
MARATHON PETROLEUM,15,0.9653,21,6
HCA HEALTHCARE,15,0.2511,15,0
HOME DEPOT,14,0.1817,35,21
BANK OF AMERICA,13,0.0414,59,46
RITE AID,13,0.3658,19,6
PPL,13,0.4767,56,43
NAVIENT,13,0.4602,14,1
AT&T,12,0.35,32,20
APPLIED MATERIALS,12,-0.0027,18,6
INTERNATIONAL PAPER,12,-0.4463,33,21
DISCOVER FINANCIAL SERVICES,10,0.0982,17,7
ADVANCED MICRO DEVICES,9,0.1466,29,20
EMERSON ELECTRIC,9,1.3385,14,5
BERKSHIRE HATHAWAY,8,-0.841,35,27
NEWS CORP.,8,0.5853,9,1
UNITED AIRLINES HOLDINGS,8,0.6209,18,10
NORTHERN TRUST,7,0.8838,14,7
DISH NETWORK,6,-0.1338,41,35
UNITED PARCEL SERVICE,6,0.715,33,27
BEST BUY,6,0.9324,8,2
ABBOTT LABORATORIES,6,0.4058,20,14
AMERICAN AIRLINES GROUP,6,0.3397,20,14
AMERICAN ELECTRIC POWER,6,-0.1731,54,48
HALLIBURTON,5,0.5005,8,3
SIMON PROPERTY GROUP,4,0.705,4,0
HUNTSMAN,4,0.469,4,0
