source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced
ABBVIE,WEC ENERGY GROUP,0.138565,0,0,1,1,0,1
ABM INDUSTRIES,DUPONT DE NEMOURS,0.036125,0,0,1,1,0,1
ABM INDUSTRIES,ECOLAB,0.099875,0,0,1,1,0,1
HONEYWELL INTERNATIONAL,ABM INDUSTRIES,0.099875,1,0,0,1,1,0
ABM INDUSTRIES,OWENS-ILLINOIS,0.136,0,0,2,2,0,1
ABM INDUSTRIES,WHIRLPOOL,0.036125,1,0,0,1,1,0
FOX CORP,ACTIVISION BLIZZARD,0.15,1,0,0,1,1,0
NEWS CORP.,ACTIVISION BLIZZARD,0.15,1,0,0,1,1,0
ADP,COGNIZANT TECHNOLOGY SOLUTIONS,0.099875,0,0,1,1,0,1
DARDEN RESTAURANTS,ADP,0.059155,1,0,0,1,1,0
DXC TECHNOLOGY,ADP,0.02303,1,0,0,1,1,0
ADP,MCDONALD'S,0.059155,1,0,0,1,1,0
ADP,MOTOROLA SOLUTIONS,0.059155,0,0,1,1,0,1
ADVANCED MICRO DEVICES,AGCO,0.288565,1,0,0,1,1,0
ADVANCED MICRO DEVICES,ALLY FINANCIAL,0.077968,1,0,1,2,1,0
ALPHABET,ADVANCED MICRO DEVICES,0.104721,2,0,1,3,2,0
AMERICAN ELECTRIC POWER,ADVANCED MICRO DEVICES,0.025185,1,0,1,2,1,0
ADVANCED MICRO DEVICES,AMERICAN FAMILY INSURANCE GROUP,0.014093,0,0,1,1,0,1
ADVANCED MICRO DEVICES,AMERICAN TOWER,0.15,1,0,0,1,1,0
ADVANCED MICRO DEVICES,AMGEN,0.163875,2,0,0,2,2,0
APPLE,ADVANCED MICRO DEVICES,0.163875,1,0,1,2,1,0
ADVANCED MICRO DEVICES,ASSURANT,0.31375,0,0,1,1,0,1
ADVANCED MICRO DEVICES,BEST BUY,0.059155,0,0,1,1,0,1
CHARLES SCHWAB,ADVANCED MICRO DEVICES,0.025185,1,0,1,2,1,0
ADVANCED MICRO DEVICES,CHESAPEAKE ENERGY,0.025185,0,0,1,1,0,1
ADVANCED MICRO DEVICES,CHEVRON,0.025185,0,0,1,1,0,1
ADVANCED MICRO DEVICES,CISCO SYSTEMS,0.114093,3,1,0,4,2,0
ADVANCED MICRO DEVICES,COMCAST,0.1,0,0,1,1,0,1
ADVANCED MICRO DEVICES,CONSOLIDATED EDISON,0.338935,1,1,1,3,0,1
ADVANCED MICRO DEVICES,CSX,0.063875,0,0,1,1,0,1
ADVANCED MICRO DEVICES,DISH NETWORK,0.063875,1,1,0,2,0,1
ADVANCED MICRO DEVICES,DOMINION ENERGY,0.025185,1,0,0,1,1,0
ADVANCED MICRO DEVICES,DUKE ENERGY,0.014093,0,0,1,1,0,1
ADVANCED MICRO DEVICES,DUPONT DE NEMOURS,0.014093,0,0,2,2,0,1
ADVANCED MICRO DEVICES,DXC TECHNOLOGY,0.006011,0,0,1,1,0,1
ADVANCED MICRO DEVICES,EDISON INTERNATIONAL,0.188935,1,1,1,3,0,1
ADVANCED MICRO DEVICES,ELI LILLY,0.063875,0,0,1,1,0,1
ENTERGY,ADVANCED MICRO DEVICES,0.188935,1,0,1,2,1,0
ADVANCED MICRO DEVICES,FACEBOOK,0.040845,2,0,1,3,2,0
ADVANCED MICRO DEVICES,FIRSTENERGY,0.006011,0,0,1,1,0,1
ADVANCED MICRO DEVICES,FRANKLIN RESOURCES,0.011093,1,0,0,1,1,0
ADVANCED MICRO DEVICES,HALLIBURTON,0.31375,0,0,1,1,0,1
ADVANCED MICRO DEVICES,HERTZ GLOBAL HOLDINGS,0.06375,1,0,0,1,1,0
ADVANCED MICRO DEVICES,HONEYWELL INTERNATIONAL,0.014093,0,0,1,1,0,1
ADVANCED MICRO DEVICES,IBM,0.140846,1,0,3,4,1,0
ADVANCED MICRO DEVICES,IHEARTMEDIA,0.069886,2,0,0,2,2,0
ADVANCED MICRO DEVICES,ILLINOIS TOOL WORKS,0.040845,1,0,0,1,1,0
ADVANCED MICRO DEVICES,INTERNATIONAL PAPER,0.16375,0,0,1,1,0,1
ADVANCED MICRO DEVICES,INTUIT,0.025185,1,0,0,1,1,0
ADVANCED MICRO DEVICES,LEIDOS HOLDINGS,0.006011,0,0,2,2,0,1
LOCKHEED MARTIN,ADVANCED MICRO DEVICES,0.188935,1,0,1,2,1,0
ADVANCED MICRO DEVICES,LOEWS,0.025185,1,0,0,1,1,0
LUMEN TECHNOLOGIES,ADVANCED MICRO DEVICES,0.014093,1,0,0,1,1,0
ADVANCED MICRO DEVICES,METLIFE,0.063875,0,0,1,1,0,1
ADVANCED MICRO DEVICES,MICRON TECHNOLOGY,0.082184,2,0,0,2,2,0
ADVANCED MICRO DEVICES,MICROSOFT,0.039278,1,0,1,2,1,0
ADVANCED MICRO DEVICES,NORTHROP GRUMMAN,0.014093,0,0,2,2,0,1
ADVANCED MICRO DEVICES,OCCIDENTAL PETROLEUM,0.16375,0,0,1,1,0,1
ORACLE,ADVANCED MICRO DEVICES,0.104721,3,0,0,3,3,0
PPL,ADVANCED MICRO DEVICES,0.025185,1,0,1,2,1,0
QUALCOMM,ADVANCED MICRO DEVICES,0.063875,1,0,2,3,1,0
ADVANCED MICRO DEVICES,SOUTHERN,0.006011,1,0,0,1,1,0
STATE FARM INSURANCE,ADVANCED MICRO DEVICES,0.16375,1,0,1,2,1,0
ADVANCED MICRO DEVICES,TARGET,0.1,0,0,1,1,0,1
TEXAS INSTRUMENTS,ADVANCED MICRO DEVICES,0.163875,1,0,1,2,1,0
ADVANCED MICRO DEVICES,TRAVELERS,0.040845,0,0,1,1,0,1
ADVANCED MICRO DEVICES,UNITED STATES STEEL,0.014093,0,0,1,1,0,1
ADVANCED MICRO DEVICES,UNITED TECHNOLOGIES,0.006011,1,1,0,2,0,1
ADVANCED MICRO DEVICES,VISA,0.014093,2,0,0,2,2,0
ADVANCED MICRO DEVICES,WINDSTREAM HOLDINGS,0.063875,0,0,1,1,0,1
ADVANCED MICRO DEVICES,XCEL ENERGY,0.16375,0,0,1,1,0,1
AECOM,AES,0.0107,0,0,1,1,0,1
AIR PRODUCTS & CHEMICALS,AECOM,0.127412,1,0,1,2,1,0
ALASKA AIR GROUP,AECOM,0.010552,1,0,0,1,1,0
AMAZON,AECOM,0.016711,1,0,0,1,1,0
AECOM,ASSURANT,0.051546,0,0,1,1,0,1
BALL,AECOM,0.046586,1,0,1,2,1,0
BERKSHIRE HATHAWAY,AECOM,0.016711,1,0,1,2,1,0
BOEING,AECOM,0.002685,2,0,2,4,2,0
CONSOLIDATED EDISON,AECOM,0.074576,1,0,1,2,1,0
