source,target,weight
ABBVIE,HUNTSMAN,0.12675922553571423
ABBVIE,IBM,0.03083160007115894
ABBVIE,INTERNATIONAL PAPER,0.012155757853257716
ABBVIE,JOHNSON & JOHNSON,0.04957381917808566
ABBVIE,LABORATORY CORP. OF AMERICA,0.03317171567787501
ABBVIE,LEIDOS HOLDINGS,0.011813762752443767
ABBVIE,LOCKHEED MARTIN,0.006096193355253185
ABBVIE,MAGELLAN HEALTH,0.13369837258793763
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.19022499999999995
ABBVIE,MCKESSON,0.007434051256337553
ABBVIE,MERCK,0.2537331147935715
ABBVIE,METLIFE,0.09022499999999999
ABBVIE,MICRON TECHNOLOGY,0.0018156184488064286
ABBVIE,MICROSOFT,0.02842836384011056
ABBVIE,MOLINA HEALTHCARE,0.05314882662338106
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.07379121891229885
ABBVIE,NATIONWIDE,0.25518758937582475
ABBVIE,NAVISTAR INTERNATIONAL,0.030185326623381067
ABBVIE,NEXTERA ENERGY,0.19022499999999995
ABBVIE,NORTHROP GRUMMAN,0.009185772607112208
ABBVIE,ORACLE,0.024584224901280642
ABBVIE,OWENS-ILLINOIS,0.09999999999999998
ABBVIE,PEPSICO,0.0021798826125936145
ABBVIE,PPG INDUSTRIES,0.08514997685861019
ABBVIE,PRUDENTIAL FINANCIAL,0.25148330373855504
ABBVIE,RAYTHEON,0.023645394840110558
ABBVIE,REGENERON PHARMACEUTICALS,0.04499999999999999
ABBVIE,RITE AID,0.20270700374142855
ABBVIE,S&P GLOBAL,0.04878051428571428
ABBVIE,THERMO FISHER SCIENTIFIC,0.011435138794381171
ABBVIE,UNION PACIFIC,0.011813762752443767
ABBVIE,W.R. BERKLEY,0.20334699999999994
ABBVIE,WALGREENS BOOTS ALLIANCE,0.013570725535714284
ABBVIE,WALMART,0.14932304951140002
ABBVIE,WESCO INTERNATIONAL,0.09999999999999998
ABBVIE,WESTERN UNION,0.03134699999999999
ABBVIE,WESTROCK,0.003340737945803829
ABM INDUSTRIES,AECOM,0.09022499999999999
ABM INDUSTRIES,AMERICAN ELECTRIC POWER,0.045224999999999994
ABM INDUSTRIES,HONEYWELL INTERNATIONAL,0.018224999999999998
ABM INDUSTRIES,MOTOROLA SOLUTIONS,0.045224999999999994
ABM INDUSTRIES,PUBLIC SERVICE ENTERPRISE GROUP,0.09022499999999999
ABM INDUSTRIES,XCEL ENERGY,0.018224999999999998
ADP,BEST BUY,0.07199999999999998
ADP,HOME DEPOT,0.07199999999999998
ADP,MCDONALD'S,0.026999999999999996
ADVANCED MICRO DEVICES,CHEMOURS,0.018224999999999998
ADVANCED MICRO DEVICES,WESTERN DIGITAL,0.04499999999999999
AECOM,AES,0.01076168025
AECOM,ALASKA AIR GROUP,0.10755959923049327
AECOM,AMEREN,0.0537708143162101
AECOM,AMERICAN AIRLINES GROUP,0.018531610889586724
AECOM,APPLIED MATERIALS,0.007592014285714285
AECOM,BALL,0.04191279234598898
AECOM,BERKSHIRE HATHAWAY,0.03914923910308478
AECOM,CATERPILLAR,0.06058287787971863
AECOM,CENTENE,0.001076295491938157
AECOM,CHEMOURS,0.030555514285714278
AECOM,CISCO SYSTEMS,0.002044334073988827
AECOM,CONOCOPHILLIPS,0.016614601087666787
AECOM,CORNING,0.04878860816086637
AECOM,CSX,0.018531610889586724
AECOM,CUMMINS,0.06341089472243144
AECOM,DELTA AIR LINES,0.17270436017620266
AECOM,DUKE ENERGY,0.001076295491938157
AECOM,ECOLAB,0.025303014653272123
AECOM,EDISON INTERNATIONAL,0.06589809623319634
AECOM,EVERSOURCE ENERGY,0.004768739169370222
AECOM,FACEBOOK,0.004558215085716823
AECOM,FEDEX,0.14846055968435268
AECOM,FIRSTENERGY,0.0004973590415068746
AECOM,FLUOR,0.06392551282642757
AECOM,FORD,0.03653422553571428
AECOM,GENERAL DYNAMICS,0.09400697431159465
