source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
3M,WALMART,0.009963500064815198,2,2,0.07891,0.0631320495806311
3M,WESTROCK,0.0026584599343645997,2,2,0.079067,0.0168114379852821
ABBOTT LABORATORIES,AIG,8.774968415716384e-05,1,1,0.027683,0.003169804000909
ABBOTT LABORATORIES,BECTON DICKINSON,0.002546842949252346,1,1,0.072273,0.0352392034266233
ABBOTT LABORATORIES,CHS,0.001665754856485706,1,1,0.095549,0.0174335142857142
ABBOTT LABORATORIES,DANAHER,0.019511430377970516,1,1,0.238645,0.0817592255357142
ABBOTT LABORATORIES,GENERAL ELECTRIC,0.000921390995974618,1,1,0.051747,0.017805689140909
ABBOTT LABORATORIES,LABORATORY CORP. OF AMERICA,0.019077641154720586,1,1,0.203851,0.0935862034266233
ABBOTT LABORATORIES,QUEST DIAGNOSTICS,0.016241792018487047,1,1,0.173549,0.0935862034266233
ABBVIE,AMAZON,6.809910863597516e-05,1,1,0.025913,0.0026279901453315
ABBVIE,AMEREN,0.00023679209273730212,1,1,0.021477,0.0110253803015925
ABBVIE,AMERISOURCEBERGEN,0.0008154701255781756,1,1,0.06895,0.011826977890909
ABBVIE,AMGEN,0.7535398466787624,19,19,0.372337,0.1065163868497119
ABBVIE,APPLIED MATERIALS,0.07379102972868569,1,1,0.334228,0.2207805142857142
ABBVIE,BALL,0.0005827823810521112,1,1,0.052007,0.0112058450026364
ABBVIE,BECTON DICKINSON,2.7080647478734736e-05,1,1,0.012465,0.0021725348960076
ABBVIE,BEST BUY,0.0887194951203735,1,1,0.376862,0.2354163994257142
ABBVIE,BIOGEN,0.8806588334796293,10,10,0.408905,0.2153700330100217
ABBVIE,BLACKSTONE GROUP,0.022791605094690782,1,1,0.210338,0.1083570495806311
ABBVIE,BOEING,0.03400433083173704,3,3,0.102868,0.1101875893758248
ABBVIE,BORGWARNER,0.060825394874999966,1,1,0.319755,0.1902249999999999
ABBVIE,BRISTOL-MYERS SQUIBB,0.2815169551881331,26,26,0.224016,0.0483339368596153
ABBVIE,CATERPILLAR,0.06793793063660114,3,3,0.185639,0.121989328098444
ABBVIE,CBS,0.00036496486870724363,1,1,0.021984,0.0166013859492014
ABBVIE,CENTENE,0.08975339761747497,5,5,0.149455,0.1201075877253688
ABBVIE,CHEVRON,2.962602241250205e-06,1,1,0.00943,0.0003141677880435
ABBVIE,CHS,0.006198247267199989,1,1,0.127064,0.0487805142857142
ABBVIE,CIGNA,0.10272408137230452,8,8,0.175071,0.073344586890679
ABBVIE,CITIGROUP,0.044802690052674565,1,1,0.180655,0.2480013841447763
ABBVIE,CORNING,0.0002427923838058076,1,1,0.020711,0.0117228711219066
ABBVIE,COSTCO,0.038959599999999955,1,1,0.389596,0.0999999999999999
ABBVIE,CVS HEALTH,0.5748715229111034,11,11,0.280106,0.1865759660177684
ABBVIE,DEERE,0.0035878153769999936,1,1,0.061491,0.0583469999999999
ABBVIE,DELL TECHNOLOGIES,0.00870225372460503,1,1,0.10461,0.0831875893758248
ABBVIE,DELTA AIR LINES,0.0002662585849145761,1,1,0.022538,0.0118137627524437
ABBVIE,DUKE ENERGY,5.9422264089358496e-05,1,1,0.019013,0.0031253491868384
ABBVIE,ELI LILLY,0.05639813324999993,3,3,0.240925,0.0780299999999999
ABBVIE,ENTERGY,0.002389795203481625,2,2,0.094817,0.0126021452032949
ABBVIE,EVERSOURCE ENERGY,2.885119089431577e-05,1,1,0.012062,0.0023919077179834
ABBVIE,EXXONMOBIL,0.00012970199125379362,1,1,0.0415,0.0031253491868384
ABBVIE,FACEBOOK,0.03136561698536136,1,1,0.122912,0.2551875893758247
ABBVIE,FIFTH THIRD BANCORP,0.0069731605755,1,1,0.102263,0.0681885
ABBVIE,FLUOR,0.0002504896886331276,1,1,0.05413,0.0046275575213953
ABBVIE,GENERAL DYNAMICS,0.0003862908291078315,1,1,0.038694,0.00998322295725
ABBVIE,GENERAL ELECTRIC,0.14891198137393757,4,4,0.212549,0.1751501787516497
ABBVIE,GENERAL MOTORS,6.805195722649813e-05,1,1,0.015538,0.0043797114961062
ABBVIE,GENWORTH FINANCIAL,0.01853342420399998,1,1,0.179332,0.1033469999999999
ABBVIE,GILEAD SCIENCES,0.38797786710800247,9,9,0.313993,0.1372917609656558
ABBVIE,GOLDMAN SACHS GROUP,0.03868847599999998,1,1,0.224933,0.1719999999999999
ABBVIE,GRAPHIC PACKAGING HOLDING,0.00022856894865427805,1,1,0.049393,0.0046275575213953
ABBVIE,HARTFORD FINANCIAL SERVICES,0.01735939095487985,1,1,0.068026,0.2551875893758247
ABBVIE,HCA HEALTHCARE,0.01358992444430359,1,1,0.125418,0.1083570495806311
ABBVIE,HONEYWELL INTERNATIONAL,0.0031178659234405433,1,1,0.090617,0.0344070750901105
ABBVIE,HUMANA,0.14217348345874592,7,7,0.208844,0.0972520045438878
ABBVIE,HUNTSMAN,0.05872704215379424,2,2,0.231648,0.1267592255357142
ABBVIE,IBM,0.011827310103297265,3,3,0.12787,0.0308316000711589
ABBVIE,INTERNATIONAL PAPER,0.0005666163408139012,1,1,0.046613,0.0121557578532577
ABBVIE,JOHNSON & JOHNSON,0.07465975804441062,8,8,0.188254,0.0495738191780856
ABBVIE,LABORATORY CORP. OF AMERICA,0.0014492390862506806,1,1,0.043689,0.033171715677875
ABBVIE,LEIDOS HOLDINGS,0.0015151387005264093,1,1,0.128252,0.0118137627524437
ABBVIE,LOCKHEED MARTIN,0.00013804829852970645,1,1,0.022645,0.0060961933552531
ABBVIE,MAGELLAN HEALTH,0.18279174651036534,5,5,0.273439,0.1336983725879376
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.04269752304999998,1,1,0.224458,0.1902249999999999
ABBVIE,MCKESSON,4.44853627179236e-05,1,1,0.005984,0.0074340512563375
ABBVIE,MERCK,0.8558834084295429,9,9,0.374796,0.2537331147935715
ABBVIE,METLIFE,0.023820482699999975,1,1,0.264012,0.0902249999999999
ABBVIE,MICRON TECHNOLOGY,0.00013999870735056387,1,1,0.077108,0.0018156184488064
ABBVIE,MICROSOFT,0.0019813716745641814,1,1,0.069697,0.0284283638401105
ABBVIE,MOLINA HEALTHCARE,0.003658286885313938,1,1,0.068831,0.053148826623381
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.03964005246993561,4,4,0.134298,0.0737912189122988
ABBVIE,NATIONWIDE,0.028943376387006038,1,1,0.11342,0.2551875893758247
ABBVIE,NAVISTAR INTERNATIONAL,0.0018410936267398775,1,1,0.060993,0.030185326623381
ABBVIE,NEXTERA ENERGY,0.07022460234999996,1,1,0.369166,0.1902249999999999
ABBVIE,NORTHROP GRUMMAN,0.000553350941852439,1,1,0.06024,0.0091857726071122
ABBVIE,ORACLE,0.006096740270168181,2,2,0.123997,0.0245842249012806
ABBVIE,OWENS-ILLINOIS,0.038959599999999955,1,1,0.389596,0.0999999999999999
ABBVIE,PEPSICO,8.124422497136347e-06,1,1,0.003727,0.0021798826125936
ABBVIE,PPG INDUSTRIES,0.03262070068460295,3,3,0.127699,0.0851499768586101
ABBVIE,PRUDENTIAL FINANCIAL,0.02651413619645959,1,1,0.105431,0.251483303738555
ABBVIE,RAYTHEON,0.001207972286196725,1,1,0.051087,0.0236453948401105
ABBVIE,REGENERON PHARMACEUTICALS,0.03174848999999993,2,2,0.352761,0.0449999999999999
ABBVIE,RITE AID,0.2365548165191685,3,3,0.388993,0.2027070037414285
ABBVIE,S&P GLOBAL,0.004187953492971421,1,1,0.085853,0.0487805142857142
ABBVIE,THERMO FISHER SCIENTIFIC,0.0009214892246064066,2,2,0.040292,0.0114351387943811
ABBVIE,UNION PACIFIC,0.0007412663576648323,2,2,0.031373,0.0118137627524437
ABBVIE,W.R. BERKLEY,0.05005732094899997,1,1,0.246167,0.2033469999999999
ABBVIE,WALGREENS BOOTS ALLIANCE,0.0009569261404253509,2,2,0.035257,0.0135707255357142
ABBVIE,WALMART,0.10957683748465359,3,3,0.244608,0.1493230495114
ABBVIE,WESCO INTERNATIONAL,0.038959599999999955,1,1,0.389596,0.0999999999999999
ABBVIE,WESTERN UNION,0.003843957221999988,1,1,0.122626,0.0313469999999999
ABBVIE,WESTROCK,0.00015040002232008707,1,1,0.04502,0.0033407379458038
ABM INDUSTRIES,AECOM,0.10985723819999989,3,3,0.405864,0.0902249999999999
ABM INDUSTRIES,AMERICAN ELECTRIC POWER,0.010208548799999977,2,2,0.112864,0.0452249999999999
