firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
DUPONT DE NEMOURS,3,0.015837,-0.5643,0.605,0.002642,0.035388,peripheral
SEMPRA ENERGY,3,0.015615,-0.6131,0.6029,0.00208,0.03346,peripheral
UNITED PARCEL SERVICE,0,0.015408,-0.7345,0.7222,0.001231,0.022359,non_hub_connector
AFLAC,1,0.015121,-0.672,0.1653,0.000788,0.021139,peripheral
OWENS CORNING,2,0.014687,-1.0547,0.7415,0.001603,0.026105,non_hub_connector
PROCTER & GAMBLE,4,0.014601,-0.8122,0.7098,0.001626,0.026508,non_hub_connector
NORFOLK SOUTHERN,2,0.014402,-1.0429,0.4234,0.000938,0.025664,peripheral
PEABODY ENERGY,3,0.014142,-0.6531,0.2531,0.00132,0.029892,peripheral
WEC ENERGY GROUP,3,0.014082,-0.6176,0.2677,0.001507,0.030469,peripheral
ZIMMER BIOMET HOLDINGS,4,0.014016,-0.9407,0.6272,0.000839,0.021123,non_hub_connector
S&P GLOBAL,0,0.013844,-0.5231,0.6564,0.001839,0.023509,non_hub_connector
CHEMOURS,3,0.013318,-0.622,0.6487,0.002343,0.032829,non_hub_connector
DISCOVER FINANCIAL SERVICES,0,0.013303,-0.6207,0.2585,0.00118,0.021122,peripheral
VF,3,0.013048,-0.6708,0.4965,0.001463,0.029503,peripheral
HERSHEY,4,0.013045,-0.8673,0.7191,0.001228,0.026219,non_hub_connector
ADVANCED MICRO DEVICES,1,0.012057,-0.5244,0.3025,0.00108,0.021812,peripheral
ENERGY TRANSFER,3,0.01162,-0.6531,0.5409,0.001761,0.031156,peripheral
ARAMARK,4,0.011213,-0.8489,0.7698,0.001954,0.027275,non_hub_connector
NAVIENT,1,0.010819,-0.7541,0.6173,0.00074,0.020797,peripheral
WESTERN DIGITAL,1,0.010624,-0.5736,0.34,0.001004,0.021629,peripheral
STANLEY BLACK & DECKER,1,0.010517,-0.6392,0.7448,0.001546,0.026318,non_hub_connector
REGIONS FINANCIAL,0,0.0105,-0.6369,0.5405,0.001268,0.023495,peripheral
VISA,0,0.0105,-0.6369,0.0,0.001078,0.020851,ultra_peripheral
STATE STREET CORP.,0,0.0105,-0.6369,0.0,0.001078,0.020851,ultra_peripheral
BRIGHTHOUSE FINANCIAL,0,0.009591,-0.8484,0.0,0.00063,0.020414,ultra_peripheral
ONEOK,3,0.009589,-0.662,0.3773,0.001412,0.027615,peripheral
MASCO,2,0.009468,-1.1257,0.2975,0.000744,0.021736,peripheral
MORGAN STANLEY,0,0.009333,-0.8321,0.0,0.000654,0.020477,ultra_peripheral
ABBOTT LABORATORIES,4,0.009193,-0.904,0.5511,0.000893,0.021146,peripheral
KRAFT HEINZ,1,0.008944,-0.7376,0.784,0.001074,0.022784,non_hub_connector
BORGWARNER,0,0.008785,-0.6044,0.6973,0.001581,0.023524,non_hub_connector
DEERE,0,0.008785,-0.6044,0.6638,0.001508,0.022979,non_hub_connector
METLIFE,0,0.008785,-0.6044,0.6466,0.001427,0.022594,non_hub_connector
OWENS-ILLINOIS,0,0.008785,-0.6044,0.6466,0.001427,0.022594,non_hub_connector
WESCO INTERNATIONAL,0,0.008785,-0.6044,0.6466,0.001427,0.022594,non_hub_connector
COSTCO,0,0.008785,-0.6044,0.6466,0.001427,0.022594,non_hub_connector
CELANESE,0,0.007467,-0.7833,0.7781,0.001114,0.022835,non_hub_connector
EMERSON ELECTRIC,2,0.006852,-1.1375,0.5207,0.000835,0.021071,peripheral
AMERICAN TOWER,1,0.006733,-0.8033,0.0,0.000582,0.020314,ultra_peripheral
CARDINAL HEALTH,1,0.006705,-0.6228,0.7524,0.001426,0.023075,non_hub_connector
BOSTON SCIENTIFIC,1,0.006501,-0.6392,0.7553,0.001458,0.023305,non_hub_connector
LIVE NATION ENTERTAINMENT,4,0.006479,-0.9223,0.6994,0.001188,0.024347,non_hub_connector
TENET HEALTHCARE,3,0.006465,-0.7552,0.3045,0.000834,0.024432,peripheral
KELLOGG,0,0.006201,-0.7833,0.7811,0.001481,0.022408,non_hub_connector
NRG ENERGY,3,0.006088,-0.7685,0.0,0.000714,0.023867,ultra_peripheral
WHIRLPOOL,3,0.005226,-0.7419,0.5986,0.001265,0.024973,peripheral
PEPSICO,1,0.005224,-0.5736,0.6231,0.001434,0.021686,peripheral
YUM CHINA HOLDINGS,0,0.005199,-0.8321,0.0,0.000676,0.020365,ultra_peripheral
VALERO ENERGY,3,0.004542,-0.7641,0.6528,0.001015,0.024323,non_hub_connector
NCR,0,0.004395,-0.8646,0.375,0.000636,0.020384,peripheral
LAS VEGAS SANDS,0,0.004097,-0.8484,0.7778,0.000855,0.020974,non_hub_connector
CLOROX,4,0.003197,-0.9957,0.32,0.000807,0.020369,peripheral
MGM RESORTS INTERNATIONAL,3,0.003088,-0.7729,0.4082,0.000859,0.022396,peripheral
WASTE MANAGEMENT,2,0.003028,-1.1611,0.6281,0.000841,0.020922,non_hub_connector
KEURIG DR PEPPER,2,0.003028,-1.1611,0.58,0.000812,0.020863,peripheral
NEWS CORP.,1,0.002932,-0.7705,0.0,0.000641,0.020322,ultra_peripheral
SHERWIN-WILLIAMS,3,0.00268,-0.7552,0.4211,0.000919,0.022653,peripheral
ADOBE,1,0.002644,-0.8033,0.0,0.000583,0.020326,ultra_peripheral
ARTHUR J. GALLAGHER,3,0.002358,-0.7863,0.3704,0.000879,0.021833,peripheral
NUCOR,3,0.002305,-0.7863,0.6311,0.000863,0.022291,non_hub_connector
DEAN FOODS,1,0.00226,-0.672,0.6692,0.001572,0.021237,non_hub_connector
SYSCO,1,0.00226,-0.672,0.4082,0.001006,0.020795,peripheral
MOLSON COORS BEVERAGE,1,0.001946,-0.7541,0.6633,0.000936,0.022075,non_hub_connector
ESTEE LAUDER,4,0.001683,-1.014,0.375,0.000758,0.020313,peripheral
ADP,1,0.001604,-0.7376,0.375,0.000764,0.020494,peripheral
BROADCOM,1,0.001542,-0.8033,0.0,0.000592,0.020247,ultra_peripheral
KIMBERLY-CLARK,4,0.001527,-1.0507,0.5,0.000591,0.020213,peripheral
HALLIBURTON,2,0.001499,-1.2203,0.5,0.000578,0.02044,peripheral
HARLEY-DAVIDSON,1,0.001344,-0.8033,0.4444,0.000605,0.020745,peripheral
CAMPBELL SOUP,1,0.001148,-0.7212,0.0,0.001261,0.020383,ultra_peripheral
NIKE,1,0.001148,-0.7212,0.0,0.001261,0.020383,ultra_peripheral
GAP,1,0.001148,-0.7212,0.0,0.001261,0.020383,ultra_peripheral
COMMUNITY HEALTH SYSTEMS,4,0.001077,-1.0507,0.0,0.000566,0.020157,ultra_peripheral
