firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
PERFORMANCE FOOD GROUP,2,0.109468,-0.2063,0.4978,0.002307,0.048684,peripheral
US FOODS HOLDING,2,0.109468,-0.2063,0.4978,0.002307,0.048684,peripheral
HALLIBURTON,5,0.109016,-0.594,0.7882,0.002471,0.036962,non_hub_connector
NORFOLK SOUTHERN,2,0.108725,-0.2353,0.6194,0.002671,0.054774,peripheral
IBM,5,0.108708,0.2064,0.7827,0.003463,0.059234,non_hub_connector
DELTA AIR LINES,2,0.108127,0.0734,0.6735,0.003279,0.062496,non_hub_connector
EXXONMOBIL,3,0.10766,-0.0301,0.7881,0.003442,0.064826,non_hub_connector
WEYERHAEUSER,3,0.107579,-0.2109,0.7385,0.002506,0.049404,non_hub_connector
REGENERON PHARMACEUTICALS,4,0.107377,-0.4833,0.6844,0.001983,0.030836,non_hub_connector
ALTRIA GROUP,0,0.106818,0.0192,0.7751,0.003073,0.055759,non_hub_connector
CHENIERE ENERGY,3,0.106535,-0.1708,0.6995,0.002378,0.039893,non_hub_connector
AMAZON,2,0.106233,0.0275,0.6384,0.002978,0.058141,non_hub_connector
PARKER-HANNIFIN,2,0.105559,0.2087,0.7592,0.004617,0.082044,non_hub_connector
PIONEER NATURAL RESOURCES,3,0.104859,-0.2194,0.5794,0.001896,0.033476,peripheral
NORTHROP GRUMMAN,2,0.104732,0.2006,0.6221,0.003167,0.058958,peripheral
NATIONWIDE,4,0.104187,-0.573,0.7746,0.002482,0.038904,non_hub_connector
PHILLIPS 66,3,0.102376,-0.0691,0.7819,0.003266,0.060027,non_hub_connector
FORTIVE,4,0.102086,-0.6626,0.5293,0.001569,0.025472,peripheral
DXC TECHNOLOGY,4,0.102086,-0.6626,0.2389,0.001313,0.019513,peripheral
LUMEN TECHNOLOGIES,0,0.101334,0.1554,0.8024,0.003369,0.056425,kinless
UGI,3,0.101299,-0.2699,0.6213,0.001903,0.037863,peripheral
NCR,5,0.100133,-0.1138,0.7792,0.00255,0.03736,non_hub_connector
UNITED PARCEL SERVICE,0,0.099116,-0.1521,0.8025,0.003515,0.061735,kinless
REPUBLIC SERVICES,3,0.098803,-0.2685,0.7217,0.002281,0.045595,non_hub_connector
HUMANA,4,0.09874,-0.6245,0.6833,0.00231,0.035301,non_hub_connector
GENERAL MILLS,3,0.098693,0.0977,0.774,0.003272,0.05864,non_hub_connector
GENERAL MOTORS,2,0.098479,-0.3867,0.7599,0.003648,0.070537,non_hub_connector
