firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
LEIDOS HOLDINGS,3,0.13862,0.4178,0.7364,0.00257,0.043539,non_hub_connector
ESTEE LAUDER,2,0.138108,0.6435,0.7282,0.002479,0.048223,non_hub_connector
TEXAS INSTRUMENTS,3,0.138057,0.5091,0.7886,0.003572,0.065422,non_hub_connector
KINDER MORGAN,2,0.137655,0.687,0.7125,0.002616,0.050013,non_hub_connector
GOODYEAR TIRE & RUBBER,2,0.137215,0.6593,0.7889,0.003957,0.074469,non_hub_connector
S&P GLOBAL,2,0.137106,0.6059,0.7572,0.002919,0.054768,non_hub_connector
TIAA,0,0.136611,1.1145,0.7002,0.002819,0.050996,non_hub_connector
DTE ENERGY,1,0.136607,1.3525,0.7243,0.003617,0.06765,non_hub_connector
APPLIED MATERIALS,2,0.136509,0.592,0.7873,0.003826,0.074337,non_hub_connector
UNITED HEALTH GROUP,4,0.136455,0.2496,0.59,0.001868,0.028499,peripheral
AES,1,0.136273,1.3204,0.7254,0.003651,0.06828,non_hub_connector
BLACKSTONE GROUP,4,0.1362,0.2814,0.7609,0.003297,0.055532,non_hub_connector
GENERAL DYNAMICS,3,0.135713,0.3907,0.7416,0.002135,0.038263,non_hub_connector
JOHNSON & JOHNSON,4,0.135201,0.2586,0.7938,0.003557,0.064884,non_hub_connector
TENET HEALTHCARE,4,0.13492,0.2512,0.7765,0.00336,0.057786,non_hub_connector
CHARLES SCHWAB,0,0.134809,1.2227,0.6467,0.002612,0.043968,non_hub_connector
CENTERPOINT ENERGY,1,0.134803,1.2747,0.6844,0.003211,0.059665,non_hub_connector
BOEING,3,0.134692,0.3278,0.797,0.003522,0.061988,non_hub_connector
ECOLAB,4,0.134456,0.2773,0.7797,0.003923,0.071512,non_hub_connector
DUKE ENERGY,1,0.133793,1.2285,0.732,0.003658,0.067729,non_hub_connector
