firm,net_influence,net_strength,total_firsts,total_losses
HARTFORD FINANCIAL SERVICES,23,7.6948,57,34
BOSTON SCIENTIFIC,59,6.5841,63,4
STATE FARM INSURANCE,59,6.3583,76,17
EXELON,46,6.0965,57,11
JPMORGAN CHASE & CO.,28,5.1448,43,15
GENERAL DYNAMICS,78,4.7693,89,11
AT&T,54,4.4195,54,0
TEXTRON,59,4.2652,81,22
PRUDENTIAL FINANCIAL,33,4.149,50,17
ALLSTATE,50,3.9082,51,1
DUKE ENERGY,27,3.8192,36,9
MICROSOFT,40,3.6831,48,8
UNITED AIRLINES HOLDINGS,32,3.6525,35,3
XCEL ENERGY,34,3.5936,47,13
NORTHWESTERN MUTUAL,55,3.4763,60,5
LEIDOS HOLDINGS,91,3.3472,110,19
JETBLUE AIRWAYS,20,3.2726,23,3
BERKSHIRE HATHAWAY,46,3.182,73,27
AIG,12,3.1083,58,46
REGIONS FINANCIAL,15,3.1027,15,0
NATIONWIDE,40,2.9417,51,11
KEYCORP,16,2.8908,17,1
AMERICAN FAMILY INSURANCE GROUP,47,2.6638,47,0
CUMMINS,59,2.6323,65,6
DELTA AIR LINES,39,2.3899,70,31
RAYTHEON,49,2.343,57,8
DTE ENERGY,30,2.34,39,9
AMAZON,33,2.1106,71,38
BRISTOL-MYERS SQUIBB,-21,2.0469,26,47
PPL,35,1.8262,58,23
TEXAS INSTRUMENTS,41,1.8251,53,12
AMERICAN TOWER,10,1.7758,16,6
ABBVIE,22,1.6959,27,5
LOCKHEED MARTIN,49,1.6888,70,21
HUMANA,24,1.6564,45,21
WELLCARE HEALTH PLANS,8,1.5543,23,15
ADVANCED MICRO DEVICES,16,1.5402,27,11
CITIZENS FINANCIAL GROUP,12,1.5291,12,0
NEW YORK LIFE INSURANCE,18,1.5016,30,12
IBM,59,1.4559,96,37
CENTENE,18,1.3792,35,17
VERIZON,49,1.3769,63,14
CVS HEALTH,14,1.3001,23,9
DELL TECHNOLOGIES,24,1.2169,62,38
LOEWS,8,1.2044,8,0
IHEARTMEDIA,10,1.1705,14,4
BANK OF NEW YORK MELLON,11,1.1638,14,3
BOEING,49,1.1524,55,6
COGNIZANT TECHNOLOGY SOLUTIONS,8,1.1364,15,7
PEPSICO,17,1.0537,19,2
CHEVRON,13,0.9483,13,0
CMS ENERGY,36,0.9358,36,0
UNITED PARCEL SERVICE,6,0.9294,50,44
PG&E,-9,0.9192,48,57
NORFOLK SOUTHERN,-9,0.859,26,35
ORACLE,13,0.8536,60,47
MAGELLAN HEALTH,14,0.8436,18,4
VISA,35,0.842,35,0
CIGNA,9,0.8303,17,8
HERTZ GLOBAL HOLDINGS,14,0.7862,29,15
EMERSON ELECTRIC,9,0.7119,11,2
GENERAL MOTORS,43,0.6759,58,15
PRINCIPAL FINANCIAL,14,0.6663,39,25
CATERPILLAR,18,0.6529,41,23
DAVITA,17,0.6458,18,1
FACEBOOK,6,0.6414,18,12
FIRSTENERGY,-1,0.622,58,59
CHARLES SCHWAB,9,0.5963,14,5
TESLA,8,0.5485,14,6
PEABODY ENERGY,25,0.5472,31,6
