firm,net_influence,net_strength,total_firsts,total_losses
JONES FINANCIAL (EDWARD JONES),7,0.5317,7,0
MASCO,3,0.5219,3,0
AMERICAN EXPRESS,7,0.5145,26,19
MERCK,5,0.4962,9,4
INTERNATIONAL PAPER,1,0.473,10,9
EBAY,-3,0.466,7,10
HOME DEPOT,10,0.4436,31,21
REGENERON PHARMACEUTICALS,2,0.4275,2,0
APPLIED MATERIALS,9,0.4233,10,1
L3HARRIS TECHNOLOGIES,1,0.4188,1,0
WILLIAMS,9,0.3881,9,0
UNITED TECHNOLOGIES,2,0.3294,92,90
DEAN FOODS,6,0.3238,11,5
FRONTIER COMMUNICATIONS,2,0.3188,4,2
THERMO FISHER SCIENTIFIC,11,0.3185,13,2
AMERIPRISE FINANCIAL,23,0.3138,24,1
CHARTER COMMUNICATIONS,17,0.3057,17,0
ARCHER DANIELS MIDLAND,2,0.3,2,0
XEROX,8,0.2986,10,2
NEXTERA ENERGY,-2,0.2854,16,18
BEST BUY,-3,0.2733,5,8
WEYERHAEUSER,11,0.2502,14,3
STATE STREET CORP.,2,0.2339,4,2
TIAA,8,0.2176,23,15
FLUOR,-26,0.2156,40,66
NAVISTAR INTERNATIONAL,1,0.2137,2,1
CBS,-20,0.2022,7,27
MCDONALD'S,0,0.1998,2,2
NUCOR,4,0.1997,10,6
TENET HEALTHCARE,1,0.1964,2,1
LAND O'LAKES,2,0.1909,2,0
HUNTSMAN,2,0.1459,4,2
MUTUAL OF OMAHA INSURANCE,11,0.1449,29,18
MARRIOTT INTERNATIONAL,-3,0.1319,3,6
U.S. BANCORP,-5,0.1303,9,14
BLACKSTONE GROUP,6,0.1296,14,8
RITE AID,-19,0.1223,40,59
CAMPBELL SOUP,6,0.1019,8,2
ARCONIC,2,0.0978,2,0
DISCOVER FINANCIAL SERVICES,12,0.0899,18,6
UNION PACIFIC,5,0.0865,12,7
NEWS CORP.,2,0.0774,2,0
ZIMMER BIOMET HOLDINGS,-1,0.0768,1,2
OSHKOSH,2,0.0722,2,0
CONOCOPHILLIPS,7,0.0703,21,14
COCA-COLA,-2,0.0648,20,22
ENERGY TRANSFER,1,0.0638,1,0
KRAFT HEINZ,4,0.0498,6,2
WALGREENS BOOTS ALLIANCE,2,0.0378,11,9
MOLSON COORS BEVERAGE,1,0.0268,1,0
ADOBE,1,0.023,1,0
SYSCO,1,0.0157,1,0
INTUIT,2,0.0112,5,3
C.H. ROBINSON WORLDWIDE,0,0.0,0,0
CINTAS,0,0.0,0,0
OLIN,0,0.0,0,0
WASTE MANAGEMENT,0,0.0,0,0
ANADARKO PETROLEUM,0,0.0,0,0
CELANESE,0,0.0,0,0
ARROW ELECTRONICS,0,0.0,0,0
MOSAIC,0,0.0,0,0
LABORATORY CORP. OF AMERICA,0,0.0,0,0
ARAMARK,0,0.0,0,0
STANLEY BLACK & DECKER,0,0.0,0,0
LOWE'S,0,0.0,0,0
WHIRLPOOL,0,0.0,0,0
COMMUNITY HEALTH SYSTEMS,0,0.0,0,0
STARBUCKS,0,0.0,0,0
PBF ENERGY,0,0.0,0,0
HANESBRANDS,0,0.0,0,0
CHESAPEAKE ENERGY,0,0.0,0,0
MARATHON OIL,0,0.0,0,0
AIR PRODUCTS & CHEMICALS,0,0.0,0,0
CAESARS ENTERTAINMENT,0,0.0,0,0
FOX CORP,0,0.0,0,0
NEWELL BRANDS,0,0.0,0,0
DISCOVERY,0,0.0,0,0
GAP,0,0.0,0,0
QURATE RETAIL,0,0.0,0,0
NIKE,0,0.0,0,0
GENWORTH FINANCIAL,0,0.0,0,0
TENNECO,0,0.0,0,0
CONSTELLATION BRANDS,0,0.0,0,0
EASTMAN CHEMICAL,0,0.0,0,0
WESTERN UNION,0,0.0,0,0
ZOETIS,0,0.0,0,0
ESTEE LAUDER,0,0.0,0,0
RYDER SYSTEM,0,0.0,0,0
AFLAC,0,0.0,0,0
OCCIDENTAL PETROLEUM,0,0.0,0,0
QUEST DIAGNOSTICS,0,0.0,0,0
HARLEY-DAVIDSON,0,0.0,0,0
CHEMOURS,0,0.0,0,0
MOTOROLA SOLUTIONS,0,0.0,0,0
CONAGRA BRANDS,0,0.0,0,0
ONEOK,0,0.0,0,0
ENTERPRISE PRODUCTS PARTNERS,0,0.0,0,0
YUM BRANDS,-1,-0.003,0,1
REINSURANCE GROUP OF AMERICA,-1,-0.0157,1,2
PROCTER & GAMBLE,-1,-0.0203,5,6
CHS,-1,-0.0229,4,5
CELGENE,1,-0.0295,5,4
BROADCOM,-1,-0.0638,0,1
CENTERPOINT ENERGY,-1,-0.0638,1,2
PHILIP MORRIS INTERNATIONAL,-2,-0.0722,1,3
FORD,26,-0.0944,40,14
CORNING,-8,-0.0997,12,20
SEMPRA ENERGY,-27,-0.108,29,56
INTERPUBLIC GROUP,-10,-0.1122,13,23
GUARDIAN LIFE INS. CO. OF AMERICA,-6,-0.1192,14,20
ALTRIA GROUP,-13,-0.1361,4,17
LKQ,-4,-0.1445,1,5
DEERE,-8,-0.1466,18,26
DOLLAR TREE,-1,-0.15,0,1
METLIFE,-1,-0.1589,4,5
W.R. BERKLEY,-14,-0.1866,0,14
BORGWARNER,-2,-0.1987,6,8
SALESFORCE,-9,-0.2102,11,20
NAVIENT,-7,-0.212,2,9
LENNAR,-1,-0.2137,1,2
EXXONMOBIL,-36,-0.2165,25,61
WALT DISNEY,0,-0.2178,8,8
3M,-49,-0.2183,43,92
LUMEN TECHNOLOGIES,-2,-0.2595,11,13
MARATHON PETROLEUM,-2,-0.2683,11,13
MOLINA HEALTHCARE,-2,-0.2816,15,17
HILTON WORLDWIDE HOLDINGS,-1,-0.2938,0,1
HONEYWELL INTERNATIONAL,-28,-0.297,15,43
MGM RESORTS INTERNATIONAL,-2,-0.3,0,2
LAS VEGAS SANDS,-2,-0.3,0,2
WESTROCK,-5,-0.3241,4,9
GRAPHIC PACKAGING HOLDING,-5,-0.3241,4,9
VF,-21,-0.3249,3,24
DARDEN RESTAURANTS,-4,-0.3443,0,4
WINDSTREAM HOLDINGS,-11,-0.3564,0,11
MARSH & MCLENNAN,-37,-0.3946,0,37
MASSACHUSETTS MUTUAL LIFE INSURANCE,-16,-0.4093,17,33
KELLOGG,-12,-0.4107,8,20
AK STEEL HOLDING,3,-0.4178,23,20
GOODYEAR TIRE & RUBBER,-9,-0.436,1,10
HOLLYFRONTIER,-10,-0.4439,5,15
GOLDMAN SACHS GROUP,-7,-0.4463,0,7
ENTERGY,-35,-0.4774,38,73
WALMART,-19,-0.4931,35,54
PHILLIPS 66,-28,-0.497,13,41
HCA HEALTHCARE,-22,-0.503,16,38
EDISON INTERNATIONAL,2,-0.5052,32,30
CARDINAL HEALTH,10,-0.5203,45,35
MCKESSON,-7,-0.5209,9,16
CONSOLIDATED EDISON,-10,-0.5609,14,24
ABBOTT LABORATORIES,-5,-0.562,61,66
CSX,-2,-0.5658,10,12
LIBERTY MEDIA,-2,-0.574,4,6
KOHL'S,-5,-0.5886,1,6
JOHNSON & JOHNSON,-7,-0.5956,11,18
JACOBS ENGINEERING GROUP,-29,-0.612,7,36
BOOKING HOLDINGS,-15,-0.6141,1,16
VOYA FINANCIAL,-4,-0.6538,0,4
TRAVELERS,-18,-0.6686,1,19
AECOM,-33,-0.6712,33,66
NORTHROP GRUMMAN,-12,-0.6863,76,88
PNC FINANCIAL SERVICES,-8,-0.7025,3,11
AVIS BUDGET GROUP,-11,-0.7266,0,11
GENERAL MILLS,-14,-0.7396,0,14
GENERAL ELECTRIC,4,-0.7442,72,68
WEC ENERGY GROUP,-8,-0.7605,2,10
FIFTH THIRD BANCORP,-14,-0.7679,11,25
AMERISOURCEBERGEN,-11,-0.771,7,18
ECOLAB,-7,-0.7772,20,27
FISERV,-2,-0.7913,2,4
CAPITAL ONE FINANCIAL,-10,-0.8001,20,30
INTEL,-2,-0.8003,41,43
QUALCOMM,-9,-0.8257,24,33
EVERSOURCE ENERGY,-61,-0.8708,32,93
MICRON TECHNOLOGY,-19,-0.8718,14,33
AES,-50,-0.8852,9,59
BOOZ ALLEN HAMILTON,-9,-0.992,0,9
CALPINE,-4,-0.9966,1,5
BANK OF AMERICA,17,-1.0085,37,20
KINDER MORGAN,-5,-1.0463,2,7
ALLY FINANCIAL,-7,-1.05,0,7
BB&T CORP.,-7,-1.05,0,7
PPG INDUSTRIES,-15,-1.1882,46,61
ALPHABET,-42,-1.2325,27,69
PUBLIX SUPER MARKETS,-12,-1.276,8,20
UNITED HEALTH GROUP,-13,-1.3226,3,16
AMERICAN ELECTRIC POWER,6,-1.3971,45,39
KROGER,-11,-1.4061,13,24
ELI LILLY,-39,-1.4752,14,53
SUNTRUST BANKS,-6,-1.6118,13,19
OWENS-ILLINOIS,-11,-1.6155,1,12
AMEREN,-34,-1.6438,45,79
S&P GLOBAL,-27,-1.6688,3,30
BALL,-12,-1.6761,38,50
SYNCHRONY FINANCIAL,-15,-1.6973,35,50
CISCO SYSTEMS,-31,-1.7441,39,70
HEWLETT PACKARD ENTERPRISE,11,-1.7624,57,46
HP,-36,-1.8605,5,41
NORTHERN TRUST,-25,-2.03,9,34
AMGEN,-31,-2.0612,16,47
BECTON DICKINSON,-11,-2.1748,10,21
GILEAD SCIENCES,-33,-2.2435,9,42
BLACKROCK,-46,-2.6595,7,53
BAXTER INTERNATIONAL,-12,-2.8193,11,23
COMCAST,-52,-2.8496,10,62
CITIGROUP,-40,-2.8597,15,55
FEDEX,-40,-2.8717,28,68
AMERICAN AIRLINES GROUP,-23,-3.3796,26,49
SOUTHERN,-7,-3.4169,59,66
M&T BANK CORP.,-14,-3.7555,4,18
OWENS CORNING,-61,-4.3489,3,64
DOMINION ENERGY,-11,-4.4339,31,42
USAA,-113,-4.7575,44,157
ASSURANT,-60,-4.9873,10,70
PUBLIC SERVICE ENTERPRISE GROUP,-72,-5.0634,28,100
ROCKWELL COLLINS,-42,-6.3643,39,81
SOUTHWEST AIRLINES,-54,-6.6392,24,78
LIBERTY MUTUAL INSURANCE GROUP,-35,-6.8825,19,54
ALASKA AIR GROUP,-71,-7.7096,23,94
WELLS FARGO,-38,-9.7199,17,55
LINCOLN NATIONAL,-56,-9.9878,35,91
